Constituent,Constituent_Definition,Sample_Group
DO,Dissolved oxygen,FieldParam
pH,pH,FieldParam
Spec Cond,Specific conductance,FieldParam
Ag,"Silver, water, filtered",Inorganics
Al,"Aluminum, water, filtered",Inorganics
Alkalinity,"Alkalinity as bicarbonate, water, filtered",Inorganics
As,"Arsenic, water, filtered",Inorganics
B,"Boron, water, filtered",Inorganics
Ba,"Barium, water, filtered",Inorganics
Be,"Beryllium, water, filtered",Inorganics
Bi,"Bismuth, water, filtered",Inorganics
Br,"Bromide, water, filtered",Inorganics
Ca,"Calcium, water, filtered",Inorganics
Cd,"Cadmium, water, filtered",Inorganics
Ce,"Cerium, water, filtered",Inorganics
Cl,"Chloride, water, filtered",Inorganics
Co,"Cobalt, water, filtered",Inorganics
Cr,"Chromium, water, filtered",Inorganics
Cs,"Cesium, water, filtered",Inorganics
Cu,"Copper, water, filtered",Inorganics
F,"Fluoride, water, filtered",Inorganics
Fe,"Iron, water, filtered",Inorganics
K,"Potassium, water, filtered",Inorganics
La,"Lanthanum, water, filtered",Inorganics
Li,"Lithium, water, filtered",Inorganics
Mg,"Magnesium, water, filtered",Inorganics
Mn,"Manganese, water, filtered",Inorganics
Mo,"Molybdenum, water, filtered",Inorganics
Na,"Sodium, water, filtered",Inorganics
NH3-N,"Ammonia as nitrogen, water, filtered",Inorganics
Ni,"Nickel, water, filtered",Inorganics
NO3,"Nitrate, water, filtered",Inorganics
Pb,"Lead, water, filtered",Inorganics
PO4,"Phosphate, water, filtered",Inorganics
Rb,"Rubidium, water, filtered",Inorganics
Sb,"Antimony, water, filtered",Inorganics
Se,"Selenium, water, filtered",Inorganics
Si,"Silicon, water, filtered",Inorganics
Sn,"Tin, water, filtered",Inorganics
SO4,"Sulfate, water, filtered",Inorganics
Sr,"Strontium, water, filtered",Inorganics
Th,"Thorium, water, filtered",Inorganics
Tl,"Thallium, water, filtered",Inorganics
U,"Uranium, water, filtered",Inorganics
V,"Vanadium, water, filtered",Inorganics
W,"Tungsten, water, filtered",Inorganics
Zn,"Zinc, water, filtered",Inorganics
13C-DIC,"Delta 13C of dissolved inorganic carbon, water, filtered",Isotopes
13C-DOC,"Delta 13C of dissolved organic carbon, water, filtered",Isotopes
delta 2H,"Delta 2H, water, unfiltered",Isotopes
delta 18O,"Delta 18O, water, unfiltered",Isotopes
Methane,"Methane, dissolved, water, by headspace analysis",Organics
NVDOC,"Nonvolatile dissolved organic carbon, water, filtered",Organics
Acetate,"Acetate, water, unfiltered",Organics
Benzoate,"Benzoate, water, unfiltered",Organics
Butyrate,"Butyrate, water, unfiltered",Organics
Formate,"Formate, water, unfiltered",Organics
Lactate,"Lactate, water, unfiltered",Organics
Propionate,"Propionate, water, unfiltered",Organics
Pyruvate,"Pyruvate, water, unfiltered",Organics
"1,2,3,4-Tetramethylbenzene","1,2,3,4-Tetramethylbenzene, water, unfiltered",Hydrocarbons
"1,2,3,5-Tetramethylbenzene","1,2,3,5-Tetramethylbenzene, water, unfiltered",Hydrocarbons
"1,2,3-Trimethylbenzene","1,2,3-Trimethylbenzene, water, unfiltered",Hydrocarbons
"1,2,4,5-Tetramethylbenzene","1,2,4,5-Tetramethylbenzene, water, unfiltered",Hydrocarbons
"1,2,4-Trimethylbenzene","1,2,4-Trimethylbenzene, water, unfiltered",Hydrocarbons
"1,2-Dimethylbenzene (o-Xylene)","1,2-Dimethylbenzene (o-Xylene), water, unfiltered",Hydrocarbons
"1,3,5-Trimethylbenzene","1,3,5-Trimethylbenzene, water, unfiltered",Hydrocarbons
"1,3-Dimethyl-2-ethylbenzene","1,3-Dimethyl-2-ethylbenzene, water, unfiltered",Hydrocarbons
"1,3-Dimethyl-5-ethylbenzene","1,3-Dimethyl-5-ethylbenzene, water, unfiltered",Hydrocarbons
"1,3-Dimethylbenzene (m-Xylene)","1,3-Dimethylbenzene (m-Xylene), water, unfiltered",Hydrocarbons
"1,4-Dimethylbenzene (p-Xylene)","1,4-Dimethylbenzene (p-Xylene), water, unfiltered",Hydrocarbons
"1,5-Dimethylnaphthalene","1,5-Dimethylnaphthalene, water, unfiltered",Hydrocarbons
"1,8-Dimethylnaphthalene","1,8-Dimethylnaphthalene, water, unfiltered",Hydrocarbons
1-Ethylnaphthalene,"1-Ethylnaphthalene, water, unfiltered",Hydrocarbons
1-Methylnaphthalene,"1-Methylnaphthalene, water, unfiltered",Hydrocarbons
"2,6-Dimethylnaphthalene","2,6-Dimethylnaphthalene, water, unfiltered",Hydrocarbons
2-Ethylnaphthalene,"2-Ethylnaphthalene, water, unfiltered",Hydrocarbons
2-Methylnaphthalene,"2-Methylnaphthalene, water, unfiltered",Hydrocarbons
Acenaphthene,"Acenaphthene, water, unfiltered",Hydrocarbons
Benzene,"Benzene, water, unfiltered",Hydrocarbons
Biphenyl,"Biphenyl, water, unfiltered",Hydrocarbons
Cyclohexane,"Cyclohexane, water, unfiltered",Hydrocarbons
Ethylbenzene,"Ethylbenzene, water, unfiltered",Hydrocarbons
Methylcyclohexane,"Methylcyclohexane, water, unfiltered",Hydrocarbons
Naphthalene,"Naphthalene, water, unfiltered",Hydrocarbons
Toluene,"Toluene, water, unfiltered",Hydrocarbons
n-Propylbenzene,"n-Propylbenzene, water, unfiltered",Hydrocarbons
p/m-xylene,"p and m-xylene, water, unfiltered",Hydrocarbons
