Well,Collection_Year,Analyte,Replicate,Qualifier_Code,Value,StdDev,Units,Method,Report_Date,Source
w301,1983,V,1,,3.156,0.235,ppm,Activation analysis,1984-03-28,Memo
w301,1983,V,2,,3.419,0.260,ppm,Activation analysis,1984-03-28,Memo
w301,1983,V,3,,3.975,0.364,ppm,Activation analysis,1984-03-28,Memo
w301,1983,Ni,1,,4.108,0.169,ppm,Activation analysis,1984-03-28,Memo
w301,1983,Ni,2,,4.503,0.156,ppm,Activation analysis,1984-03-28,Memo
w301,1983,Fe,1,,9.567,1.31,ppm,Activation analysis,1984-03-28,Memo
w301,1983,Fe,2,,4.481,1.09,ppm,Activation analysis,1984-03-28,Memo
w301,1983,Zn,1,,711.3,49.3,ppb,Activation analysis,1984-03-28,Memo
w301,1983,Zn,2,,781.0,50.6,ppb,Activation analysis,1984-03-28,Memo
w301,1983,Cr,1,,217.3,16.5,ppb,Activation analysis,1984-03-28,Memo
w301,1983,Cr,2,,203.4,13.8,ppb,Activation analysis,1984-03-28,Memo
w301,1983,Co,1,,28.04,2.76,ppb,Activation analysis,1984-03-28,Memo
w301,1983,Co,2,,29.47,2.45,ppb,Activation analysis,1984-03-28,Memo
w301,1983,C,1,,78.2,1.8,percent,Combustion,1984-04-19,Memo
w301,1983,N,1,,0.28,0.1,percent,Combustion,1984-04-19,Memo
w301,1983,S,1,,0.56,0.1,percent,Combustion,1984-04-19,Memo
w301,1983,H,1,,10.5,1.1,percent,Combustion,1984-04-19,Memo
w301,1983,O,1,,10.4,0.65,percent,By difference,1984-04-19,Memo
w315,1983,C,1,,82.5,0.5,percent,Combustion,1984-04-19,Memo
w315,1983,N,1,,0.27,0.03,percent,Combustion,1984-04-19,Memo
w315,1983,S,1,,0.56,0.1,percent,Combustion,1984-04-19,Memo
w315,1983,H,1,,11.5,0.3,percent,Combustion,1984-04-19,Memo
w315,1983,O,1,,5.20,5.2,percent,By difference,1984-04-19,Memo
w301,1983,Al,1,LT,21.26,1.791,ppm,Activation analysis,1984-04-19,Memo
w301,1983,Al,2,LT,26.02,2.345,ppm,Activation analysis,1984-04-19,Memo
w301,1983,Ti,1,LT,733.7,68.59,ppm,Activation analysis,1984-04-19,Memo
w301,1983,Ti,2,LT,898.5,83.99,ppm,Activation analysis,1984-04-19,Memo
w301,1983,Ti,3,LT,1768,168.3,ppm,Activation analysis,1984-04-19,Memo
w301,1983,Mg,1,LT,3585,370.8,ppm,Activation analysis,1984-04-19,Memo
w301,1983,Mg,2,LT,4170,431.3,ppm,Activation analysis,1984-04-19,Memo
w301,1983,Mg,3,LT,4313,446.1,ppm,Activation analysis,1984-04-19,Memo
w301,1983,Ca,1,LT,2221,445.0,ppm,Activation analysis,1984-04-19,Memo
w301,1983,Ca,2,LT,1899,380.5,ppm,Activation analysis,1984-04-19,Memo
w301,1983,Sb,1,LT,111.8,11.54,ppb,Activation analysis,1984-04-19,Memo
w301,1983,Sb,2,LT,44.05,5.179,ppb,Activation analysis,1984-04-19,Memo
