Table_Name,Table_Column,Column_Heading,Column_Description,Extended_Description,Unit_Abbreviation,Unit_Definition,Range_Min,Range_Max,Measurement_Method,Definitions_for_No_Data_Values
T2,A,Unique_ID,Unique sample identification number,source code-well number-sampling year,--,--,--,--,--,--
T2,B,Well_Number,number identifying the well from which a sample was taken,Detailed information including sampling site information and well construction can be found in Trost et al. (2018).,--,--,--,--,--,--
T2,C,Well_Location,"relative location of the well in the oil spill area, see extended description",NOP: north oil pool in spill zone; DNOP: downgradient of the north oil pool spill zone; SOP: south oil pool spill zone,--,--,--,--,--,--
T2,D,Year_Sampled,year in which the sample was collected,--,YYYY,year,2010,2010,--,--
T2,E,Bz_Water,benzene (C6H6) in water sample,--,µg/L,microgram per liter,441,4473,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"""--"" denotes no data"
T2,F,Bz_Oil,benzene (C6H6) in oil sample,--,mg/g oil,milligrams per gram of oil,0.020,1.1,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"""--"" denotes no data"
T2,G,BTEX_Water,"benzene, toluene, ethylbenzene, and o-, p-, m-xylene in water sample",--,µg/L,microgram per liter,1148,6307,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"""--"" denotes no data"
T2,H,BTEX_Oil,"benzene, toluene, ethylbenzene, and o-, p-, m-xylene in oil sample",--,mg/g oil,milligrams per gram of oil,0.78,8.39,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"""--"" denotes no data"
T2,J,Naph_Water,naphthalene (C10H8) in water sample,--,µg/L,microgram per liter,48,106,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"""--"" denotes no data"
T2,I,Naph_Oil,naphthalene (C10H8) in oil sample,--,mg/g oil,milligrams per gram of oil,0.20,0.64,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"""--"" denotes no data"
T2,K,VHC_TOT_Water,total volatile hydrocarbons in water sample,includes 71 hydrocarbons,mg/L,milligrams per liter,2.0,7.7,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"""--"" denotes no data"
T2,L,VHC_TOT_Oil,total volatile hydrocarbons in oil,includes 71 hydrocarbons,mg/g oil,milligrams per gram of oil,15,49,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"""--"" denotes no data"
T2,M,n.HC_C6.C12,normal hydrocarbons with 6 to 12 carbons in oil sample,--,mg/g oil,milligrams per gram of oil,0,64,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"""--"" denotes no data; values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size"
T2,N,n.HC_C13.C30,normal hydrocarbons with 13 to 30 carbons in oil sample,--,mg/g oil,milligrams per gram of oil,0,23.5,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"""--"" denotes no data; values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size"
T2,O,NVDOC,non-volatile dissolved organic carbon in water sample,--,mg/L of C,milligrams per liter of carbon,18.4,75.2,high temperature combustion/non-dispersive infrared detector (NDIR),"""--"" denotes no data"
T2,P,CH4,methane in water sample,--,mg/L,milligrams per liter,9.68,35.4,headspace analysis using gas chromatography (GC),"""--"" denotes no data"
T2,Q,FeTOT,total iron (Fe2+ and Fe3+) in water sample,--,mg/L,milligrams per liter,24.8,167,inductively coupled plasma-optical emission spectrometer (ICP-OES),"""--"" denotes no data"
T2,R,Mn,manganese in water sample,--,mg/L,milligrams per liter,0.172,3.90,inductively coupled plasma-mass spectrometer (ICP-MS),"""--"" denotes no data"
T2,S,Si,silicon in water sample,--,mg/L,milligrams per liter,10.3,30.2,inductively coupled plasma-optical emission spectrometer (ICP-OES),"""--"" denotes no data"
T2,T,NH4,ammonium in water sample,--,mg/L of N,milligrams per liter of nitrogen,0.0300,3.06,segmented flow analysis,"""--"" denotes no data"
T2,U,AsTOT,total arsenic in water sample,--,µg/L,microgram per liter,11.1,230,inductively coupled plasma-mass spectrometer (ICP-MS),"""--"" denotes no data"
T2,V,HCO3,bicarbonate in water sample,--,mg/L,milligrams per liter,298,817,inflection point titration,"""--"" denotes no data"
T2,W,Cl,chloride in water sample,--,mg/L,milligrams per liter,0.574,4.33,ion chromatography (IC),"""--"" denotes no data"
T2,X,Acetate,acetate in water sample,--,mg/L,milligrams per liter,0.0606,6.01,ion chromatography (IC),"""--"" denotes no data"
T2,Y,Formate,formate in water sample,--,mg/L,milligrams per liter,0.0382,0.402,ion chromatography (IC),"""--"" denotes no data"
T2,Z,Propionate,propionate in water sample,--,mg/L,milligrams per liter,0.02,0.108,ion chromatography (IC),"""--"" denotes no data"
T2,AA,Propionate_QA_Flag,propionate quality assurance reporting flag. See extended description for flag definitions.,"<MDL: measured value is less than the method detection limit, the MDL is reported as the concentration",--,--,--,--,--,"""--"" represents no reporting flag"
T3,A,Unique_ID,Unique sample identification number,source code-well number-sampling year(s),--,--,--,--,--,--
T3,B,Well_Number,number identifying the well from which a sample was taken,detailed information including sampling site information and well construction can be found in Trost et al. (2018).,--,--,--,--,--,NA: not applicable
T3,C,Dist_Well_421,distance in meters from well 421,"position of the site relative to the center of the north oil body on a transect line parallel to the direction of groundwater flow. Negative values are upgradient of the north oil body, and positive values are downgradient of the oil body.",m,meters,-34.89,116.29,--,NA: not applicable
T3,D,Year_Sampled,year in which the sample was collected,concentrations of benzene and naphthalene in oil are reported for samples collected in 2010 only; concentrations of benzene and naphthalene in water are reported as averaged concentrations of samples collected from 2010 to 2015.,--,--,--,--,--,--
