Unique_ID,Well_Number,Well_Location,Year_Sampled,Bz_Water,Bz_Oil,BTEX_Water,BTEX_Oil,Naph_Water,Naph_Oil,VHC_TOT_Water,VHC_TOT_Oil,n.HC_C6.C12,n.HC_C13.C30,NVDOC,CH4,FeTOT,Mn,Si,NH4,AsTOT,HCO3,Cl,Acetate,Formate,Propionate,Propionate_QA_Flag
BEM-411-2010,411,NOP,2010,972,0.14,2392,4.38,106,0.60,4.3,38,0,0,67.9,19.1,49.8,0.526,18.3,3.06,24.9,675,2.52,0.204,0.0798,0.0968,--
BEM-301A-2010,301A,NOP,2010,1521,0.25,3012,5.28,76,0.45,4.5,41,14,0.700,51.4,19.4,88.2,0.291,27.7,0.680,55.2,598,1.96,2.84,0.402,0.02,<MDL
BEM-306-2010,306,NOP,2010,1173,0.17,2663,4.81,79,0.44,4.1,39,5.8,1.40,72.4,23.9,94.0,0.286,24.6,0.820,140,618,2.18,6.01,0.0737,0.0770,--
BEM-421B-2010,421B,NOP,2010,2652,0.55,4649,7.12,102,0.57,6.4,47,1.9,0,52.3,19.9,24.9,0.204,24.2,2.97,230,597,1.62,1.46,0.0705,0.108,--
BEM-315-2010,315,NOP,2010,2169,0.53,3910,7.02,101,0.64,4.6,49,0.41,0,52.6,22.3,50.8,0.304,17.1,1.65,11.1,650,1.91,0.0872,0.0583,0.02,<MDL
BEM-604A-2010,604A,NOP,2010,1154,--,2577,--,97,--,4.6,--,--,--,40.2,22.5,35.6,0.298,27.2,--,55.0,689,1.75,1.18,0.0755,0.0547,--
BEM-319-2010,319,NOP,2010,--,--,--,--,--,--,--,--,--,--,75.2,23.7,167,1.22,21.8,--,17.5,556,2.36,0.853,0.124,0.0591,--
BEM-521-2010,521,DNOP,2010,1514,0.39,2738,4.66,63,0.39,4.0,34,64,20.4,20.1,35.4,24.8,0.465,23.7,0.030,41.1,537,2.27,0.110,0.0801,0.02,<MDL
BEM-423-2010,423,DNOP,2010,4473,1.1,6307,8.39,95,0.52,7.7,44,39,23.5,18.4,32.4,38.3,0.172,26.3,0.030,76.5,711,3.40,0.374,0.132,0.02,<MDL
BEM-534A-2010,534A,DNOP,2010,4081,0.96,5679,6.97,84,0.47,7.3,45,50,17.2,37.7,23.0,40.0,0.537,24.3,0.140,53.7,628,2.50,0.110,0.105,0.0211,--
BEM-522-2010,522,DNOP,2010,4158,0.77,5858,6.65,84,0.49,7.3,42,39,23.5,56.4,30.8,33.0,0.206,30.2,0.980,95.1,817,4.33,0.386,0.268,0.0272,--
BEM-420D-2010,420D,DNOP,2010,3081,0.57,4578,5.86,73,0.39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
BEM-533D-2010,533D,DNOP,2010,2866,0.64,4160,5.57,75,0.46,5.8,40,35,0.600,53.4,31.4,31.0,0.387,27.6,0.440,140,768,1.93,1.36,0.267,0.0595,--
BEM-978-2010,978,SOP,2010,441,0.020,1148,0.780,48,0.20,2.0,15,0.02,--,22.3,9.68,102,3.90,10.3,1.77,18.8,298,0.574,0.0606,0.0382,0.0200,--
BEM-312-2010,312,SOP,2010,2797,0.61,4740,7.08,103,0.63,6.4,48,43,--,33.1,28.5,85.7,2.56,13.3,0.430,23.0,411,0.683,2.07,0.296,0.0370,--
BEM-314-2010,314,SOP,2010,2425,0.36,3810,4.58,86,0.55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
