Unique_ID,Well_Number,Dist_Well_421,Year_Sampled,Sample_Type,Bz_Water,Naph_Water,Bz_to_Naph_Water,Bz_Oil,Naph_Oil,Bz_to_Naph_Oil,,,,,,,
BEM-PIPELINEOIL-1984,NA,NA,1984,PO,--,--,4.4,--,--,--,,,,,,,
BEM-604A-20102015AVG,604A,-34.89,20102015AVG,OW,1154,97,12,--,--,--,,,,,,,
BEM-411-20102015AVG,411,-5.58,20102015AVG,OW,1043,121,8.6,--,--,--,,,,,,,
BEM-411-2010,411,-5.58,2010,OW,--,--,--,0.140,0.600,0.230,,,,,,,
BEM-315-20102015AVG,315,-4.02,20102015AVG,OW,2169,100,22,--,--,--,,,,,,,
BEM-315-2010,315,-4.02,2010,OW,--,--,--,0.530,0.640,0.830,,,,,,,
BEM-306-20102015AVG,306,-2.38,20102015AVG,OW,1150,193,6.0,--,--,--,,,,,,,
BEM-306-2010,306,-2.38,2010,OW,--,--,--,0.170,0.440,0.390,,,,,,,
BEM-301A-20102015AVG,301A,-2.06,20102015AVG,OW,1521,76,20,--,--,--,,,,,,,
BEM-301A-2010,301A,-2.06,2010,OW,--,--,--,0.250,0.440,0.570,,,,,,,
BEM-421B-20102015AVG,421B,-0.84,20102015AVG,OW,2652,102,26,--,--,--,,,,,,,
BEM-421-2010,421,0,2010,OW,--,--,--,0.550,0.570,0.970,,,,,,,
BEM-423-20102015AVG,423,19.51,20102015AVG,OW,4179,98,43,--,--,--,,,,,,,
BEM-423-2010,423,19.51,2010,OW,--,--,--,1.07,0.520,2.06,,,,,,,
BEM-521-20102015AVG,521,22.38,20102015AVG,OW,1514,63,24,--,--,--,,,,,,,
BEM-521-2010,521,22.38,2010,OW,--,--,--,0.390,0.390,1.01,,,,,,,
BEM-534A-20102015AVG,534A,23.84,20102015AVG,OW,3681,101,37,--,--,--,,,,,,,
BEM-534A-2010,534A,23.84,2010,OW,--,--,--,0.960,0.470,2.04,,,,,,,
BEM-522-20102015AVG,522,25.71,20102015AVG,OW,4158,84,50,--,--,--,,,,,,,
BEM-522-2010,522,25.71,2010,OW,--,--,--,0.770,0.490,1.57,,,,,,,
BEM-420B-20102015AVG,420B,28.95,20102015AVG,OW,0.780,0.14,5.6,--,--,--,,,,,,,
BEM-420B-2010,420B,28.95,2010,OW,--,--,--,0.570,0.390,1.46,,,,,,,
BEM-420D-20102015AVG,420D,28.95,20102015AVG,OW,3081,73,42,--,--,--,,,,,,,
BEM-533B-20102015AVG,533B,34.87,20102015AVG,OW,520,23,23,--,--,--,,,,,,,
BEM-533D-20102015AVG,533D,37.23,20102015AVG,OW,3373,95,26,--,--,--,,,,,,,
BEM-533D-2010,533D,37.23,2010,OW,--,--,--,0.640,0.460,1.39,,,,,,,
BEM-533E-20102015AVG,533E,38.5,20102015AVG,NO,2006,51,39,--,--,--,,,,,,,
BEM-532B-20102015AVG,532B,45.42,20102015AVG,NO,787,27,29,--,--,--,,,,,,,
BEM-532E-20102015AVG,532E,49.62,20102015AVG,NO,103,3.3,31,--,--,--,,,,,,,
BEM-518B-20102015AVG,518B,55.71,20102015AVG,NO,2013,12,171,--,--,--,,,,,,,
BEM-518A-20102015AVG,518A,56.88,20102015AVG,NO,2269,10,227,--,--,--,,,,,,,
BEM-531C-20102015AVG,531C,66.63,20102015AVG,NO,0.300,0.49,0.61,--,--,--,,,,,,,
BEM-531A-20102015AVG,531A,67.46,20102015AVG,NO,750,2.1,352,--,--,--,,,,,,,
BEM-513-20102015AVG,513,78.1,20102015AVG,NO,1281,4.0,321,--,--,--,,,,,,,
BEM-530B-20102015AVG,530B,91.26,20102015AVG,NO,414,1.9,219,--,--,--,,,,,,,
BEM-530A-20102015AVG,530A,91.87,20102015AVG,NO,34.0,0.34,100,--,--,--,,,,,,,
BEM-530C-20102015AVG,530C,90.5,20102015AVG,NO,26.7,1.1,25,--,--,--,,,,,,,
BEM-530D-20102015AVG,530D,93.73,20102015AVG,NO,175,0.92,189,--,--,--,,,,,,,
BEM-9315C-20102015AVG,9315C,101.96,20102015AVG,NO,132,12,11,--,--,--,,,,,,,
BEM-9315D-20102015AVG,9315D,101.73,20102015AVG,NO,2.55,0.28,9.3,--,--,--,,,,,,,
BEM-1101A-20102015AVG,1101A,114.6,20102015AVG,NO,83.3,0.37,225,--,--,--,,,,,,,
BEM-1101C-20102015AVG,1101C,116.29,20102015AVG,NO,71.0,0.19,374,--,--,--,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
