Unique_ID,Well_Number,Dist_Well_421,Year_Sampled,Bz,Toluene,EtBz,m_Xylene,p_Xylene,o_Xylene,1.2.3_TriMeBz,1.2.4_TriMeBz,1.3.5_TriMeBz,Naph,1_MeNaph,2_MeNaph,1.2.3.4_TetraMeBz,1.2.3.5_TetraMeBz,1.2.4.5_TetraMeBz,1.3_DiMe_2_EtBz
BEM-604A-2010,604A,-34.89,2010,1154,23.2,289,845,259,6.40,268,421,97.7,97.0,37.1,40.4,123,42.8,9.80,2.99
BEM-411-2010,411,-5.58,2010,972,25.8,379,779,235,0.700,300,460,112,106,54.9,58.7,162,58.4,14.0,4.17
BEM-411-2015,411,-5.58,2015,1113,0,332,898,259,0,140,528,89.4,136,60.0,69.6,184,70.9,17.2,6.94
BEM-306-2010,306,-2.38,2010,1173,8.20,433,766,233,49.5,224,344,77.1,78.5,33.9,35.9,106,35.3,8.00,2.35
BEM-306-2015,306,-2.38,2015,1127,0,367,885,253,21.3,119,443,79.0,99.2,45.7,51.4,158,60.1,14.2,5.94
BEM-301A-2010,301A,-2.06,2010,1521,9.60,414,754,236,77.6,226,358,82.9,76.0,33.4,37.2,108,37.1,8.60,2.68
BEM-421B-2010,421B,-0.84,2010,2652,0,618,1073,306,0,257,418,88.5,102,37.9,39.7,108,35.4,7.60,2.48
BEM-421B-2011,421B,-0.84,2011,2134,0,620,1086,332,0,242,422,85.6,86.8,28.8,31.1,93.9,31.5,7.50,1.96
BEM-423-2010,423,19.51,2010,4473,17.2,453,793,224,345,227,369,78.1,94.5,44.3,49.2,134,47.8,11.4,3.47
BEM-423-2015,423,19.51,2015,3885,0,530,959,303,134,88.9,399,60.1,100,38.5,46.5,114,42.1,9.85,3.85
BEM-521-2010,521,22.38,2010,1514,23.3,200,503,161,337,219,285,74.5,63.2,26.7,24.8,103,36.2,8.10,2.40
BEM-534A-2010,534A,23.84,2010,4081,28.9,462,781,227,99.5,229,344,78.3,83.8,31.8,31.3,104,33.8,7.10,2.49
BEM-534A-2011,534A,23.84,2011,4001,0,499,898,285,68.4,221,365,76.8,75.8,30.6,35.9,102,34.7,8.30,2.13
BEM-534A-2015,534A,23.84,2015,3280,0,458,1045,323,308,113,467,75.9,117,51.2,52.0,152,57.8,14.1,5.37
BEM-533D-2010,533D,37.23,2010,2866,17.0,323,646,186,121,235,331,83.8,74.5,35.9,37.4,129,45.8,10.7,3.27
BEM-533D-2015,533D,37.23,2015,3879,0,462,1060,320,0,114,463,78.3,114,46.8,53.2,148,54.1,12.5,5.34
BEM-533E-2015,533E,38.50,2015,1548,0,124,486,76.9,0,5.84,27.6,3.17,51.4,22.7,27.8,75.4,30.1,8.07,3.55
BEM-532B-2013,532B,45.42,2013,923,0,109,148,90.3,0,61.7,148,28.1,25.1,14.4,14.5,41.4,13.9,3.34,1.80
BEM-532B-2015,532B,45.42,2015,651,0,33.2,151,76.0,0,22.3,116,19.2,28.4,17.6,19.8,46.8,17.8,4.72,2.17
BEM-532C-2015,532C,44.79,2015,0.100,0,0,0,0,0,0,0,0,0,0.070,0.050,0.140,0.010,0,0.170
BEM-532E-2015,532E,49.62,2015,115,0,1.31,7.88,13.5,0,5.84,27.6,3.17,3.31,5.64,2.18,18.9,6.53,1.78,1.38
BEM-518B-2013,518B,55.71,2013,2013,0,43.9,200,140,0,75.2,242,51.6,11.8,19.6,16.8,65.3,23.8,6.00,2.63
BEM-518A-2013,518A,56.88,2013,2269,0,47.1,140,141,0,79.1,226,52.5,10.0,18.2,17.4,65.6,23.6,6.00,2.61
BEM-531C-2013,531C,66.63,2013,0.300,0,0.260,0,0,0,0.24,2.02,0,0.490,2.73,0.390,10.8,3.96,1.30,0.620
BEM-531A-2013,531A,67.46,2013,750,0,6.75,2.28,32.6,0,7.78,68.9,9.15,2.13,10.8,3.91,37.9,12.7,3.06,1.43
BEM-513-2013,513,78.10,2013,1281,0,11.7,23.5,90.5,0,21.6,150,30.5,4.00,11.1,6.31,51.1,18.4,4.54,2.44
BEM-530C-2014,530C,90.5,2014,50.9,0,6.18,1.25,7.69,0,5.83,25.5,2.29,1.07,1.80,0.130,18.4,5.59,1.32,1.14
BEM-530C-2015,530C,90.5,2015,2.41,0,0,0,0,0,0,0.690,0,0,0.230,0,2.42,0.700,0.180,0.330
BEM-530B-2013,530B,91.26,2013,12.9,0,0.710,0.090,0.650,0,0.210,3.30,0.160,0.190,1.57,0.110,19.7,5.66,2.09,1.67
BEM-530B-2014,530B,91.26,2014,815,0,8.11,70.5,55.2,0,11.2,100,17.4,3.58,7.86,1.58,39.9,13.7,3.38,2.32
BEM-530A-2013,530A,91.87,2013,11.8,0,0,0.620,3.57,0,2.79,9.88,2.40,0,2.14,0,24.3,7.35,2.48,1.70
BEM-530A-2014,530A,91.87,2014,56.1,0,0,2.30,4.69,0,3.48,14.8,1.69,0.340,1.24,0,22.3,6.15,1.41,1.43
BEM-530D-2013,530D,93.43,2013,5.45,0,0,2.58,14.5,0,4.82,30.5,3.86,0.350,4.21,0.220,28.0,9.44,2.98,2.03
BEM-530D-2014,530D,93.43,2014,504,0,4.62,41.3,31.8,0.140,9.77,73.3,10.5,1.80,4.65,0.490,33.9,11.1,3.02,1.96
BEM-530D-2015,530D,93.43,2015,15.4,0,0.370,9.28,13.4,0.070,3.09,36.6,13.2,0.620,3.38,0.240,27.4,9.79,2.73,1.72
