Unique_ID,Well_Number,Year_Sampled,d13C_DIC,CH4
BEM-421A-1985,421A,1985,-14.16,--
BEM-421A-1986,421A,1986,-10.45,21.8
BEM-421A-1987,421A,1987,-5.8,21.7
BEM-421A-1988,421A,1988,2.35,24.9
BEM-421A-1990,421A,1990,12.95,20.6
BEM-421A-1992,421A,1992,-1.2,28.6
BEM-421A-1993,421A,1993,--,31.1
BEM-421A-1995,421A,1995,19.7,34.4
BEM-421B-2010,421B,2010,-2.5,19.9
BEM-421B-2015,421B,2015,--,11.0
BEM-522-1985,522,1985,-21.85,--
BEM-522-1986,522,1986,-17.17,--
BEM-522-1987,522,1987,-16.4,9.60
BEM-522-2010,522,2010,19.9,30.8
BEM-533D-1992,533D,1992,--,9.29
BEM-533D-2010,533D,2010,13.1,31.4
BEM-534B-1987,534B,1987,-8.05,11.8
BEM-534B-1988,534B,1988,-5.4,17.4
BEM-534B-1990,534B,1990,-0.5,14.0
BEM-534A-2015,534A,2015,--,21.8
