Unique_ID,Well_Number,Year_Sampled,NVDOC
BEM-421A-1986,421A,1986,36.2
BEM-421A-1987,421A,1987,33.8
BEM-421A-1988,421A,1988,26.0
BEM-421A-1990,421A,1990,59.5
BEM-421A-1992,421A,1992,19.4
BEM-421A-1995,421A,1995,34.5
BEM-421A-2010,421A,2010,52.3
BEM-421A-2015,421A,2015,61.6
BEM-522-1986,522,1986,32.7
BEM-522-1987,522,1987,28.1
BEM-522-1988,522,1988,32.0
BEM-522-2010,522,2010,56.4
BEM-533D-1992,533D,1992,20.4
BEM-533D-2010,533D,2010,53.4
BEM-534B-1987,534B,1987,22.8
BEM-534B-1988,534B,1988,28.0
BEM-534B-1990,534B,1990,26.8
BEM-534A-2010,534A,2010,37.7
BEM-534B-2015,534B,2015,34.2
