Unique_ID,Well_Name,Sample_Type,USGS_Site_ID,Dist_421,Well_Location_Group,Collection_Year,Collection_Date,Sample_Group,Constituent,QUAL,Value,Unit,Method
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,Inorganics,Alkalinity,,250,mg/L HCO3-,Inflection Point
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,Organics,Methane,,0.106,ppm,GC FID
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,FieldParam,DO,GT,1.00,ppm,KitHigh
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,FieldParam,pH,,7.11,none,Sonde
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,FieldParam,Spec Cond,,409,uS/cm,Sonde
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,Inorganics,Br,LT,0.10,mg/L,IC
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,Inorganics,NO3,,0.16,mg/L,IC
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,Inorganics,Cl,,0.66,mg/L,IC
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,Inorganics,SO4,,4.63,mg/L,IC
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,Inorganics,Al,,600,ug/L,ICP-MS
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,Inorganics,As,LT,1.00,ug/L,ICP-MS
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,Inorganics,B,LT,100,ug/L,ICP-OES
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,Inorganics,Ba,,47.6,ug/L,ICP-MS
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,Inorganics,Ca,,54.2,mg/L,ICP-OES
310E-2009-08-PUMPED,310E,PUMPED,USGS-473422095053404,-200.13,NOP Upgradient,2009,2009-08-20,Inorganics,Cd,LT,0.50,ug/L,ICP-MS
