Core_Sample,Distance_From_421,Elevation,Collection_Date,Extraction_Phase,Extract_Volume,Sediment_Mass,Analyte,Observed_Property,Qualifier_Code,Reported_Value,Units,Method
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Ag,Concentration of silver in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Al,Concentration of aluminum in the sediment extract representing elements bound to carbonates,,304,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,As,Concentration of arsenic in the sediment extract representing elements bound to carbonates,LT,50.0,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,B,Concentration of boron in the sediment extract representing elements bound to carbonates,LT,20.0,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Ba,Concentration of barium in the sediment extract representing elements bound to carbonates,i,141,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Be,Concentration of beryllium in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Ca,Concentration of calcium in the sediment extract representing elements bound to carbonates,,584,mg/L,ICP-OES
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Cd,Concentration of cadmium in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Ce,Concentration of cerium in the sediment extract representing elements bound to carbonates,i,72.7,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Co,Concentration of cobalt in the sediment extract representing elements bound to carbonates,,9.51,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Cr,Concentration of chromium in the sediment extract representing elements bound to carbonates,,7.51,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Cu,Concentration of copper in the sediment extract representing elements bound to carbonates,,70.9,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Fe,Concentration of iron in the sediment extract representing elements bound to carbonates,,10000,ug/L,ICP-OES
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,K,Concentration of potassium in the sediment extract representing elements bound to carbonates,,4.57,mg/L,ICP-OES
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,La,Concentration of lanthanum in the sediment extract representing elements bound to carbonates,i,45.2,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Li,Concentration of lithium in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Mg,Concentration of magnesium in the sediment extract representing elements bound to carbonates,,33.5,mg/L,ICP-OES
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Mn,Concentration of manganese in the sediment extract representing elements bound to carbonates,,1010,ug/L,ICP-OES
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Mo,Concentration of molybdenum in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Na,Concentration of sodium in the sediment extract representing elements bound to carbonates,ND,,,
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Ni,Concentration of nickel in the sediment extract representing elements bound to carbonates,,14.4,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Pb,Concentration of lead in the sediment extract representing elements bound to carbonates,,9.72,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Rb,Concentration of rubidium in the sediment extract representing elements bound to carbonates,LT,20.0,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Sb,Concentration of antimony in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Se,Concentration of selenium in the sediment extract representing elements bound to carbonates,LT,10.0,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Si,Concentration of silicon in the sediment extract representing elements bound to carbonates,LT,2.47,mg/L,ICP-OES
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Sr,Concentration of strontium in the sediment extract representing elements bound to carbonates,,400,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Tl,Concentration of thallium in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,U,Concentration of uranium in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Elements bound to carbonates,0.009,0.500,Zn,Concentration of zinc in the sediment extract representing elements bound to carbonates,,23.3,ug/L,ICP-MS
1418-102,93.31,422.98,2014-07-25,Surface exchangeable ions,0.009,0.500,Ag,Concentration of silver in the sediment extract representing surface exchangeable ions,ND,,,
1418-102,93.31,422.98,2014-07-25,Surface exchangeable ions,0.009,0.500,Al,Concentration of aluminum in the sediment extract representing surface exchangeable ions,LT,4820,ug/L,ICP-OES
1418-102,93.31,422.98,2014-07-25,Surface exchangeable ions,0.009,0.500,As,Concentration of arsenic in the sediment extract representing surface exchangeable ions,ND,,,
1418-102,93.31,422.98,2014-07-25,Surface exchangeable ions,0.009,0.500,B,Concentration of boron in the sediment extract representing surface exchangeable ions,LT,1930,ug/L,ICP-OES
1418-102,93.31,422.98,2014-07-25,Surface exchangeable ions,0.009,0.500,Ba,Concentration of barium in the sediment extract representing surface exchangeable ions,LT,1930,ug/L,ICP-OES
1418-102,93.31,422.98,2014-07-25,Surface exchangeable ions,0.009,0.500,Be,Concentration of beryllium in the sediment extract representing surface exchangeable ions,ND,,,
1418-102,93.31,422.98,2014-07-25,Surface exchangeable ions,0.009,0.500,Ca,Concentration of calcium in the sediment extract representing surface exchangeable ions,,40.1,mg/L,ICP-OES
1418-102,93.31,422.98,2014-07-25,Surface exchangeable ions,0.009,0.500,Cd,Concentration of cadmium in the sediment extract representing surface exchangeable ions,ND,,,
1418-102,93.31,422.98,2014-07-25,Surface exchangeable ions,0.009,0.500,Ce,Concentration of cerium in the sediment extract representing surface exchangeable ions,ND,,,
1418-102,93.31,422.98,2014-07-25,Surface exchangeable ions,0.009,0.500,Co,Concentration of cobalt in the sediment extract representing surface exchangeable ions,ND,,,
