File_Name,Table_Column,Column_Heading,Column_Description,Extended_Description,Unit_Abbreviation,Unit_Definition,Range_Min,Range_Max,Measurement_Method,Definitions_for_No_Data_Values
T2_BemidjiGroundwaterChemistry,A,Well_ID,number identifying the well from which a sample was taken,Detailed information including sampling site information and well construction can be found in Trost et al. (2018),--,--,--,--,--,--
T2_BemidjiGroundwaterChemistry,B,Dist_Well_421,distance in meters from well 421,"position of the site relative to the center of the north oil body on a transect line parallel to the direction of groundwater flow. Negative values are upgradient of the north oil body, and positive values are downgradient of the oil body",m,meters,-200.54,420.27,--,--
T2_BemidjiGroundwaterChemistry,C,Screen_Elevation,"elevation of the center of the screened interval in meters above sea level, North American Vertical Datum of 1988",Detailed information including sampling site information and well construction can be found in Trost et al. (2018),m AMSL,meters above median sea level,188.3,424.7,--,--
T2_BemidjiGroundwaterChemistry,D,Collection_Date(YYYYMMDD),"sample collection date in the form of year, month, day",--,YYYYMMDD,"year, month, day",20090817,20190626,--,--
T2_BemidjiGroundwaterChemistry,E,pH,pH measured in the field,sonde was calibrated daily and the correction factor for temperature was applied according to NIST traceable calibration checks,unitless,--,5.51,7.58,YSI model 6820,"""--"" represents no data"
T2_BemidjiGroundwaterChemistry,F,HCO3,bicarbonate concentration in water sample,--,mg/L,milligrams per liter,233,817,inflection point titration,"""--"" represents no data"
T2_BemidjiGroundwaterChemistry,G,Fe,total iron concentration in water sample,--,mg/L,milligrams per liter,0.002,167,see Fe_Inst,"""--"" represents no data"
T2_BemidjiGroundwaterChemistry,H,Fe_QA_Flag,iron quality assurance reporting flag. See extended description for flag definitions,"<MDL: measured value is less than the method detection limit; the MDL is reported as the concentration; <RL: the measured value is less than the reporting limit; the reporting limit is reported as the concentration. Method detection limits and reporting limits vary by sampling year, dilution factor, and analytical instrument",--,--,--,--,--,"""--"" represents no reporting flag"
T2_BemidjiGroundwaterChemistry,I,Fe_Inst,instrument used for iron analysis,ICP-OES: inductively coupled plasma-optical emission spectrometer; ICP-MS: inductively coupled plasma-mass spectrometer,--,--,--,--,--,"""--"" represents no data"
T2_BemidjiGroundwaterChemistry,J,Sr,strontium concentration in water sample,--,µg/L,micrograms per liter,49.8,281,see Sr_Inst,--
T2_BemidjiGroundwaterChemistry,K,Sr_QA_Flag,strontium quality assurance reporting flag. See extended description for flag definitions,"<MDL: measured value is less than the method detection limit; the MDL is reported as the concentration; >RL: measured value is above the reporting limit; the RL is reported as the concentration. Method detection limits and reporting limits vary by sampling year, dilution factor, and analytical instrument",--,--,--,--,--,"""--"" represents no reporting flag"
T2_BemidjiGroundwaterChemistry,L,Sr_Inst,instrument used for strontium analysis,ICP-OES: inductively coupled plasma-optical emission spectrometer; ICP-MS: inductively coupled plasma-mass spectrometer,--,--,--,--,--,--
T2_BemidjiGroundwaterChemistry,M,Ba,barium concentration in water sample,--,µg/L,micrograms per liter,30,1190,see Ba_Inst,--
T2_BemidjiGroundwaterChemistry,N,Ba_Inst,instrument used for barium analysis,ICP-OES: inductively coupled plasma-optical emission spectrometer; ICP-MS: inductively coupled plasma-mass spectrometer,--,--,--,--,--,--
T2_BemidjiGroundwaterChemistry,O,Co,cobalt concentration in water sample,--,µg/L,micrograms per liter,0.0762,28.7,ICP-MS: inductively coupled plasma-mass spectrometer,"""--"" represents no data"
T2_BemidjiGroundwaterChemistry,P,Co_QA_Flag,cobalt quality assurance reporting flag. See extended description for flag definitions.,<RL: measured value is less than the reporting limit; the reporting limit is reported as the concentration. Reporting limits vary by sampling year and dilution factor.,--,--,--,--,--,"""--"" represents no reporting flag"
T2_BemidjiGroundwaterChemistry,Q,Ni,nickel concentration in water sample,--,µg/L,micrograms per liter,0.116,93.8,ICP-MS: inductively coupled plasma-mass spectrometer,"""--"" represents no data"
T2_BemidjiGroundwaterChemistry,R,Ni_QA_Flag,nickel quality assurance reporting flag. See extended description for flag definitions,<RL: measured value is less than the reporting limit; the reporting limit is reported as the concentration. Reporting limits vary by sampling year and dilution factor,--,--,--,--,--,"""--"" represents no reporting flag"
T3_BemidjiSedimentChemistry,A,Sample_ID,unique sediment extract sample ID,--,--,--,--,--,--,--
T3_BemidjiSedimentChemistry,B,Dist_Well_421,distance in meters from well 421,"position of the site relative to the center of the north oil body on a transect line parallel to the direction of groundwater flow. Negative values are upgradient of the north oil body, and positive values are downgradient of the oil body.",m,meters,-200.54,126.85,--,--
T3_BemidjiSedimentChemistry,C,Screen_Elevation,"elevation of the center of the screened interval in meters above sea level, North American Vertical Datum of 1988",Detailed information including sampling site information and well construction can be found in Trost et al. (2018).,m AMSL,meters above median sea level,420.5,424.2,--,--
T3_BemidjiSedimentChemistry,D,Collection_Date(YYYYMMDD),"sample collection date in the form of year, month, day",--,YYYYMMDD,"year, month, day",20140725,20190626,--,--
T3_BemidjiSedimentChemistry,E,Sr,strontium in sediment extract sample,--,mg/kg,milligram per kilogram,427,1644,ICP-MS: inductively coupled plasma-mass spectrometer,--
T3_BemidjiSedimentChemistry,F,Ba,barium in sediment extract sample,--,mg/kg,milligram per kilogram,270,2287,ICP-MS: inductively coupled plasma-mass spectrometer,--
T3_BemidjiSedimentChemistry,G,Co,cobalt in sediment extract sample,--,mg/kg,milligram per kilogram,52.1,218,ICP-MS: inductively coupled plasma-mass spectrometer,--
T3_BemidjiSedimentChemistry,H,Ni,nickel in sediment extract sample,--,mg/kg,milligram per kilogram,112,469,ICP-MS: inductively coupled plasma-mass spectrometer,--
