Well_ID,Dist_Well_421,Screen_Elevation,Collection_Date(YYYYMMDD),pH,HCO3,Fe,Fe_QA_Flag,Fe_Inst,Sr,Sr_QA_Flag,Sr_Inst,Ba,Ba_Inst,Co,Co_QA_Flag,Ni,Ni_QA_Flag
310B,-200.54,406.8,20130723,7.15,--,0.100,--,OES,198,--,MS,139,MS,0.5,<RL,3.41,--
310B,-200.54,406.8,20140721,6.69,517,2.67,--,OES,157,--,MS,126,MS,0.5,<RL,1.90,--
310B,-200.54,406.8,20150813,7.26,436,2.67,--,OES,173,--,MS,137,MS,0.5,<RL,2.59,--
310B,-200.54,406.8,20160802,6.94,555,2.44,--,OES,175,--,MS,136,MS,0.343,--,1.11,--
310E,-200.48,423.1,20140721,6.93,279,0.1,<RL,OES,53.9,--,MS,44.9,MS,0.5,<RL,1.79,--
310E,-200.48,423.1,20150813,7.49,233,0.1,<RL,MS,62.5,--,MS,43.9,MS,0.5,<RL,2.54,--
310E,-200.48,423.1,20160802,6.64,343,0.02,<MDL,OES,51.2,--,MS,40.2,MS,0.0762,--,0.116,--
310E,-200.48,423.1,20170619,7.55,292,0.02,<MDL,OES,50,<MDL,OES,30.0,OES,--,--,--,--
310E,-200.48,423.1,20180625,7.48,279,0.002,<RL,MS,50.5,--,MS,41.3,MS,0.1,<RL,0.333,--
310E,-200.48,423.1,20190624,7.58,265,0.005,<RL,MS,49.8,--,MS,38.6,MS,0.0934,--,0.238,--
603A,-117.50,424.3,20150814,5.51,283,0.1,<RL,MS,75.2,--,MS,62.1,MS,0.5,<RL,2.48,--
604A,-34.968,424.7,20100720,6.40,689,35.6,--,OES,240,--,MS,534,MS,12.1,--,36.1,--
604A,-34.968,424.7,20150818,--,--,17.6,--,OES,245,--,MS,701,MS,8.36,--,47.9,--
411,-7.079,424.1,20100723,6.20,675,49.8,--,OES,207,--,MS,271,MS,5.01,--,13.8,--
315,-6.75,424.4,20100720,6.40,650,50.8,--,OES,200,--,MS,223,MS,5.67,--,38.3,--
421B,0.863,424.3,20100720,6.40,597,24.9,--,OES,185,--,MS,231,MS,7.98,--,27.6,--
319,5.488,423.4,20100720,6.40,556,167,--,OES,281,--,MS,189,MS,28.7,--,93.8,--
306,5.519,423.5,20100720,6.40,618,94.0,--,OES,204,--,MS,285,MS,19.3,--,60.3,--
301A,6.940,424.0,20100720,6.40,598,88.2,--,OES,200,--,MS,263,MS,14.1,--,28.6,--
423,20.38,422.5,20100721,6.60,711,38.3,--,OES,210,--,MS,241,MS,24.1,--,41.4,--
521,22.38,423.8,20100723,6.20,537,24.8,--,OES,170,--,MS,490,MS,9.52,--,20.2,--
534A,24.50,423.9,20100721,6.45,628,40.0,--,OES,218,--,MS,396,MS,11.0,--,21.8,--
534A,24.50,423.9,20150817,--,576,27.9,--,OES,231,--,MS,381,MS,10.9,--,25.8,--
522,26.02,424.3,20100721,6.40,817,33.0,--,OES,277,--,MS,618,MS,21.6,--,71.2,--
420B ,33.29,420.0,20150815,7.24,282,0.1,<RL,MS,69.9,--,MS,60.3,MS,0.5,<RL,3.06,--
533C,34.58,420.7,20160803,6.65,384,0.03,--,OES,62.6,--,MS,156,MS,0.815,--,1.90,--
533B,35.50,422.2,20150815,6.57,379,23.8,--,OES,158,--,MS,367,MS,4.69,--,6.78,--
533D,37.52,423.9,20100721,6.40,768,31.0,--,OES,253,--,MS,1190,MS,17.5,--,47.0,--
533E,38.50,422.9,20130723,6.47,--,30.8,--,OES,165,--,MS,451,MS,7.15,--,21.8,--
533E,38.50,422.9,20150815,6.49,551,25.1,--,OES,199,--,MS,631,MS,9.48,--,23.4,--
533E,38.50,422.9,20160806,6.35,601,17.7,--,OES,164,--,MS,587,MS,9.23,--,22.0,--
533E,38.50,422.9,20180626,6.24,522,22.2,--,OES,159,--,MS,444,MS,5.50,--,13.8,--
533E,38.50,422.9,20190626,6.41,346,30.3,--,OES,200,>RL,MS,527,OES,7.17,--,16.7,--
532C,45.07,420.9,20150815,6.98,292,1.57,--,OES,195,--,MS,171,MS,9.60,--,15.0,--
532B,45.69,422.3,20130722,6.59,--,21.5,--,OES,167,--,MS,394,MS,2.35,--,12.9,--
532B,45.69,422.3,20150815,6.69,437,20.4,--,OES,163,--,MS,398,MS,4.46,--,11.2,--
532B,45.69,422.3,20160806,6.57,489,18.8,--,OES,142,--,MS,367,MS,2.55,--,5.99,--
532B,45.69,422.3,20190626,6.56,599,22.6,--,OES,192,--,MS,346,OES,1.85,--,4.73,--
532A,46.35,423.7,20120619,6.63,562,33.5,--,OES,191,--,MS,623,MS,14.4,--,29.0,--
532E,50.50,422.2,20150815,6.77,372,19.3,--,OES,150,--,MS,434,MS,2.79,--,5.01,--
532E,50.50,422.2,20190626,6.89,408,11.3,--,OES,122,--,MS,205,OES,0.478,--,0.726,--
518B,55.93,422.9,20130723,6.57,--,28.4,--,OES,193,--,MS,466,MS,12.7,--,22.8,--
518B,55.93,422.9,20160806,6.41,559,18.5,--,OES,147,--,MS,513,MS,13.2,--,17.9,--
518A,57.09,424.0,20130722,6.48,--,30.5,--,OES,161,--,MS,314,MS,14.1,--,27.6,--
518A,57.09,424.0,20160806,6.44,696,27.4,--,OES,172,--,MS,493,MS,19.8,--,29.5,--
518A,57.09,424.0,20190626,6.51,585,30.7,--,OES,200,>RL,MS,330,OES,14.6,--,25.5,--
531C,66.70,422.0,20130720,6.97,--,22.8,--,OES,108,--,MS,192,MS,2.81,--,3.88,--
531C,66.70,422.0,20160805,6.78,357,14.3,--,OES,94.5,--,MS,247,MS,1.66,--,2.08,--
531C,66.70,422.0,20190624,7.02,393,14.3,--,OES,119,--,MS,194,OES,0.920,--,1.83,--
531A,67.57,423.4,20120619,6.78,493,35.6,--,OES,153,--,MS,354,MS,9.09,--,13.3,--
531A,67.57,423.4,20130722,6.64,--,26.0,--,OES,139,--,MS,306,MS,5.61,--,21.3,--
531A,67.57,423.4,20160806,6.88,534,20.2,--,OES,147,--,MS,456,MS,6.09,--,7.09,--
531A,67.57,423.4,20180626,6.43,510,21.6,--,OES,171,--,MS,428,MS,3.99,--,4.36,--
513,78.15,423.7,20120618,7.07,587,34.8,--,OES,175,--,MS,296,MS,8.37,--,9.97,--
513,78.15,423.7,20130719,6.57,--,34.7,--,OES,181,--,MS,275,MS,10.1,--,--,--
513,78.15,423.7,20150815,7.25,565,24.2,--,OES,160,--,MS,425,MS,2.70,--,5.00,--
530C,90.52,420.6,20140722,7.12,473,5.54,--,OES,122,--,MS,131,MS,1.10,--,1.81,--
530C,90.52,420.6,20150814,7.06,307,7.50,--,OES,96.1,--,MS,89.0,MS,0.757,--,1.99,--
530C,90.52,420.6,20160804,6.75,412,5.92,--,OES,84.2,--,MS,98.9,MS,0.752,--,0.555,--
530C,90.52,420.6,20190624,7.08,346,3.09,--,OES,84.6,--,MS,93.5,MS,0.661,--,0.466,--
530B,91.27,422.1,20130720,6.89,--,24.3,--,OES,169,--,MS,106,MS,2.51,--,16.9,--
530B,91.27,422.1,20140722,6.95,531,31.2,--,OES,169,--,MS,130,MS,3.73,--,3.84,--
530B,91.27,422.1,20160806,6.97,567,16.6,--,OES,105,--,MS,188,MS,3.21,--,3.13,--
530B,91.27,422.1,20190625,6.38,393,18.5,--,OES,134,--,MS,109,MS,2.15,--,1.22,--
530A,91.87,422.3,20130718,5.95,--,24.2,--,OES,188,--,MS,118,MS,2.84,--,8.48,--
530A,91.87,422.3,20140722,7.01,443,22.7,--,OES,148,--,MS,131,MS,2.94,--,6.83,--
530D,93.44,422.9,20130722,6.81,--,26.3,--,OES,202,--,MS,114,MS,3.51,--,8.14,--
530D,93.44,422.9,20140722,7.00,498,28.7,--,OES,170,--,MS,112,MS,3.94,--,6.17,--
530D,93.44,422.9,20150814,6.79,440,23.6,--,OES,159,--,MS,116,MS,3.61,--,7.91,--
530D,93.44,422.9,20160805,7.27,546,21.0,--,OES,143,--,MS,119,MS,3.57,--,3.44,--
530D,93.44,422.9,20190625,6.80,429,19.5,--,OES,136,--,MS,98.6,MS,2.64,--,2.08,--
9315A,101.30,423.3,20090817,6.80,542,8.37,--,OES,200,--,MS,93.0,MS,1.83,--,1.34,--
9315A,101.30,423.3,20120618,7.01,376,16.2,--,OES,199,--,MS,141,MS,1.66,--,1.34,--
9315A,101.30,423.3,20130720,6.93,--,24.8,--,OES,228,--,MS,102,MS,1.94,--,6.38,--
9315A,101.30,423.3,20140723,6.95,539,26.6,--,OES,229,--,MS,118,MS,2.29,--,2.83,--
9315A,101.30,423.3,20150814,6.86,434,24.6,--,OES,177,--,MS,105,MS,2.10,--,3.60,--
9315B,101.60,422.2,20090817,6.65,526,12.1,--,OES,210,--,MS,135,MS,2.18,--,2.67,--
9315B,101.60,422.2,20120612,7.13,520,28.4,--,OES,247,--,MS,245,MS,2.39,--,1.85,--
9315B,101.60,422.2,20130720,6.96,--,29.6,--,OES,233,--,MS,136,MS,2.30,--,2.30,--
9315B,101.60,422.2,20140724,7.09,475,28.3,--,OES,165,--,MS,131,MS,2.00,--,2.84,--
9315B,101.60,422.2,20150814,7.02,447,24.4,--,OES,189,--,MS,138,MS,2.31,--,3.55,--
9315B,101.60,422.2,20160805,7.37,519,28.1,--,OES,171,--,MS,135,MS,2.10,--,1.77,--
9315B,101.60,422.2,20170620,7.04,482,21.0,--,OES,100,--,MS,100,OES,--,--,--,--
9315B,101.60,422.2,20180626,6.85,452,28.2,--,OES,146,--,MS,115,MS,1.59,--,1.97,--
9315B,101.60,422.2,20190625,6.90,370,27.4,--,OES,146,--,MS,113,MS,1.30,--,1.23,--
9315D,101.90,420.2,20140724,7.04,410,28.1,--,OES,122,--,MS,263,MS,2.33,--,2.99,--
9315D,101.90,420.2,20150814,6.88,385,23.9,--,OES,143,--,MS,247,MS,1.29,--,4.40,--
9315D,101.90,420.2,20160805,7.35,486,19.3,--,OES,116,--,MS,243,MS,0.746,--,0.872,--
9315C,102.20,420.5,20140724,7.07,419,33.1,--,OES,122,--,MS,185,MS,3.17,--,2.21,--
9315C,102.20,420.5,20150815,6.89,469,27.9,--,OES,126,--,MS,202,MS,3.12,--,2.39,--
9315C,102.20,420.5,20160805,7.27,596,20.7,--,OES,131,--,MS,192,MS,1.98,--,0.642,--
9315C,102.20,420.5,20170620,7.02,517,19.5,--,OES,80.0,--,MS,170,OES,--,--,--,--
510,104.80,423.8,20090819,6.80,554,14.0,--,OES,170,--,MS,190,MS,2.54,--,5.23,--
510,104.80,423.8,20120618,7.12,539,29.2,--,OES,211,--,MS,250,MS,3.39,--,3.24,--
510,104.80,423.8,20130720,6.92,--,21.0,--,OES,187,--,MS,212,MS,2.73,--,6.39,--
510,104.80,423.8,20160805,7.22,511,16.4,--,OES,142,--,MS,209,MS,2.51,--,2.63,--
311,106.50,423.8,20140722,6.99,460,11.9,--,OES,182,--,MS,201,MS,2.73,--,4.47,--
1101A,114.70,422.6,20110620,7.08,541,21.3,--,OES,189,--,MS,180,OES,2.08,--,4.99,--
1101A,114.70,422.6,20130719,6.75,--,23.3,--,OES,173,--,MS,148,MS,1.69,--,2.08,--
1101A,114.70,422.6,20140723,6.97,502,23.3,--,OES,153,--,MS,154,MS,1.97,--,2.49,--
1101A,114.70,422.6,20170620,7.06,419,18.3,--,OES,100,--,MS,100,OES,--,--,--,--
1101A,114.70,422.6,20180625,6.67,406,23.5,--,OES,127,--,MS,131,MS,1.55,--,1.33,--
1101A,114.70,422.6,20190625,6.81,414,23.2,--,OES,134,--,MS,140,MS,1.34,--,0.722,--
1101B,115.50,420.5,20130718,7.05,--,0.325,--,OES,85.7,--,MS,109,MS,0.5,<RL,1.42,--
1101B,115.50,420.5,20140723,7.18,384,0.1,<RL,OES,88.3,--,MS,125,MS,0.5,<RL,1.26,--
1101B,115.50,420.5,20170620,7.02,428,0.155,--,OES,51.2,--,OES,100,OES,--,--,--,--
1101C,116.40,418.7,20140723,7.28,323,0.1,<RL,OES,60.0,--,MS,52.2,MS,0.5,<RL,1.16,--
1101D,117.20,416.6,20110620,7.42,299,0.095,--,OES,86.5,--,MS,60.0,OES,0.250,--,3.68,--
1101D,117.20,416.6,20130718,7.06,--,0.200,--,OES,79.3,--,MS,58.0,MS,0.5,<RL,1.41,--
1101D,117.20,416.6,20140723,7.25,306,0.1,<RL,OES,66.5,--,MS,54.1,MS,0.5,<RL,1.04,--
801D,123.30,421.1,20090820,6.93,377,0.770,--,MS,97.9,--,MS,152,MS,1.19,--,1.27,--
801D,123.30,421.1,20160804,7.02,436,2.61,--,OES,87.4,--,MS,149,MS,0.946,--,0.713,--
801B,124.30,418.9,20160804,6.98,336,0.02,<MDL,OES,63.7,--,MS,53.5,MS,0.0965,--,0.230,--
801A,125.50,423.1,20090819,6.99,398,0.01,<MDL,MS,110,--,MS,93.1,MS,0.868,--,5.86,--
801A,125.50,423.1,20120620,7.00,467,--,--,--,146,--,MS,134,MS,2.66,--,10.5,--
801A,125.50,423.1,20130720,6.88,--,0.1,<RL,OES,154,--,MS,119,MS,2.29,--,11.4,--
801A,125.50,423.1,20160804,6.93,495,0.107,--,OES,127,--,MS,150,MS,3.72,--,4.03,--
801A,125.50,423.1,20180626,6.47,402,0.476,--,MS,121,--,MS,142,MS,2.31,--,3.88,--
