Sample_ID,Dist_Well_421,Screen_Elevation,Collection_Date(YYYYMMDD),Sr,Ba,Co,Ni
1909-108,-200.54,423.1,20190625,886,710,96.8,201
1909-110,-200.54,423.1,20190625,923,403,105,250
1909-140,-200.54,422.8,20190625,1023,782,172,461
1909-156,-200.54,422.6,20190625,862,569,94.5,230
1909-159,-200.54,422.6,20190625,755,575,95.7,225
1909-166,-200.54,422.4,20190625,626,448,65.4,148
1909-175,-200.54,422.4,20190625,600,398,70.0,178
1909-69,-200.54,423.5,20190625,1012,538,133,336
1909-3,-200.54,424.2,20190625,681,761,111,229
1909-15,-200.54,424.0,20190625,631,870,105,208
1909-30,-200.54,423.8,20190625,1080,1930,218,469
1909-42,-200.54,423.8,20190625,983,1621,166,381
1909-46,-200.54,423.7,20190625,808,816,129,256
1909-50,-200.54,423.7,20190625,1139,1009,176,340
1909-64,-200.54,423.5,20190625,1531,719,191,345
1909-170,-200.54,422.4,20190625,626,448,65.3,148
1422-62,-194.71,423.8,20140729,1292,668,104,284
1422-71,-194.71,423.7,20140729,981,451,96.1,227
1522-100,23.62,421.7,20150817,719,348,56.9,152
1522-110,23.62,421.6,20150817,593,427,74.2,181
1522-124,23.62,421.5,20150817,562,357,54.8,124
1522-145,23.62,421.3,20150817,712,407,75.7,199
1522-66,23.62,422.0,20150817,683,622,63.7,140
1521-105,48.40,422.4,20150817,590,502,60.8,129
1521-142,48.40,422.0,20150817,747,352,80.6,198
1521-163,48.40,421.8,20150817,567,376,66.0,158
1521-168,48.40,421.8,20150817,583,363,73.8,174
1521-24,48.40,423.2,20150817,838,630,68.2,167
1521-9,48.40,423.4,20150817,690,539,59.0,148
1609-160,63.20,422.0,20160806,601,419,61.9,119
1609-167,63.20,421.9,20160806,584,339,70.7,190
1609-48,63.20,423.1,20160806,979,617,67.2,137
1609-68,63.20,422.9,20160806,673,500,52.1,112
1609-103,63.20,422.6,20160806,800,509,68.4,139
1609-124,63.20,422.3,20160806,673,535,55.6,117
1609-146,63.20,422.1,20160806,797,553,64.6,161
1609-9,63.20,423.5,20160806,676,522,84.6,231
1609-85,63.20,422.7,20160806,847,764,86.5,207
1523-24,77.32,423.1,20150818,891,903,104,232
1523-35,77.32,423.0,20150818,982,1090,144,323
1523-152,77.32,421.8,20150818,840,944,119,307
1523-49,77.32,422.9,20150818,1247,1464,140,322
1523-67,77.32,422.7,20150818,1052,1185,84.5,214
1418-116,93.31,422.8,20140725,581,327,78.0,173
1418-32,93.31,423.7,20140725,427,332,58.9,113
1418-148,93.31,422.5,20140725,639,708,126,263
1418-58,93.31,423.4,20140725,637,270,58.5,148
1418-90,93.31,423.1,20140725,708,367,75.3,196
1419-105,100.24,422.9,20140726,467,271,52.5,128
1419-113,100.24,423.0,20140726,530,287,59.9,136
1419-124,100.24,422.8,20140726,598,362,68.5,136
1419-148,100.24,422.6,20140726,542,467,92.9,191
1419-156,100.24,422.5,20140726,608,480,85.2,191
1419-20,100.24,423.9,20140726,745,766,92.7,204
1419-40,100.24,423.7,20140726,897,518,85.4,229
1419-5,100.24,424.0,20140726,468,590,73.9,181
1419-51,100.24,423.6,20140726,630,445,59.4,142
1419-71,100.24,423.4,20140726,575,448,58.9,140
1420-112,112.32,422.9,20140728,502,458,107,184
1420-118,112.32,422.9,20140728,480,483,98.3,179
1420-30,112.32,423.7,20140728,1644,2287,74.0,158
1911-163,114.68,420.6,20190626,678,610,101,232
1911-178,114.68,420.5,20190626,1179,695,127,404
1911-46,114.68,421.8,20190626,1501,500,110,234
1911-53,114.68,421.7,20190626,924,484,84.3,171
1606-119,125.69,422.0,20160805,997,718,117,243
1606-137,125.69,421.9,20160805,781,521,65.9,143
1606-85,125.69,422.4,20160805,1170,1060,118,236
1607-107,126.85,422.2,20160805,731,367,59.5,138
1607-153,126.85,421.7,20160805,804,1050,117,321
1607-49,126.85,422.8,20160805,891,467,61.1,133
1607-69,126.85,422.6,20160805,741,401,54.9,132
1607-86,126.85,422.4,20160805,767,396,58.2,133
