Well_Name,USGS_Site_ID,USGS_SiteName,Dist_421,Well_Location_Group,Dec_Lat_NAD83,Dec_Long_NAD83,Well_Depth
310B,USGS-473422095053402,310B 147N35W02CDCB 01,-200.45,NOP Upgradient,47.57290000,-95.09280830,90.02
310E,USGS-473422095053404,310E 147N35W02CDCB 01,-200.13,NOP Upgradient,47.57285556,-95.09277220,37.62
310A,USGS-473422095053401,310A 147N35W02CDCB 01,-199.74,NOP Upgradient,47.57290000,-95.09279720,34.28
603A,USGS-473424095053102,603A 147N35W02CDCA 01,-118.16,NOP Upgradient,47.57322500,-95.09182500,27.53
604A,USGS-473426095052614,604A 147N35W02CDAC 14,-34.89,NOP Near Oil Spill,47.57360830,-95.09086940,23.37
411,USGS-473425095052605,411 147N35W02CDAC 01,-5.58,NOP Near Oil Spill,47.57373610,-95.09052780,25.02
315,USGS-473426095052530,315       147N35W02CDAC,-4.02,NOP Near Oil Spill,47.57366389,-95.09045560,23.73
319,USGS-473425095052504,319       147N35W02CDAC,-3.09,NOP Near Oil Spill,47.57369720,-95.09037500,27.30
306,USGS-473426095052608,306 147N35W02CDAC 01,-2.38,NOP Near Oil Spill,47.57375556,-95.09049440,27.71
301A,USGS-473426095052526,301A 147N35W02CDAC 26,-2.06,NOP Near Oil Spill,47.57376940,-95.09050000,26.86
421B,USGS-473425095052611,421B 147N35W02CDAC 01,-0.84,NOP Near Oil Spill,47.57371940,-95.09044720,24.68
423,USGS-473426095052402,423 147N35W02CDAC 02,19.51,NOP Downgradient,47.57375000,-95.09016940,31.50
521,USGS-473426095052501,521       147N35W02CDAC,22.38,NOP Downgradient,47.57388889,-95.09026670,30.52
534A,USGS-473426095052414,534A 147N35W02CDAC 01,23.84,NOP Downgradient,47.57376940,-95.09011940,32.74
534B,USGS-473426095052415,534B 147N35W02CDAC 01 0000273834,24.44,NOP Downgradient,47.57377500,-95.09011390,33.14
522,USGS-473426095052409,522 147N35W02CDAC 01,25.71,NOP Downgradient,47.57378889,-95.09010560,32.39
420B,USGS-473426095052405,420B 147N35W02CDAC 01,33.29,NOP Downgradient,47.57375556,-95.08999720,44.45
533C,USGS-473426095052303,"533C near Bemidji, MN.",34.30,NOP Downgradient,47.57381940,-95.09000000,42.09
533B,USGS-473426095052302,"533B near Bemidji, MN.",34.87,NOP Downgradient,47.57382220,-95.08999170,37.05
533D,USGS-473426095052321,533D 147N35W02CDAC 21,37.23,NOP Downgradient,47.57383056,-95.08996390,31.02
533E,USGS-473426095052305,533E Bemidji Toxics Research Site,38.50,NOP Downgradient,47.57383610,-95.08994720,33.43
532C,USGS-473426095052410,532C 147N35W02CDAC 01 0000273832,44.79,NOP Downgradient,47.57385556,-95.08986940,41.17
532B,USGS-473426095052202,"532B near Bemidji, MN.",45.42,NOP Downgradient,47.57385830,-95.08986390,36.53
532A,USGS-473426095052201,"532A near Bemidji, MN.",46.10,NOP Downgradient,47.57386110,-95.08985560,33.96
532D,USGS-473426095052313,532D 147N35W02CDAC 01,48.00,NOP Downgradient,47.57386940,-95.08983330,51.98
532E,USGS-473426095052314,532E 147N35W02CDAC 01,49.62,NOP Downgradient,47.57387500,-95.08981390,36.77
518B,USGS-473426095052310,518B 147N35W02CDAC 01,55.71,NOP Downgradient,47.57389720,-95.08973890,35.70
518A,USGS-473427095052301,"518A near Bemidji, MN.",56.88,NOP Downgradient,47.57390278,-95.08972500,33.77
531B,USGS-473427095052202,"531B near Bemidji, MN.",66.46,NOP Downgradient,47.57394720,-95.08961670,33.56
531C,USGS-473427095052203,"531C near Bemidji, MN.",66.63,NOP Downgradient,47.57395556,-95.08961940,36.70
531A,USGS-473427095052201,"531A near Bemidji, MN.",67.46,NOP Downgradient,47.57395278,-95.08960560,35.27
531D,USGS-473427095052204,"531D near Bemidji, MN.",67.52,NOP Downgradient,47.57395830,-95.08960830,39.60
513,USGS-473427095052101,"513 near Bemidji, MN.",78.10,NOP Downgradient,47.57400278,-95.08948330,34.88
530C,USGS-473427095052103,"530C near Bemidji, MN.",90.50,NOP Downgradient,47.57406110,-95.08934170,44.06
530B,USGS-473427095052102,"530B near Bemidji, MN.",91.26,NOP Downgradient,47.57406389,-95.08933330,38.91
530A,USGS-473427095052207,530A 147N35W02CDAD 01,91.87,NOP Downgradient,47.57406940,-95.08932780,35.84
530D,USGS-473427095052104,"530D near Bemidji, MN.",93.43,NOP Downgradient,47.57407500,-95.08930830,37.22
9315A,USGS-473427095052001,"9315A near Bemidji, MN.",101.17,NOP Downgradient,47.57407778,-95.08919720,32.21
9315B,USGS-473427095052002,"9315B near Bemidji, MN.",101.49,NOP Downgradient,47.57407220,-95.08918890,35.87
9315D,USGS-473427095052004,"9315D near Bemidji, MN.",101.73,NOP Downgradient,47.57406389,-95.08918060,42.45
9315C,USGS-473427095052003,"9315C near Bemidji, MN.",101.96,NOP Downgradient,47.57405830,-95.08917220,39.09
510,USGS-473427095052107,510 147N35W02CDAD 01,104.77,NOP Downgradient,47.57413889,-95.08918610,35.70
1001B,USGS-473426095052103,1001B     147N35W02CDAD,106.15,,47.57417778,-95.08919160,12.78
956,USGS-473423095052901,956 147N35W02CDCA 01 0000273869,106.30,NOP Downgradient,47.57308056,-95.09148330,24.50
