Well,Collection Date,Distance (m),Screen Elevation (m),Nonvolatile dissolved organic carbon (mg/L C) ,Diesel Range Organics (mg/L)
310B,8_2_2016,-200.54,419.48,1.66,<0.11
310E,8_2_2016,-200.48,418.01,1.27,<0.1
533C,8_3_2016,34.58,422.86,2.51,<0.1
533E,8_6_2016,38.77,420.73,25.89,6.6
533E dup,8_6_2016,38.77,420.73,NA,6.7
532B,8_6_2016,45.69,422.57,12.86,2.7
518B,8_6_2016,55.93,422.57,31.09,5.3
518A,8_6_2016,57.09,418.86,22.23,8.7
531C,8_5_2016,66.70,422.08,4.1,0.41
531A,8_6_2016,67.57,418.3,16.28,3.5
531A dup,8_6_2016,67.57,423.6,16.21,NA
530B,8_6_2016,91.27,420.95,9.86,1.6
530C,8_4_2016,90.52,421.4,5.06,3.8
530D,8_5_2016,93.44,416.59,16.08,3.7
9315B,8_5_2016,101.64,419.19,15.2,2.8
9315C,8_5_2016,102.21,419.98,11.63,2.6
9315D,8_5_2016,101.93,406.84,10.68,2.1
510,8_5_2016,104.77,423.06,9.15,1.5
510 dup,8_5_2016,104.77,423.06,9.12,NA
956,8_4_2016,106.33,422.08,14.7,0.92
801A,8_4_2016,125.46,422.69,5.26,0.75
801A dup,8_4_2016,125.46,422.08,5.68,NA
801D,8_4_2016,123.28,422.08,4.77,0.62
515B,8_3_2016,135.72,422.57,3.63,0.2
9316A,8_3_2016,152.65,416.59,3.11,0.13
9316A dup,8_3_2016,152.65,419.65,3.25,NA
9316C,8_3_2016,151.12,420.95,5.26,0.53
9316D,8_3_2016,152.61,421.06,2.96,0.19
954A,8_2_2016,188.28,420.73,2.79,0.17
820A,8_3_2016,214.94,421.01,2.47,<0.11
820B,8_3_2016,210.83,420.51,1.74,<0.1
925D,8_2_2016,254.44,421.01,2.26,0.14
1217E,8_2_2016,326.57,418.70,4.72,0.23
1217C,8_2_2016,328.37,417.81,3.45,0.23
,,,,,
NA= not analyzed,,,,,
