dataset_id,dataset_name,dataset_description,Publication,version_when_added
ds_01,tblds_01_OilData,Oil samples collected from wells at Bemidji and Cass Lake between 1984 and 2009.,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",version 1.0
ds_02,tblds_02_InorgWaterData,Dissolved inorganic groundwater samples collected at Bemidji between 1986 and 1996.,"Baedecker, M.J., Cozzarelli, I.M., Eaganhouse, R.P., Siegel, D.I., and Bennett, P.C., 1993, Crude oil in a shallow sand and gravel aquifer--III. Biogeochemical reactions and mass balance modeling in anoxic groundwater: Applied Geochemistry, v. 8, pp. 569-586; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",version 1.0
ds_03,tblds_03_OrgWaterData,Organic groundwater samples collected at Bemidji between 1986 and 1996.,"Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",version 1.0
ds_04,tblds_04_GrainSizeDist_1980s,Sediment grain size distribition at Bemidji via sieve and hydrometer methods in the 1980s.,not previously published,"version 1.0, but data were found to have errors, so the data were not included in the version 3.0 release. "
ds_05,tblds_05_GrainSizeDist_1990s,Sediment grain size distribution at Bemidji via sieve method in the 1990s.,not previously published,version 1.0
ds_06,tblds_06_SedCoreOil,"Oil distribution in sediments collected at Bemidji in 1990, 1992, and 1998.",not previously published,version 1.0
ds_07,tblds_07_HydrCond,Hydraulic conductivity data collected at Bemidji from wells in 1996.,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spatial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",version 1.0
ds_08,tblds_08_SedIronData,Sediment iron chemistry collected at Bemidji from cores from 1990s through 2007.,"Amos, R.T., Bekinds, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515; Bekins, B.A., Cozzarelli, I.M., Godsby, M.E., Warren, E., Essaid, H.I., and Tuccillo, M.E., 2001, Progression of natural attenuation processes at a crude oil spill site--II. Control on spatial distribution of microbial population, v. 53, pp. 387-406; Cozzarelli, I.M., Bekins, B.A., Eaganhouse, R.P., Wareen, E., and Essaid, H.I., 2010, In situ measurements of volatile aromatic hydrocarbon biodegradation rates in groundwater: Journal of Contaminant Hydrology, v. 111, pp. 48-64; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, M.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385; Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15; Tuccillo, M.E., 1998, Processes and effects of iron reduction in anoxic surficial aquifers: University of Virginia, Ph.D dissertation, 149 p.; Tuccillo, M.E., Cozzarelli, I.M., and Herman, J.S., 1999, Iron reduction in the sediments of a hydrocarbon-contaminated aquifer: Applied Geochemistry, v. 14, pp. 655-667; and some data were not previously published.",version 1.0
ds_09,tblds_09_InorgWaterData_2009,Dissolved inroganic groundwater samples collected at Bemidji in 2009.,"Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15.",version 1.0
ds_10,tblds_10_1996CoreData,Pore water samples collected from cores collected at Bemidji in 1996.,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",version 1.0
ds_11,tblds_11_OrganicAcidData,Concentrations of organic acids in groundwater samples collected at the Bemidji site in the 1980s and 1990s.,"Cozzarelli, IM, Baedecker, MJ, Eganhouse, RP, and Goerlitz, DF. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta, 58(2), 863-877; Cozzarelli, IM, Eganhouse, RP, and Baedecker, MJ. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), 135-141",version 2.0
ds_12,tblds_12_WaterAndOilLevels,"Oil levels, water levels, and oil thicknesses measured in wells, piezometers, and surface-water at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA",not previously published,version 3.0
