meth_cd,meth_cd_ref,meth_cd_descript,meth_cd_pub,version_when_added
xALGOR,NWIS,Computation by NWIS algorithm,"NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xBAROM,NWIS,"Atmospheric pressure, barometer method","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xCL013,NWIS,FerroZine Colorimetric,"NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xCL149,NWIS,"Iron(II) in unfiltered water determined in the field by the 1,10-phenanthroline method with portable colorimeter using Hach AccuVac ampules. Range up to 3.00 mg/L","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xGCM62,NWIS,Volatile Organic Compounds in Water by GC-MS,"NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xGCM64,NWIS,Volatile Organic Compounds in Water by GC-MS,"NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xGCM67,NWIS,"Volatile organic compounds, unfiltered water, censored at <0.2 ug/L, purge and trap gas chromatography/mass spectrometry","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xGCM68,NWIS,"Volatile organic compounds, unfiltered water, censored at <0.2 ug/L, purge and trap gas chromatography/mass spectrometry","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xLUMIN,NWIS,"Dissolved Oxygen, Luminescence Quenching (Luminescence-Based Sensor)","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xMEMBR,NWIS,"Dissolved Oxygen, Amperometric (Membrane Electrode Method)","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xRHODA,NWIS,"Low level dissolved oxygen, CHEMetrics Rhodazine-D colorimetry (visual comparison) field kit, 0-1 mg/L","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xSC001,NWIS,"Specific electrical conductance, field, contacting-type sensor","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xSNIF2,NWIS,"Sniff Test, H2S Odor Detection, Unacidified Sample","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xTHM01,NWIS,"Temperature, water, thermistor thermometer","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xTHM04,NWIS,"Temperature, air, thermistor thermometer","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xWLETP,NWIS,"Ground water level, electric tape","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xLC003,LOCAL,"Iron (III) calculated by difference of total iron and ferrous iron determined by ferrozine colorimetry, may be comparable to NWIS method code CAL18","Gibbs, M.M., 1979. A simple method for the rapid determination of iron in natural waters. Water Research 13, 295–297; Tuccillo, M.E., Cozzarelli, I.M., Herman, J.S., 1999. Iron reduction in the sediments of a hydrocarbon-contaminated aquifer. Applied Geochemistry vol. 14 (no. 5), 71–83.",version 1.0
