parm_cd,parm_cd_ref,parm_shortname,parm_cd_descript,units,CASRN,version_when_added
x00003,NWIS,SamplingDepth_ft,"Sampling depth, feet",feet,,version 1.0
x00020,NWIS,AirTemp_C,"Temperature, air, degrees Celsius",Celsius,,version 1.0
x00025,NWIS,Barometric_mm,"Barometric pressure, millimeters of mercury",mm/Hg,,version 1.0
x00028,NWIS,AnalyzingAgency,Analyzing agency,,,version 1.0
x00059,NWIS,FlowRate_galMin,"Flow rate, instantaneous, gallons per minute",gal/min,,version 1.0
x00063,NWIS,NumberSamplingPoints,"Number of sampling points, count",,,version 1.0
x00065,NWIS,GageHeight_ft,"Gage height, feet",feet,,version 1.0
x00095,NWIS,SpecificCond_uScm,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",uS/cm @25C,,version 1.0
x00191,NWIS,Hydrogen_Ion_mgL,"Hydrogen ion, water, unfiltered, calculated, milligrams per liter",mg/L,,version 1.0
x00301,NWIS,DissO_PercentSaturation,"Dissolved oxygen, water, unfiltered, percent of saturation",% saturatn,,version 1.0
x00900,NWIS,HardnessCaCO3_mgL,"Hardness, water, milligrams per liter as calcium carbonate",mg/L CaCO3,,version 1.0
x00931,NWIS,NaAdsorptionRatio,"Sodium adsorption ratio, water, number",,,version 1.0
x01005,NWIS,Barium_ugL,"Barium, water, filtered, micrograms per liter",ug/L,`7440-39-3,version 1.0
x01010,NWIS,Beryllium_ugL,"Beryllium, water, filtered, micrograms per liter",ug/L,`7440-41-7,version 1.0
x01025,NWIS,Cadmium_ugL,"Cadmium, water, filtered, micrograms per liter",ug/L,`7440-43-9,version 1.0
x01035,NWIS,Cobalt_ugL,"Cobalt, water, filtered, micrograms per liter",ug/L,`7440-48-4,version 1.0
x01040,NWIS,Copper_ugL,"Copper, water, filtered, micrograms per liter",ug/L,`7440-50-8,version 1.0
x01046,NWIS,Iron_ugL,"Iron, water, filtered, micrograms per liter",ug/L,`7439-89-6,version 1.0
x01049,NWIS,Lead_ugL,"Lead, water, filtered, micrograms per liter",ug/L,`7439-92-1,version 1.0
x01056,NWIS,Manganese_ugL,"Manganese, water, filtered, micrograms per liter",ug/L,`7439-96-5,version 1.0
x01060,NWIS,Molybdenum_ugL,"Molybdenum, water, filtered, micrograms per liter",ug/L,`7439-98-7,version 1.0
x01080,NWIS,Strontium_ugL,"Strontium, water, filtered, micrograms per liter",ug/L,`7440-24-6,version 1.0
x01085,NWIS,Vanadium_ugL,"Vanadium, water, filtered, micrograms per liter",ug/L,`7440-62-2,version 1.0
x01106,NWIS,Aluminum_ugL,"Aluminum, water, filtered, micrograms per liter",ug/L,`7429-90-5,version 1.0
x01130,NWIS,Lithium_ugL,"Lithium, water, filtered, micrograms per liter",ug/L,`7439-93-2,version 1.0
x01300,NWIS,OilGrease,"Oil and grease, severity, code",code,,version 1.0
x01305,NWIS,SudsFoam,"Suds or foam, severity, code",code,,version 1.0
x01320,NWIS,Floating_Garbage,"Floating garbage, severity, code",code,,version 1.0
x01325,NWIS,FloatingAlgaeMats,"Floating algae mats, severity, code",code,,version 1.0
x01330,NWIS,AtmosphericOdor,"Odor, atmospheric, severity, code",code,,version 1.0
x01340,NWIS,DeadFish,"Dead fish, severity, code",code,,version 1.0
x01345,NWIS,FloatingDebris,"Floating debris, severity, code",code,,version 1.0
x01350,NWIS,Turbidity,"Turbidity, severity, code",code,,version 1.0
x30207,NWIS,GageHeight_m,"Gage height, above datum, meters",meters,,version 1.0
x34010,NWIS,Toluene_ugL,"Toluene, water, unfiltered, recoverable, micrograms per liter",ug/L,,version 1.0
x34030,NWIS,Benzene_ugL,"Benzene, water, unfiltered, recoverable, micrograms per liter",ug/L,,version 1.0
x34371,NWIS,Ethylbenzene_ugL,"Ethylbenzene, water, unfiltered, recoverable, micrograms per liter",ug/L,,version 1.0
x50280,NWIS,SiteVisitPurpose,"Site visit purpose, code",,,version 1.0
x71875,NWIS,HydroSulfide_mgL,"Hydrogen sulfide, water, unfiltered, milligrams per liter",mg/L,`7783-06-4,version 1.0
x71999,NWIS,SamplePurpose,"Sample purpose, code",,,version 1.0
x72004,NWIS,PumpPeriodPriorSampling_min,"Pump or flow period prior to sampling, minutes",minutes,,version 1.0
x72005,NWIS,SampleSource,"Sample source, code",,,version 1.0
x72006,NWIS,SamplingCondition,"Sampling condition, code",,,version 1.0
x72019,NWIS,DepthToWL_ft,"Depth to water level, feet below land surface",ft,,version 1.0
x77135,NWIS,oxylene_ugL,"ortho-Xylene, water, unfiltered, recoverable, micrograms per liter",ug/L,,version 1.0
x78032,NWIS,Methyl_tertButyl Ether_ugL,"Methyl tertiary-butyl ether, water, unfiltered, recoverable, micrograms per liter",ug/L,,version 1.0
x81551,NWIS,xylene_Isomers_ugL,"Xylene (all isomers), water, unfiltered, recoverable, micrograms per liter",ug/L,`1330-20-7,version 1.0
x82398,NWIS,SamplingMethod,"Sampling method, code",,,version 1.0
x84164,NWIS,SamplerType,"Sampler type, code",,,version 1.0
x85795,NWIS,mxylene_ugL,"meta-Xylene plus para-xylene, water, unfiltered, recoverable, micrograms per liter",ug/L,,version 1.0
x99111,NWIS,QualityAssurance_Sample,"Type of quality assurance data associated with sample, code",,,version 1.0
x99112,NWIS,QualityControl_data,"Topical quality-control data purpose, code",,,version 1.0
