remark_cd,remark_ref,RemarkDescript,version_when_added
E,NWIS,Estimated,version 1.0
M,NWIS,Presence of material verified but not quantified,version 1.0
U,NWIS,Material specifically analyzed for but not detected,version 1.0
<,NWIS,Actual value is known to be less than the value shown.,version 1.0
>,NWIS,Actual value is known to be greater than the value shown.,version 1.0
na,LOCAL,Not analyzed,version 1.0
C,LOCAL,Result was converted to different units than original reporting units,version 1.0
N/A,LOCAL,not applicable,version 1.0
md,LOCAL,Data missing from original dataset,version 1.0
adl,LOCAL,Above highest detection limit and detection limit is unknown,version 1.0
bdl,LOCAL,Below detection limit and detection limit unknown,version 1.0
A,NWIS,Average,version 1.0
N,NWIS,presumptive evidence of presence,version 2.0
R,NWIS,"radchem non-detect, below ssLc",version 2.0
S,NWIS,most probable value,version 2.0
V,NWIS,value affected by contamination,version 2.0
