sample_id,basin_location,pm_level,api_gravity,phi_cascade,delta_xd_kj_mol,source_reference,tan_mg_koh_g,viscosity_measured_cp,viscosity_error_cp,tan_error_mg_koh_g,tier1_org_acids,tier2_mp_ratio,tier3_tas_ratio,tier4_asphaltene_ratio
USGS_PGRL_51,USGS PGRL Repository (USA),PM 4 - PM 8,12.5,0.4518,0.9242,USGS PGRL Data Release (2023),2.71,2554.2,127.7,0.05,0.1606,0.1816,0.0722,0.0424
USGS_PGRL_52,USGS PGRL Repository (USA),PM 4 - PM 8,12.5,0.4561,0.9315,USGS PGRL Data Release (2023),2.76,2587.3,129.4,0.05,0.1589,0.1819,0.0669,0.0468
USGS_PGRL_53,USGS PGRL Repository (USA),PM 4 - PM 8,12.5,0.4462,0.9145,USGS PGRL Data Release (2023),2.64,2511.6,125.6,0.05,0.1594,0.177,0.0645,0.049
USGS_PGRL_54,USGS PGRL Repository (USA),PM 4 - PM 8,12.5,0.4537,0.9274,USGS PGRL Data Release (2023),2.73,2568.8,128.4,0.05,0.1664,0.1741,0.0665,0.0434
USGS_PGRL_55,USGS PGRL Repository (USA),PM 4 - PM 8,12.5,0.445,0.9124,USGS PGRL Data Release (2023),2.63,2502.6,125.1,0.05,0.1546,0.1744,0.0695,0.0434
USGS_PGRL_56,USGS PGRL Repository (USA),PM 4 - PM 8,12.5,0.4384,0.9011,USGS PGRL Data Release (2023),2.55,2453.5,122.7,0.05,0.1523,0.1731,0.0667,0.044
USGS_PGRL_57,USGS PGRL Repository (USA),PM 4 - PM 8,12.5,0.4369,0.8985,USGS PGRL Data Release (2023),2.53,2442.5,122.1,0.05,0.1608,0.18,0.0639,0.0427
USGS_PGRL_58,USGS PGRL Repository (USA),PM 4 - PM 8,12.5,0.4293,0.8853,USGS PGRL Data Release (2023),2.45,2387.4,119.4,0.05,0.1541,0.1734,0.0659,0.0398
USGS_PGRL_59,USGS PGRL Repository (USA),PM 4 - PM 8,12.5,0.4254,0.8787,USGS PGRL Data Release (2023),2.4,2359.7,118.0,0.05,0.1465,0.1613,0.0641,0.0427
USGS_PGRL_60,USGS PGRL Repository (USA),PM 4 - PM 8,12.5,0.4271,0.8816,USGS PGRL Data Release (2023),2.42,2371.7,118.6,0.05,0.1522,0.1725,0.067,0.0406
Junin_Oil_A,"Orinoco Oil Belt (Junín, Venezuela)",PM 7,8.5,0.4701,0.9551,"López et al. (2014) Org. Geochem. 66, 60-69",2.93,22029.2,1101.5,0.05,0.1622,0.1861,0.0684,0.048
Junin_Oil_B,"Orinoco Oil Belt (Junín, Venezuela)",PM 7,8.4,0.4208,0.8705,"López et al. (2014) Org. Geochem. 66, 60-69",2.35,18814.2,940.7,0.05,0.145,0.1649,0.0621,0.0402
Junin_Oil_C,"Orinoco Oil Belt (Junín, Venezuela)",PM 8,7.3,0.3935,0.8225,"López et al. (2014) Org. Geochem. 66, 60-69",2.04,17240.3,862.0,0.05,0.1389,0.1605,0.0578,0.0424
Junin_Oil_D,"Orinoco Oil Belt (Junín, Venezuela)",PM 6,8.7,0.4382,0.9007,"López et al. (2014) Org. Geochem. 66, 60-69",2.55,19891.5,994.6,0.05,0.1438,0.1804,0.0613,0.0423
Junin_Oil_E,"Orinoco Oil Belt (Junín, Venezuela)",PM 8,8.4,0.3538,0.7509,"López et al. (2014) Org. Geochem. 66, 60-69",1.63,15183.5,759.2,0.05,0.1152,0.1462,0.054,0.0347
Junin_Oil_F,"Orinoco Oil Belt (Junín, Venezuela)",PM 6,9.0,0.4951,0.997,"López et al. (2014) Org. Geochem. 66, 60-69",3.24,23864.0,1193.2,0.05,0.1705,0.1938,0.075,0.0511
Junin_Oil_G,"Orinoco Oil Belt (Junín, Venezuela)",PM 7,8.3,0.3759,0.791,"López et al. (2014) Org. Geochem. 66, 60-69",1.86,16296.2,814.8,0.05,0.1265,0.1488,0.0564,0.0351
Junin_Oil_H,"Orinoco Oil Belt (Junín, Venezuela)",PM 6,9.0,0.4337,0.8931,"López et al. (2014) Org. Geochem. 66, 60-69",2.5,19607.1,980.4,0.05,0.1534,0.1751,0.0644,0.0438
