FileName_enttypl,AttributeLabel_attrlabl,AttributeDefinition_attrdef,AttributeDefSource_attrdefs,AttributeDomain
tblds_01_OilData.csv,dataset_id,Alphanumeric string assigned to identify groups of related records that comprise a single data set.,Producer-defined,enumerated domain (edom); members of an established set of values
tblds_01_OilData.csv,LocalSiteName,"This is the unique name assigned to this x y location at the research site.  It is the primary key to link location information to all other data sets. An ""x"" was prepended to the values in this field to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users should format this field as text and then use a ""Find and Replace"" tool to remove the x's.",Producer-defined,enumerated domain (edom); members of an established set of values
tblds_01_OilData.csv,OrigSiteName,"These site names are from original data provided by original data authors.  These are kept in case the original, archived data need to be compared with the data in this data release.",Producer-defined,unrepresentable domain (udom)
tblds_01_OilData.csv,sample_dt,Date the sample was collected.,Producer-defined,range domain (rdom); minimum and maximum values of a continuum of valid values
tblds_01_OilData.csv,Comments_sample_dt,Further information to help understand the sample date.,Producer-defined,unrepresentable domain (udom)
tblds_01_OilData.csv,medium_cd,Environmental media from which the sample was collected.,U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_01_OilData.csv,sample_type_cd,Type of sample collected.,U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_01_OilData.csv,lab_type_cd,Laboratory sample type code.,Producer-defined,enumerated domain (edom); members of an established set of values
tblds_01_OilData.csv,lab_rep_cd,Laboratory replicate code for the analysis of separate aliquots taken from a single field sample.,Producer-defined,enumerated domain (edom); members of an established set of values
tblds_01_OilData.csv,lab_run_cd,Laboratory run code for the analysis of separate runs for a single aliquot taken from a single field sample.,Producer-defined,enumerated domain (edom); members of an established set of values
tblds_01_OilData.csv,parm_cd,"Five-digit codes used to identify the constituent or property measured.  An ""x"" was prepended to the values in this field to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_01_OilData.csv,parm_shortname,"Short, descriptive ""database appropriate"" name describing what the result value is representing.",Producer-defined,enumerated domain (edom); members of an established set of values
tblds_01_OilData.csv,remark_cd,Code that qualifies a result in the result_va field for the constituent or property measured.,U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_01_OilData.csv,result_va,The numeric result value of the constituent or property measured. Or the minimum or maximum reporting value of the constituent or property measured if it was not detected in the sample.,Producer-defined,unrepresentable domain (udom)
