FileName_enttypl,DatasetDescription_enttypd,Source_enttypds
tblds_01_OilData.csv,"Concentrations of volatile organic compounds in oil samples collected at the  National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA and an oil spill site near Cass Lake, Minnesota, USA between 1984 and 2010.","These data were originally described in Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152."
tblds_02_InorgWaterData.csv,"Concentrations of inorganic constituents and isotopes in groundwater samples collected with a submersible pump with polytetrafluoroethylene (PTFE) tubing from wells at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA between 1984 and 1996.","These data were originally described in: Baedecker, M.J., Cozzarelli, I.M., Eaganhouse, R.P., Siegel, D.I., and Bennett, P.C., 1993, Crude oil in a shallow sand and gravel aquifer--III. Biogeochemical reactions and mass balance modeling in anoxic groundwater: Applied Geochemistry, v. 8, pp. 569-586; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385."
tblds_03_OrgWaterData.csv,"Concentrations of volatile organic hydrocarbons in groundwater samples collected with a polytetrafluoroethylene (PTFE) bailer from wells at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA between 1986 and 1996.","These data were originally described in: Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385."
tblds_05_GrainSizeDist_1990s.csv,"Masses of sediments within certain size classes from core samples collected with a fixed-piston, wireline core barrel at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA between 1990 and 1998. Sediments were separated into size fractions using sieve methods and hydrometer methods.","These data were not previously published; methods of analysis are indicated with the code in the meth_cd field.  These codes are defined in tblcd_meth_cd.csv in the DataDictionaries.zip file available with the data release ""Sampling site information, well construction details, and data dictionaries for data sets associated with the National Crude Oil Spill Fate and Natural Attenuation Site near Bemidji, Minnesota"", available at https://doi.org/10.5066/F7736PDR"
tblds_06_SedCoreOil.csv,"Physical properties and fluid saturations of sediment core samples collected with a fixed-piston, wireline core barrel on a hollow-stem auger drill rig at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA in 1990, 1992, and 1998.","These data were not previously published; methods of analysis are indicated with the code in the meth_cd field.  These codes are defined in tblcd_meth_cd.csv in the DataDictionaries.zip file available with the data release ""Sampling site information, well construction details, and data dictionaries for data sets associated with the National Crude Oil Spill Fate and Natural Attenuation Site near Bemidji, Minnesota"", available at https://doi.org/10.5066/F7736PDR"
tblds_07_HydrCond.csv,"Hydraulic conductivities of geologic materials at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA in July and August of 1996. These tests were performed on wells using the pneumatic slug-test method or the packer/vacuum slug-test method (as described in Strobel et al., 1998). If the water level in the test well was below the screened interval, had an absence of floating crude oil, and did not have a leaky casing then they were analyzed using the pneumatic method. If the wells did not meet one or more of the pneumatic method requirements, then the packer/vacuum method was used.","These data were originally published in Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spatial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13."
tblds_08_SedIronData.csv,"Sediment iron concentrations (ferrous, ferric, and total) determined from sediment core samples collected at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA between 1992 and 2010.  Cores were collected by drilling to the top of the desired sample interval with a hollow-stem auger and then driving a wire-line piston core barrel containing a polycarbonate liner through the target sample interval. The bottom 10 centimeters of the core were frozen prior to extraction from the borehole to prevent fluid redistribution.","Amos, R.T., Bekinds, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515; Bekins, B.A., Cozzarelli, I.M., Godsby, M.E., Warren, E., Essaid, H.I., and Tuccillo, M.E., 2001, Progression of natural attenuation processes at a crude oil spill site--II. Control on spatial distribution of microbial population, v. 53, pp. 387-406; Cozzarelli, I.M., Bekins, B.A., Eaganhouse, R.P., Wareen, E., and Essaid, H.I., 2010, In situ measurements of volatile aromatic hydrocarbon biodegradation rates in groundwater: Journal of Contaminant Hydrology, v. 111, pp. 48-64; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, M.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385; Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15; Tuccillo, M.E., 1998, Processes and effects of iron reduction in anoxic surficial aquifers: University of Virginia, Ph.D dissertation, 149 p.; Tuccillo, M.E., Cozzarelli, I.M., and Herman, J.S., 1999, Iron reduction in the sediments of a hydrocarbon-contaminated aquifer: Applied Geochemistry, v. 14, pp. 655-667; and some data were not previously published."
tblds_09_InorgWaterData_2009.csv,"Concentrations of dissolved inorganic analytes in groundwater samples collected from wells at National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA in 2009. The groundwater samples were collected with a submersible pump fitted with polytetrafluoroethylene (PTFE) tubing.","Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15."
tblds_10_1996CoreData.csv,"Concentrations of organic and inorganic constituents in pore fluid extracted from sediment core samples collected at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA in 1996. Cores were collected by drilling to the top of the desired sample interval with a hollow-stem auger and then driving a wire-line piston core barrel containing a polycarbonate liner through the target sample interval. The bottom 10 centimeters of the core were frozen prior to extraction from the borehole to prevent fluid redistribution.","Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385."
tblds_11_OrganicAcids_1980s_1990s.csv,"Concentrations of low-molecular-weight organic acids in groundwater derived from the degradation of petroleum contamination at National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA from 1986 - 1990.  For wells with no oil, groundwater samples were collected with a submersible pump (Keck or Fultz) fitted with polytetrafluoroethylene (PTFE) tubing.  For wells with oil, groundwater samples were collected with a PTFE bailer.","Cozzarelli, I.M., M.J. Baedecker, R.P. Eganhouse, and D.F. Goerlitz. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877."
