column_name,column_description,column_units,type,domain
std_name,Name of daily operating standard,N/A,text,{NSO-1}
run_num,Run number,N/A,text,
analysis_date,Analysis date,date,date,
Dibenzothiophene_A,Dibenzothiophene Peak Area,N/A,number,
Dibenzothiophene_H,Dibenzothiophene Peak Height,N/A,number,
Phenanthrene_A,Phenanthrene Peak Area,N/A,number,
Phenanthrene_H,Phenanthrene Peak Height,N/A,number,
3-methylphenanthrene_A,3-methylphenanthrene Peak Area,N/A,number,
3-methylphenanthrene_H,3-methylphenanthrene Peak Height,N/A,number,
2-methylphenanthrene_A,2-methylphenanthrene Peak Area,N/A,number,
2-methylphenanthrene_H,2-methylphenanthrene Peak Height,N/A,number,
9-methylphenanthrene_A,9-methylphenanthrene Peak Area,N/A,number,
9-methylphenanthrene_H,9-methylphenanthrene Peak Height,N/A,number,
1-methylphenanthrene_A,1-methylphenanthrene Peak Area,N/A,number,
1-methylphenanthrene_H,1-methylphenanthrene Peak Height,N/A,number,
C20 Triaromatic Steroid_A,C20 Triaromatic Steroid Peak Area,N/A,number,
C20 Triaromatic Steroid_H,C20 Triaromatic Steroid Peak Height,N/A,number,
C21 Triaromatic Steroid_A,C21 Triaromatic Steroid Peak Area,N/A,number,
C21 Triaromatic Steroid_H,C21 Triaromatic Steroid Peak Height,N/A,number,
C26 20S Triaromatic Steroid_A,C26 20S Triaromatic Steroid Peak Area,N/A,number,
C26 20S Triaromatic Steroid_H,C26 20S Triaromatic Steroid Peak Height,N/A,number,
C26 20R+C27 20S Triaromatic Steroid_A,C26 20R+C27 20S Triaromatic Steroid Peak Area,N/A,number,
C26 20R+C27 20S Triaromatic Steroid_H,C26 20R+C27 20S Triaromatic Steroid Peak Height,N/A,number,
C28 20S Triaromatic Steroid_A,C28 20S Triaromatic Steroid Peak Area,N/A,number,
C28 20S Triaromatic Steroid_H,C28 20S Triaromatic Steroid Peak Height,N/A,number,
C27 20R Triaromatic Steroid_A,C27 20R Triaromatic Steroid Peak Area,N/A,number,
C27 20R Triaromatic Steroid_H,C27 20R Triaromatic Steroid Peak Height,N/A,number,
C28 20R Triaromatic Steroid_A,C28 20R Triaromatic Steroid Peak Area,N/A,number,
C28 20R Triaromatic Steroid_H,C28 20R Triaromatic Steroid Peak Height,N/A,number,
DBTPhen_A,DBTPhen_A Calculated Parameter = Dibenzothiophene_A / Phenanthrene_A,N/A,number,
DBTPhen_H,DBTPhen_H Calculated Parameter = Dibenzothiophene_A / Phenanthrene_A,N/A,number,
F1_A,F1_A Calculated Parameter = (2-methylphenanthrene_A + 3-methylphenanthrene_A)/(2-methylphenanthrene_A + 3-methylphenanthrene_A + 1-methylphenanthrene_A + 9-methylphenanthrene_A),N/A,number,
F1_H,F1_H Calculated Parameter = (2-methylphenanthrene_H + 3-methylphenanthrene_H)/(2-methylphenanthrene_H + 3-methylphenanthrene_H + 1-methylphenanthrene_H + 9-methylphenanthrene_H),N/A,number,
F2_A,F2_A Calculated Parameter = (2-methylphenanthrene_A)/(2-methylphenanthrene_A + 3-methylphenanthrene_A + 1-methylphenanthrene_A + 9-methylphenanthrene_A),N/A,number,
F2_H,F2_H Calculated Parameter = (2-methylphenanthrene_H)/(2-methylphenanthrene_H + 3-methylphenanthrene_H + 1-methylphenanthrene_H + 9-methylphenanthrene_H),N/A,number,
MPI1_A,MPI1_A Calculated Parameter = (1.5 x (2-methylphenanthrene_A + 3-methylphenanthrene_A))/(1-methylphenanthrene_A + 9-methylphenanthrene_A + Phenanthrene_A),N/A,number,
MPI1_H,MPI1_H Calculated Parameter = (1.5 x (2-methylphenanthrene_H + 3-methylphenanthrene_H))/(1-methylphenanthrene_H + 9-methylphenanthrene_H + Phenanthrene_H),N/A,number,
TRIOCR_A,TRIOCR_A Calculated Parameter = (C20 Triaromatic Steroid_A + C21 Triaromatic Steroid_A)/(C20 Triaromatic Steroid_A + C21 Triaromatic Steroid_A + C26 20S Triaromatic Steroid_A + C26 20R+C27 20S Triaromatic Steroid_A + C28 20R Triaromatic Steroid_A + C28 20S Triaromatic Steroid_A + C27 20R Triaromatic Steroid_A),N/A,number,
TRIOCR_H,TRIOCR_H Calculated Parameter = (C20 Triaromatic Steroid_H + C21 Triaromatic Steroid_H)/(C20 Triaromatic Steroid_H + C21 Triaromatic Steroid_H + C26 20S Triaromatic Steroid_H + C26 20R+C27 20S Triaromatic Steroid_H + C28 20R Triaromatic Steroid_H + C28 20S Triaromatic Steroid_H + C27 20R Triaromatic Steroid_H),N/A,number,
TRIOCR1_A,TRIOCR1_A Calculated Parameter = (C20 Triaromatic Steroid_A)/(C20 Triaromatic Steroid_A + C28 20S Triaromatic Steroid_A + C28 20R Triaromatic Steroid_A),N/A,number,
TRIOCR1_H,TRIOCR1_H Calculated Parameter = (C20 Triaromatic Steroid_H)/(C20 Triaromatic Steroid_H + C28 20S Triaromatic Steroid_H + C28 20R Triaromatic Steroid_H),N/A,number,
TRIOCR2_A,TRIOCR2_A Calculated Parameter = (C20 Triaromatic Steroid_A + C21 Triaromatic Steroid_A)/(C26 20S Triaromatic Steroid_A + C26 20R+C27 20S Triaromatic Steroid_A + C28 20R Triaromatic Steroid_A + C28 20S Triaromatic Steroid_A + C27 20R Triaromatic Steroid_A),N/A,number,
TRIOCR2_H,TRIOCR2_H Calculated Parameter = (C20 Triaromatic Steroid_H + C21 Triaromatic Steroid_H)/(C26 20S Triaromatic Steroid_H + C26 20R+C27 20S Triaromatic Steroid_H + C28 20R Triaromatic Steroid_H + C28 20S Triaromatic Steroid_H + C27 20R Triaromatic Steroid_H),N/A,number,
C19 Tricyclic Terpane_A,C19 Tricyclic Terpane Peak Area,N/A,number,
C19 Tricyclic Terpane_H,C19 Tricyclic Terpane Peak Height,N/A,number,
C20 Tricyclic Terpane_A,C20 Tricyclic Terpane Peak Area,N/A,number,
C20 Tricyclic Terpane_H,C20 Tricyclic Terpane Peak Height,N/A,number,
C21 Tricyclic Terpane_A,C21 Tricyclic Terpane Peak Area,N/A,number,
C21 Tricyclic Terpane_H,C21 Tricyclic Terpane Peak Height,N/A,number,
C22 Tricyclic Terpane_A,C22 Tricyclic Terpane Peak Area,N/A,number,
C22 Tricyclic Terpane_H,C22 Tricyclic Terpane Peak Height,N/A,number,
C23 Tricyclic Terpane_A,C23 Tricyclic Terpane Peak Area,N/A,number,
C23 Tricyclic Terpane_H,C23 Tricyclic Terpane Peak Height,N/A,number,
C24 Tricyclic Terpane_A,C24 Tricyclic Terpane Peak Area,N/A,number,
C24 Tricyclic Terpane_H,C24 Tricyclic Terpane Peak Height,N/A,number,
C25 22S Tricyclic Terpane_A,C25 22S Tricyclic Terpane Peak Area,N/A,number,
C25 22S Tricyclic Terpane_H,C25 22S Tricyclic Terpane Peak Height,N/A,number,
C25 22R Tricyclic Terpane_A,C25 22R Tricyclic Terpane Peak Area,N/A,number,
C25 22R Tricyclic Terpane_H,C25 22R Tricyclic Terpane Peak Height,N/A,number,
C24 Tetracyclic Terpane_A,C24 Tetracyclic Terpane Peak Area,N/A,number,
C24 Tetracyclic Terpane_H,C24 Tetracyclic Terpane Peak Height,N/A,number,
C26 22S Tricyclic Terpane_A,C26 22S Tricyclic Terpane Peak Area,N/A,number,
C26 22S Tricyclic Terpane_H,C26 22S Tricyclic Terpane Peak Height,N/A,number,
C26 22R Tricyclic Terpane_A,C26 22R Tricyclic Terpane Peak Area,N/A,number,
C26 22R Tricyclic Terpane_H,C26 22R Tricyclic Terpane Peak Height,N/A,number,
C28 22S Tricyclic Terpane_A,C28 22S Tricyclic Terpane Peak Area,N/A,number,
C28 22S Tricyclic Terpane_H,C28 22S Tricyclic Terpane Peak Height,N/A,number,
C28 22R Tricyclic Terpane_A,C28 22R Tricyclic Terpane Peak Area,N/A,number,
C28 22R Tricyclic Terpane_H,C28 22R Tricyclic Terpane Peak Height,N/A,number,
C29 22S Tricyclic Terpane_A,C29 22S Tricyclic Terpane Peak Area,N/A,number,
C29 22S Tricyclic Terpane_H,C29 22S Tricyclic Terpane Peak Height,N/A,number,
C29 22R Tricyclic Terpane_A,C29 22R Tricyclic Terpane Peak Area,N/A,number,
C29 22R Tricyclic Terpane_H,C29 22R Tricyclic Terpane Peak Height,N/A,number,
C27 18a Trisnorneohopane_A,C27 18a Trisnorneohopane Peak Area,N/A,number,
C27 18a Trisnorneohopane_H,C27 18a Trisnorneohopane Peak Height,N/A,number,
C27 17a Trisnorhopane_A,C27 17a Trisnorhopane Peak Area,N/A,number,
C27 17a Trisnorhopane_H,C27 17a Trisnorhopane Peak Height,N/A,number,
C30 22S Tricyclic Terpane_A,C30 22S Tricyclic Terpane Peak Area,N/A,number,
C30 22S Tricyclic Terpane_H,C30 22S Tricyclic Terpane Peak Height,N/A,number,
C30 22R Tricyclic Terpane_A,C30 22R Tricyclic Terpane Peak Area,N/A,number,
C30 22R Tricyclic Terpane_H,C30 22R Tricyclic Terpane Peak Height,N/A,number,
C28 Bisnorhopane_A,C28 Bisnorhopane Peak Area,N/A,number,
C28 Bisnorhopane_H,C28 Bisnorhopane Peak Height,N/A,number,
C29 Norhopane_A,C29 Norhopane Peak Area,N/A,number,
C29 Norhopane_H,C29 Norhopane Peak Height,N/A,number,
C29 18a Neonorhopane_A,C29 18a Neonorhopane Peak Area,N/A,number,
C29 18a Neonorhopane_H,C29 18a Neonorhopane Peak Height,N/A,number,
C30 Diahopane_A,C30 Diahopane Peak Area,N/A,number,
C30 Diahopane_H,C30 Diahopane Peak Height,N/A,number,
C29 17B21a Normoretane_A,C29 17B21a Normoretane Peak Area,N/A,number,
C29 17B21a Normoretane_H,C29 17B21a Normoretane Peak Height,N/A,number,
C30 Oleanane_A,C30 Oleanane Peak Area,N/A,number,
C30 Oleanane_H,C30 Oleanane Peak Height,N/A,number,
C30 Hopane_A,C30 Hopane Peak Area,N/A,number,
C30 Hopane_H,C30 Hopane Peak Height,N/A,number,
C30 17B21a Moretane_A,C30 17B21a Moretane Peak Area,N/A,number,
C30 17B21a Moretane_H,C30 17B21a Moretane Peak Height,N/A,number,
C31 22S Hopane_A,C31 22S Hopane Peak Area,N/A,number,
C31 22S Hopane_H,C31 22S Hopane Peak Height,N/A,number,
C31 22R Hopane_A,C31 22R Hopane Peak Area,N/A,number,
C31 22R Hopane_H,C31 22R Hopane Peak Height,N/A,number,
C30 Gammacerane_A,C30 Gammacerane Peak Area,N/A,number,
C30 Gammacerane_H,C30 Gammacerane Peak Height,N/A,number,
C32 22S Hopane_A,C32 22S Hopane Peak Area,N/A,number,
C32 22S Hopane_H,C32 22S Hopane Peak Height,N/A,number,
C32 22R Hopane_A,C32 22R Hopane Peak Area,N/A,number,
C32 22R Hopane_H,C32 22R Hopane Peak Height,N/A,number,
C33 22S Hopane_A,C33 22S Hopane Peak Area,N/A,number,
C33 22S Hopane_H,C33 22S Hopane Peak Height,N/A,number,
C33 22R Hopane_A,C33 22R Hopane Peak Area,N/A,number,
C33 22R Hopane_H,C33 22R Hopane Peak Height,N/A,number,
C34 22S Hopane_A,C34 22S Hopane Peak Area,N/A,number,
C34 22S Hopane_H,C34 22S Hopane Peak Height,N/A,number,
C34 22R Hopane_A,C34 22R Hopane Peak Area,N/A,number,
C34 22R Hopane_H,C34 22R Hopane Peak Height,N/A,number,
C35 22S Hopane_A,C35 22S Hopane Peak Area,N/A,number,
C35 22S Hopane_H,C35 22S Hopane Peak Height,N/A,number,
C35 22R Hopane_A,C35 22R Hopane Peak Area,N/A,number,
C35 22R Hopane_H,C35 22R Hopane Peak Height,N/A,number,
Pregnane_A,Pregnane Peak Area,N/A,number,
Pregnane_H,Pregnane Peak Height,N/A,number,
Homopregnane_A,Homopregnane Peak Area,N/A,number,
Homopregnane_H,Homopregnane Peak Height,N/A,number,
C27 20S Ba Diasterane_A,C27 20S Ba Diasterane Peak Area,N/A,number,
C27 20S Ba Diasterane_H,C27 20S Ba Diasterane Peak Height,N/A,number,
C27 20R Ba Diasterane_A,C27 20R Ba Diasterane Peak Area,N/A,number,
C27 20R Ba Diasterane_H,C27 20R Ba Diasterane Peak Height,N/A,number,
C27 20R aaa Sterane_A,C27 20R aaa Sterane Peak Area,N/A,number,
C27 20R aaa Sterane_H,C27 20R aaa Sterane Peak Height,N/A,number,
C28 20R aaa Sterane_A,C28 20R aaa Sterane Peak Area,N/A,number,
C28 20R aaa Sterane_H,C28 20R aaa Sterane Peak Height,N/A,number,
C29 20S aaa Sterane_A,C29 20S aaa Sterane Peak Area,N/A,number,
C29 20S aaa Sterane_H,C29 20S aaa Sterane Peak Height,N/A,number,
C29 20R aBB Sterane_A,C29 20R aBB Sterane Peak Area,N/A,number,
C29 20R aBB Sterane_H,C29 20R aBB Sterane Peak Height,N/A,number,
