Lab no,Sample,Bottle no,EOM,EOM
BOQ-10,ShBOQ-1_1,357,8519,0.8519
BOQ-10,ShBOQ-1_2,357,9022,0.9022
BOQ-10,ShBOQ-1_3,354,9133,0.9133
BOQ-10,ShBOQ-1_4,354,8903,0.8903
BOQ-10,ShBOQ-1_5,343,8965,0.8965
BOQ-10,ShBOQ-1_6,343,8661,0.8661
BOQ-10,ShBOQ-1_7,1665,9064,0.9064
BOQ-10,ShBOQ-1_8,1665,9132,0.9132
BOQ-10,ShBOQ-1_9,344,8913,0.8913
BOQ-10,ShBOQ-1_10,349,8876,0.8876
BOQ-10,ShBOQ-1_11,1855,9147,0.9147
BOQ-10,ShBOQ-1_12,347,8841,0.8841
BOQ-10,ShBOQ-1_13,1855,8351,0.8351
BOQ-10,ShBOQ-1_14,1665,8464,0.8464
,,,,
,,,,
,,,,
