Bottle No,As,Cl,CO2,CRBNT_C,FeO,Hg,Organic_C,Sb,Se,Te,C,S,Al,Ca,Fe,K,Mg,Na,P,Si,Ti,Ba,Cr,Mn,Nb,Sr,Y,Zr,Al,Ca,Fe,K,Mg,Na,S,Ti,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Ga,In,La,Li,Mn,Mo,Nb,Ni,P,Pb,Rb,Sb,Sc,Sn,Sr,Te,Th,Tl,U,V,W,Y,Zn,Al,Ca,Fe,K,Mg,Mn,P,S,Si,Ti,Ag,As,B,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Ge,Hf,Ho,In,La,Li,Lu,Mo,Nb,Nd,Ni,Pb,Pr,Rb,Sb,Sc,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,Al2O3,CaO,Cr2O3,Fe2O3,K2O,LOI,MgO,MnO,Na2O,P2O5,SiO2,TiO2
100,14.6,81,24.4,6.66,1.40,0.05,4.61,3.3,4.6,,11.3,1.67,2.24,24.10,1.04,0.30,0.26,0.03,0.04,11.60,0.11,74,,,,1003,,53,2.29,24.30,1.11,0.29,0.27,0.03,1.81,0.10,,15,71,0.8,0.24,2.0,23.4,6.4,31,,37.5,6.0,0.04,12.7,29,93,50.8,5.7,86.9,463,5.7,16.4,3.34,3.8,1.0,1133,0.1,2.5,2.6,8.4,353,0.4,9.0,111,2.27,22.4,1.10,0.4,0.24,0.009,0.04,1.76,11.9,0.1,,,27,77.5,,0.2,1.9,24.2,6.0,30,3.1,39,1.58,0.94,0.46,6,2.02,,1,0.32,,13.2,25,0.15,51,6,10.8,79,7,3.05,17.6,3.6,,2.0,3,1035,,0.31,,2.9,3.1,0.15,9.46,412,,9.6,0.9,104,52.9,3.89,33.0,0.01,1.63,0.33,32.0,0.35,,0.05,0.10,25.1,0.17
1000,14.2,84,24.3,6.63,1.40,0.04,4.49,3.2,4.9,,11.2,1.61,2.25,24.10,1.06,0.30,0.25,0.03,0.04,11.70,0.11,69,,,,1009,,58,2.25,23.80,1.09,0.29,0.26,0.03,1.77,0.09,,15,70,0.7,0.24,2.0,23.7,5.9,30,,37.1,5.7,0.03,12.7,28,91,49.8,5.5,79.9,460,5.5,15.9,3.21,3.4,1.0,1102,0.1,2.6,2.7,8.4,339,0.4,8.8,102,2.22,22.6,1.11,0.3,0.24,0.009,0.04,1.73,11.8,0.1,,,25,76.6,,0.3,2.3,24.1,6.1,31,3.1,38,1.64,0.96,0.51,6,1.95,,1,0.33,,13.2,24,0.15,51,6,10.6,79,7,3.03,17.2,3.4,,2.1,4,1049,,0.30,,2.9,3.1,0.15,9.44,408,,9.6,0.9,105,53,3.93,33.0,,1.62,0.33,31.9,0.36,,0.05,0.10,24.8,0.17
700,14.7,95,24.7,6.74,1.35,0.04,4.72,3.2,5.1,,11.3,1.65,2.26,23.90,1.05,0.30,0.25,0.03,0.04,11.80,0.11,74,,,,994,,53,2.23,23.50,1.09,0.28,0.26,0.04,1.78,0.09,,15,70,0.6,0.24,2.1,24.3,5.9,31,,35.9,5.6,0.04,13.1,28,91,49.8,5.6,81.5,466,5.8,15.9,3.19,3.4,1.0,1099,0.1,2.7,2.7,8.7,342,0.4,8.7,105,2.28,22.8,1.11,0.3,0.24,0.009,0.04,1.76,12.0,0.1,,,28,79.6,,0.2,2.2,23.6,6.0,32,3.3,38,1.50,0.92,0.48,7,2.02,,1,0.32,,13.0,25,0.16,52,5,10.8,81,7,3.08,17.6,3.4,,2.1,4,1047,,0.31,,2.8,3.2,0.15,9.42,410,,9.7,0.9,109,51.9,3.90,32.9,,1.64,0.33,31.9,0.40,,0.05,0.10,24.8,0.17
1300,14.3,88,24.7,6.74,1.35,0.04,4.51,3.0,5.1,,11.2,1.64,2.30,24.30,1.05,0.31,0.25,0.03,0.04,12.00,0.11,76,,,,1005,,53,2.19,22.60,1.06,0.28,0.26,0.03,1.70,0.09,,15,67,0.7,0.24,2.1,23.5,5.8,31,,38.6,5.6,0.04,12.6,28,89,49.5,5.3,80.8,441,5.4,15.9,3.15,3.2,1.0,1041,,2.6,2.6,8.4,334,0.4,8.5,104,2.21,23.0,1.12,0.3,0.24,0.009,0.04,1.75,12.0,0.1,,,29,76.5,,0.2,2.2,24.0,6.2,29,3.0,38,1.62,0.91,0.47,7,2.04,,1,0.32,,13.0,25,0.16,52,6,10.7,80,7,3.06,17.1,3.5,,2.1,4,1067,,0.27,,2.8,3.1,0.16,9.48,412,,9.7,0.9,106,52.7,3.93,32.9,0.01,1.62,0.33,32.0,0.41,,0.04,0.10,24.9,0.17
900,14.5,94,24.2,6.60,1.36,0.05,4.61,3.0,5.1,,11.3,1.64,2.18,23.50,1.01,0.30,0.25,0.03,0.04,11.50,0.11,69,,,,965,,54,2.13,22.90,1.03,0.28,0.25,0.03,1.62,0.09,,15,67,0.6,0.23,2.1,23.7,5.8,31,,36.8,5.6,0.04,12.8,27,88,49.7,5.4,79.7,419,5.5,16.0,3.24,3.3,1.0,1047,,2.6,2.7,8.8,322,0.4,8.8,99,2.25,23.4,1.11,0.3,0.25,0.009,0.04,1.73,12.0,0.1,,,25,77.3,,0.2,2.2,23.8,5.9,28,3.1,39,1.61,0.92,0.46,7,1.92,,1,0.32,,13.3,24,0.16,52,6,10.7,78,7,2.95,17.3,3.5,,2.0,4,1068,,0.28,,2.9,3.1,0.17,9.49,414,,10.0,0.9,113,52.4,3.92,33.0,0.01,1.60,0.32,31.8,0.39,,0.05,0.09,24.8,0.16
2001,14.3,60,24.2,6.60,1.36,0.04,4.70,2.8,5.2,,11.3,1.67,2.17,23.70,1.04,0.30,0.25,0.03,0.05,11.40,0.11,67,,,,1003,,50,2.30,24.30,1.10,0.29,0.27,0.03,1.78,0.10,,15,71,0.7,0.24,2.0,23.9,5.8,34,,36.6,5.6,0.04,12.9,29,92,49.7,5.6,84.0,463,5.4,15.9,3.22,3.3,1.0,1114,,2.7,2.7,8.7,345,0.4,8.8,103,2.28,23.1,1.12,0.3,0.24,0.009,0.04,1.75,12.2,0.1,,,25,76.8,,0.3,2.2,24.3,5.9,28,3.2,38,1.63,0.89,0.50,7,2.05,,1,0.33,,13.3,26,0.14,53,6,10.9,79,7,3.11,17.5,3.3,,2.0,5,1068,,0.29,,2.9,3.1,0.14,9.61,412,,9.8,0.9,107,53,3.96,33.1,,1.61,0.32,31.8,0.40,,0.04,0.10,24.8,0.17
1600,14.5,102,24.1,6.58,1.31,0.04,4.67,3.1,5.3,,11.3,1.65,2.20,23.60,1.05,0.30,0.25,0.03,0.04,11.60,0.11,67,,,,987,,51,2.34,24.70,1.11,0.30,0.27,0.03,1.78,0.10,,15,72,0.7,0.24,2.0,24.2,5.8,34,,37.6,5.5,0.04,13.1,30,96,49.7,5.5,85.4,473,5.5,15.8,3.18,3.3,1.0,1134,,2.7,2.7,8.8,349,0.4,8.6,106,2.21,22.4,1.13,0.3,0.24,0.009,0.04,1.75,11.9,0.1,,,26,76.9,,0.3,2.2,23.7,6.0,28,2.9,40,1.63,1.01,0.47,6,2.01,,1,0.32,,13.2,25,0.15,53,6,10.5,78,6,3.06,17.0,3.4,,2.0,3,1031,,0.28,,2.8,3.1,0.15,9.49,411,,9.7,0.9,104,51.3,3.92,33.1,,1.64,0.33,31.8,0.36,,0.06,0.09,25.1,0.16
200,14.6,83,24.5,6.69,1.29,0.04,4.49,3.1,5.1,,11.2,1.61,2.27,24.10,1.06,0.30,0.25,0.03,0.04,11.80,0.11,72,,,,1003,,52,2.29,24.10,1.09,0.29,0.26,0.03,1.68,0.10,,14,69,0.7,0.24,2.0,24.3,5.8,32,,39.4,5.5,0.04,13.0,29,91,49.7,5.6,83.7,451,5.5,16.1,3.21,3.3,1.1,1113,,2.7,2.7,8.8,331,0.4,8.9,101,2.25,23.2,1.09,0.3,0.25,0.009,0.04,1.72,11.9,0.1,,,23,80.2,,0.2,2.2,23.6,5.9,28,3.4,37,1.57,0.89,0.47,6,2.01,,1,0.31,,13.1,23,0.15,51,6,11.0,77,6,3.00,17.6,3.2,,2.0,4,1074,,0.29,,2.8,3.1,0.15,9.45,408,,9.7,1.0,107,50.5,3.96,33.0,0.01,1.62,0.33,31.8,0.39,,0.06,0.10,24.8,0.17
400,14.2,99,24.3,6.63,1.40,0.05,4.89,3.0,5.3,,11.3,1.67,2.18,23.80,1.03,0.31,0.25,0.03,0.04,11.50,0.11,74,,,,992,,53,2.26,23.70,1.06,0.29,0.26,0.03,1.67,0.09,,15,68,0.6,0.24,2.1,24.0,5.7,32,,36.7,5.6,0.04,13.0,28,89,50.0,5.4,82.4,441,5.4,16.1,3.26,3.3,1.0,1074,,2.7,2.7,8.7,331,0.4,8.8,99,2.25,22.8,1.11,0.3,0.24,0.009,0.04,1.76,11.9,0.1,,,24,80.2,,0.2,2.1,24.2,6.2,29,3.4,38,1.58,0.97,0.49,7,2.00,,1,0.32,,13.4,26,0.17,51,6,10.8,79,6,3.04,17.7,3.4,,2.2,3,1052,,0.28,,2.8,3.2,0.15,9.50,410,,9.8,1.0,105,53.7,3.89,33.1,,1.62,0.33,31.8,0.35,,0.05,0.09,24.9,0.18
1400,14.4,69,24.1,6.58,1.33,0.04,4.61,3.0,5.3,,11.3,1.66,2.21,23.70,1.02,0.30,0.25,0.03,0.04,11.50,0.11,71,,,,990,,51,2.29,24.20,1.11,0.29,0.27,0.03,1.77,0.10,,14,70,0.6,0.24,2.0,23.5,5.6,33,,36.6,5.6,0.04,12.7,29,92,50.7,5.5,82.8,468,5.3,15.6,3.18,3.2,1.0,1128,0.1,2.6,2.7,8.7,345,0.4,8.6,104,2.33,23.8,1.16,0.4,0.26,0.010,0.04,1.81,12.3,0.1,,,26,81.2,,0.2,2.1,24.0,6.2,30,3.1,39,1.57,0.87,0.45,7,1.95,,1,0.31,,13.2,25,0.17,53,6,10.7,81,7,3.08,17.4,3.4,,2.0,4,1108,,0.28,,2.8,3.1,0.16,9.48,425,,10.1,1.0,114,53.1,3.93,32.8,0.01,1.62,0.33,31.8,0.40,,0.06,0.10,24.8,0.17
