Lab no,Bottle no,Quartz,K-spar,Plag,Calcite,Dolomite,Siderite,Kaolinite,Illite/Mica,Mx I/S*,Pyrite,Gypsum,Marcasite,Apatite
BOQ-2,205F,20.1,trace,trace,63.3,0.4,trace,9.5,1.1,1.5,0.9,3.2,,
BOQ-2,542C,22.2,0.2,trace,63.4,0.5,trace,7.9,1.1,1.5,0.8,2.4,,
BOQ-2,2008B,21.2,0.2,trace,61.7,0.5,trace,10.2,0.7,1.3,1,3.2,,
BOQ-3,205B,23.2,trace,trace,63.1,2.7,,7.3,trace,trace,1.4,2.8,trace,0.5
BOQ-3,96F,22.9,trace,trace,55.4,2.7,,12.9,trace,trace,2.3,3.8,trace,trace
BOQ-6,18,22.9,trace,trace,65.8,1.1,,6.3,1.8,,0.9,1.2,,
BOQ-6,18,22.2,trace,trace,64.2,2.4,,6.1,2.6,,1.1,1.4,,
BOQ-6,18,24.1,trace,trace,65.9,1.2,,5.3,1.4,,0.9,1.2,,
BOQ-6,4,22.3,trace,trace,66.5,1.2,,6.6,1.3,,0.9,1.2,,
BOQ-6,4,22.1,trace,trace,65.5,0.9,,6.4,1.8,,0.9,2.4,,
BOQ-6,4,22.2,trace,trace,66.6,1.4,,4.9,3.1,,1,0.8,,
BOQ-6,454A,23.9,trace,trace,64.8,1.1,,5,1.9,,1.1,2.2,,
BOQ-6,454A,23.8,trace,trace,64.7,0.9,,5.5,2.3,,0.9,1.9,,
BOQ-6,454A,24,trace,trace,64.5,1.4,,5.8,1.7,,0.9,1.7,,
BOQ-6,96B,24.7,trace,trace,65.1,0.6,,5,1.9,,0.8,1.9,,
BOQ-6,96B,23.9,trace,trace,66.2,1,,5.1,1.9,,0.7,1.2,,
BOQ-6,96B,24.1,trace,trace,65.1,1.1,,5.6,1.8,,0.8,1.5,,
BOQ-10,1896B,23.1,,trace,62.5,0.5,,7.1,1.9,,0.6,4.2,trace,
BOQ-10,205E,22.4,,trace,59.8,4.0,,8.1,1.9,,0.8,3.0,0.1,
BOQ-10,205E,23.6,,trace,62.3,0.5,,7.6,1.8,,0.8,3.7,trace,
BOQ-11,205D,27.1,,,61.3,0.8,,7.3,,,0.5,3.0,,
BOQ-11,542E,27.3,,,62.1,0.5,,6.2,,,0.6,3.3,,
BOQ-11,1761B,26.9,,,61.6,0.6,,6.9,,,0.7,3.3,,
BOQ-12,96D,20.5,,,67.7,0.6,0.8,,,,4.1,,,
BOQ-12,96E,20.4,,,67.6,0.9,0.6,,,,3.5,,,
BOQ-12,542F,20.5,,,68.5,0.7,0.6,,,,3.3,,,
BOQ-12,360C,19.9,,,68.4,0.6,0.7,,,,3.1,,,
BOQ-12,1179B,20,,,67.9,0.6,1,,,,3.1,,,
BOQ-12,452,19.5,,,67.2,0.9,0.9,,,,3.5,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
