Lab no,Bottle no,Leco TOC,Instrument,Weight,PP TOC,S1,S2,S3,Tmax,Total Carbon,Min Carbon,Carbonate,,,,
BOQ-2,1030D,5.34,Rock Eval 2,101.9,,1.18,31.70,1.53,424.0,,,,,,,
BOQ-2,1030D,4.85,Rock Eval 2,101.4,,1.25,31.82,1.54,423.0,,,,,,,
BOQ-2,1030D,5.20,Rock Eval 2,100.3,,1.14,31.90,1.47,427.0,,,,,,,
BOQ-2,1179A,5.27,Rock Eval 2,101.4,,1.21,31.95,1.47,424.0,,,,,,,
BOQ-2,1179A,4.86,Rock Eval 2,100.9,,1.13,31.70,1.35,427.0,,,,,,,
BOQ-2,1179A,5.16,Rock Eval 2,101.8,,1.08,32.00,1.26,424.0,,,,,,,
BOQ-2,1647A,5.27,Rock Eval 2,100.3,,1.21,31.55,1.14,424.0,,,,,,,
BOQ-2,1647A,5.22,Rock Eval 2,101.1,,1.25,32.04,1.14,426.0,,,,,,,
BOQ-2,1647A,5.22,Rock Eval 2,100.2,,1.28,31.72,1.19,424.0,,,,,,,
BOQ-2,1030D,5.34,Rock Eval 6,71.3,5.09,1.24,29.56,0.70,429.0,,,,,,,
BOQ-2,1030D,4.85,Rock Eval 6,71.4,5.12,1.21,28.40,0.62,424.0,,,,,,,
BOQ-2,1030D,5.20,Rock Eval 6,71.1,5.11,1.36,29.11,0.64,424.0,,,,,,,
BOQ-2,1179A,5.27,Rock Eval 6,70.4,5.11,1.33,29.80,0.62,427.0,,,,,,,
BOQ-2,1179A,4.86,Rock Eval 6,70.5,5.12,1.35,29.76,0.67,426.0,,,,,,,
BOQ-2,1179A,5.16,Rock Eval 6,69.7,5.10,1.22,27.85,0.64,426.0,,,,,,,
BOQ-2,1647A,5.27,Rock Eval 6,73.1,5.01,1.29,29.26,0.71,425.0,,,,,,,
BOQ-2,1647A,5.22,Rock Eval 6,70.4,5.09,1.42,29.38,0.64,424.0,,,,,,,
BOQ-2,1647A,5.22,Rock Eval 6,72.8,5.11,1.34,29.74,0.67,428.0,,,,,,,
BOQ-2,1030D,5.34,SRA,76.5,5.30,1.21,30.70,0.76,426.0,,,,,,,
BOQ-2,1030D,4.85,SRA,75.8,5.39,1.16,30.98,0.70,425.0,,,,,,,
BOQ-2,1030D,5.20,SRA,74.9,5.29,1.07,30.61,0.75,427.0,,,,,,,
BOQ-2,1179A,5.27,SRA,74.8,5.38,1.24,31.07,0.74,425.0,,,,,,,
