LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,LocalSiteCoreSubName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,Core_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,TotalBoring/DrillingDepth_mBLS,NameOfContractor,DrillerName,CoringBegan_mBLS,CoringEnded_mBLS,CoreRecoveryLength_m,TopOfCoreElevation_mASL_NAVD88,CoreLengthPounded_m,CoreBarrelType,SubsurfaceCoreZone,FreeProductOilPresentInCore,DrillersFieldComments,Comments_Miscellaneous
x15-N6,Bemidji,tss,test hole where just a surface soil sample was collected,,,,342541.28,5271062.29,,,434.049,0.0,,,,USGS MN Water Science Center,Not applicable,0.0,0.305,,434.049,0.0,shovel,Unsaturated zone,No,"estimated ""coring"" depth.  These were soil samples collected for lab analyses.",
x15-N7,Bemidji,tss,test hole where just a surface soil sample was collected,,,,342563.44,5271111.22,,,434.401,0.0,,,,USGS MN Water Science Center,Not applicable,0.0,0.305,,434.401,0.0,shovel,Unsaturated zone,No,"estimated ""coring"" depth.  These were soil samples collected for lab analyses.",
x15-N8,Bemidji,tss,test hole where just a surface soil sample was collected,,,,342557.79,5271104.47,,,434.263,0.0,,,,USGS MN Water Science Center,Not applicable,0.0,0.305,,434.263,0.0,shovel,Unsaturated zone,No,"estimated ""coring"" depth.  These were soil samples collected for lab analyses.",
x15-N9,Bemidji,tss,test hole where just a surface soil sample was collected,,,,342551.93,5271097.38,,,434.263,0.0,,,,USGS MN Water Science Center,Not applicable,0.0,0.305,,434.263,0.0,shovel,Unsaturated zone,No,"estimated ""coring"" depth.  These were soil samples collected for lab analyses.",
x15-N10,Bemidji,tss,test hole where just a surface soil sample was collected,,,,342546.35,5271090.13,,,433.962,0.0,,,,USGS MN Water Science Center,Not applicable,0.0,0.305,,433.962,0.0,shovel,Unsaturated zone,No,"estimated ""coring"" depth.  These were soil samples collected for lab analyses.",
x15-N11,Bemidji,tss,test hole where just a surface soil sample was collected,,,,342541.09,5271082.68,,,434.028,0.0,,,,USGS MN Water Science Center,Not applicable,0.0,0.305,,434.028,0.0,shovel,Unsaturated zone,No,"estimated ""coring"" depth.  These were soil samples collected for lab analyses.",
x15-N12,Bemidji,tss,test hole where just a surface soil sample was collected,,,,342535.94,5271074.85,,,434.101,0.0,,,,USGS MN Water Science Center,Not applicable,0.0,0.305,,434.101,0.0,shovel,Unsaturated zone,No,"estimated ""coring"" depth.  These were soil samples collected for lab analyses.",
x15-N13,Bemidji,tss,test hole where just a surface soil sample was collected,,,,342558.76,5271126.11,,,434.33,0.0,,,,USGS MN Water Science Center,Not applicable,0.0,0.305,,434.33,0.0,shovel,Unsaturated zone,No,"estimated ""coring"" depth.  These were soil samples collected for lab analyses.",
x1603,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1603-1,342807.96,5271047.46,1.0,23.2,432.657,0.0,20160802,,8.077,USGS MN Water Science Center,B. Mason; J.W. Lund,8.077,10.211,0.93,424.58,2.134,Hollow stem: 7-ft wireline piston core sample barrel with freezing drive shoe into 1.875-inch polycarbonate sleeve,Spanning the water table,Yes,"drilled to 26.5 ft below land surface (above highest oil level ever) and took 7 ft freeze shoe core to capture smear zone. Didn't freeze, only 3 ft recovery but worked for D. Ntarlagiannis.  He logged the hole for magnetic susceptibility. Hydraulic pump weak on winch.",
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-2,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,0.61,1.219,0.351,432.098,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-3,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,1.219,1.829,0.335,431.489,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-4,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,1.829,2.438,0.427,430.879,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-5,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,2.438,3.048,0.375,430.27,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-6,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,3.048,3.658,0.442,429.66,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-7,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,3.658,4.267,0.503,429.05,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-8,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,4.267,4.877,0.418,428.441,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-9,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,4.877,5.486,0.503,427.831,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-10,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,5.486,6.096,0.488,427.222,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-11,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,6.096,6.706,0.515,426.612,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-12,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,6.706,7.315,0.64,426.002,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-13,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,7.315,7.925,0.6,425.393,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-14,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,7.925,10.058,1.481,424.783,2.134,Hollow stem: 7-ft wireline piston core sample barrel with freezing drive shoe into 1.875-inch polycarbonate sleeve,Spanning the water table,Yes,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1604,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1604-1,342808.06,5271048.34,1.0,23.65,432.708,0.0,20160803,,10.058,USGS MN Water Science Center,B. Mason; J.W. Lund,0.0,0.61,0.488,432.708,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-26 ft. below land surface = cored with MN Geoprobe. 26-30 ft. below land surface = cored with MN hollow stem auger rig,
x1705,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1705-1,342701.5,5270941.42,,,428.75,0.0,20170624,,2.438,USGS MN Water Science Center,B. Mason; D. Podgorski; P. Zito,0.0,0.61,0.427,428.75,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,Free oil product was in core/s at this location. This is boundary location for the middle oil pool. Native material from 7.05 - 8 ft. below land surface. Hole plug bentonite from 4.92 - 7.05 ft. below land surface. Clean sand from 0.0 - 4.92 ft. below land surface.,Core taken near well 956 in spray zone
x1705,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1705-2,342701.5,5270941.42,,,428.75,0.0,20170624,,2.438,USGS MN Water Science Center,B. Mason; D. Podgorski; P. Zito,0.61,1.219,0.518,428.14,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,Free oil product was in core/s at this location. This is boundary location for the middle oil pool. Native material from 7.05 - 8 ft. below land surface. Hole plug bentonite from 4.92 - 7.05 ft. below land surface. Clean sand from 0.0 - 4.92 ft. below land surface.,Core taken near well 956 in spray zone
x1710,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1710-1,342829.8,5271013.25,,,431.694,0.0,20170627,,8.534,USGS MN Water Science Center,B. Mason; J. Trost,0.0,8.534,,431.694,1.219,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,Cores to verify of oil presence near fiber optic line along the ATV trail. Cores from 0 - 24 ft. below land surface were taken and dumped out. Cores from 24 - 28 ft. were kept and described by E. Warren. Note on coring form: See Ean Warren's notes for description of sediment. Native material from 23.06 - 28 ft. below land surface. Bentonite hole plug from 16.56 - 23.06 ft. below land surface. Clean sand from 0.0 - 16.56 ft. below land surface.,Core taken on side of ATV trail near fiber optic line
x1801,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1801-1,342698.15,5270938.47,,,429.156,0.0,20180620,,4.877,USGS MN Water Science Center,J. Trost; B. Bekins,1.219,1.219,0.701,427.937,1.219,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,Done to make sure oil was not present. Core catcher push up into core.,Cores taken near well 956 in spray zone
x1801,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1801-2,342698.15,5270938.47,,,429.156,0.0,20180620,,4.877,USGS MN Water Science Center,J. Trost; B. Bekins,1.219,1.829,0.0,427.937,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Done to make sure oil was not present. Poor recovery. Sleeve not seated correctly in shoe. Took 2.25-inch rods out and cleaned shoe, then put back in same hole.",Cores taken near well 956 in spray zone
x1801,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1801-3,342698.15,5270938.47,,,429.156,0.0,20180620,,4.877,USGS MN Water Science Center,J. Trost; B. Bekins,1.829,2.438,0.335,427.327,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,"Done to make sure oil was not present. Slough in core, low recovery.",Cores taken near well 956 in spray zone
