LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,OtherEquip_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,OtherEquipmentPurpose,Comments_Equipment,Comments,Comments_Miscellaneous
xWT1601,Bemidji,wt,"water tube, PVC casing filled with water for observing subsurface temperatures",,,342691.6,5271009.94,,,431.021,1.204,20160801,,USGS MN Water Science Center,B. Mason; J.W. Lund,measuring vertical unsaturated to saturated zone temperature profiles,water tube with temperature loggers,,Installed this water tube next to 1602G (vapor well) and nearby well: 606
xCL-pipeline,Cass Lake,pl,pipeline sample,,,,,,,,,,Installation date unknown,Enbridge Energy,Not applicable,pipeline,pipeline,record added to database to accommodate pipeline oil samples,
xL1802-1.8,Bemidji,sl,suction lysimeter soil-water sampler,,,342698.85,5270942.37,,,429.393,0.0,20180622,,USGS MN Water Science Center,J. Trost; G. Delin,for collecting unsaturated zone soil water samples,stainless steel suction lysimeter,,Lysimeter installed and cores taken near well 956 in spray zone
xL1802-3.3,Bemidji,sl,suction lysimeter soil-water sampler,,,342699.31,5270943.24,,,429.436,0.0,20180621,,USGS MN Water Science Center,J. Trost; B. Bekins; G. Delin,for collecting unsaturated zone soil water samples,stainless steel suction lysimeter,,Lysimeter installed and cores taken near well 956 in spray zone
xF530G.1,Bemidji,scf,soil CO2 efflux collar,,,342870.08,5271066.06,1.0,87.53,433.38,0.0,20180621,,USGS MN Water Science Center,A. Maher,compare old vs. new soil flux collar installations,,,new flux collar installed at 530G near the existing collar to compare old vs. new flux collar installations.
xF9015G.1,Bemidji,scf,soil CO2 efflux collar,,,342787.97,5271029.84,1.0,2.22,430.842,0.0,20180621,,USGS MN Water Science Center,A. Maher,,,,new flux collar installed at 9015G near the existing collar to compare old vs. new flux collar installations.
xF301G.1,Bemidji,scf,soil CO2 efflux collar,,,342779.29,5271033.28,1.0,-8.76,430.579,0.0,20180621,,USGS MN Water Science Center,A. Maher,,,,new flux collar installed at 301G near the existing collar to compare old vs. new flux collar installations.
xF1602G.1,Bemidji,scf,soil CO2 efflux collar,,,342691.72,5270997.42,1.0,-103.35,431.123,0.0,20180621,,USGS MN Water Science Center,A. Maher,,,,new flux collar installed at 1602G near the existing collar to compare old vs. new flux collar installations.
xF310G.3,Bemidji,scf,soil CO2 efflux collar,,,342602.46,5270947.06,1.0,-205.36,434.596,0.0,20180621,,USGS MN Water Science Center,A. Maher,,,,new flux collar installed at 310G near the existing collar to compare old vs. new flux collar installations.
xTG1611,Bemidji,tp,thermal profiling device for measuring vertical thermal profiles,,,342789.28,5271077.04,,,432.329,0.0,,"Exact installation date unknown.  Likely constructed during field session, 8/1 - 8/12/16",USGS MN Water Science Center,Not applicable,unsaturated zone thermal gradient,"Location where thermal gradient between 0.5 and 1.0 m BLS was measured, hole backfilled after measurements taken, no equipment left in ground",,
