LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,MeasuringPointElevation_mASL_NAVD88,well_MP_height_m,LandSurfaceElevation_mASL_NAVD88,TopOfScreenElevation_mASL_NAVD88,BottomOfScreenElevation_mASL_NAVD88,ScreenLength_m,MidOfScreenElevation_mASL_NAVD88,TotalWellDepth_mBLS,TotalBoring/DrillingDepth_mBLS,DiameterOfDrillHole_cm,WellCasingInnerDiameter_cm,OpeningTypeDescription,WidthOfOpeningsInOpenInterval_cm,CasingMaterialDescription,ScreenMaterialDescription,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,Comments_Miscellaneous,SiteActiveStatus,Comments_Status,ApproxRemovalDate
x1217E,Bemidji,ww,groundwater observation well,x473429095051006,1217E     147N35W02DCBB  06,343106.91,5271121.65,1.0,326.57,426.141,0.335,425.806,420.155,420.067,0.088,420.111,5.813,5.813,12.2,2.0,Mesh screen,0.028,Stainless Steel,Stainless Steel,20160726.0,This well was installed by B. Mason several years after initial 1217 well nest was established.,USGS MN Water Science Center,B. Mason,Between well 925 nest and well 501 nest. Installation: stainless steel Solinst drive point screen with stainless to land surface.,Active,,
x1602G-01,Bemidji,wv,unsaturated zone vapor sampling well,x473424095052912,1602G-01  Bemidji Toxics Research Site,342693.48,5271007.85,1.0,-97.51,431.124,0.0,431.124,425.641,425.61,0.031,425.626,5.514,5.761,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20160802.0,,USGS MN Water Science Center,B. Mason; J.W. Lund,Installed this vapor well next to WT1601 (water tube) and nearby well: 606,Active,,
x707G-01,Bemidji,wv,unsaturated zone vapor sampling well,x473424095052906,707G-01   Bemidji Toxics Research Site,342714.17,5271007.89,1.0,-78.58,430.81,0.0,430.81,425.327,425.296,0.031,425.312,5.514,5.639,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20160809.0,,USGS MN Water Science Center,B. Mason; J.W. Lund,Installed this vapor well next to current 707 well nest (707AR & 707DR),Active,,
xCL-MW3,Cass Lake,wo,subsurface oil- and groundwater observation well,,,376368.69,5248417.18,0.0,,,,,,,,,,,,,,,,,,Installation date unknown,Enbridge Energy,unknown,,Active,,
x17.lk.sc1,Bemidji,wmp,mini-piezometer (shallow temporary well near or in surface-water),,,343136.15,5271114.97,0.0,,,,,,,,,,,,,,,,,,,USGS MN Water Science Center,Not applicable,,Removed,temporary sampling location,
x1802,Bemidji,ww,groundwater observation well,x473423095052902,1802      Bemidji Toxics Research Site  0000786140,342702.18,5270941.2,0.0,,430.362,0.899,429.463,424.644,423.33,1.314,423.987,6.297,6.462,21.0,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20180625.0,,USGS MN Water Science Center,B. Mason; J.W. Lund; E. Smith,Well installed downhill from well 956 and near 1802 lysimeters,Active,,
xWL02,Bemidji,swe,"surface-water elevation site, used for water table interpolation only",x473412095050801,"WL02, WETLAND, NE SIDE, SE OF PINEWOOD, MN",343133.39,5270627.9,0.0,,423.812,0.0,423.812,,,,,,,,,,,,,20190628.0,,USGS MN Water Science Center,Not applicable,"Wetland site ""WL02"" for Bemidji site. Small wetland located 265 ft. SW of ATV/snowmobile trail. Wetland is the most SE in a transect of 2 small wetlands in in a NW-SE configuration.",Active,,
xWL03,Bemidji,swe,"surface-water elevation site, used for water table interpolation only",x473416095051301,"WL03, WETLAND, NE SIDE, SE OF PINEWOOD, MN",343038.69,5270718.15,0.0,,423.794,0.0,423.794,,,,,,,,,,,,,20190628.0,,USGS MN Water Science Center,Not applicable,"Wetland site ""WL02"" for Bemidji site. Small wetland located 315 ft. SW of ATV/snowmobile trail. Wetland is the most NW in a transect of 2 small wetlands in in a NW-SE configuration.",Active,,
xWL04,Bemidji,swe,"surface-water elevation site, used for water table interpolation only",x473431095052801,"WL04, WETLAND, E. SIDE, SE OF PINEWOOD, MN",342743.88,5271211.11,0.0,,424.504,0.0,424.504,,,,,,,,,,,,,20190627.0,,USGS MN Water Science Center,Not applicable,"Wetland site ""WL04"" for Bemidji site. Small wetland located 80 ft. NE of ATV/snowmobile trail. Wetland is located 60 ft. west of well 307.",Active,,
xGrant Creek 01,Bemidji,swe,"surface-water elevation site, used for water table interpolation only",x473356095043701,"GRANT CREEK, AT ATV TRAIL, SE OF PINEWOOD, MN",343765.96,5270091.98,0.0,,423.724,0.0,423.724,,,,,,,,,,,,,20190628.0,,USGS MN Water Science Center,Not applicable,"Grant Creek near upstream end of culvert that goes under ATV/snowmobile trail. Horizontal coordinates were surveyed to small flooded area, 115 ft. SE of upstream end of culvert, 60 ft. SW of ATV trail.",Active,,
xWL01-2,Bemidji,swe,"surface-water elevation site, used for water table interpolation only",x473419095052504,"WL01-2, WETLAND, NE SIDE, SE OF PINEWOOD, MN",342786.88,5270841.07,0.0,,425.196,0.0,425.196,,,,,,,,,,,,,20190627.0,,USGS MN Water Science Center,Not applicable,"Wetland site ""WL01-2"" for Bemidji site. Small wetland located 500 ft. SW of ATV/snowmobile trail. Wetland is located next to well 313. This site is the wetland water's edge at the end of the walking path to the wetland. NOT the staff gage location.",Active,,
