"#tblds_01_OilData.csv: Concentrations of volatile organic compounds in oil samples collected at the  National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA and an oil spill site near Cass Lake, Minnesota, USA between 1984 and 2010.",,,,,,,,,,,,,,,,
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR.  NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's.",,,,,,,,,,,,,,,,
dataset_id,LocalSiteName,OrigSiteName,sample_dt,Comments_sample_dt,medium_cd,sample_type_cd,lab_type_cd,lab_rep_cd,lab_run_cd,parm_cd,parm_shortname,remark_cd,result_va,meth_cd,pub,Comments
ds_01,x421B,B421-87A,7/15/1987,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,A,1,xLO036,Bz_mgG,,2.049,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x421B,B421-87A,7/15/1987,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,A,2,xLO036,Bz_mgG,,2.053,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x421B,B421-87B,7/15/1987,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,B,1,xLO036,Bz_mgG,,2.098,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x421B,B421-87B,7/15/1987,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,B,2,xLO036,Bz_mgG,,2.104,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x421B,B421-87C,7/15/1987,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,C,1,xLO036,Bz_mgG,,2.035,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x421B,B421-87C,7/15/1987,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,C,2,xLO036,Bz_mgG,,2.05,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x421B,B421-89,7/15/1989,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L9,A,1,xLO036,Bz_mgG,,2.017,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x421B,B421-05A,7/15/2005,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,A,1,xLO036,Bz_mgG,,0.917,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x421B,B421-05B,7/15/2005,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,B,1,xLO036,Bz_mgG,,0.92,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x421B,B421-05C,7/15/2005,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,C,1,xLO036,Bz_mgG,,0.939,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x421B,B421-08A,7/15/2008,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,A,1,xLO036,Bz_mgG,,0.842,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x421B,B421-08B,7/15/2008,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,B,1,xLO036,Bz_mgG,,0.837,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x421B,B421-08C,7/15/2008,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,C,1,xLO036,Bz_mgG,,0.862,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x306,B306-89,7/15/2009,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L9,A,1,xLO036,Bz_mgG,,1.331,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x306,B306-05,7/15/2005,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L9,A,1,xLO036,Bz_mgG,,0.488,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x306,B306-08,7/15/2008,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L9,A,1,xLO036,Bz_mgG,,0.167,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x423,B423-89,7/15/1989,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,A,1,xLO036,Bz_mgG,,1.232,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x423,B423-89,7/15/1989,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L7,A,2,xLO036,Bz_mgG,,1.226,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x423,B423-04,7/15/2004,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L9,A,1,xLO036,Bz_mgG,,1.419,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x423,B423-08,7/15/2008,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L9,A,1,xLO036,Bz_mgG,,1.253,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x319,B319-89,7/15/1989,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L9,A,1,xLO036,Bz_mgG,,2.204,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x319,B319-04,7/15/2004,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L9,A,1,xLO036,Bz_mgG,,1.59,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x319,B319-08,7/15/2008,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L9,A,1,xLO036,Bz_mgG,,1.381,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
ds_01,x301A,B301-87,7/15/1987,Estimated the sampling month and day to mid summer of the known sample collection year.,OW,9,L9,A,1,xLO036,Bz_mgG,,1.09,xLCA01,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",
