"#tblds_05_GrainSizeDist_1990s.csv: Masses of sediments within certain size classes from core samples collected with a fixed-piston, wireline core barrel at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA between 1990 and 1998. Sediments were separated into size fractions using sieve methods and hydrometer methods.",,,,,,,,,,,,,,,,
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR.  NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",,,,,,,,,,,,,,,,
dataset_id,LocalSiteName,OrigSiteName,sample_dt,Comments_sample_dt,medium_cd,TOS_mBLS,BOS_mBLS,min_diam_mm,max_diam_mm,parm_cd,parm_shortname,remark_cd,result_va,meth_cd,pub,comments
ds_05,x9802,9802.01,7/29/1998,NA,SC,5.18,5.26,1,,xLS010,diam_1mm_p,,1.19,xLSGS2,not previously published ,
ds_05,x9802,9802.02,7/29/1998,NA,SC,5.26,5.33,1,,xLS010,diam_1mm_p,,0.18,xLSGS2,not previously published ,
ds_05,x9802,9802.03,7/29/1998,NA,SC,5.34,5.41,1,,xLS010,diam_1mm_p,,1.05,xLSGS2,not previously published ,
ds_05,x9802,9802.04,7/29/1998,NA,SC,5.42,5.49,1,,xLS010,diam_1mm_p,,0.15,xLSGS2,not previously published ,
ds_05,x9802,9802.05,7/29/1998,NA,SC,5.49,5.57,1,,xLS010,diam_1mm_p,,0.42,xLSGS2,not previously published ,
ds_05,x9802,9802.06,7/29/1998,NA,SC,5.57,5.64,1,,xLS010,diam_1mm_p,,0.13,xLSGS2,not previously published ,
ds_05,x9802,9802.07,7/29/1998,NA,SC,5.65,5.72,1,,xLS010,diam_1mm_p,,7.56,xLSGS2,not previously published ,
ds_05,x9802,9802.08,7/29/1998,NA,SC,5.72,5.8,1,,xLS010,diam_1mm_p,,0.86,xLSGS2,not previously published ,
ds_05,x9802,9802.09,7/29/1998,NA,SC,5.8,5.87,1,,xLS010,diam_1mm_p,,0.51,xLSGS2,not previously published ,
ds_05,x9802,9802.1,7/29/1998,NA,SC,5.88,5.95,1,,xLS010,diam_1mm_p,,0.94,xLSGS2,not previously published ,
ds_05,x9802,9802.11,7/29/1998,NA,SC,5.95,6.03,1,,xLS010,diam_1mm_p,,0.18,xLSGS2,not previously published ,
ds_05,x9802,9802.12,7/29/1998,NA,SC,6.03,6.1,1,,xLS010,diam_1mm_p,,0.44,xLSGS2,not previously published ,
ds_05,x9802,9802.13,7/29/1998,NA,SC,6.11,6.18,1,,xLS010,diam_1mm_p,,0.07,xLSGS2,not previously published ,
ds_05,x9802,9802.14,7/29/1998,NA,SC,6.18,6.26,1,,xLS010,diam_1mm_p,,2.94,xLSGS2,not previously published ,
ds_05,x9802,9802.15,7/29/1998,NA,SC,6.26,6.34,1,,xLS010,diam_1mm_p,,1.03,xLSGS2,not previously published ,
