"#tblds_06_SedCoreOil.csv: Physical properties and fluid saturations of sediment core samples collected with a fixed-piston, wireline core barrel at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA in 1990, 1992, and 1998.",,,,,,,,,,,,,,,,
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR.  NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",,,,,,,,,,,,,,,,
dataset_id,LocalSiteName,OrigSiteName,sample_dt,Comments_sample_dt,medium_cd,core_no,TOS_mBLS,BOS_mBLS,subcore_cm,parm_cd,parm_shortname,remark_cd,result_va,meth_cd,pub,Comments
ds_06,x9013,013/25-30/#1,6/27/1990,,OC,9013.1.1,7.62,7.69,6.92,x49982,BulkDen_gcm3,,1.575,xLCA05,not previously published,
ds_06,x9013,013/25-30/#2,6/27/1990,,OC,9013.1.2,7.69,7.77,7.56,x49982,BulkDen_gcm3,,1.59,xLCA05,not previously published,
ds_06,x9013,013/25-30/#3,6/27/1990,,OC,9013.1.3,7.77,7.85,7.6,x49982,BulkDen_gcm3,,1.618,xLCA05,not previously published,
ds_06,x9013,013/25-30/#4,6/27/1990,,OC,9013.1.4,7.85,7.93,7.89,x49982,BulkDen_gcm3,,1.382,xLCA05,not previously published,
ds_06,x9013,013/25-30/#5,6/27/1990,,OC,9013.1.5,7.94,8.01,7.73,x49982,BulkDen_gcm3,,1.581,xLCA05,not previously published,
ds_06,x9013,013/25-30/#6,6/27/1990,,OC,9013.1.6,8.02,8.09,7.78,x49982,BulkDen_gcm3,,1.58,xLCA05,not previously published,
ds_06,x9013,013/25-30/#7,6/27/1990,,OC,9013.1.7,8.1,8.17,7.59,x49982,BulkDen_gcm3,,1.507,xLCA05,not previously published,
ds_06,x9013,013/25-30/#8,6/27/1990,,OC,9013.1.8,8.18,8.25,7.52,x49982,BulkDen_gcm3,,1.624,xLCA05,not previously published,
ds_06,x9013,013/25-30/#9,6/27/1990,,OC,9013.1.9,8.26,8.33,7.61,x49982,BulkDen_gcm3,,1.621,xLCA05,not previously published,
ds_06,x9013,013/25-30/#10,6/27/1990,,OC,9013.1.10,8.34,8.42,7.9,x49982,BulkDen_gcm3,,1.602,xLCA05,not previously published,
