"#tblds_07_HydrCond.csv: Hydraulic conductivities of geologic materials at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA in July and August of 1996. These tests were performed on wells using the pneumatic slug-test method or the packer/vacuum slug-test method (as described in Strobel et al., 1998). If the water level in the test well was below the screened interval, had an absence of floating crude oil, and did not have a leaky casing then they were analyzed using the pneumatic method. If the wells did not meet one or more of the pneumatic method requirements, then the packer/vacuum method was used.",,,,,,,,,,,,
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR.  NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",,,,,,,,,,,,
dataset_id,LocalSiteName,OrigSiteName,sample_dt,Comments_sample_dt,rep_no,parm_cd,parm_shortname,remark_cd,result_va,meth_cd,pub,Comments
ds_07,x302,302,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,4.85E-05,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x310B,310B,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,2.72E-05,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x310C,310C,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,0.000155,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x310E,310E,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,7.29E-05,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x405B,405B,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,2.00E-04,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x405C,405C,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,0.000221,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x405D,405D,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,0.000923,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x417A,417A,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,0.00019,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x417B,417B,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,8.53E-05,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x417D,417D,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,7.24E-05,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x417F,417F,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,0.000116,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x418A,418A,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,0.000199,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x418B,418B,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,2.88E-06,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x418C,418C,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,6.46E-05,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x418E,418E,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,2.54E-05,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x420B,420B,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,6.75E-05,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x420C,420C,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,0.000185,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x503,503,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,3.55E-05,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x504,504,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,9.31E-06,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
ds_07,x505,505,8/1/1996,Sample date acccurate to the year and accurate between months (date between July 1 and August 31).,1,xLS020,HydrCond_ms,,4.15E-07,xLSBW1,"Strobel, M.L., Delin, G.N., Munson, C.J., 1998, Spacial variation in saturation hydraulic conductivity of sediments at a crude-oil spill site near Bemidji, Minnesota: U.S. Geological Survey Water-Resources Investigations Report 98-4053, p. 13. ",
