"#tblds_08_SedIronData.csv: Sediment iron concentrations (ferrous, ferric, and total) determined from sediment core samples collected at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA between 1992 and 2010.  Cores were collected by drilling to the top of the desired sample interval with a hollow-stem auger and then driving a wire-line piston core barrel containing a polycarbonate liner through the target sample interval. The bottom 10 centimeters of the core were frozen prior to extraction from the borehole to prevent fluid redistribution.",,,,,,,,,,,,,,,
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR.  NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",,,,,,,,,,,,,,,
dataset_id,LocalSiteName,OrigSiteName,sample_dt,Comments_sample_dt,medium_cd,TOC_mBLS,TOS_cmTOC,BOS_cmTOC,parm_cd,parm_shortname,remark_cd,result_va,meth_cd,pub,Comments
ds_08,x0105,105,7/20/2001,,SC,8.05,35,49,xLO045,Fe_3_umolG,,15.82,xLC003,not previously published,
ds_08,x0105,105,7/20/2001,,SC,8.05,35,49,xLO047,Fe_T_umolG,,16.73,xLC001,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,43,52,xLO044,Fe_2_umolG,,22.01,xLC002,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,13,22,xLO044,Fe_2_umolG,,0.44,xLC002,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,83,92,xLO044,Fe_2_umolG,,17.31,xLC002,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,133,142,xLO044,Fe_2_umolG,,20.83,xLC002,not previously published,
ds_08,x0116-0117,116,7/23/2001,,SC,4.8,75,75,xLO044,Fe_2_umolG,,13.75,xLC002,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0116-0117,116,7/23/2001,,SC,4.8,25,25,xLO044,Fe_2_umolG,,7.91,xLC002,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0116-0117,116,7/23/2001,,SC,4.8,73,77,xLO044,Fe_2_umolG,,24.21,xLC002,not previously published,
ds_08,x0116-0117,116,7/23/2001,,SC,4.8,23,27,xLO044,Fe_2_umolG,,10.27,xLC002,not previously published,
ds_08,x0116-0117,117,7/23/2001,,SC,6.32,178,182,xLO044,Fe_2_umolG,,11.26,xLC002,not previously published,
ds_08,x0116-0117,117,7/23/2001,,SC,6.32,77,81,xLO044,Fe_2_umolG,,16.54,xLC002,not previously published,
ds_08,x0116-0117,117,7/23/2001,,SC,6.32,133,137,xLO044,Fe_2_umolG,,26.89,xLC002,not previously published,
ds_08,x0116-0117,117,7/23/2001,,SC,6.32,34,38,xLO044,Fe_2_umolG,,28.36,xLC002,not previously published,
ds_08,x0122-0123,123,7/24/2001,,SC,8.99,73,77,xLO044,Fe_2_umolG,,15.84,xLC002,not previously published,
ds_08,x0122-0123,123,7/24/2001,,SC,8.99,113,117,xLO044,Fe_2_umolG,,22.13,xLC002,not previously published,
ds_08,x0122-0123,123,7/24/2001,,SC,8.99,62,64,xLO044,Fe_2_umolG,,15.26,xLC002,not previously published,
ds_08,x0122-0123,122,7/24/2001,,SC,7.47,105,105,xLO044,Fe_2_umolG,,20.37,xLC002,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0122-0123,122,7/24/2001,,SC,7.47,13,17,xLO044,Fe_2_umolG,,8.91,xLC002,not previously published,
ds_08,x0122-0123,122,7/24/2001,,SC,7.47,50,50,xLO044,Fe_2_umolG,,17.84,xLC002,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
