"#tblds_09_InorgWaterData_2009.csv: Concentrations of dissolved inorganic analytes in groundwater samples collected from wells at National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA in 2009. The groundwater samples were collected with a submersible pump fitted with polytetrafluoroethylene (PTFE) tubing. ",,,,,,,,,,,,
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR.  NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",,,,,,,,,,,,
dataset_id,LocalSiteName,OrigSiteName,sample_dt,Comments_sample_dt,medium_cd,parm_cd,parm_shortname,remark_cd,result_va,meth_cd,pub,Comments
ds_09,x310E,310e,8/1/2009,This data was collected between July and August of 2009 and given a sample date of 2009-08-01 becuase that is the date between July1 and August 31,WG,x00300,DO_mgL,,1.46,xINDKT,"Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15. ",
ds_09,x532F,532f,8/1/2009,This data was collected between July and August of 2009 and given a sample date of 2009-08-01 becuase that is the date between July1 and August 31,WG,x00300,DO_mgL,,0.36,xRHODA,"Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15. ",
ds_09,x9316B,9316b,8/1/2009,This data was collected between July and August of 2009 and given a sample date of 2009-08-01 becuase that is the date between July1 and August 31,WG,x00300,DO_mgL,,0.15,xRHODA,"Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15. ",
ds_09,x310E,310e,8/1/2009,This data was collected between July and August of 2009 and given a sample date of 2009-08-01 becuase that is the date between July1 and August 31,WG,xLO034,ALK_meqL,,3.936,xLALK1,"Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15. ",
ds_09,x318B,318b,8/1/2009,This data was collected between July and August of 2009 and given a sample date of 2009-08-01 becuase that is the date between July1 and August 31,WG,xLO034,ALK_meqL,,6.552,xLALK1,"Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15. ",
ds_09,x421B,421b,8/1/2009,This data was collected between July and August of 2009 and given a sample date of 2009-08-01 becuase that is the date between July1 and August 31,WG,xLO034,ALK_meqL,,10.468,xLALK1,"Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15. ",
ds_09,x510,510a,8/1/2009,This data was collected between July and August of 2009 and given a sample date of 2009-08-01 becuase that is the date between July1 and August 31,WG,xLO034,ALK_meqL,,4.468,xLALK1,"Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15. ",
ds_09,x513,513,8/1/2009,This data was collected between July and August of 2009 and given a sample date of 2009-08-01 becuase that is the date between July1 and August 31,WG,xLO034,ALK_meqL,,8.744,xLALK1,"Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15. ",
ds_09,x515B,515b,8/1/2009,This data was collected between July and August of 2009 and given a sample date of 2009-08-01 becuase that is the date between July1 and August 31,WG,xLO034,ALK_meqL,,5.92,xLALK1,"Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15. ",
ds_09,x515C,515c,8/1/2009,This data was collected between July and August of 2009 and given a sample date of 2009-08-01 becuase that is the date between July1 and August 31,WG,xLO034,ALK_meqL,,5.872,xLALK1,"Ng, C.G-H., Bekins, B.A., Cozzarelli, I.M., Baedecker, M.J., Bennett, P.C., and Amos, R.T., 2014, A mass balance approach to investigating geochemical controls on secondary water quality impacts at a crude oil spill site near Bemidiji, MN: Journal of Contaminant Hydrology, v. 164, pp. 1-15. ",
