"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Establishing the relationship between heavy oil viscosity and molecular markers using an enhanced neural network model","https://scispace.com/paper/establishing-the-relationship-between-heavy-oil-viscosity-ypp6570qdyc7","2025","Journal Article","Dental science reports","Ming Zhong
Zicheng Niu
Jie Fan
Haiping Huang
Ningxi Li
Li Jia
Hong Zhang","10.1038/s41598-025-18561-2","https://www.nature.com/articles/s41598-025-18561-2.pdf","- **Relevance Score:** 56/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Predicts heavy‑oil viscosity using ridge regression and neural networks, linking biomarkers to viscosity; addresses multicollinearity but lacks LMMs and full diagnostic suite.","The heterogeneous viscosity distribution of biodegraded heavy oil poses significant challenges for reservoir management. While molecular markers (biomarkers) reflect biodegradation intensity, existing models fail to establish quantitative correlations between biomarker signatures and viscosity due to multicollinearity in high-dimensional geochemical data. This study develops an integrated machine learning framework to decode biomarker-viscosity relationships in the Songliao Basin heavy oils. Our dual-phase methodology combines ridge regression for multicollinearity mitigation with a feedforward neural network (FFNN) to capture nonlinear interactions. Key biomarkers were identified through geochemical analysis of 17 heavy oil samples spanning PM0-PM6 biodegradation levels. The hybrid model achieved exceptional prediction accuracy (R2 = 0.99996, RMSE = 3.39) through L2-regularized feature selection and neural network optimization, outperforming standalone FFNN models (cross-validation R2 improvement from 0.032 to 0.99996). Reverse prediction experiments validated biomarker response patterns, even in severely biodegraded oils. The advanced machine learning model proposed in this study is applicable to predict the viscosity of heavy oil and its biomarkers, thereby improving reservoir management strategies. Additionally, this study contributes a new perspective on characterizing and managing the reservoirs of various geological backgrounds and origins, not just biodegradable heavy oil reservoirs."
"The role of macroeconomics in the portuguese stock market","https://scispace.com/paper/the-role-of-macroeconomics-in-the-portuguese-stock-market-szump8dh4y","2012","","","Paulo José Ribeiro Gonçalves","","https://scispace.com/pdf/the-role-of-macroeconomics-in-the-portuguese-stock-market-szump8dh4y.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses VIF and multicollinearity analysis for regression diagnostics; does not employ LMMs or address viscosity prediction in heavy oil contexts.",""
"Prevalence of albuminuria and renal dysfunction, and related clinical factors in Japanese patients with diabetes: The Japan Diabetes Complication and its Prevention prospective study 5","https://scispace.com/paper/prevalence-of-albuminuria-and-renal-dysfunction-and-related-26ctcw9tph","2020","Journal Article","Journal of Diabetes Investigation","Kenichi Shikata
Ryo Kodera
Kazunori Utsunomiya
Daisuke Koya
Rimei Nishimura
Satoshi Miyamoto
Naoko Tajima","10.1111/JDI.13116","https://scispace.com/pdf/prevalence-of-albuminuria-and-renal-dysfunction-and-related-26ctcw9tph.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses VIF to assess multicollinearity in logistic regression; does not employ LMMs, nor predict heavy‑oil viscosity, and lacks intraclass correlation or REML analysis.","Aims/Introduction 
To clarify the prevalence of albuminuria and renal dysfunction, and related factors in Japanese patients with diabetes, we analyzed the baseline data of the Japan Diabetes Complication and its Prevention prospective study. 
Materials and Methods 
We used the data of 355 patients with type 1 diabetes and 5,194 patients with type 2 diabetes to evaluate the prevalence of albuminuria and renal dysfunction, and related factors. A binomial logistic regression analysis was used to investigate independent contributing factors for estimated glomerular filtration rate 
Results 
The prevalence of microalbuminuria and macroalbuminuria was 15.2% (54/355) and 3.1% (11/355) in type 1 diabetes patients, and 25.0% (1,298/5,194) and 5.1% (265/5,194) in type 2 diabetes patients, respectively. The proportion of renal dysfunction (estimated glomerular filtration rate 
Conclusions 
We showed the recent prevalence of albuminuria and renal dysfunction, and related factors in Japanese type 1 and type 2 diabetes patients using the baseline data of the Japan Diabetes Complication and its Prevention prospective study. The current results suggest that renal disease in patients with type 2 diabetes is heterogeneous, and different mechanisms might be involved in albuminuria and deterioration of renal function."
"Nutrient depletion is the main limiting factor in the crude oil bioaugmentation process","https://scispace.com/paper/nutrient-depletion-is-the-main-limiting-factor-in-the-crude-4qhpxfpcmj","2021","Journal Article","Journal of Environmental Sciences-china","Yanyu Sun
Weiwei Chen
Yibo Wang
Jie Guo
Haikun Zhang
Xiaoke Hu","10.1016/J.JES.2020.07.025","https://scholar.archive.org/work/sy3d5h5djjerdfydhmxyg6kap4/access/wayback/http://ir.yic.ac.cn/bitstream/133337/27526/1/Nutrient%20depletion%20is%20the%20main%20limiting%20factor%20in%20the%20crude%20oil%20bioaugmentation%20process.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Mentions VIF to assess multicollinearity among environmental factors, but provides no linear mixed-effects model or viscosity prediction for heavy oil reservoirs.","The biodegradation was considered as the prime mechanism of crude oil degradation. To validate the efficacy and survival of the crude oil-degrading strain in a bioremediation process, the enhanced green fluorescent protein gene (egfp) was introduced into Acinetobacter sp. HC8-3S. In this study, an oil-contaminated sediment microcosm was conducted to investigate the temporal dynamics of the physicochemical characterization and microbial community in response to bacterium amendment. The introduced strains were able to survive, flourish and degrade crude oil quickly in the early stage of the bioremediation. However, the high abundance cannot be maintained due to the ammonium (NH4+-N) and phosphorus (PO43--P) contents decreased rapidly after 15 days of remediation. The sediment microbial community changed considerably and reached relatively stable after nutrient depletion. Therefore, the addition of crude oil and degrading cells did not show a long-time impact on the original microbial communities, and sufficient nitrogen and phosphorus nutrients ensures the survive and activity of degrader. Our studies expand the understanding of the crude oil degradative processes, which will help to develop more rational bioremediation strategies."
"Utilizing conditional generative adversarial networks for data augmentation in logging evaluation","https://scispace.com/paper/utilizing-conditional-generative-adversarial-networks-for-1wh7o7l5qvxe","2025","Journal Article","The Physics of fluids","Lu Qiao
Jiayi He
Ya Zhao
Shengyu Yang","10.1063/5.0255353","","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Mentions multicollinearity in context of GAN‑based data augmentation, but does not use linear mixed‑effects models or predict heavy‑oil viscosity, nor cover all diagnostics.",""
"An experimental design approach for investigating the influence of various factors on wax deposition in production tubing and pipelines","https://scispace.com/paper/an-experimental-design-approach-for-investigating-the-328d4cw9","2023","Journal Article","","K Oduola","10.5281/zenodo.7931874","https://zenodo.org/record/7931874/files/GJETA-2023-0043.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Discusses viscosity reduction and reports VIF/collinearity, but lacks linear mixed-effects models and does not focus on viscosity prediction in heavy‑oil reservoirs.",""
"Fitting bole-volume equations to spatially correlated within-tree data","https://scispace.com/paper/fitting-bole-volume-equations-to-spatially-correlated-within-49qbubcien","1994","Journal Article","","Timothy G. Gregoire
Oliver Schabenberger","10.4148/2475-7772.1362","https://scispace.com/pdf/fitting-bole-volume-equations-to-spatially-correlated-within-49qbubcien.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Fits mixed-effects nonlinear tree volume model using REML; no viscosity or oil reservoir content; only REML addressed, not full diagnostics.","Equations to predict the volume of an individual tree bole between stump height and the height at which its diameter has tapered to a specified minimum are common in forestry. When fitting such a regression equation, a sample of trees which span the range of sizes needed for eventual application of the equation is selected. Bole diameter is measured at ascending heights on the bole. Each tree, therefore, contributes multiple measurements to the data fitted to the equation. In contrast to past practice, we model these data in a manner which accounts for the likely spatial correlation among measurements within a tree. The resulting mixed-effects nonlinear model is fitted by REML and also by generalized estimating equations (GEE). Results from the two approaches are nearly identical, which suggests that the computationally less demanding GEE may be acceptable as a routine alternative to a fully parameterized approach."
"Spatial Distribution And Geomorphic Factors Of Lead Contamination On Floodplains Affected By Historical Mining, Big Rover, S.E. Missouri","https://scispace.com/paper/spatial-distribution-and-geomorphic-factors-of-lead-3dd7ae38vq","2016","","","David Bower Huggins","","https://scispace.com/pdf/spatial-distribution-and-geomorphic-factors-of-lead-3dd7ae38vq.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses VIF and multicollinearity checks in multiple linear regression of lead concentrations; does not involve LMMs, viscosity prediction, or heavy‑oil context.","Historical mining in the Old Lead Belt resulted in lead (Pb) contamination of floodplain soils for over 170 km along the Big River in southeastern Missouri. The overall patterns of contamination are understood. However, Pb distribution across floodplain surfaces has not been investigated at the scale needed for site-level remediation planning. The goal of this project is to examine spatial distribution of Pb with more detail and identify the role of geomorphic processes. Predictive models are needed to evaluate factors affecting Pb distribution such as elevation, distance from the channel, and geochemistry. This study evaluates Pb distribution at three ~1km sites on the Big River with varying floodplain conditions: (1) human-altered topography, (2) narrow valley and, (3) wide valley. Surface soil samples were collected to quantify Pb, geomorphic maps were created using LiDAR, and spatial patterns were analyzed using regression models. Results show that Pb levels at the three sites pose an ecological problem. The most effective predictive model was created at the narrow floodplain site using distance from the channel, elevation, and Fe as independent variables. Less sensitive models were created at the two other sites which had more complicated geomorphological characteristics and less variability in Pb. Using landform/soil series associations and examining the influence of watershed-scale factors such as valley width and proximity to source are likely more effective approaches for understanding Pb distribution on Big River floodplains."
"Examining the relationship between patent applications and financial positions in the upstream Oil and Gas Industry: evidence from Brazil","https://scispace.com/paper/examining-the-relationship-between-patent-applications-and-1qj2dz770f","2021","Journal Article","Journal of innovation management","Fábio de Oliveira Paula
Gabriel Marcuzzo do Canto Cavalheiro","10.24840/2183-0606_008.004_0005","https://scispace.com/pdf/examining-the-relationship-between-patent-applications-and-1qj2dz770f.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Analyzes multicollinearity and reports VIF values for variables, but does not use LMMs, predict viscosity, or cover intraclass correlation/REML.","With the discovery of the Pre-Salt reserves, exploration of oil and gas is being strongly extended in Brazil, contributing to the recent increase of the demand for drilling capabilities. This paper discusses the impact of this oil discovery by assessing the relationship among the growth of proven reserves, the financial position of firms, and patent applications in the Brazilian upstream oil and gas industry. We provide empirical evidence indicating that firms with a lower financial performance prior to the pre-salt discovery were more aggressive in increasing the number of patent filings addressing technologies of the upstream oil and gas domain."
"Sensitivity Study of The Effect Polymer Flooding Parameters to Improve Oil Recovery Using X-Gradient Boosting Algorithm","https://scispace.com/paper/sensitivity-study-of-the-effect-polymer-flooding-parameters-u03lznfd","2023","Journal Article","Journal of Applied Engineering and Technological Science","Tomi Erfando","10.37385/jaets.v4i2.1871","https://scispace.com/pdf/sensitivity-study-of-the-effect-polymer-flooding-parameters-u03lznfd.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Addresses multicollinearity in X‑gradient boosting sensitivity analysis, but does not use linear mixed‑effects models, predict heavy‑oil viscosity, or cover all listed diagnostics.","Implementation of waterflooding sometimes cannot increase oil recovery effectively and requires additional methods to increase oil recovery. Polymer flooding is a common chemical EOR method that has been implemented in the last few decades and provides good effectiveness in increasing oil recovery and can reduce the amount of injection fluid injected into the reservoir. Seeing the success of polymer flooding in increasing oil recovery, it is necessary to know the parameters that influence the success of polymer flooding so that it can be evaluated and taken into consideration in creating a new scheme to increase oil recovery with polymer flooding. The parameters tested in this study include Injection Rate, Injection Time, Injection Pressure, Adsorption, Inaccessible Pore Volume, Residual Resistance Factor. This research uses the X-Gardient Boosting Algorithm to look at the most influential parameters in polymer flooding. The parameters that most influence the performance of polymer flooding on the value of oil recovery with the importance level of each parameter in this study are injection time of 0.452632, injection rate of 0.430075, injection pressure of 0.064662, Adsorption of 0.025564, RRF of 0.021053, IPV of 0.006014 and produce accurate predictive modeling using x-gradient boosting where with 3 variations of the comparison ratio of training and testing data obtained at a ratio of 0.7 : 0.3 obtained an R2 train of 0.9886 and an R2 test of 0.9645, a ratio of 0.8 : 0.2 obtained an R2 train of 0.9891 and an R2 test of 0.9579, and a ratio of 0.9: 0.1 obtained R2 train of 0.9890 and R2 test of 0.9660."
