"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A practical biodegradation scale for use in reservoir geochemical studies of biodegraded oils","https://scispace.com/paper/a-practical-biodegradation-scale-for-use-in-reservoir-193vfwogsf","2012","Journal Article","Organic Geochemistry","Steve Larter
Haiping Huang
Jennifer D. Adams
Barry Bennett
Lloyd R. Snowdon","10.1016/J.ORGGEOCHEM.2012.01.007","https://www.researchgate.net/profile/Haiping-Huang/publication/256976238_A_practical_biodegradation_scale_for_use_in_reservoir_geochemical_studies_of_biodegraded_oils/links/638b2aa97d9b40514e100220/A-practical-biodegradation-scale-for-use-in-reservoir-geochemical-studies-of-biodegraded-oils.pdf","… Heavy oils, super heavy oils and oil sand bitumen are formed by microbial degradation of conventional crude oils … These highly viscous oils are usually rich in asphaltenes and resins (…",""
"Effects of source, thermal maturity, and biodegradation on the distribution and isomerization of homohopanes in petroleum","https://scispace.com/paper/effects-of-source-thermal-maturity-and-biodegradation-on-the-3zje244zos","1991","Journal Article","Organic Geochemistry","Kenneth E. Peters
J.M. Moldowan","10.1016/0146-6380(91)90039-M","","… abundant biomarkers in sedimentary rocks and petroleum … these oils are related and show no evidence of biodegradation, … used to rank the extent of biodegradation on a scale of 1-10. …",""
"Study of the biodegradation levels of oils from the Orinoco Oil Belt (Junin area) using different biodegradation scales","https://scispace.com/paper/study-of-the-biodegradation-levels-of-oils-from-the-orinoco-1nj5dmmo9o","2014","Journal Article","Organic Geochemistry","Liliana López","10.1016/J.ORGGEOCHEM.2013.10.014","https://saber.ucv.ve/bitstream/10872/16007/1/Lopez-2014.pdf","… crude oils from the Orinoco Oil Belt (Junín area) to determine their biodegradation levels using both PM and Manco … , these biomarkers are used in this work to assess the characteristics …",""
"Investigation on the biodegradation levels of super heavy oils by parameter-striping method and refined Manco scale: a case study from the Chepaizi Uplift of Junggar …","https://scispace.com/paper/ZNP2wYcHoAcJ","","","","XC Chang
BB Shi
ZQ Liu
Y Wang
YD Xu","","https://link.springer.com/content/pdf/10.1007/s12182-020-00542-x.pdf","… Gas chromatography–mass spectrometry (GC–MS) analysis of … triaromatic steroids, were added to refine the Manco scale to meet the situation of very heavy to severe biodegraded oils …",""
"Evidence for mixed and biodegraded crude oils in the Socororo field, Eastern Venezuela Basin","https://scispace.com/paper/evidence-for-mixed-and-biodegraded-crude-oils-in-the-35oxri3nt7","2015","Journal Article","Organic Geochemistry","Liliana López
Salvador Lo Mónaco
John K. Volkman","10.1016/J.ORGGEOCHEM.2015.02.006","https://saber.ucv.ve/jspui/bitstream/10872/16008/1/Lopez%20et%20al%202015.pdf","… crude oils show evidence of biodegradation, it was possible to determine, based on various biomarkers parameters, that the oils … of biomarker parameters measured in crude oils from …",""
"GEOCHEMICAL CHARACTERIZATION OF A BIODEGRADED CRUDE OIL, ASSRAN FIELD, CENTRAL GULF OF SUEZ","https://scispace.com/paper/hcsPxGq1X-MJ","","","","AH Hegazi
MS El‐Gayar","","","… However, biodegradation was only slight as GC-MS analyses … value, the Assran oil belongs to level 3 on this scale, which is … The biomarker indices of the Assran oil (Table 2) are within …",""
"Application of new diterpane biomarkers to source, biodegradation and mixing effects on Central Llanos Basin oils, Colombia","https://scispace.com/paper/application-of-new-diterpane-biomarkers-to-source-57kvq0u4j4","1999","Journal Article","Organic Geochemistry","Leon Dzou
Albert G. Holba
Juan C. Ramon
J. Michael Moldowan
David Zinniker","10.1016/S0146-6380(99)00039-X","https://www.academia.edu/download/50260417/s0146-6380_2899_2900039-x20161111-12533-103obh8.pdf","… A measured degree of thermal alteration of 4/4+ (scale 1–7) suggests that it is at a maturity … 11) and it is our experience that fichtelite is rare or absent in mature petroleum (Moldowan, …",""
"Distribution and properties of biomarkers in severely biodegraded crude oil of Gudao reservoir, China","https://scispace.com/paper/distribution-and-properties-of-biomarkers-in-severely-c2nyrw77tf","2013","Journal Article","Journal of Petroleum Science and Engineering","Yingqin Wu
Yingqin Wu
Yanqing Xia
Yongli Wang
Tianzhu Lei
Jiang Chang
Youxiao Wang","10.1016/J.PETROL.2013.02.003","http://www.lig.cas.cn/xwzx/kydt/201310/W020131025389560803997.pdf","… scale … of biomarkers in severely biodegraded crude oil could be developed as a possible proximity indicator. In this study, on the basis of a GC–MS method for biomarkers in crude oils, …",""
"Long term evolution of petroleum biomarkers in mangrove soil (Guadeloupe)","https://scispace.com/paper/long-term-evolution-of-petroleum-biomarkers-in-mangrove-soil-2rf16hqfpb","1997","Journal Article","Marine Pollution Bulletin","David Munoz
Michel Guiliano
Pierre Doumenq
Frédéric Jacquot
Pierre Scherrer
Gilbert Mille","10.1016/S0025-326X(97)00061-1","https://www.academia.edu/download/72854911/s0025-326x_2897_2900061-120211016-1442-1blgnvm.pdf","… C21 triaromatic steroids can be noted whereas no degradation of … After a GC-MS analysis in full scan mode of the crude oil, … But this scale must be cautiously used, because the …",""
"Biomarker Assessment of Crude Oil Biodegradation, A Case Study of the'Y'Field of the Niger Delta","https://scispace.com/paper/SXSafkcOlGsJ","","","","B Takyi
BE Thompson
BF Kofi","","https://journals.umat.edu.gh/index.php/gmj/article/download/752/201","GHANA MINING JOURNAL Page 1 36 Abstract This paper presents a biomarker evaluation of biodegradation of seven (7) crude oil samples from the Niger Delta's 'Y' Field. Saturates …",""
