"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Establishing the relationship between heavy oil viscosity and molecular markers using an enhanced neural network model","https://scispace.com/paper/establishing-the-relationship-between-heavy-oil-viscosity-ypp6570qdyc7","2025","Journal Article","Dental science reports","Ming Zhong
Zicheng Niu
Jie Fan
Haiping Huang
Ningxi Li
Li Jia
Hong Zhang","10.1038/s41598-025-18561-2","https://www.nature.com/articles/s41598-025-18561-2.pdf","… study is applicable to predict the viscosity of heavy oil and its biomarkers, thereby improving … of viscosity in the reservoir7. However, the variation in viscosity of heavy oil in the reservoirs …","The heterogeneous viscosity distribution of biodegraded heavy oil poses significant challenges for reservoir management. While molecular markers (biomarkers) reflect biodegradation intensity, existing models fail to establish quantitative correlations between biomarker signatures and viscosity due to multicollinearity in high-dimensional geochemical data. This study develops an integrated machine learning framework to decode biomarker-viscosity relationships in the Songliao Basin heavy oils. Our dual-phase methodology combines ridge regression for multicollinearity mitigation with a feedforward neural network (FFNN) to capture nonlinear interactions. Key biomarkers were identified through geochemical analysis of 17 heavy oil samples spanning PM0-PM6 biodegradation levels. The hybrid model achieved exceptional prediction accuracy (R2 = 0.99996, RMSE = 3.39) through L2-regularized feature selection and neural network optimization, outperforming standalone FFNN models (cross-validation R2 improvement from 0.032 to 0.99996). Reverse prediction experiments validated biomarker response patterns, even in severely biodegraded oils. The advanced machine learning model proposed in this study is applicable to predict the viscosity of heavy oil and its biomarkers, thereby improving reservoir management strategies. Additionally, this study contributes a new perspective on characterizing and managing the reservoirs of various geological backgrounds and origins, not just biodegradable heavy oil reservoirs."
"Using biomarkers to improve heavy oil reservoir management: An example from the Cymric field, Kern County, California","https://scispace.com/paper/using-biomarkers-to-improve-heavy-oil-reservoir-management-u7k9orpzey","1996","Journal Article","AAPG Bulletin","Mark A. McCaffrey
Henry A. Legarre
Scott J. Johnson","10.1306/64ED8908-1724-11D7-8645000102C1865D","","… biomarker biodegradation parameters and oil viscosity. We analyzed biomarker distributions, oil viscosity, and oil gravity for 15 produced Cymric oils that cover the range of viscosities (…","For biodegraded oil accumulations, field development can be optimized by using geochemical indicators of variations in the extent of bacterial alteration. Biodegradation typically reduces oil producibility by increasing oil viscosity. In the Cymric field (Kern County, California), sidewall core extracts reveal that the extent of oil biodegradation changes substantially over extremely short vertical distances in a shallow, low-permeability reservoir. Zones of more degraded oil can extend laterally for more than a mile. The relationships between oil viscosity and biomarker biodegradation parameters in this field were calibrated from analyses of produced oils, and these relationships were used to convert sidewall core biomarker analyses into quantitative predictions of lateral and vertical changes in oil viscosity and gravity. Compositional variations were also used to allocate production to discrete zones. Viscosity prediction and production allocation can be used to optimize (1) the placement of new wells, (2) the placement of completion intervals, (3) the thickness of steam injection intervals, and (4) the spacing between injection intervals in the same well."
"Combining biomarker and bulk compositional gradient analysis to assess reservoir connectivity","https://scispace.com/paper/combining-biomarker-and-bulk-compositional-gradient-analysis-hyuigl5ku4","2010","Journal Article","Organic Geochemistry","Andrew E. Pomerantz
G. Todd Ventura
Amy M. McKenna
Jesus Cañas
John Auman
Kyle Ross Koerner
David J. Curry
Robert K. Nelson
Christopher M. Reddy
Ryan P. Rodgers
Alan G. Marshall
Kenneth E. Peters
Oliver C. Mullins","10.1016/J.ORGGEOCHEM.2010.05.003","https://www.academia.edu/download/42235848/Assessing_Reservoir_Connectivity_Through20160206-14055-14f58a3.pdf","… reservoir in which the observed viscosity … biomarkers is consistent with a reservoir mechanism involving at least two charges, with an earlier charge experiencing heavy biodegradation …",""
"A practical biodegradation scale for use in reservoir geochemical studies of biodegraded oils","https://scispace.com/paper/a-practical-biodegradation-scale-for-use-in-reservoir-193vfwogsf","2012","Journal Article","Organic Geochemistry","Steve Larter
Haiping Huang
Jennifer D. Adams
Barry Bennett
Lloyd R. Snowdon","10.1016/J.ORGGEOCHEM.2012.01.007","https://www.researchgate.net/profile/Haiping-Huang/publication/256976238_A_practical_biodegradation_scale_for_use_in_reservoir_geochemical_studies_of_biodegraded_oils/links/638b2aa97d9b40514e100220/A-practical-biodegradation-scale-for-use-in-reservoir-geochemical-studies-of-biodegraded-oils.pdf","… hydrocarbons with three or more rings and cyclic alkane (naphthenic) biomarkers are more effective for tracking the biodegradation process, oil viscosity and other property variations. …",""
"Subsurface biodegradation of crude oil in a fractured basement reservoir, Shropshire, UK","https://scispace.com/paper/subsurface-biodegradation-of-crude-oil-in-a-fractured-25lxa8moug","2017","Journal Article","Journal of the Geological Society","John Parnell
Mas'ud Baba
Stephen A. Bowden
David Muirhead","10.1144/JGS2016-129","https://www.lyellcollection.org/doi/pdf/10.1144/jgs2016-129","… biodegradation of crude oil in current oil reservoirs is well established, but there are few examples of ancient subsurface degradation. Biomarker compositions of viscous … biodegradation …","Subsurface biodegradation of crude oil in current oil reservoirs is well established, but there are few examples of ancient subsurface degradation. Biomarker compositions of viscous and solid oil residues (‘bitumen’) in fractured Precambrian and other basement rocks below the Carboniferous cover in Shropshire, UK, show that they are variably biodegraded. High levels of 25-norhopanes imply that degradation occurred in the subsurface. Lower levels of 25-norhopanes occur in active seepages. Liquid oil trapped in fluid inclusions in mineral veins in the fractured basement confirms that the oil was emplaced fresh before subsurface degradation. A Triassic age for the veins implies a 200 myr history of hydrocarbon migration in the basement rocks. The data record microbial biodegradation of hydrocarbons in a fractured basement reservoir, and add to evidence in modern basement aquifers for microbial activity in deep fracture systems. Buried basement highs may be especially favourable to colonization, through channelling fluid flow to shallow depths and relatively low temperatures, and are therefore an important habitat within the deep biosphere."
"Biodegradation characteristics of bitumen from the Upper Devonian Grosmont reservoir, Alberta, Canada","https://scispace.com/paper/biodegradation-characteristics-of-bitumen-from-the-upper-1qgnjq5kbc","2011","Journal Article","Bulletin of Canadian Petroleum Geology","Yi Zhao
Hans G. Machel","10.2113/GSCPGBULL.59.2.112","","… between biomarker biodegradation parameters and viscosity… geochemical parameters and oil viscosity are not generally … correlated best with viscosity in the heavy oil reservoir studied (…","The Upper Devonian Nisku Formation, Upper Ireton, and Grosmont Formation (collectively referred as the “Grosmont reservoir”) form a giant bitumen/heavy oil reservoir in Alberta, Canada with about 406 billion barrels of original oil in place. Because of the low quality of the hydrocarbons and the complex geology, the Grosmont reservoir was not deemed commercially viable until relatively recently. The Grosmont is now under consideration for commercial development by several companies and consortia due to technological advances and higher oil prices. One part of the work leading up to new pilot sites is the characterization of the degree of biodegradation in the Grosmont reservoir, which could be used as a proxy of the petrophysical properties of bitumen, specifically viscosity. In order to characterize the biodegradation in the Grosmont reservoir, a total of 18 samples selected from the Nisku, Upper Ireton, and Grosmont along a strike cross-section were examined by gas chromatography-mass spectrometry. Biomarker analysis indicates the Grosmont reservoir was subjected to extreme stages of biodegradation, demonstrated by the loss of regular steranes, strongly biodegraded hopanes, and reduced abundances of tricyclics and diasteranes. The rare geological marker compound 28, 30-bisnorhopane is also highly biodegraded but does exist in some Grosmont bitumen samples examined, supporting the notion that bitumens in the Devonian carbonates and the Cretaceous oil sands have a common origin. Based on the distribution characteristics of hopanes and tricyclics, several biodegradation parameters are identified and the samples are categorized into three distinct biodegradation stages. The data shows that the stage of biodegradation is likely most severe around stratigraphic boundaries and generally increases from southeast to northwest. Several recognized biodegradation parameters, such as 17α(H)-hopane/17α(H)-norhopane, are correlatable with the bitumen viscosity. Such parameters can be used as proxies for in situ viscosity, which is highly useful in aged samples (older than a few years) that have lost volatiles while in storage and thus no longer have the same viscosity as when retrieved from the reservoir."
"A novel approach for investigating the paleo-oil filling orientations: Constraints by biodegradation evaluation proxies and recovered biomarker parameters","https://scispace.com/paper/a-novel-approach-for-investigating-the-paleo-oil-filling-316onyel1s","2024","Journal Article","","Bingbing Shi
Xiangchun Chang
Tianjiao Liu
Guanlong Zhang
Pengfei Zhang
Youde Xu
Guo Chen","10.1021/acs.energyfuels.4c00231","","… biodegradation processes become dominant in the migration process, the density and viscosity … In this study, QGF analysis was carried out on sandstone reservoir samples from 42 wells…","The spatial arrangement of methyl groups in biomarkers significantly impacts their polarity and thermal stability, both of which are crucial for the chromatographic effects involved in tracing the direction of oil migration. However, biodegradation can also selectively alter the isomers of these biomarkers based on the positions of their methyl groups, making it challenging to interpret migration directions in biodegraded oils using conventional tracers. Hence, it is imperative to explore novel indicators, such as the biodegradation evaluation parameter, in order to discern the directions of oil migration. However, conventional proxies for evaluating biodegradation, such as C29 25-nor-hopane/C30Hopane (25-NH/H), C2217-nor-tricyclic terpane/C23 tricyclic terpane (17-NT/TT), and the widely used modular analysis and numerical classification of oils (Manco) scale, often have limited applicability and resolution within a narrow range of biodegradation, particularly in long-distance migration scenarios. To address this issue and improve resolution across a broader spectrum of biodegraded oils, we developed a refined approach. This approach uses five homologues, each displaying different levels of resistance to biodegradation, to cover the complete range of biodegradation. Our novel approach provides significantly improved resolution compared to the conventional Manco scale, and our goal is to employ the contour plots generated by this approach to accurately determine the migration direction. To verify the accuracy of our results, we conducted validation experiments using conventional tracers. Our validation experiments included measurements of isomer ratios of pyrrolic and thiophene ring compounds, as well as typical biomarker tracers recovered from the biogenetic information derived from biodegraded oils, specifically (C23TT+C2217-NT)/(C30H+C29 25-NH). Furthermore, we examined structural morphology, density and viscosity, the quantitative grain fluorescence index, the hydrocarbon migration effective pathway index (Hmle), and pore-permeability characteristics for further validation purposes. This refined scale for evaluating biodegradation provides comprehensive insights into biodegraded oils and serves as an essential tool for understanding patterns of hydrocarbon preferential migration and identifying promising exploration targets for biodegraded oils in both the studied regions and elsewhere. "
"Viscosity prediction of heavy oil from the Liaohe Basin using biomarker parameters","https://scispace.com/paper/viscosity-prediction-of-heavy-oil-from-the-liaohe-basin-1130qzhg79","2014","Journal Article","Petroleum Science and Technology","J. J. Hu
X. T. Zhang
Q. Yu
Z. Huang
Q. Xiao
H. J. Zhao","10.1080/10916466.2011.637535","","… viscosity values and biomarker biodegradation parameters. … on the biodegradation biomarker parameters using viscosity data for … heavy oil production projects and enhance oil reservoir …","A set of correlations was proposed to predict the viscosities of heavy oils from Leng 43/37 blocks (Liaohe Basin) using some biomarker parameters. Geochemical analysis showed that the heavy oils in this study main suffered from different degrees of biodegradation. With increasing biodegradation, the viscosities of crude oils have strong correlations with the following four biomarker biodegradation parameters: (Pr + Ph)/(nC17 + nC18), (nC17 + nC18)/C30H, nC17 + nC18 + Pr + Ph (mg/g), ∑(nC11 − nC36) (mg/g); the correlation coefficients were 0.96, 0.94, 0.93, and 0.94, respectively. Moreover, for convenience, we ranked the extent of biodegradation as nonbiodegraded and lightly, moderately, heavily, and severely biodegraded. The accuracy and applicable biodegradation scale range of these correlations are discussed. The viscosities obtained from the correlations could be used in designing biodegraded heavy oil production projects."
"Deterioration of oil quality during sample storage: are stored reservoir core samples a viable resource for oil viscosity determination?","https://scispace.com/paper/deterioration-of-oil-quality-during-sample-storage-are-o7iv5gcbii","2019","Journal Article","Fuel","Barry Bennett
Chunqing Jiang
Stephen R. Larter","10.1016/J.FUEL.2019.02.002","","… biodegradation is the primary control on oil viscosity and variation in hydrocarbon compositions for this oil sample suite, partial least squares models based on viscosity … biomarker …",""
"Biomarker assessment of oil biodegradation, water washing, and source rock characteristics of oil seeps from the Foothill Zone along the Tigris River, Northern Iraq","https://scispace.com/paper/biomarker-assessment-of-oil-biodegradation-water-washing-and-zxva36u4kv","2021","Journal Article","Journal of Petroleum Science and Engineering","Mohamed W. Alkhafaji","10.1016/J.PETROL.2020.107946","","… could encourage further oil exploration for shallow reservoirs in Foothill Zone. The aims of … The bitumen is dense and hard under cold weather during the winter, but it becomes viscous …",""
