"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Calculating biotite formula from electron microprobe analysis data using a machine learning method based on principal components regression","https://scispace.com/paper/calculating-biotite-formula-from-electron-microprobe-1qf1wlgjbf","2020","Journal Article","Lithos","Xiaoyan Li
Xiaoyan Li
Chao Zhang
Chao Zhang
Harald Behrens
Francois Holtz","10.1016/J.LITHOS.2020.105371","https://dxdztz.nju.edu.cn/_upload/article/files/70/99/8383cb9249a8b8ea4c87eae8ffba/c5e2498c-e95b-416a-b84d-eed4b736dc8e.pdf","… of biotite samples using their compositional data from EMPA. … and the associated multicollinearity are inevitable issues that … Multicollinearity is the technical term for the situation …",""
"Constraining rutile provenance in Nb-rich coal-bearing strata: An approach integrating trace element geochemistry and machine learning","https://scispace.com/paper/constraining-rutile-provenance-in-nb-rich-coal-bearing-u3vh7t0pbf30","2025","Journal Article","International Journal of Coal Geology","Huidi Hao
Bo Jiu
Wenhui Huang
Zhaoguo Wang
Binchao Qin
Linghao Huang","10.1016/j.coal.2025.104898","","… machine learning and rutile trace element geochemistry. Comprehensive analyses via laser … establishes a transferable machine learning-geochemistry methodology for multi-source …",""
"Separating anthropogenic from natural anomalies in environmental geochemistry","https://scispace.com/paper/separating-anthropogenic-from-natural-anomalies-in-1621ppssus","1995","Journal Article","Journal of Geochemical Exploration","O.S. Selinus
Kim H. Esbensen","10.1016/0375-6742(95)00034-8","","… geochemistry has … multicollinearity problem of correlated Xvariables. The advantage of PLSR is that it gives optimal prediction ability in a strict statistical sense. Bedrock geochemistry …",""
"Prediction and Analysis of Geochemical Concentrations of Valuable Components Using Machine Learning Methods","https://scispace.com/paper/hyKWxmU5zkQJ","","","","S Kasenov
A Temirbekov
O Gavrilenko","","","… latent factors and eliminate multicollinearity among features. This … We first obtained geochemical data from observation points … Additionally, Figure 2 presents geochemical data points …",""
"Efforts to untie the multicollinearity knot and identify factors controlling macropore structures in shale oil reservoirs","https://scispace.com/paper/efforts-to-untie-the-multicollinearity-knot-and-identify-1eqprmfaoj","2024","Journal Article","Advances in geo-energy research","Ziyi Wang
Lin Dong
Zhijun Jin
Shuangmei Zou
Jinhua Fu
Rukai Zhu","10.46690/ager.2024.03.04","https://www.sciopen.com/local/article_pdf/10.46690/ager.2024.03.04.pdf","… have limitations in discerning pore development determinants in shale oil reservoir, given the complex lithology of shale formations and intricate interdependencies (multicollinearity) …","Traditional correlation analyses based on whole-rock data have limitations in discerning pore development determinants in shale oil reservoir, given the complex lithology of shale formations and intricate interdependencies (multicollinearity) among geological variables. In this study, mercury injection capillary pressure and digital analysis of scanning electron microscopy were employed to examine the macropore structures of both whole rocks and their constituent lithologies for the Upper Triassic Chang-7 shale of the Ordos Basin. Variations were observed among clay shale (shale primarily consisting of clay-sized mineral grains), massive siltstone and silty laminae within the Chang-7 shale. Through the combination of correlation analysis and scanning electron microscope digital technique, it was demonstrated that total organic carbon content primarily controls the level of macropore development, while lithology primarily governs macropore types and structures. Although quartz and pyrite exhibit correlations with macropore volume, they do not emerge as primary factors; instead, they appear interconnected to total organic carbon. Due to detrital mineral framework preservation during compaction, larger macropores are more developed in massive siltstones and silty laminae than in clay shale. Additionally, silty laminae, situated closer to the source rock and influenced by organic acids, exhibit a higher abundance of larger dissolution pores, potentially favoring shale oil development. This study overcomes traditional method constraints, disentangling multi-correlations, and providing new insights into shale macropore development mechanisms, potentially advancing shale oil exploration and production. Document Type: Original article Cited as: Wang, Z., Dong, L., Jin, Z., Zou, S., Fu, J., Zhu, R. Efforts to untie the multicollinearity knot and identify factors controlling macropore structures in shale oil reservoirs. Advances in Geo-Energy Research, 2024, 11(3): 194-207. https://doi.org/10.46690/ager.2024.03.04 "
"Geographically weighted regression (GWR) and Prediction-area (PA) plot to generate enhanced geochemical signatures for mineral exploration targeting","https://scispace.com/paper/geographically-weighted-regression-gwr-and-prediction-area-p-21enj8hl","2023","Journal Article","Applied Geochemistry","Mi Tian
Xueqin Wang
Qiang Wang
Yu-Chuan Qiao
Hui Wu
Qinghai Hu","10.1016/j.apgeochem.2023.105590","","… Next, the data were centered standardized to eliminate collinearity, since collinearity may affect the stability and accuracy of model, GWR requires there is no collinearity between …",""
"A data-driven spline model designed to predict paleoclimate using paleosol geochemistry","https://scispace.com/paper/a-data-driven-spline-model-designed-to-predict-paleoclimate-3clwwmbdqx","2016","Journal Article","American Journal of Science","Gary E. Stinchcomb
Gary E. Stinchcomb
Lee C. Nordt
Steven G. Driese
William E. Lukens
Forrest C. Williamson
Jack D. Tubbs","10.2475/08.2016.02","https://ajsonline.org/article/65694.pdf","… The PLSR was used in this study to reduce the dimensions of the data and remove collinearity between descriptors while at the same time maximizing covariance with the combined …","Paleosols (fossil soils) are abundant in the sedimentary record and reflect, at least in part, regional paleoclimate. Paleopedology thus offers a great potential for elucidating high resolution, deep-time paleoclimate records. However, many fossil soils did not equilibrate with climate prior to burial and instead dominantly express physical and chemical features reflective of other soil forming factors. Current models that use elemental oxides for climate reconstruction bypass the issue of soil-climate equilibration by restricting datasets to narrow ranges of soil properties, soil-forming environments and mean annual precipitation (MAP) and mean annual temperature (MAT). Here we evaluate a data-driven paleosol-paleoclimate model (PPM1.0) that uses subsoil geochemistry to test the ability of soils from wide-ranging environments to predict MAP and MAT as a joint response with few initial assumptions. The PPM1.0 was developed using a combined partial least squares regression (PLSR) and a nonlinear spline on 685 mineral soil B horizons currently forming under MAP ranging from 130 to 6900 mm and MAT ranging from 0 to 27 °C. The PLSR results on 11 major and minor oxides show that four linear combinations of these oxides (Regressors 1-4), akin to classic oxide ratios, have potential for predicting climate. Regressor 1 correlates with increasing MAP and MAT through Fe oxidation, desilication, base loss and residual enrichment. Regressor 2 correlates with MAT through temperature-dependent dissolution of Na- and K-bearing minerals. Regressor 3 correlates with increasing MAP through decalcification and retention of Si. Regressor 4 correlates with increasing MAP through Mg retention in mafic-rich parent material. The nonlinear spline model fit on Regressors 1 to 4 results in a Root Mean Squared Error (RMSEMAP) of 228 mm and RMSEMAT of 2.46 °C. PPM1.0 model simulations result in Root Mean Squared Predictive Error (RMSPEMAP) of 512 mm and RMSPEMAT of 3.98 °C. The RMSE values are lower than some preexisting MAT models and show that subsoil weathering processes operating under a wide range of soil forming factors possess climate prediction potential, which agrees with the state-factor model of soil formation. The nonlinear, multivariate model space of PPM1.0 more accurately reflects the complex and nonlinear nature of many weathering processes as climate varies. This approach is still limited as it was built using data primarily from the conterminous USA and does not account for effects of diagenesis. Yet, because it is calibrated over a broader range of climatic variable space than previous work, it should have the widest array of potential applications. Furthermore, because it is not dependent on properties that may be poorly preserved in buried paleosols, the PPM1.0 model is preferable for reconstructing deep time climate transitions. In fact, previous studies may have grossly underestimated paleo-MAP for some paleosols."
"Geochemical behavior and enrichment mechanisms of REEs and HFSEs in Permian claystones of SW China: Insights from multivariate statistical analysis and …","https://scispace.com/paper/2zk9fwfjY_4J","","","","ZS Yang
XW Huang
YH Gao
YM Meng
L Qi","","","… performance with robustness to multicollinearity and overfitting. … In this study, we compile published geochemical data for … moves beyond descriptive geochemistry and establishes a …",""
"Data leveling of multi-map geochemical exploration data using compositional data analysis: A case study from the Baiyinchagan–Maodeng Area, Inner …","https://scispace.com/paper/QCwN1_WOnycJ","","","","R Tang
C Li
K Xiao
G Tang","","","… geochemical data. In practical terms, this study provides valuable guidance for selecting appropriate geochemical data … This method resolves the multicollinearity issue of clr but still …",""
"Geostatistics for compositional data: an overview","https://scispace.com/paper/geostatistics-for-compositional-data-an-overview-4kmljovor1","2019","Journal Article","Mathematical Geosciences","Raimon Tolosana-Delgado
Ute Mueller
K. Gerald van den Boogaart
K. Gerald van den Boogaart","10.1007/S11004-018-9769-3","https://www.hzdr.de/publications/PublDoc-11299.pdf","This paper presents an overview of results for the geostatistical analysis of collocated multivariate data sets, whose variables form a composition, where the components represent the …","This paper presents an overview of results for the geostatistical analysis of collocated multivariate data sets, whose variables form a composition, where the components represent the relative importance of the parts forming a whole. Such data sets occur most often in mining, hydrogeochemistry and soil science, but the results gathered here are relevant for any regionalised compositional data set. The paper covers the basic definitions, the analysis of the spatial codependence between components, mapping methods of cokriging and cosimulation honoring compositional constraints, the role of pre- and post-transformations such as log-ratios or multivariate normal score transforms, and block-support upscaling. The main result is that multivariate geostatistical techniques can and should be performed on log-ratio scores, in which case the system data-variograms-cokriging/cosimulation is intrinsically consistent, delivering the same results regardless of which log-ratio transformation was used to represent them. Proofs of all statements are included in an appendix."
