"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Eyring-theory-based model to estimate crude oil viscosity at reservoir conditions","https://scispace.com/paper/eyring-theory-based-model-to-estimate-crude-oil-viscosity-at-3oh5oiu9g5","2009","Journal Article","Energy & Fuels","Ricardo Macías-Salinas
C. Duran-Valencia
Simón López-Ramírez
Christian Bouchot","10.1021/EF8003015","","… into the viscosity model to calculate all of the thermodynamic properties required within the Eyring’s modeling framework. Satisfactory density and viscosity representations of various …","The well-known absolute reaction rate theory of Eyring was successfully extended to the accurate estimation of crude oil viscosities over a wide pressure range: from dead to live oil conditions. Two simple cubic equations of state (Soave or Peng−Robinson) were incorporated into the viscosity model to calculate all of the thermodynamic properties required within the Eyring’s modeling framework. Satisfactory density and viscosity representations of various crude oils (with low-to-moderate molar masses) were achieved by using two tuning parameters valid over a wide pressure range."
"Viscosity of several liquid hydrocarbons as a function of temperature, pressure, and free volume","https://scispace.com/paper/viscosity-of-several-liquid-hydrocarbons-as-a-function-of-46chgbuhtp","1967","Journal Article","Journal of Chemical Physics","David L. Hogenboom
Wayne Webb
Joseph A. Dixon","10.1063/1.1841088","https://pubs.aip.org/aip/jcp/article-pdf/46/7/2586/18849543/2586_1_online.pdf","… To our knowledge the only model for viscous flow which approaches Eyring's rate theory in the variety of liquids to which it has been applied is the freevolume model of Cohen and …","Viscosity measurements have been made on nine pure hydrocarbon liquids at six temperatures ranging from 15.56° to 135°C and at pressures as high as 4000 bars. The samples included rigid bicyclic compounds of relatively high symmetry and three n‐alkanes, n‐C12, n‐C15, and n‐C18. These data were analyzed using the Eyring significant‐structure theory, the Cohen—Turnbull free‐volume model, and the empirical Doolittle equations. All of these equations produced essentially identical fits to the data at atmospheric pressure. The hypothesis that the constants v0 and vs in these equations represent the specific volume of a ``solid'' or condensed phase was tested by comparing best‐fit values of these constants with experimental values for the solid‐phase specific volume.The Cohen—Turnbull and Doolittle equations were modified for use at elevated pressures with the result that the values of v0 necessary to satisfy the equations at high pressures were shown to be analogous to the specific volumes of a glassy state at..."
"Thermodynamic model of viscosity of hydrocarbons and their mixtures","https://scispace.com/paper/thermodynamic-model-of-viscosity-of-hydrocarbons-and-their-2hxx7azwxp","2010","Journal Article","International Journal of Heat and Mass Transfer","I. V. Derevich","10.1016/J.IJHEATMASSTRANSFER.2010.04.035","https://www.academia.edu/download/112250419/j.ijheatmasstransfer.2010.04.03520240309-1-46jn3s.pdf","… In this paper, Eyring hypothesis of formation of excited area in a … thermodynamic properties in liquid and vapor phases including saturation line, and we may calculate dynamic viscosity …",""
"Study of Activation Energy for Viscous Flow of Mixtures as a Measure of Dilution Efficiency for Heavy Oil-Diluent Systems","https://scispace.com/paper/study-of-activation-energy-for-viscous-flow-of-mixtures-as-a-2ub2mstluy","2023","Preprint","","Mumuni Amadu
Adango Miadonye
Iysha Kumari
Isha H. Jain","10.2139/ssrn.4632250","https://scholar.archive.org/work/6ghl5pnmkndetpqw4klrkxdlmq/access/wayback/https://ccsenet.org/journal/index.php/ijc/article/download/0/0/50166/54290","… Eyring to derive an equation for the activation energy change for viscous flow per unit volume of diluent, assuming that the thermodynamic … measured kinematic viscosity of crude oil and …",""
"Theories of viscosity","https://scispace.com/paper/theories-of-viscosity-4whs28v5er","2007","Book Chapter","","Dabir S. Viswanath
Tushar K. Ghosh
D. H. L. Prasad
Nidamarty V.K. Dutt
Kalipatnapu Yamuna Rani","10.1007/978-1-4020-5482-2_3","","… for estimating the viscosity of crude oil fractions yielded an AAD of … viscosity model for pure liquids and mixtures on the basis of Eyring’s absolute rate theory, statistical thermodynamics …",""
"Theoretical Calculation of the Pressure Dependence of Liquid Hydrocarbon Viscosities","https://scispace.com/paper/theoretical-calculation-of-the-pressure-dependence-of-liquid-5eop8j80jo","1969","Journal Article","Journal of Chemical Physics","Mu Shik Jhon
William L. Klotz
Henry Eyring","10.1063/1.1672580","https://pubs.aip.org/aip/jcp/article-pdf/51/9/3692/18864909/3692_1_online.pdf","… The advantage of this treatment is that thermodynamic as well as … for viscosity at high pressures is developed and used to evaluate the viscosity of some selected liquid hydrocarbons …","The extension of the significant structure theory of viscosity to the calculation of the viscosities of some selected liquid hydrocarbons such as n‐C12, n‐C15, and n‐C18, etc., has been made. In this derivation, the explicit functional expressions of the molar solidlike volume Vs and the intermolecular potential φ(a) were introduced. The agreement between theory and experiment over a wide temperature (35–135°C) and pressure range (1–3600 bars) is quite satisfactory. The advantage of this treatment is that thermodynamic as well as transport properties are calculated from this same model of the liquid state."
"Low temperature fluorescence studies of crude petroleum oils","https://scispace.com/paper/low-temperature-fluorescence-studies-of-crude-petroleum-oils-kr78sh4qf6","2011","Journal Article","Energy & Fuels","Peter Owens
Alan G. Ryder","10.1021/EF201030T","https://researchrepository.universityofgalway.ie/bitstreams/71cce2ef-29c7-4eb2-92d1-d3c6cace6895/download","… The Eyring model was used to describe the nonradiative decay mechanism … activation energy relates to a mole of emitting fluorophores. The Arrhenius model implied that, for crude oil …","We have studied the low-temperature (133–298 K) fluorescence emission of crude petroleum oils using a combination of steady-state and time-resolved measurements. This was done, first, to see if we could generate linear correlations between the oil composition information and the fluorescence measurements and, second, to better understand how static and dynamic quenching affect fluorescence emission. It was observed that the fluorescence intensity and the lifetime of the crude oils increased rapidly with decreasing temperature down to the freezing point, and then, they either remained constant or, surprisingly, began to decrease slightly. These changes could not be correlated accurately with the compositional data available. However, despite the very large variations in sample composition, it was found that these lifetime–temperature changes followed simple Arrhenius and Eyring behavior. For the cold liquid phase, an Arrhenius model enabled the calculation of an intrinsic lifetime, the magnitude of which w..."
"Study of Activation Energy for Viscous Flow of Mixtures as a Measure of Dilution Efficiency for Heavy Oil-Diluent Systems","https://scispace.com/paper/study-of-activation-energy-for-viscous-flow-of-mixtures-as-a-2ub2mstluy","2023","Preprint","","Mumuni Amadu
Adango Miadonye
Iysha Kumari
Isha H. Jain","10.2139/ssrn.4632250","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4632250","… Eyring to derive an equation for the activation energy change for viscous flow per unit volume of diluent, assuming that the thermodynamic … measured kinematic viscosity of crude oil and …",""
"Models for Estimating the Viscosity of Paraffinic–Naphthenic Live Crude Oils","https://scispace.com/paper/models-for-estimating-the-viscosity-of-paraffinic-naphthenic-45w64sua5a","2018","Journal Article","Energy & Fuels","Luciana L.P.R. Andrade
Krishnaswamy Rajagopal","10.1021/ACS.ENERGYFUELS.7B03903","","… ABSTRACT: Viscosity is an important property of live crude oil … In this work, Eyring theory is applied for modeling viscosity … the pressure using a thermodynamic relation which correlates …","Viscosity is an important property of live crude oil used in design and operation of production processes. Eleven widely used empirical correlations for estimating undersaturated oil viscosity were evaluated using measured undersaturated oil viscosity for live crude oils from primary separators of the ten Brazilian oil wells. The oil samples were characterized as paraffinic-naphthenic crudes. The empirical correlations were found to be inadequate to represent the measured data. The better literature models present average absolute percent relative errors of 1.18 % and 1.40 %, but show wider scatter of data. For more accurate estimates of undersaturated oil viscosity of paraffinic-naphthenic live crudes oils, a new model based on Eyring theory is proposed and this model correlates the experimental data with average absolute percent relative error of 0.97 %."
"Viscosity of liquids","https://scispace.com/paper/viscosity-of-liquids-1fydlucow8","1952","Journal Article","Proceedings of The Royal Society A: Mathematical, Physical and Engineering Sciences","E. N. Da C. Andrade","10.1098/RSPA.1952.0193","","… the most part with viscosity and thermodynamic data found in … Two correlations are based on Eyring's theory of absolute … fairly well the viscosity data of liquid hydrocarbons at a given …","I venture to lay before you certain considerations concerning the viscosity of liquids which may find a place in a discussion of the theory of liquids. They mostly pertain to experiment, but, after all, the purpose of physical experiment is to stimulate the theoretical physicist. I shall deal briefly with three aspects of viscosity: the viscosity of molten metals, which represent the simplest class of liquid; the influence of an external electric field on the viscosity of liquids; and the viscosity of liquids in the supercooled state. In the last two cases a positive effect has been found in the case of polar liquids only. As regards the viscosity of the simplest liquids, the difficulties in the way of a mathematically satisfactory theory, which shall lead to results that can be checked by experiment, are formidable, as will be agreed by anyone who has studied the papers of Born & Green, in which the greatest ingenuity and exceptional mathematical powers have not, as far as viscosity is concerned, produced formulae free from arbitrary constants for comparison with laboratory measurement. This being the case, a cruder picture that leads to figures in close agreement with experiment may perhaps be pardoned, until the pursuit of greater perfection brings something more precise and more firmly founded."
