"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Prediction of petrophysical properties using machine learning and hierarchical multi-task linear models","https://scispace.com/paper/m2duxalSMD0J","","","","MR Albuquerque","","https://pantheon.ufrj.br/bitstream/11422/25724/1/943637.pdf","… Petrophysical characterization of reservoir rocks is a fundamental step in the evaluation of … are noticeably reduced in the hierarchical linear model. Hierarchical varying slope and simple …",""
"The Dublin SURGE Project: Geochemical baseline for heavy metals in topsoils and spatial correlation with historical industry in Dublin, Ireland","https://scispace.com/paper/the-dublin-surge-project-geochemical-baseline-for-heavy-9xwku9murt","2014","Journal Article","Environmental Geochemistry and Health","M. M. Glennon
Paul Harris
R. T. Ottesen
R. P. Scanlon
P. J. O’Connor","10.1007/S10653-013-9561-8","https://link.springer.com/content/pdf/10.1007/s10653-013-9561-8.pdf","… with the REML fit, the empirical variogram is presented, where in this case, the REML model … (for future work) to re-specify the REML fit with a wave model instead of the Gaussian. …","The Dublin SURGE (Soil Urban Geochemistry) Project is Dublin’s first baseline survey of heavy metals and persistent organic pollutants in topsoils and is part of a Europe-wide initiative to map urban geochemical baselines in ten cities. 1,058 samples were collected as part of a stratified random sampling programme in the greater Dublin area to give an overview of baseline conditions in the city. Samples were analysed for 31 inorganic elements including heavy metals. Analysis of results indicates that the concentrations of lead, copper, zinc and mercury are strongly influenced by human activities, with elevated concentrations in the city docklands, inner city and heavy industry areas. Sources of heavy metals in these areas may include historical industry, coal burning, re-use of contaminated soil, modern traffic and leaded paint and petrol. Concentrations of other inorganic elements in topsoil show patterns which are strongly related to regional bedrock parent material. The spatial distributions of heavy metals, in particular Pb and As, are explored in detail with respect to regional geology and the influence of historical industry on soil quality. Exploratory data, geostatistical and correlation analyses suggest that the concentrations of heavy metals tend to increase as the intensity of historical industrial activity increases. In particular, drinks production, power generation, oil/gas/coal, metals and textile historical industries appear to be the contamination source for several heavy metals. The data provide a geochemical baseline relevant to the protection of human health, compliance with environmental legislation, land use planning and urban regeneration."
"Using multi-temporal Landsat imagery and linear mixed models for assessing water quality parameters in Río Tercero reservoir (Argentina)","https://scispace.com/paper/using-multi-temporal-landsat-imagery-and-linear-mixed-models-3mim97qi2m","2015","Journal Article","Remote Sensing of Environment","Matias Bonansea
María Claudia Rodriguez
Lucio P. Pinotti
Susana Ferrero","10.1016/J.RSE.2014.10.032","https://www.academia.edu/download/86763381/j.rse.2014.10.03220220531-1-qav7d5.pdf","… In this paper, restricted maximum likelihood (REML) method was used for estimating variance–covariance matrix parameters. According to Lark and Cullis (2004), the estimation of the …",""
"Winter in two phases: Long‐term study of a shallow reservoir in winter","https://scispace.com/paper/winter-in-two-phases-long-term-study-of-a-shallow-reservoir-5cw4e5dq2k","2021","Journal Article","Limnology and Oceanography","Emily Cavaliere
Helen M. Baulch","10.1002/LNO.11687","https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lno.11687","… model restricted maximum likelihood (REML) estimations and selecting the lowest REML (… model selected to minimize the AIC or REML and maximize variance explained. In addition, …",""
"Estimating the spatial scales of regionalized variables by nested sampling, hierarchical analysis of variance and residual maximum likelihood","https://scispace.com/paper/estimating-the-spatial-scales-of-regionalized-variables-by-3ytjjmuj3s","2006","Journal Article","Computers & Geosciences","Richard Webster
S. J. Welham
Jacqueline M. Potts
M. A. Oliver","10.1016/J.CAGEO.2005.12.002","","… so there will be little difference between reml and ml estimates. In … with zero expectation, we can get (reml) estimates of the variance … In the balanced case, the reml estimators of variance …",""
"Spatial assessment of gross vertical reservoir heterogeneity using geostatistics and GIS-based machine-learning classifiers: A case study from the Zubair Formation …","https://scispace.com/paper/_4RkuP8OXMQJ","","","","AM Handhal
FR Ettensohn
AM Al-Abadi","","","… The study of oil-field reservoir heterogeneity is an important … In this study, vertical reservoir heterogeneity was quantified … , reservoir-unit thickness, and depth to the top of reservoir unit, …",""
"Spatial-seasonal dynamics of fish in a drought-stressed Mediterranean reservoir: An integrated hydroacoustic approach for adaptive management","https://scispace.com/paper/4Et_ilzIIgMJ","","","","L Encina
C Orduna
A Rodríguez-Ruiz","","","… composition in Zahara-El Gastor Reservoir (SW Spain) and to … , and riverine zones of the reservoir. Acoustic data, analysed … , providing a practical basis for adaptive reservoir monitoring. …",""
"Vegetation colonization within exposed reservoirs following dam removal on the Elwha River, Washington","https://scispace.com/paper/vegetation-colonization-within-exposed-reservoirs-following-2f19t6wcps","2015","","","Jarrett L. Schuster","","https://dc.ewu.edu/cgi/viewcontent.cgi?article=1309&context=theses","… restricted maximum likelihood method (REML) with reservoir, and landform as fixed effects and transect as a random effect (SAS version 9.3, SAS Institute, Inc., Cary, NC; Environmental …","Riparian ecosystems are important for ecological functioning of rivers, and are significantly impacted by dams. With over 50% of large dams in the U.S. beyond their life expectancy, dam removal is increasingly being considered to eliminate aging infrastructure and restore ecosystems. There have been few large dam removals to date, so studies assessing vegetation succession on exposed reservoir sediments are limited. My research aims to assess how environmental factors within exposed reservoirs affect vegetation succession following removal of two dams on the Elwha River, Washington. In addition, I compared patterns of vegetation among the two reservoirs and their landforms. To do this, I sampled 67 100 m plots in 2013 and 60 100 m plots in 2014 along 10 transects within Mills and Aldwell Reservoirs. In each plot, I recorded vascular plant species composition and woody species height. I collected and pooled 8 soil samples (20 cm) / plot to assess percent organic matter, nutrients, and percent sand, silt, clay, and conducted a Wolman Pebble Count. I used a structural equation models to show how environmental factors related to hydrology, soil nutrients, and dispersal distance affect species diversity and cover. I compared environmental factors and vegetation responses among the two reservoirs using general linear models. Structural equation models showed that soil nutrient levels, sediment texture, ground cover, and landform were the environmental factors most related to reservoir revegetation patterns. Native species richness and cover, and exotic species cover were highest on valley walls and were positively related to high percent organic matter and % silt, but negatively related to % litter, D50, Mg, and P. In contrast, exotic richness was highest on terrace and riparian landforms with low % litter, Mg, and P and high % organic matter that were furthest away from established forest communities. Sediment nutrient indicator variables organic matter, Mg, and P were co-correlated with other sediment variables and act only as a surrogate for those variables in these models. In total, 147 vascular plant species were sampled in the two reservoirs of which 47 (31%) were exotic. Aldwell reservoir contained higher native and exotic species richness, cover, and woody species growth, and had finer textured sediments, deeper"
"Understanding airborne radiometric survey signals across part of eastern England","https://scispace.com/paper/understanding-airborne-radiometric-survey-signals-across-46l768bg18","2007","Journal Article","Earth Surface Processes and Landforms","Barry G. Rawlins
R. M. Lark
Richard Webster","10.1002/ESP.1468","","… to parent material and soil geochemistry, and to identify the … used REML to assess the joint effects of soil geochemistry … the classes is explained by geochemistry, suggesting that subtler …","A low-level airborne radiometric survey provides data on the concentrations of gammaemitting elements including potassium (K), thorium (Th) and uranium (U) in the upper half metre of the soil. Where weathering has not penetrated much beyond this depth, as in the young soils that cover much of England and Wales, the signal is likely to be related to the soil's clay content and its parent material. In these situations radiometric survey could be valuable for mapping soil digitally.



We wished to understand how the radiometric signal relates to parent material and soil geochemistry, and to identify the spatial structure, if not the sources, of any unexplained variation. We analysed the joint spatial variation of the airborne gamma signal and high-resolution soil geochemical survey data across part of eastern England by modelling their coregionalization. We also used reml to assess the joint effects of soil geochemistry and parent material on the radiometric signals of K and Th.



The overall correlations of radiometric estimates with soil survey data for K and Th were large, as were the structural correlations for components of variation spatially dependent up to 49 and 16 km for K and Th respectively. This suggests that the radiometric signals for these two elements provide effective estimates of the amounts in the soil and their patterns of distribution. Although class of parent material accounted for a third of of the variance in the radiometric K signal, much of the variation within the classes is explained by geochemistry, suggesting that subtler changes can be detected. A larger proportion of the Th signal was accounted for by parent material. This supports our expectation that radiometric signals for K and Th provide information on parent material in the young landscapes of England and Wales. We are therefore confident that airborne radiometric surveys would be useful for making thematic maps of soil, particularly the soil's texture and closely related properties across England and Wales. Copyright © 2007 Natural Environment Research Council. Published in 2007 by John Wiley & Sons, Ltd."
"Predicting the risk of cobalt deprivation in grazing livestock from soil composition data","https://scispace.com/paper/predicting-the-risk-of-cobalt-deprivation-in-grazing-2c4kzjuc6b","2003","Journal Article","Environmental Geochemistry and Health","N.F. Suttle
J. Bell
Iain Thornton
A. Agyriaki","10.1023/A:1021273620697","","… REML adjusts for imbalance between sub-sets and is less perturbed by outliers than multiple regression analysis and the complete data set was therefore used to examine the …","The objective was to derive predictive equations for acetic acid-extractable cobalt (A-ECo) in soils so that extensive national databases for total (T) Co in soils and stream sediments could be converted to ‘plant available’ concentrations for the purpose of predicting risk of Co deficiency in grazing livestock. Data on the chemical and physical properties of 103 soils from 15 different parent materials and 54 soil series in England and Wales were used. Ranges for the mean values for parent materials were: TCo, 5.0–20.4 and A-ECo, 0.20–1.30 mg kg−1; percentage (P) A-ECo, 3.4–13.5; soil manganese (Mn) 268–1174 mg kgDM−1; pH, 3.7–8.0. There were significant effects of parent material on all parameters with Chalks, Old and New Red Sandstones particularly low in A-ECo. Multiple linear regression yielded the following equation for predicting A-ECo, which accounted for 56% of the variance with 12 outliers, including the lowest pH values, omitted:A-ECo(mg kg-1) = 1.4 - 0.0619TCo (mg kg-1) - 0.432TMn(g kg-1) - 0.171pHPrediction of PA-ECo was less precise:PA-ECo(%) = 21.1 - 4.5TMn(g kg-1) - 1.77pH(r
2 = 44.8%; 88 d.f.REML was used on the complete, unbalanced, log-transformed data set to fit a Generalised Mixed Model with parent material as random effect and soil Mn and pH as fixed effects; the effect of parent material was no longer significant. It was concluded that A-ECo can be satisfactorily predicted for most soils in England and Wales from TCo, TMn and soil pH."
"Spatial prediction of soil organic matter in the presence of different external trends with REML-EBLUP","https://scispace.com/paper/spatial-prediction-of-soil-organic-matter-in-the-presence-of-3totcejzcq","2008","Journal Article","Geoderma","Xurong Chai
Xurong Chai
Chongyang Shen
Xiaoyong Yuan
Yuanfang Huang","10.1016/J.GEODERMA.2008.09.018","","… how different external trends affect the performance of REML-BLUP for the same target variable. This study aims to compare the performance of REML-BLUP with that of RK to predict …",""
"Ecological conditions predict the intensity of Hendra virus excretion over space and time from bat reservoir hosts","https://scispace.com/paper/ecological-conditions-predict-the-intensity-of-hendra-virus-qstxnb6qpf05","2023","Repository","","Becker, Daniel J.
Peel, Alison J.","10.5281/zenodo.14820824","https://par.nsf.gov/servlets/purl/10390347","… We then refit models with restricted ML (REML) to reduce overfitting (setting γ = 1.4 to further … As with our GAMMs, we used REML and γ = 1.4. We then calculated the area under each …","(Uploaded by Plazi for the Bat Literature Project) The ecological conditions experienced by wildlife reservoirs affect infection dynamics and thus the distribution of pathogen excreted into the environment. This spatial and temporal distribution of shed pathogen has been hypothesised to shape risks of zoonotic spillover. However, few systems have data on both long-term ecological conditions and pathogen excretion to advance mechanistic understanding and test environmental drivers of spillover risk. We here analyse three years of Hendra virus data from nine Australian flying fox roosts with covariates derived from long-term studies of bat ecology. We show that the magnitude of winter pulses of viral excretion, previously considered idiosyncratic, are most pronounced after recent food shortages and in bat populations displaced to novel habitats. We further show that cumulative pathogen excretion over time is shaped by bat ecology and positively predicts spillover frequency. Our work emphasises the role of reservoir host ecology in shaping pathogen excretion and provides a new approach to estimate spillover risk. "
"Scale effects and countermeasures of cultivated land changes based on hierarchical linear model","https://scispace.com/paper/scale-effects-and-countermeasures-of-cultivated-land-changes-4xp1mrddr2","2020","Journal Article","Environmental Monitoring and Assessment","Lei Song
Lei Song
Yingui Cao
Yingui Cao
Wei Zhou
Wei Zhou
Ruiqing Su
Min Qiu","10.1007/S10661-020-08334-X","","… A two-layer linear model of the hierarchical linear model is constructed in this paper based on spatial autocorrelation and scale variance analyses to analyse the different spatial scales …","Changes in cultivated land in China are related to food security for nearly 1.4 billion people. Administrative ruling has decomposed the goal of cultivated land protection in China and implemented it from top to bottom, so that cultivated land data have nested attributes. Although related research on cultivated land changes has achieved fruitful results, these studies have neglected the scale effect created by the nested structure of cultivated land data, and it is easy for the policy to lose its effect in scaling. A two-layer linear model of the hierarchical linear model is constructed in this paper based on spatial autocorrelation and scale variance analyses to analyse the different spatial scales for cultivated land changes and reveal the interaction mechanism of the driving factors at different spatial scales. The results show the following: (1) The smaller the spatial scale of the study area, the easier the spatial correlation of the cultivated land quantity distribution. (2) An analysis of the driving factors of cultivated land change in Chongqing finds that 33.80% of the differences are from the functional block scale and 66.20% are from the district or county scale. (3) We found that the spatial scale has a certain impact on the effectiveness of the driving factors of cultivated land changes. Large-scale driving factors will change the correlation between small-scale driving factors and cultivated land change. In the future, the problem of scale effects should be considered in the field of cultivated land management, the effects of different driving forces at various scales should be considered and the scientific decomposition of cultivated land protection tasks according to the spatial scale should be carried out to improve the efficiency of the protection of cultivated land."
