"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Thermodynamic constraints on methanogenic crude oil biodegradation","https://scispace.com/paper/thermodynamic-constraints-on-methanogenic-crude-oil-2c5k1pkorn","2008","Journal Article","The ISME Journal","Jan Dolfing
Stephen R. Larter
Ian M. Head","10.1038/ISMEJ.2007.111","https://www.nature.com/articles/ismej2007111.pdf","… , been that biodegradation in oilfields was driven by oxygen delivered to petroleum reservoirs in … Evidence is emerging to support the notion that in-reservoir petroleum biodegradation is …","Methanogenic degradation of crude oil hydrocarbons is an important process in subsurface petroleum reservoirs and anoxic environments contaminated with petroleum. There are several possible routes whereby hydrocarbons may be converted to methane: (i) complete oxidation of alkanes to H2 and CO2, linked to methanogenesis from CO2 reduction; (ii) oxidation of alkanes to acetate and H2, linked to acetoclastic methanogenesis and CO2 reduction; (iii) oxidation of alkanes to acetate and H2, linked to syntrophic acetate oxidation and methanogenesis from CO2 reduction; (iv) oxidation of alkanes to acetate alone, linked to acetoclastic methanogenesis and (v) oxidation of alkanes to acetate alone, linked to syntrophic acetate oxidation and methanogenesis from CO2 reduction. We have developed the concept of a ‘window of opportunity’ to evaluate the range of conditions under which each route is thermodynamically feasible. On this basis the largest window of opportunity is presented by the oxidation of alkanes to acetate alone, linked to acetoclastic methanogenesis. This contradicts field-based evidence that indicates that in petroleum rich environments acetoclastic methanogenesis is inhibited and that methanogenic CO2 reduction is the predominant methanogenic process. Our analysis demonstrates that under those biological constraints oxidation of alkanes to acetate and H2, linked to syntrophic acetate oxidation and methanogenesis from CO2 reduction offers a greater window of opportunity than complete oxidation of alkanes to H2 and CO2 linked to methanogenic CO2 reduction, and hence is the process most likely to occur."
"Life in the slow lane; biogeochemistry of biodegraded petroleum containing reservoirs and implications for energy recovery and carbon management","https://scispace.com/paper/life-in-the-slow-lane-biogeochemistry-of-biodegraded-3r1g0n14av","2014","Journal Article","Frontiers in Microbiology","Ian M. Head
Neil D. Gray
Stephen R. Larter
Stephen R. Larter","10.3389/FMICB.2014.00566","https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2014.00566/pdf","… concept of in-reservoir petroleum biodegradation with a shift from … , with oxygen delivered to petroleum reservoirs in meteoric … may exert a thermodynamic control on in-reservoir crude oil …","Our understanding of the processes underlying the formation of heavy oil has been transformed in the last decade. The process was once thought to be driven by oxygen delivered to deep petroleum reservoirs by meteoric water. This paradigm has been replaced by a view that the process is anaerobic and frequently associated with methanogenic hydrocarbon degradation. The thermal history of a reservoir exerts a fundamental control on the occurrence of biodegraded petroleum and microbial activity is focussed at the base of the oil column in the oil water transition zone that represents a hotspot in the petroleum reservoir biome. Here we present a synthesis of new microbiological, geochemical and biogeochemical data that expands our view of the processes that regulate deep life in petroleum reservoir ecosystems and highlights interactions of a range of biotic and abiotic factors that determine whether petroleum is likely to be biodegraded in situ, with important consequences for oil exploration and production. We also discuss the role of microbial processes for energy recovery in the future and how this fits within the broader socioeconomic landscape of energy futures."
"Kinetic and thermodynamic behavior of the biodegradation of waxy crude oil using Bacillus subtilis","https://scispace.com/paper/kinetic-and-thermodynamic-behavior-of-the-biodegradation-of-1aeyo1oc73","2018","Journal Article","Journal of Petroleum Science and Engineering","N. Sakthipriya
Mukesh Doble
Jitendra S. Sangwai","10.1016/J.PETROL.2017.10.056","https://www.sciencedirect.com/science/article/am/pii/S0920410517308367","… Other than kinetic studies, thermodynamic behavior of biodegradation is … the biodegradation of petroleum fractions. Hence, in this study, thermodynamic behavior of biodegradation of …",""
"Quantifying global exergy resources","https://scispace.com/paper/quantifying-global-exergy-resources-1gpupx8wch","2006","Journal Article","Energy","Weston A. Hermann","10.1016/J.ENERGY.2005.09.006","http://rshanthini.com/tmp/DPR514/Module11_Hermann_2005_Quantifying_Global_Exergy_Resources.PDF","… terrestrial nuclear reservoir does not transfer exergy across … Heavy oil, bitumen, and the organic portions of the mixtures … after a conventional petroleum reservoir has degraded though …",""
"The effect of biodegradation on steranes and terpanes in crude oils","https://scispace.com/paper/the-effect-of-biodegradation-on-steranes-and-terpanes-in-4jztbb58ix","1979","Journal Article","Geochimica et Cosmochimica Acta","Wolfgang K. Seifert
J. Michael Moldowan","10.1016/0016-7037(79)90051-6","","… These reports give rise to a number of questions regarding petroleum … it is unknown whether the isomerizate is at thermodynamic … Returning to our discussion above on thermodynamic …",""
"Biological activity in the deep subsurface and the origin of heavy oil","https://scispace.com/paper/biological-activity-in-the-deep-subsurface-and-the-origin-of-9ze0qh5ssa","2003","Journal Article","Nature","Ian M. Head
D. Martin Jones
Steve Larter","10.1038/NATURE02134","https://www.academia.edu/download/34800856/Biological_activity_in_the_deep_subsurface_and_the_origin_of_heavy_oil.pdf","… methane oxidation during petroleum biodegradation in situ, … nal process in petroleum biodegradation in the subsurface42 (… Thermodynamic and microbiological evidence support this47…","At temperatures up to about 80 °C, petroleum in subsurface reservoirs is often biologically degraded, over geological timescales, by microorganisms that destroy hydrocarbons and other components to produce altered, denser 'heavy oils'. This temperature threshold for hydrocarbon biodegradation might represent the maximum temperature boundary for life in the deep nutrient-depleted Earth. Most of the world's oil was biodegraded under anaerobic conditions, with methane, a valuable commodity, often being a major by-product, which suggests alternative approaches to recovering the world's vast heavy oil resource that otherwise will remain largely unproduced."
"Initial state of petroleum reservoirs: A comprehensive approach","https://scispace.com/paper/initial-state-of-petroleum-reservoirs-a-comprehensive-2mhazh7geh","2007","Journal Article","Journal of Petroleum Science and Engineering","François Montel
Jacques Bickert
Aurélie Lagisquet
Guillaume Galliero
Guillaume Galliero","10.1016/J.PETROL.2006.03.032","https://www.academia.edu/download/69479081/j.petrol.2006.03.03220210912-9238-1fe5tx2.pdf","… of the stationary state of a reservoir submitted to all possible … a methodology for dealing with complex reservoir fluid systems. The … Separation between the thermodynamic part and the …",""
"Viability of the steam-based extraction of extra-heavy crude oil using nanoparticles: Exergy and life-cycle assessment","https://scispace.com/paper/viability-of-the-steam-based-extraction-of-extra-heavy-crude-dujmy7s1alww","2024","Repository","","Natalia Cano
Oscar E. Medina
I. Mozo
Santiago Céspedes
Camilo A. Franco
Farid B. Cortés","10.60692/nasmm-3jd67","","… [23] demonstrated that reservoir conditions could significantly impact crude-oil plant … carbon dioxide (CO 2 ) capture has been compared by assessing the exergy destroyed [24]. …","The growing energy demand has prompted the research community to seek more efficient and sustainable resource extraction methods, particularly in the case of crude oil. Investigating the potential of nanotechnology to enhance crude-oil recovery from extra-heavy and heavy crude-oil reserves is crucial for optimizing resource utilization, improving economic viability, minimizing environmental impacts, driving technological advancement, ensuring energy security, and meeting market demands. In this study, we investigated the implementation of exergy analysis (ExA) on nanotechnology in oil-recovery processes, which has not previously been explored. This involved a life-cycle assessment (LCA) to evaluate the environmental impacts and to complement the ExA in order to optimize operations. To environmentally and thermodynamically analyze the extraction process of extra-heavy crude oil, four scenarios were evaluated: i) steam injection at 0.5 quality; ii) steam injection at 1.0 quality; iii) steam injection at 0.5 quality with 500 mg L−1 of nanoparticles; and iv) steam injection at 1.0 quality with 500 mg L−1 of nanoparticles. The nanofluids used (AlNi1 and AlNi1Pd1) consisted of 500 mg L−1 of alumina (Al2O3) doped with a 1.0 % mass fraction of nickel (Ni) (i.e., AlNi1), and the same amount of alumina doped with a 1.0 % mass fraction of Ni and palladium (Pd) (i.e., AlNi1Pd1). Both nanofluids were supplemented with 1000 mg L−1 of Tween 80. The experiments were conducted in a laboratory and numerical simulation was used to upscale the different scenarios. Considering the equilibrium K-values model, a multiphase/multicomponent flow model coupled with an energy transport equation was utilized. Nanocatalyst transport, as per the experimental data, involved non-equilibrium transference between the liquid phases and the rock surface. The laboratory data were used to calibrate the model, which was then scaled up to reservoir conditions to estimate the oil recovery obtained from deploying in-situ upgrading processes at the field scale. Exergy calculations were performed on the involved flows and porous media in order to assess the crude-oil quality throughout the process. An LCA was implemented to evaluate the reduction in environmental impact achieved by using steam injection at X = 1.0 quality, with and without nanoparticles. The results of the ExA showed that using nanoparticles allowed crude oil with a higher energy quality to be obtained. Furthermore, the ExA showed that the increase in steam quality had a more significant effect on the exergy destroyed in the process than the use of nanomaterials, demonstrating the good performance of the proposed technology. Environmental analyses showed that marine ecotoxicity, urban land occupation, particulate matter formation, and global warming potential were the most-impacted categories, significantly contributing to total environmental impacts, after the fossil depletion impact category for all scenarios. In conclusion, using bimetallic nanoparticles in crude-oil extraction produces a better product with better energy and environmental performance. "
"Organic deposition from reservoir fluids: a thermodynamic predictive technique","https://scispace.com/paper/organic-deposition-from-reservoir-fluids-a-thermodynamic-1ligyov591","1991","","","S. Kawanaka
S. J. Park
G. A. Mansoori","","https://www.researchgate.net/profile/G_Ali_Mansoori/publication/245547140_Organic_Deposition_From_Reservoir_Fluids_A_Thermodynamic_Predictive_Technique/links/6580d1d03c472d2e8e6b2c46/Organic-Deposition-From-Reservoir-Fluids-A-Thermodynamic-Predictive-Technique.pdf","… One such problem is the untimely precipitation of asphaltene in the petroleum reservoir; in the wells, tubings, and pipelines; and in the refinery components. Currently, mechanical and …","Development of a molecular model to predict onset and amount of organic deposition from reservoir fluids caused by variations in temperature and pressure and introduction of miscible solvents. The model is used successfully to predict the phase behavior and deposition regions of asphaltene in CO 2 /oil mixtures."
"Methanogenic degradation of petroleum hydrocarbons in subsurface environments: remediation, heavy oil formation, and energy recovery","https://scispace.com/paper/methanogenic-degradation-of-petroleum-hydrocarbons-in-56a8yv8fxx","2010","Book Chapter","Advances in Applied Microbiology","Neil D. Gray
Angela Sherry
Casey R. J. Hubert
Jan Dolfing
Ian M. Head","10.1016/S0065-2164(10)72005-0","","… For thermodynamic reasons, growth of syntrophic bacteria is sustainable only if these … is the finding that crude oil present within some petroleum reservoir samples could be converted to …","Hydrocarbons are common constituents of surface, shallow, and deep-subsurface environments. Under anaerobic conditions, hydrocarbons can be degraded to methane by methanogenic microbial consortia. This degradation process is widespread in the geosphere. In comparison with other anaerobic processes, methanogenic hydrocarbon degradation is more sustainable over geological time scales because replenishment of an exogenous electron acceptor is not required. As a consequence, this process has been responsible for the formation of the world's vast deposits of heavy oil, which far exceed conventional oil assets such as those found in the Middle East. Methanogenic degradation is also a potentially important component of attenuation in hydrocarbon contamination plumes. Studies of the organisms, syntrophic partnerships, mechanisms, and geochemical signatures associated with methanogenic hydrocarbon degradation have identified common themes and diagnostic markers for this process in the subsurface. These studies have also identified the potential to engineer methanogenic processes to enhance the recovery of energy assets as biogenic methane from residual oils stranded in petroleum systems."
