"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Estimating the viscosity of crude oil systems","https://scispace.com/paper/estimating-the-viscosity-of-crude-oil-systems-1m3jku3c7n","1975","Journal Article","Journal of Petroleum Technology","H.D. Beggs
J.R. Robinson","10.2118/5434-PA","","… dead oil viscosity as a function of API gravity and temperature. Chew and Connally presented a correlation for the effect of dissolved gas on the oil viscosity. The dead oil viscosity and …",""
"Assessment and development of heavy-oil viscosity correlations","https://scispace.com/paper/V5K8b0FRdMcJ","","","","MS Hossain
C Sarica
HQ Zhang
L Rhyne","","","… predicting crude oil viscosity. These correlations can be divided into three categories: dead … dead oil viscosity. The first one was a modified Beggs and Robinson 8 correlation obtained …",""
"Improved correlations for predicting the viscosity of light crudes","https://scispace.com/paper/improved-correlations-for-predicting-the-viscosity-of-light-b47qb2cr8w","1992","Journal Article","Journal of Petroleum Science and Engineering","Rafa Labedi","10.1016/0920-4105(92)90035-Y","","… relationships between the viscosity of the crude oil at elevated … Beggs and Robinson correlation covers oil with solution gas/… The API gravity used in all of the oil viscosity correlations …",""
"An improved temperature-viscosity correlation for crude oil systems","https://scispace.com/paper/an-improved-temperature-viscosity-correlation-for-crude-oil-4aob6z3pna","1990","Journal Article","Journal of Petroleum Science and Engineering","Emmanuel O. Egbogah
Jack T. Ng","10.1016/0920-4105(90)90009-R","","… This paper presents a modified Beggs and Robinson empirical viscosity correlation. The … A laboratory PVT analysis of a crude oil provides viscosity information at reservoir temperature …",""
"The effect of asphaltene content on predicting heavy dead oils viscosity: Experimental and modeling study","https://scispace.com/paper/the-effect-of-asphaltene-content-on-predicting-heavy-dead-4e9gm8mn9y","2018","Journal Article","Fuel","E.M. Mansour
S.E.M. Desouky
M. El Aily
M.E. Helmi","10.1016/J.FUEL.2017.10.024","","… that, the viscosity of heavy oil is strongly dependent on the crude oil chemical structures, … Egbogah added pour point temperature as a new parameter in Beggs Robinson’s correlation…",""
"Models for predicting the viscosity of Middle East crude oils","https://scispace.com/paper/models-for-predicting-the-viscosity-of-middle-east-crude-3sdimw6dx6","1999","Journal Article","Fuel","Adel M. Elsharkawy
Abbas A. Alikhan","10.1016/S0016-2361(99)00019-8","","… oil viscosity (μ od ) as a function of both oil API gravity and reservoir temperature (T), see Appendix A. Beggs and Robinson developed their model … to different oil API gravity. The lines …",""
"An improved temperature-viscosity correlation for crude oil systems","https://scispace.com/paper/an-improved-temperature-viscosity-correlation-for-crude-oil-4aob6z3pna","1990","Journal Article","Journal of Petroleum Science and Engineering","Emmanuel O. Egbogah
Jack T. Ng","10.1016/0920-4105(90)90009-R","","… modified Beggs and Robinson empirical viscosity correlation… physical properties of crude oils is viscosity, which is a critical … A laboratory PVT analysis of a crude oil provides viscosity …",""
"Modeling viscosity of moderate and light dead oils in the presence of complex aromatic structure","https://scispace.com/paper/modeling-viscosity-of-moderate-and-light-dead-oils-in-the-ucfwc23jzf","2019","Journal Article","Journal of Petroleum Science and Engineering","M. El Aily
E.M. Mansour
S.E.M. Desouky
M.E. Helmi","10.1016/J.PETROL.2018.10.024","","… crude oils viscosity as compared with literature viscosity correlations. … Modified Beggs and Robinson viscosity correlation is known … PVT reports modifying Beggs and Robinson empirical …",""
"Evaluation of Oil Viscosity Based Various Empirical Correlations for Azerbaijan Crude Oils","https://scispace.com/paper/t26Kze_3UTEJ","","","","YN Imamverdiyev
MS Hajirahimova","","https://www.mecs-press.org/ijitcs/ijitcs-v11-n6/IJITCS-V11-N6-3.pdf","… 661 dead oil samples and the live-oil-viscosity correlation from … and Beggs-Robinson correlations for Live-oil viscosity, and … In this study, PVT experimental data of three sample oils …",""
"Improved PVT correlations for UAE crude oils","https://scispace.com/paper/improved-pvt-correlations-for-uae-crude-oils-4bdrt0alic","1997","Proceedings Article","","Reyadh A. Almehaideb","10.2118/37691-MS","","… Beggs and Robinson.Another two correlations are available to evaluate live oil viscosity from the dead oil viscosity … and Beggs correlation generally overestimates the oil viscosity above …","Current empirical correlations to evaluate crude oil PVT properties are based on data from different parts in the world and are more accurate for use with crudes from the same basins for which the data was correlated. Standing correlation, for example, used California crudes. Glaso's used North Sea crudes. Al-Marhoun's used Middle East crudes. Petrosky and Farshad used Gulf of Mexico crudes, and Dokla and Osman produced a correlation based on UAE offshore crude oil samples. A few other correlations were based on a very large number of samples from different regions. The most widely used of these is the Vasquez and Beggs correlation. The universal correlations, however, are less accurate than regional correlations, when they are available, because of the scatter involved by using a large number of data. The UAE fields are very significant and constitute around 10% of reserves worldwide. In this work, experimental PVT measurements from around 15 reservoirs located in the UAE were used to test the validity of commonly used PVT correlations. The data then was used to construct a new set of empirical correlations which were also tested against the experimental values. Results indicate that the new correlations reduced the error involved in estimating the bubble point pressures and the oil formation volume factor to within less than half the range of error associated with commonly used correlations when compared to experimental values. The physical properties correlated include the oil formation volume factor at the bubble point, the bubble point pressure, the oil compressibility (in order to get the oil formation volume factor above the bubble point pressure), and the oil viscosity at the bubble point and above the bubble point."
"Evaluation of empirically derived PVT properties for Egyptian oils","https://scispace.com/paper/NgsurxMc2OwJ","","","","AM Saleh
IS Mahgoub
Y Asaad","","","… oil ratio, formation volume factor of a gas-saturated crude oil and undersaturated … Beggs and Robinson in 1975 published equations for calculating dead and gas-saturated oil viscosities…",""
"Testing the performance of some dead oil viscosity correlations","https://scispace.com/paper/testing-the-performance-of-some-dead-oil-viscosity-4cp929l7s9","2012","","","Elmahboub Edreder
Khulud Rahuma","","https://www.academia.edu/download/82343320/pc_4_2012_edreder_196_0.pdf","… dead oil viscosity correlations are based on the oil API gravity … screening viscosity correlations to suite Libyan crude oils as … was found to be by Beggs & Robinson with AAD % of 9.58. …","The knowledge of viscosity plays a very important role in a variety of interesting engineering problems involving fluid flow in porous media and reservoir simulation. The dead oil viscosity is defined as the viscosity of crude oil at atmospheric pressure (no gas in solution) and system temperature. Several correlations have been proposed in the past for predicting the dead oil viscosity. Most of the dead oil viscosity correlations are based on the oil °API gravity and temperature. In this work, evaluating the performance of investigated models. Beal, Beggs-Robinson, Glaso, Labedi and Petrosky and Farshad correlations have been investigated for some Libyan crude oils. Statistical analysis in terms of absolute deviation percent (% AD), and the absolute average deviations percent (% AAD) are used to subject the evaluation of the viscosity correlations. Comparison results indicate that, Beggs-Robinson correlation provide the best prediction for dead oil viscosities in the investigated Libyan oil samples within AAD of 9.58%. Results of this study can be helpful in screening viscosity correlations to suite Libyan crude oils as well as similar crudes. Key Word: Viscosity; dead oil; correlation; absolute average deviation; temperature."
"Evaluates a PVT correlation to estimate dead oil viscosity for Libyan crudes using 104 samples from different reservoirs","https://scispace.com/paper/dbolC636AzMJ","","","","MA Samba
L Yiqiang
WA Alkhyyali
YA Altaher","","https://www.sciencedirect.com/science/article/pii/S2307187725001853/pdf?md5=36852ca099976a4adb73685842691064&pid=1-s2.0-S2307187725001853-main.pdf","… model and mathematical model for Libyan crude oil viscosity. … correlation compared with Beggs & Robinson's correlation is … correlation outperforms Beggs & Robinson's correlation with …",""
"New correlations for prediction of saturated and undersaturated oil viscosity of Arabian oil fields","https://scispace.com/paper/new-correlations-for-prediction-of-saturated-and-pyucsdlyv4","2018","Journal Article","Journal of Petroleum Exploration and Production Technology","Naif B. Alqahtani
Abdulrahman A. AlQuraishi
Wajdi Al-Baadani","10.1007/S13202-017-0332-4","https://link.springer.com/content/pdf/10.1007/s13202-017-0332-4.pdf","… oil viscosity correlation. They developed a crude oil viscosity model based on API gravity, … Beggs and Robinson (1975) was the second best correlation while the least accuracy was …","New correlations for saturated and undersaturated oil viscosity were developed for Saudi Arabian crude oil. The data consist of 79 and 71 experimental measurements of saturated and undersaturated crude oil viscosity, respectively, at reservoir conditions. Other PVT measurements above and below bubble point pressure are also included. The new correlations were developed using genetic programming approach. The new models were developed and tested using linear genetic programming (GP) technique. The models efficiency was compared to existing correlations. Average absolute relative deviation, coefficient of correlation, and crossplots were used to evaluate the proposed models, and their outputs indicate the accuracy of the GP technique and the superiority of the developed models in comparison with the commonly utilized models tested."
"Evaluation of empirically derived oil viscosity correlations for the Niger Delta crude","https://scispace.com/paper/evaluation-of-empirically-derived-oil-viscosity-correlations-438pyc8vzs","2009","Journal Article","Journal of Petroleum Science and Engineering","Sunday Sunday Ikiensikimama
Olu Ogboja","10.1016/J.PETROL.2009.09.005","https://www.academia.edu/download/72371202/j.petrol.2009.09.00520211013-12917-1kxal3x.pdf","… defined by each author but in the PVT data range for this study as presented in Table 2. … The best correlation for the bubblepoint oil viscosity, Beggs and Robinson (1975), gave E r of …",""
"Analyzing and assessment of oil viscosity models based on the API ranges","https://scispace.com/paper/analyzing-and-assessment-of-oil-viscosity-models-based-on-3jtzwxvor2","2017","Journal Article","Petroleum Science and Technology","Shuqiang Shi
Yongqing Wang
Yonghui Liu","10.1080/10916466.2017.1396612","","… Each crude oil viscosity model has the best API scope of use. … and accuracy of the heavy oil viscosity models, we modify … is not improved, the modification of Egbogah & Ng model is no …","The common empirical correlations of oil viscosity can be divided into three categories: extra-heavy oil models, heavy oil models and light oil models. But not all the models are suitable for predi..."
