"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Communication versus waterproofing: the physics of insect cuticular hydrocarbons","https://scispace.com/paper/communication-versus-waterproofing-the-physics-of-insect-4q2h0ofowf","2019","Journal Article","The Journal of Experimental Biology","Florian Menzel
Svenja Morsbach
Jiska H. Martens
Jiska H. Martens
Petra Räder
Simon Hadjaje
Marine Poizat
Bérengère Abou","10.1242/JEB.210807","https://scispace.com/pdf/communication-versus-waterproofing-the-physics-of-insect-4q2h0ofowf.pdf","Understanding the evolution of complex traits is among the major challenges in biology. One such trait is the cuticular hydrocarbon (CHC) layer in insects. It protects against desiccation …","Understanding the evolution of complex traits is among the major challenges in biology. One such trait is the cuticular hydrocarbon (CHC) layer in insects. It protects against desiccation and provides communication signals, especially in social insects. CHC composition is highly diverse within and across species. To understand the adaptive value of this chemical diversity, we must understand how it affects biological functionality. So far, CHCs have received ample research attention, but their physical properties were little studied. We argue that these properties determine their biological functionality, and are vital to understanding how CHC composition affects their adaptive value. We investigated melting behaviour and viscosity of CHCs from 11 ant species using differential scanning calorimetry and a novel microrheological technique. CHCs began melting below −45°C, and often were entirely liquid only above 30°C. Thus, they formed a solid–liquid mixture under ambient conditions, which contrasts to previous assumptions of entirely solid layers in many species. This may be adaptive as only biphasic CHC layers ensure uniform coating of the insect body, which is necessary for waterproofing. CHC viscosity was mostly between 0.1 and 0.2 Pa s−1, thus similar to motor oils. Surprisingly, chemically different CHC profiles had similar viscosities, suggesting that a certain viscosity level is adaptive and ensures that communication signals can be perceived. With this study, we draw attention to the importance of studying the physics of CHC layers. Only by understanding how chemical and physical mechanisms enable CHC functionality can we understand the causes and consequences of CHC diversification."
"Machine learning in chemical product engineering: The state of the art and a guide for newcomers","https://scispace.com/paper/machine-learning-in-chemical-product-engineering-the-state-7th2cumbh4","2021","Journal Article","","Cindy Trinh
Dimitrios Meimaroglou
Sandrine Hoppe","10.3390/PR9081456","https://scispace.com/pdf/machine-learning-in-chemical-product-engineering-the-state-7th2cumbh4.pdf","… The authors in [36] proposed a semi-supervised extreme learning machine (ELM) for online Mooney viscosity prediction in industrial rubber mixers. The authors in [41] applied bagging …","Chemical Product Engineering (CPE) is marked by numerous challenges, such as the complexity of the properties–structure–ingredients–process relationship of the different products and the necessity to discover and develop constantly and quickly new molecules and materials with tailor-made properties. In recent years, artificial intelligence (AI) and machine learning (ML) methods have gained increasing attention due to their performance in tackling particularly complex problems in various areas, such as computer vision and natural language processing. As such, they present a specific interest in addressing the complex challenges of CPE. This article provides an updated review of the state of the art regarding the implementation of ML techniques in different types of CPE problems with a particular focus on four specific domains, namely the design and discovery of new molecules and materials, the modeling of processes, the prediction of chemical reactions/retrosynthesis and the support for sensorial analysis. This review is further completed by general guidelines for the selection of an appropriate ML technique given the characteristics of each problem and by a critical discussion of several key issues associated with the development of ML modeling approaches. Accordingly, this paper may serve both the experienced researcher in the field as well as the newcomer."
"Boosting-based machine learning applications in polymer science: A review","https://scispace.com/paper/boosting-based-machine-learning-applications-in-polymer-o6wxwr14wrbu","2025","Journal Article","Polymers","Ivan P. Malashin
V. Tynchenko
Andrei P. Gantimurov
Vladimir A. Nelyub
Alexey S. Borodulin","10.3390/polym17040499","","… Other factors like NaOH molarity and fly ash had mixed effects. These findings demonstrate ML’s potential to create fast, cost-effective solutions for eco-friendly construction materials. …",""
"Arterial Blockage in the Petroleum and Natural Gas Industries","https://scispace.com/paper/GYTufVMtLcAJ","","","","GA Mansoori","","https://www.academia.edu/download/107402146/96.Arterial_Blockage_in_Oil_Gas_Industries.pdf","Toe production and transportation of petroleum fluid.,; could be severely aHected by flocculation and deposition of heavy organics (ieao; pbaltene, paraflin/wax, sand, and/or …",""
"Modeling and Control of Organic Deposits in Petroleum Production Systems","https://scispace.com/paper/XLs-E8J8xiYJ","","","","D Vazquez","","","… Prediction of the background viscosity Prediction of liquid viscosities … Acceptable viscosity prediction were obtained using the … to find a better viscosity prediction one must incorporate the …",""
"Asphaltene and other heavy-organic particle deposition during transfer and production operations","https://scispace.com/paper/asphaltene-and-other-heavy-organic-particle-deposition-hnhq4f9mk0","1995","Proceedings Article","Software - Practice and Experience","Joel Escobedo
G. Ali Mansoori","10.2118/30672-MS","https://www.researchgate.net/profile/G_Ali_Mansoori/publication/237408545_Asphaltene_and_Other_Heavy-Organic_Particle_Deposition_During_Transfer_and_Production_Operations/links/66887bb82aa57f3b8271f116/Asphaltene-and-Other-Heavy-Organic-Particle-Deposition-During-Transfer-and-Production-Operations.pdf","… The production and transportation of petroleum fluids could be severely affected by deposition of … Acceptable viscosity prediction were obtained using the equation proposed by Lobe in …","The production and transportation of petroleum fluids could be severely affected by deposition of suspended particles (i.e. asphaltene, paraffin/wax, sand, and/or diamondoid) in the production wells and/or transfer pipelines. In many instances the amount of precipitation is rather large causing complete plugging of these conduits. Therefore, it is important to understand the behavior of suspended particles during flow conditions. In this paper we present an overview of the heavy organic deposition problem, its causes, effects and preventive techniques. We also present an analysis of the diffusional effects on the rate of solid particle deposition during turbulent flow conditions (crude oil production generally falls within this regime). We utilize the turbulent boundary layer theory and the concepts of mass transfer to explain the particle deposition rates on the walls of the flowing conduits. The developed model accounts for the Brownian and eddy diffusivities as well as for inertial effects and other forces acting acting upon the particles. The analysis presented in this paper shows that rates of particle deposition (asphaltene, paraffin/wax, sand, and/or diamondoid) on the walls of the flowing channel, due solely to diffusional effects, are negligible. It is also shown that deposition rates decrease with with increasing particle size.more » However, when the deposition process is momentum controlled (large particles) higher deposition rates are predicted. It is shown a decrease in deposition rates with increasing crude oil kinematic viscosity. An increase in deposition rates with increasing production rates is also observed.« less"
"Advances in Prediction & Prevention of Heavy Organics Deposition from Petroleum Fluids","https://scispace.com/paper/cXRD2TG5lkgJ","","","","GA Mansoori","","https://www.researchgate.net/profile/G_Ali_Mansoori/publication/392130990_Advances_in_Prediction_Prevention_of_Heavy_Organics_Deposition_from_Petroleum_Fluids/links/68364ced6b5a287c30468f1d/Advances-in-Prediction-Prevention-of-Heavy-Organics-Deposition-from-Petroleum-Fluids.pdf","Toe production and transportation of petroleum fluid.,; could be severely aHected by flocculation and deposition of heavy organics (ieao; pbaltene, paraflin/wax, sand, and/or …",""
"Engineering Applications of D-Optimal Designs","https://scispace.com/paper/GWPCmB3uG2QJ","","","","AK Mannarswamy","","","The intent of this research is to serve as a practical guide to experimental design, specifically tailored for engineering applications. The applications focused in this work are food and …",""
"Prediction and parametric modeling of compressive strength of waste marble dust concrete through machine learning and experimental analysis","https://scispace.com/paper/GkkUhZFftLEJ","","","","A Alzlfawi
MHR Sobuz
M Kawsarul
I Kabbo","","https://www.nature.com/articles/s41598-025-26978-y.pdf","… gradient boosting (XGB) model was the most successful approach to shear viscosity prediction among those explored77. In the evaluation of the strength of 3D-printed concrete by …",""
"Optimization and prediction of power density in proton exchange membrane fuel cells for green energy using advanced machine learning models: a comparative …","https://scispace.com/paper/Z-4hZvgXdb0J","","","","KK Katibi
AK Shukla
IG Shitu
KM Alotaibi
A Imran","","","This study presents an advanced methodology that integrates experimental validation with machine learning (ML) models to predict and optimize power density in proton exchange …",""
