"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Applications of quantitative biomarker analysis in petroleum geochemistry","https://scispace.com/paper/applications-of-quantitative-biomarker-analysis-in-petroleum-ftzdcnwku7","1989","Journal Article","Preprints-American Chemical Society Division of Petroleum Chemistry","A. G. Requejo","","","Analyse des marqueurs biologiques de 32 echantillons de petrole de la Gulf Coast par chromatographie en phase liquide et chromatographie en phase gazeuse couplee a de la detection par ionisation de flamme ou a de la spectrometrie de masse. Des composes modeles sont utilises: le 5 α (H)-androstane pour l'analyse des composes satures et le o-terphenyl pour l'analyse des composes aromatiques. Application de l'analyse des biomarqueurs a l'etude de la biodegradation et de la maturation","Analyse des marqueurs biologiques de 32 echantillons de petrole de la Gulf Coast par chromatographie en phase liquide et chromatographs en phase gazeuse couplee a de la detection par ionisation de flamme ou a de the spectrometrie de masse as discussed by the authors."
"Recalcitrance\nand Degradation of Petroleum Biomarkers\nupon Abiotic and Biotic Natural Weathering of &lt;i&gt;Deepwater Horizon&lt;/i&gt; Oil","https://scispace.com/paper/recalcitrance-nand-degradation-of-petroleum-biomarkers-nupon-0uyt7qvl2akh","2016","Repository","","","10.1021/es500825q.s001","","Petroleum biomarkers such as hopanoids,\nsteranes, and triaromatic\nsteroids (TAS) are commonly used to investigate the source and fate\nof petroleum hydrocarbons in the environment based on the premise\nthat these compounds are resistant to biotic and abiotic degradation.\nTo test the validity of this premise in the context of the &lt;i&gt;Deepwater Horizon&lt;/i&gt; disaster, we investigated changes to these\nbiomarkers as induced by natural weathering of crude oil discharged\nfrom the Macondo Well (MW). For surface slicks collected from May\nto June in 2010, and other oiled samples collected on beaches in the\nnorthern Gulf of Mexico from July 2010 until August 2012, hopanoids\nwith up to 31 carbons as well as steranes and diasteranes were not\nsystematically affected by weathering processes. In contrast, TAS\nand C&lt;sub&gt;32&lt;/sub&gt;- to C&lt;sub&gt;35&lt;/sub&gt;-homohopanes were depleted in\nall samples relative to 17α&lt;i&gt;(H)&lt;/i&gt;,21β&lt;i&gt;(H)-&lt;/i&gt;hopane (C&lt;sub&gt;30&lt;/sub&gt;-hopane). Compared to MW oil,\nC&lt;sub&gt;35&lt;/sub&gt;-homohopanes and TAS were depleted by 18 ± 10%\nand 36 ± 20%, respectively, in surface slicks collected from\nMay to June 2010, and by 37 ± 9% and 67 ± 10%, respectively,\nin samples collected along beaches from April 2011 through August\n2012. Based on patterns of relative losses of individual compounds,\nwe hypothesize biodegradation and photooxidation as main degradation\nprocesses for homohopanes and TAS, respectively. This study highlights\nthat &lt;i&gt;(i)&lt;/i&gt; TAS and homohopanes can be degraded within\nseveral years following an oil spill, &lt;i&gt;(ii)&lt;/i&gt; the use\nof homohopanes and TAS for oil spill forensics must account for degradation,\nand &lt;i&gt;(iii)&lt;/i&gt; these compounds provide a window to parse\nbiodegradation and photooxidation during advanced stages of oil weathering. ",""
"Pyrolysis of asphaltenes and biomarkers for the fingerprinting of the Amoco Cadiz oil spill after 23 years","https://scispace.com/paper/pyrolysis-of-asphaltenes-and-biomarkers-for-the-4y6385f153","2009","Journal Article","Nature Precedings","J. Oudot
Frédéric Chaillan","10.1038/NPRE.2009.2975.1","","The chemical composition of the petroleum products accidently or deliberately released in the environment varies considerably with time under the action of biological (biodegradation) and physico-chemical (photo-oxidation) processes. It becomes more and more difficult to trace the origin of the oil spilled. A technique widely used for monitoring ancient oil pollutions is the study of oil biomarkers like terpanes and steranes^1,2^. Here we show that the geochemical technique of asphaltenes pyrolysis can be successfully applied to environmental samples. This method allows the reconstitution of the original oil from the asphaltenes fraction of severely degraded oil residues. We applied the two techniques: biomarkers analysis and pyrolysis of asphaltenes to the long-term characterisation of the Amoco Cadiz oil 23 years after the spill in the salt marshes of Ile Grande, Northern Brittany, France. The results show that the oil reached the ultimate degradation stage. The total biodegradation rate was 60% relatively to initial oil. The asphaltenes pyrolysis generated a gas-chromatographic profile very similar to the original Amoco Cadiz oil. In the biomarkers fraction, gas chromatographic/mass spectrometric (GC/MS) analyses demonstrated that terpanes were conserved whereas steranes were partly degraded. We also showed that the class of seco-hopanes biomarkers are conserved and can be used in the long term monitoring of oil pollutions.","In this article, asphaltenes pyrolysis was applied to the long-term characterisation of the Amoco Cadiz oil 23 years after the spill in the salt marshes of Ile Grande, Northern Brittany, France."
"Application of biomarker data in oil characterization","https://scispace.com/paper/application-of-biomarker-data-in-oil-characterization-d16vore9svcq","2020","Repository","","","10.26233/heallink.tuc.69159","","Biological markers (biomarkers) are a large group of hydrocarbons that are readily employed to assess the nature of petroleum oil samples. While the chemical applications of biomarkers are vast, this study used selected acyclic and cyclic, polycyclic terpenoids, and tetraterpenoids to understand the nature of twenty Williston Basin oils. The analysis also used the BioTool, an updated database that was developed for this particular study. Some of the reliable biomarker ratios included saturated hydrocarbon pristine/phytane ratio, diasteranes/steranes, C24/C23 tricyclic terpane, C24TeT/C30 hopane, and C31 22R homohopane/C30 hopane. Overall, a biomarker analysis using the BioTool is efficient, effective, and user-friendly. Further work should be carried out developing constraints on the biomarker ratios for certain characteristic oil Basins. ",""
"Organic Geochemical Approaches in Petroleum Exploration","https://scispace.com/paper/organic-geochemical-approaches-in-petroleum-exploration-8saa014nrswk","","","","YI Yi","10.3969/j.issn.1009-301x.2003.02.015","","Organic geochemistry of biomarker is a new developing interdisciplinary branch in geological science since 1970's. Based on the analysis of chemical composition and configuration transformation of biomarkers (or so-called molecular fossils), Scientists got more detailed information on the evolution of sedimentary organic matter and the genesis of depositional resources, particularly on the petroleum. This paper introduces the application of biomarker in petroleum exploration and development, such as input of organic matter, original depositional environment, migration and biodegradation of oil and maturity of source rock.","This paper explores the application of organic geochemistry, specifically biomarkers, in petroleum exploration and development, providing insights into organic matter input, depositional environments, oil migration, biodegradation, and source rock maturity."
"Fossil Steroid Biomarkers from Brazilian Marine Crude Oils Revealed by Gc×Gc−Tofms and Apci(+)Ft−Icr Ms","https://scispace.com/paper/fossil-steroid-biomarkers-from-brazilian-marine-crude-oils-2pa39rqyd1","2019","Proceedings Article","","Bruno Quirino Araújo
Lindamara M. Souza
F.R. Aquino Neto
Débora A. Azevedo
Wanderson Romão","10.3997/2214-4609.201902752","","Steroidal hydrocarbon biomarkers are important geochemical components in source rocks and crude oils. In general, their distribution pattern is used for characterization of organic matter source, oil-to-source correlation, maturation degree and biodegradation of geological samples. Fossil steroids are poorly resolved by gas chromatography techniques (e.g., GC−FID), requiring the combination with simple quadrupole mass spectrometry or tandem mass spectrometry (e.g., QqQ, QTOFMS) (Peters et al., 2005). Recently, new trends in the application of analytical techniques to petroleum analysis have improved the resolution of most hydrocarbons using comprehensive two-dimensional gas chromatography coupled to time-offlight mass spectrometry (GC×GC–TOFMS) and the evaluation of hydrocarbon classes by positive-ion atmospheric pressure chemical ionization in combination to Fourier transform ion cyclotron resonance mass spectrometry (APCI(+)FT−ICR MS) (Araújo and Azevedo, 2016, Tose et al., 2019).","Araújo et al. as discussed by the authors used two-dimensional gas chromatography coupled to time-offlight mass spectrometry (GC×GC-TOFMS) and the evaluation of hydrocarbon classes by positive-ion atmospheric pressure chemical ionization in combination to Fourier transform ion cyclotron resonance mass spectrametry (APCI(+)FT−ICR MS) for petroleum analysis."
"Application of Biological Marker Technology to Bioremediation of Refinery Byproducts","https://scispace.com/paper/application-of-biological-marker-technology-to-zom8ougf80","1995","Journal Article","Energy & Fuels","J. Michael Moldowan
Jeremy J. Dahl
Mark A. McCaffrey
William J. Smith
John C. Fetzer","10.1021/EF00049A023","","The progress of bioremediation of waste petroleum sludge at Chevron's Perth Amboy, New Jersey, refinery landfarm was evaluated using a ranting scale based on refractory biological marker hydrocarbons that are indigenous to, and ubiquitous in, crude oils Of the four samples analyzed from different locations in the landfarm, two were virtually identical and showed an absence of the n-alkanes expected to be found in the sludge (light biodegradation ranking) Another showed additional partial degradation of acyclic isoprenoids, eg, pristane and phytane (moderate ranking) The fourth sample showed complete n-paraffin and isoprenoid loss, partial alteration of hopanes, and losses of C 27 steranes, C 27 diasteranes, C 27 monoaromatic steroids, and C 26 triaromatic steroids relative to the higher steroid homologs in each of these series (heavy rating) These results suggest a concomitant preferential loss of steroid hydrocarbons that have the cholestane side chain and a possible new steroid biodegradation mechanism that is essentially blind to the structure of the steroid nucleus The latter sample also showed levels of most polynuclear aromatic hydrocarbons (PAH), suggesting a buildup of these compounds as others were removed However, some of the smaller PAH (acenaphylene, fluorene, fluoranthene) appear to have decreased These results suggest that a protocol based on such a biodegradation ranting scale could be used to monitor the progress of bioremediation of oil based refinery wastes","The results suggest a concomitant preferential loss of steroid hydrocarbons that have the cholestane side chain and a possible new steroid biodegradation mechanism that is essentially blind to the structure of the steroid nucleus."
"Distribution, Controlling Factors and Oil-source correlation of Biodegraded Oils in the Bohai Offshore Area, Bohai Bay Basin, China","https://scispace.com/paper/distribution-controlling-factors-and-oil-source-correlation-1vf0l4f8a9","2017","Journal Article","AAPG Bulletin","Jinqiang Tian
Fang Hao
Xinhuai Zhou
Huayao Zou","10.1306/07251614105","","The vast majority of discovered oils in the Bohai offshore area have undergone biodegradation varying from 1 to 9 on the PM scale (a scale to rank the level of biodegradation proposed by Peters and Moldowan, 1993). The distribution and biodegradation extent of all discovered oils in the Bohai offshore area were investigated systematically using geologic and geochemical data to reveal controlling factors of varying levels of biodegraded oils. Based on the analysis on environment and maternal significances and the resistance to degradation of biomarkers, the biomarker parameter assemblage that is suitable for the oil-source correlation of severely biodegraded oils (higher than PM 6) in the Bohai offshore area was determined. Spatial distribution and biodegradation extent are mainly controlled by current burial depth, the duration of biodegradation, the area of the oil-water-contact (OWC) and a late strike-slip movement of the Tanlu fault. Almost all biodegraded oils are found in shallow reservoirs above 2000 m. The longer the oils are present in these reservoirs or the larger the area of OWC the reservoirs show, the greater the extent of biodegradation will be. The late strong strike-slip movement of the Tanlu fault may have significantly enhanced the biodegradation extent of several oils in fields located in the Tanlu fault zone by introducing oxygenated freshwater from the surface or near-surface and creating a more suitable environment for biodegradation. C19 tricyclic terpane/C23 tricyclic terpane (C19/C23 TT), C24 tetracyclic/C26 tricyclic terpane (C24 Tet/C26 TT) and Gammacerane/C24 Tetracyclic (Gam/C24 Tet) do not seem to be influenced by biodegradation and show obvious differences between the three different source rock intervals. Such a biomarker parameter assemblage can be used successfully to determined the origin of severely biodegraded oils (higher than PM 6) by correlating with extracts of possible source rocks in the Bohai offshore area.","In this paper, the authors investigated the distribution and biodegradation extent of all discovered oils in the Bohai offshore area using geologic and geochemical data to reveal controlling factors of varying levels of biodegraded oils."
"Pristine Biomarker Compositions Recovered from Biodegraded Oil Samples Using Mssv-Hy","https://scispace.com/paper/pristine-biomarker-compositions-recovered-from-biodegraded-3up0za8zyz","2023","Preprint","","Shengyu Yang
Brian Horsfield
Kai Mangelsdorf
Rolando di Primio
Joachim Rinna
Alexander Hartwig
Antonio Martín-Monge
R. Tocco
Rouven Elias","10.2139/ssrn.4675881","","Oil-source and oil-oil correlations are challenging when the primary chemical composition of petroleum was altered or destroyed by biodegradation. Biomarkers that are bound to macromolecular matrices rather than being in a free form are largely protected from alteration and may therefore offer a solution to the challenges. Using Microscale Sealed Vessel Catalytic Hydrogenation (MSSV-Hy), the bound biomarkers of two North Sea and two Barents Sea oil samples, with varying levels of biodegradation, were released from their respective asphaltenes. Despite biodegradation having changed the relative concentrations of steranes (C27-C30 steranes) and hopanes (C29-C30 hopanes) in the free biomarker fraction to varying degrees, the asphaltene-bound biomarkers were protected and show pristine ratios unaffected by biodegradation, e.g., the relative content of C27-C29 steranes, the C30/C29 sterane ratio, and the C29/C30 hopane ratio. Empirical calibration then allows these bound biomarkers to be converted into regular biomarker ratios. The MSSV-Hy technique has been shown to be an efficient and effective tool for releasing asphaltene-bound biomarkers from biodegraded oil and revealing genetic information when free biomarkers are altered by biodegradation. ","Mssv-Hy recovers pristine biomarker compositions from biodegraded oil samples, protecting biomarkers bound to macromolecular matrices from alteration."
"Using the biomarker bonded on the asphaltenes for biodegraded oil-source correlation","https://scispace.com/paper/using-the-biomarker-bonded-on-the-asphaltenes-for-ofy1qekg3q","2003","Journal Article","Chinese Science Bulletin","Guanjun Xu
Guanjun Xu
Dajiang Zhang
Dajiang Zhang
Peirong Wang
Peirong Wang","10.1007/BF03183303","","Ruthenium-ion-catalyzed oxidation (RICO) has been used to investigate asphaltenes from three oils with the same origin in the Juquan Basin and three oils with the same origin but with different degree of biodegradation in the Turpan Basin, Northwest China. The preliminary results showed that the biomarkers bonded on the asphaltenes with the same origin is similar and is correlated with the free biomarker in saturates. The bonded biomarkers have no relationship with the biodegradation. An application on the severely biodegraded oils is reported here. The biomarker and benzenecarboxylic methyl esters reflecting the structure of the asphaltenes after RICO should provide a new way for oil-source correlation and it should be specially useful for severely biodegraded oil-source correlation.","In this article, the authors used RICO to investigate asphaltenes from three oils with the same origin but with different degree of biodegradation in the Turpan Basin, Northwest China."
