"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Rethinking loss of available work and Gouy-Stodola theorem","https://scispace.com/paper/rethinking-loss-of-available-work-and-gouy-stodola-theorem-2sto76abfj","2023","Preprint","","Yaodong Tu
Gang Chen","10.48550/arxiv.2307.16041","","Exergy represents the maximum useful work possible when a system at a specific state reaches equilibrium with the environmental dead state at temperature To. Correspondingly, the exergy difference between two states is the maximum work output when the system changes from one state to the other, assuming that during the processes, the system exchanges heat reversibly with the environment. If the process involves irreversibility, the Guoy-Stodola theorem states that the exergy destruction equals the entropy generated during the process multiplied by To. The exergy concept and the Gouy-Stodola theorem are widely used to optimize processes or systems, even when they are not directly connected to the environment. In the past, questions have been raised on if To is the proper temperature to use in calculating the exergy destruction. Here, we start from the first and the second laws of thermodynamics to unambiguously show that the useful energy loss (UEL) of a system or process should equal to the entropy generation multiplied by an equivalent temperature associated with the entropy rejected out of the entire system. For many engineering systems and processes, this entropy rejection temperature can be easily calculated as the ratio of the changes of the enthalpy and entropy of the fluid stream carrying the entropy out, which we call the state-change temperature. The UEL is unambiguous and independent of the environmental dead state, and it should be used for system optimization rather than the exergy destruction. ","The exergy destruction equals the entropy generated during the process multiplied by the environmental dead state temperature. The UEL is unambiguous and independent of the environmental dead state, and should be used for system optimization rather than the exergy destruction."
"Mapping and Modeling Large Viscosity and Asphaltene Variations in a Reservoir Undergoing Active Biodegradation","https://scispace.com/paper/mapping-and-modeling-large-viscosity-and-asphaltene-248d01t863","2014","Proceedings Article","","Richard Jackson
Julian Y. Zuo
Ankit Agarwal
Bernd Heinrich Herold
Sanjay Kumar
Ilaria De Santo
Hadrien Dumont
Cosan Ayan
Oliver C. Mullins","10.2118/170794-MS","","Viscosity is one of the key reservoir fluid properties. It plays a central role in well productivity and displacement efficiency and has a significant impact on completion strategies. Accurately assessing areal and vertical variations of viscosity will lead to more realistic reservoir simulation and optimal field development planning. Downhole fluid analysis (DFA) has successfully been used to measure the properties of reservoir fluids downhole in real time. DFA has excellent accuracy in measuring fluid gradients which in turn enable accurate thermodynamic modeling. Integration of DFA measurements with the thermodynamic modeling has increasingly been employed for evaluating important reservoir properties such as connectivity, fluid compositional and property gradients. The thermodynamic model is the only one that has been shown to treat gradients of heavy ends in all types of crude oils and at equilibrium and disequilibrium conditions. In addition, fluid viscosity depends on concentration of heavy ends that are associated with optical density measured by DFA. Therefore, mapping viscosity and optical density (heavy end content) is a new important application of DFA technology for use as assessment of reservoir architectures and a mutual consistency check of DFA measurements. In this case study, a very large monotonic variation of heavy end content and viscosity is measured. Several different stacked sands exhibit the same profiles. The crude oil at the top of the column exhibits an equilibrium distribution of heavy ends, SARA and viscosity, while the oil at the base of the oil column exhibits a gradient that is far larger than expected for equilibrium. The fluid properties including SARA contents, viscosity and optical density vary sharply with depth towards the base of the column. The origin of this variation is shown to be due to biodegradation. GC-chromatographs of the crude oils towards the top of the column appear to be rather unaltered, while the crude oils at the base of the column are missing all n-alkanes. A new model is developed that accounts for these observations that assumes biodegradation at the oil-water contact (OWC) coupled with diffusion of alkanes to the OWC. Diffusion is a slow process in a geologic time sense accounting for the lack of impact of biodegradation at the top of the column. An overall understanding of charging timing into this reservoir and expected rates of biodegradation are consistent with this model. The overall objective or providing a 1st-principles viscosity map in these stacked sand reservoirs is achieved by this modeling. Linking DFA with thermodynamic modeling along with precepts from petroleum systems modeling provides a compelling understanding of the reservoir.","In this article, a large monotonic variation of heavy end content and viscosity is measured and the origin of this variation is shown to be due to biodegradation."
"Entropy generation minimization for enhancing the fluid recovery and energy efficiency in petroleum reservoirs","https://scispace.com/paper/entropy-generation-minimization-for-enhancing-the-fluid-kmuu7yhmmgej","2023","Repository","","","10.48336/bgbq-fr82","","Hydrocarbon reservoir fluids usually contain a significant amount of mechanical energy that depends on the distribution of temperature and pressure throughout the reservoir. A fraction of the fluid's useful energy is lost during the irreversible processes that occur throughout the production life of the reservoir. Entropy generation (or production) can characterize this loss of useful energy in petroleum reservoirs. A petroleum engineer can develop an appropriate production strategy that minimizes entropy production in a reservoir to promote the efficient use of the reservoir energy. The design of a poor reservoir production system might result in a short-lived production well, low reservoir recovery factor, and inefficient use of available resources. Such an issue would not only result in the loss of a valuable portion of the reservoir's useful energy but also financial benefits. Various forms of energy exchange occur during hydrocarbon production in reservoirs, e.g., fluid and rock expansion, fluid flow, gravity drainage, and compaction of poorly consolidated rocks. During a reservoir's production lifetime, irreversible processes (e.g., fluid friction and heat transfer) lead to waste of energy, reducing the overall system's operational efficiency. Therefore, there is a desire to select an appropriate design that minimizes the entropy generation. In this thesis, we investigate the effect of essential factors such as reservoir formation, reservoir fluids, and production rate on entropy generation. The ultimate goal is to design a reservoir production strategy using the entropy generation analysis such that the production efficiency can be maximized. To simulate the fluid flow behavior of a reservoir system, a pseudo-steady flow state is developed in this thesis for single-phase (dry gas) and two-phase (oil-water) flow models in both the wellbore and reservoir. The effect of the wellbore conditions on the single-phase models is investigated and analyzed. One-dimensional flow is assumed in the wellbore, whereas radial flow occurs in the reservoir. Mass, momentum, energy, and entropy balance equations, including a method of Entropy Generation Minimization (EGM), are used to address the fluid flow behavior and energy loss in wellbore and reservoir systems. For a single-phase flow, the near-wellbore region is investigated and considered to be a separate zone for model development, which allows flexibility in modelling skin effects near the wellbore. Numerical methods are used to solve the fluid flow and entropy equations. The models are solved by a numerical scheme programmed in the MATLAB environment with an appropriate algorithm. For validation purposes, a commercial simulator, Computer Modeling Group (CMG), is used to verify the predicted results. A new production performance criterion called the Coefficient Of Performance (COP) is introduced. The COP integrates the recovery factor with entropy generation and provides a quantitative measure to optimize reservoir production. The models are used to conduct a parametric sensitivity analysis that includes the effects of fluid and rock parameters, such as permeability, porosity, viscosity, skin factor, Bottom Hole Pressure (BHP), wettability, and temperature on the total entropy production. The COP is used to optimize the operating conditions of the reservoir, such as the production rates and BHP. It is found that permeability and BHP have the most impact on the total entropy production for single-phase models. Concurrently, temperature and wettability are essential factors for two-phase flow models. This thesis enhances the understanding of reservoir energy analysis and provides more accurate models for calculating the optimum production rate of a given reservoir. In particular, the results presented in this thesis will impact production history calculations and reservoir simulation results. Furthermore, this research provides practitioners and engineers in the petroleum industry with a useful alternative approach for maximizing recovery efficiency by minimizing entropy generation. ",""
"Low Emission Microbial Upgrading and Recovery (LEMUR) A Potential Route to Low or Zero Emission Energy Recovery from Oilfields","https://scispace.com/paper/low-emission-microbial-upgrading-and-recovery-lemur-a-44drf1p9o8","2009","","","Steve Larter
Ian M. Head
Ian D. Gates
Pete Santosham
David Rafter
Jennifer D. Adams
Xiaomeng Zhang
Mat Fay
Angela Cherry
Martin Jones
Neil D. Gray","","https://www.searchanddiscovery.com/abstracts/pdf/2013/90171cspg/abstracts/ndx_lart.pdf","The world oil inventory is dominated by oils with low recovery factors, i.e., heavy and super heavy oils and bitumens and by residual oils in watered out oil fields. Water flood technologies for conventional recovery are fairly mature yet leave most oil(65% or more) in the reservoir. Average recovery of heavy oils worldwide is even lower (17%) than conventional oil recovery. Recovery technologies for the volumetrically dominant non-conventional heavy oils and bitumens are largely based around thermal or solvent based technologies that have high capital and production costs combined with lower market price than conventional resources. These technologies are costly, both environmentally, in terms of carbon dioxide emissions associated with recovery and upgrading, or economically in terms of steam, solvent or upgrading costs. Thermal and catalytically based in situ upgrading technologies are being developed for heavy oils and bitumens and may assist with reducing economic and environmental penalties but these require high reservoir temperatures, typically well over 300°C on process timescales, to effect thermal carbon-carbon bond cleavage and reduction of molecular mass to cause viscosity reduction and API gravity increase (Vinegar et al., 2006 ). In contrast, the recent discovery of anaerobic biological cracking of liquid petroleum hydrocarbons to methane (methanogenesis) occurs catalytically through biological action at temperatures as low as 10°C, albeit at slow rates naturally (Head et al., 2003; Aitken et al, 2004; Jones et al., 2008). While not all oilfields are biologically active (Wilhelms et al., 2001; Adams et al., 2006), crude oil biodegradation and methanogenic microbial processes are common in reservoirs that have remained cooler than 80°C as is the case in some WCSB heavy oil reservoirs we have studied (Adams et al., 2006). The discovery of the MADCOR process (Methanogenic Alkane Degradation by Carbon dioxide Reduction), as it has been termed, raises many possibilities for reduced emission to atmosphere energy recovery (REAR) processes as methane is quantitatively produced from biodegraded alkanes, utilising water as co-reactant, with molecular hydrogen gas being the principal intermediate (Jones et al., 2008). The basic recovery process proposed involves the acceleration of the natural methanogenic biodegradation of hydrocarbons. Because degradation rates slow for increasingly large (less volatile) hydrocarbon components, this process will be more efficient and operate on production time scales for heavy oils and","In this paper, the MADCOR process (Methanogenic alkane degradation by carbon dioxide reduction) was proposed to accelerate the natural methanogenic biodegradation of hydrocarbons."
"Research on Exergy Flow Composition and Exergy Loss Mechanisms for Waxy Crude Oil Pipeline Transport Processes","https://scispace.com/paper/research-on-exergy-flow-composition-and-exergy-loss-3n40ihv4kg","2017","Journal Article","Energies","Qinglin Cheng
Yifan Gan
Wenkun Su
Yang Liu
Wei Sun
Ying Xu","10.3390/EN10121956","https://www.mdpi.com/1996-1073/10/12/1956/pdf","The basic theory of exergy was used to derive the formulae of physical and chemical exergy in the process of pipeline transportation, combined with the effect of wax deposition on the thermodynamic parameters including specific heat, density, chemical potential and concentration gradient. On the basis of this, the expression of various exergy losses were derived, and the exergy balance model was then built in the process. For the case study, a waxy crude oil pipeline in China was selected. The mechanism for how wax deposition affected the physical and chemical exergy loss was studied through analyzing the axial pipeline distribution of pressure, temperature, flow rate and thickness of insulation layer. Finally, under the design flow of 66 × 103 kg·h−1, the orthogonal experimental analysis method was used for comparing the degree of specific factors which could influence the total exergy efficiency. The highest exergy efficiency combination of working conditions was then determined. This research could provide a theoretical basis for guiding safe and economic operation in the actual pipeline transportation process.","In this paper, the authors derived the formulae of physical and chemical exergy in the process of pipeline transportation, combined with the effect of wax deposition on the thermodynamic parameters including specific heat, density, chemical potential and concentration gradient."
"Research on Coupled Thermo-Hydro-Mechanical Mechanism for Heavy Oil Thermal Recovery","https://scispace.com/paper/research-on-coupled-thermo-hydro-mechanical-mechanism-for-4dknfbxtbb","2014","Journal Article","Applied Mechanics and Materials","Feng Sun
Wen Dong Yang","10.4028/WWW.SCIENTIFIC.NET/AMM.607.264","","Thermal production is an important heavy oil recovery method , which bothers with the complex problems of Thermo-Hydro-Mechanical coupling effects and reservoir failure processes due to thermal recovery. Based on the coupling theory of T-H-M, the fully coupling equations of heat transfer, fluid seepage, geomechanics, and reservoir damage are constructed. The Galerkin FEM with fully implicit and sequential iterative algorithm is adopted to solve the coupling equations. Numerical results demonstrate that Thermo-hydro-mechanical coupling effect takes as important roles in thermal process. The response of the rocks surrounding the reservoir has a significant stress transfer, pore pressure increase or thermal cracking. This paper presents an analytical method to predictions coupled geomechanical effects and change of reservoir parameters, which are all important phenomena affecting heavy oil exploitation.","Based on the coupling theory of T-H-M, the fully coupling equations of heat transfer, fluid seepage, geomechanics, and reservoir damage are constructed in this paper."
"Driving process of multi-field synergy with exergy transfer analysis","https://scispace.com/paper/driving-process-of-multi-field-synergy-with-exergy-transfer-4u9kq30q73","2010","Journal Article","Journal of Daqing Petroleum Institute","Liu Yang
Cheng Qinglin
Xiang Xinyao","","","The serial research results for driving process of multi-field synergy described and analyzed with exergy transfer theory are introduced,including the phenomenological equations of exergy transfer process for multi-fields,the innate mechanism of multi-field synergy for exergy transfer process,the rationality of using exergy transfer to describe displacement process of multi-field synergy and the multi-field synergy mechanism for the thermal driving process of crude oil based on exergy transfer theory. The important questions to be solved for further deep research are also pointed out.","In this article, a serial research results for the driving process of multi-field synergy described and analyzed with exergy transfer theory are introduced, including the phenomenological equations of ex-ergy transfer process for multi-fields, the innate mechanism of multifaceted synergy for ex-erg transfer process, the rationality of using exerg transfer to describe displacement process of multifeatures, and the multifeaceture synergy mechanism for the thermal driving process for crude oil based on exergtransfer theory."
"Heavy and thermal oil recovery production mechanisms","https://scispace.com/paper/heavy-and-thermal-oil-recovery-production-mechanisms-238rkikxvu","2002","Report","","Anthony R. Kovscek
Louis M. Castanier","10.2172/816278","https://scispace.com/pdf/heavy-and-thermal-oil-recovery-production-mechanisms-238rkikxvu.pdf","The Stanford University Petroleum Research Institute (SUPRI-A) studies oil recovery mechanisms relevant to thermal and heavy-oil production. The scope of work is relevant across near-, mid-, and long-term time frames. In August of 2000 we received funding from the U. S. DOE under Award No. DE-FC26-00BC15311 that completed December 1, 2003. The project was cost shared with industry. Heavy oil (10 to 20{sup o} API) is an underutilized energy resource of tremendous potential. Heavy oils are much more viscous than conventional oils. As a result, they are difficult to produce with conventional recovery methods. Heating reduces oil viscosity dramatically. Hence, thermal recovery is especially important because adding heat, usually via steam injection generally improves displacement efficiency. The objectives of this work were to improve our understanding of the production mechanisms of heavy oil under both primary and enhanced modes of operation. The research described spanned a spectrum of topics related to heavy and thermal oil recovery and is categorized into: (1) multiphase flow and rock properties, (2) hot fluid injection, (3) improved primary heavy-oil recovery, (4) in-situ combustion, and (5) reservoir definition. Technology transfer efforts and industrial outreach were also important to project effort. The research tools and techniques used were quite varied. In the area of experiments, we developed a novel apparatus that improved imaging with X-ray computed tomography (CT) and high-pressure micromodels etched with realistic sandstone roughness and pore networks that improved visualization of oil-recovery mechanisms. The CT-compatible apparatus was invaluable for investigating primary heavy-oil production, multiphase flow in fractured and unfractured media, as well as imbibition. Imbibition and the flow of condensed steam are important parts of the thermal recovery process. The high-pressure micromodels were used to develop a conceptual and mechanistic picture of primary heavy-oil production by solution gas drive. They allowed for direct visualization of gas bubble formation, bubble growth, and oil displacement. Companion experiments in representative sands and sandstones were also conducted to understand the mechanisms of cold production. The evolution of in-situ gas and oil saturation was monitored with CT scanning and pressure drop data. These experiments highlighted the importance of depletion rate, overburden pressure, and oil-phase chemistry on the cold production process. From the information provided by the experiments, a conceptual and numerical model was formulated and validated for the heavy-oil solution gas drive recovery process. Also in the area of mechanisms, steamdrive for fractured, low permeability porous media was studied. Field tests have shown that heat injected in the form of steam is effective at unlocking oil from such reservoir media. The research reported here elucidated how the basic mechanisms differ from conventional steamdrive and how these differences are used to an advantage. Using simulations of single and multiple matrix blocks that account for details of heat transfer, capillarity, and fluid exchange between matrix and fracture, the importance of factors such as permeability contrast between matrix and fracture and oil composition were quantified. Experimentally, we examined the speed and extent to which steam injection alters the permeability and wettability of low permeability, siliceous rocks during thermal recovery. Rock dissolution tends to increase permeability moderately aiding in heat delivery, whereas downstream the cooled fluid deposits silica reducing permeability. Permeability reduction is not catastrophic. With respect to wettability, heat shifts rock wettability toward more water wet conditions. This effect is beneficial for the production of heavy and medium gravity oils as it improves displacement efficiency. A combination of analytical and numerical studies was used to examine the efficiency of reservoir heating using nonconventional wells such as horizontal and multilateral wells. These types of wells contact much more reservoir volume than conventional vertical wells and provide great opportunity for improved distribution of heat. Through simulation and analytical modeling of the early-time response of a reservoir to heating with a horizontal well showed that cyclic steam injection is an effective technique to heat a reservoir prior to continuous injection during a gravity drainage process.","In this article, the authors used high-pressure X-ray computed tomography (CT) and high pressure micromodels etched with realistic sandstone roughness and pore networks that improved visualization of oil-recovery mechanisms."
"The Exergy of Crude Oil Mixtures and Petroleum Fractions: Calculation and Application","https://scispace.com/paper/the-exergy-of-crude-oil-mixtures-and-petroleum-fractions-2rjqs0zkny","1999","Journal Article","International Journal of Thermodynamics","Ricardo Rivero
Consuelo Rendon
Leodegario Monroy","10.5541/IJOT.1034000019","https://scispace.com/pdf/the-exergy-of-crude-oil-mixtures-and-petroleum-fractions-2rjqs0zkny.pdf","The methodology used for calculating the physical exergy and the chemical exergy of mixtures of crude oils and their fractions is presented in this paper, using computer programs coupled with the AspenPlus simulation code. First, the procedure for the detailed characterization of a crude oil mixture is described, based on the results of experimental assays. After that, the steps required to determine the reference conditions needed for the calculation of the physical exergy are presented, and the sequence by which these values are retrieved from a simulation run is explained, in order to be used in a fortran computer program. Finally, from the mixture characterization, the procedure for determining the chemical exergy of each component (identified components and pseudo-components) of the mixture is presented, in order to add it to the physical exergy to obtain the total exergy of the mixture stream. The methodology is illustrated with a mixture of Mexican Maya and Isthmus crude oils, and its application to the analysis of a crude oil combined distillation unit is presented in this paper.  This paper was presented at the ECOS’98 Conference in Nancy, June 8-10, 1998","In this paper, the methodology used for calculating the physical exergy and the chemical exergy of mixtures of crude oils and their fractions is presented, using computer programs coupled with the AspenPlus simulation code."
"Quantification of irreversibilities in practical cyclic processes using exergy analysis and Gouy-Stodola theorem:","https://scispace.com/paper/quantification-of-irreversibilities-in-practical-cyclic-4ieh0rojtv","2018","Journal Article","The International journal of mechanical engineering education","Rajinder Pal","10.1177/0306419017720427","","The exergy analysis of a process to quantify the irreversibilities is advantageous over the entropy analysis in that it provides the definition of efficiency of a process, referred to as exergetic ...","The exergy analysis of a process to quantify the irreversibilities is advantageous over the entropy analysis in that it provides the definition of efficiency of the process, referred to as exergetic process as discussed by the authors."
