"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Petrophysical properties of bitumen from the Upper Devonian Grosmont reservoir, Alberta, Canada","https://scispace.com/paper/petrophysical-properties-of-bitumen-from-the-upper-devonian-2lmbhp1vaa","2009","","","Yi Zhao","10.7939/R3MX5N","https://scispace.com/pdf/petrophysical-properties-of-bitumen-from-the-upper-devonian-2lmbhp1vaa.pdf","","was constructed to illustrate the regional bitumen viscosity distribution . The wells for this cross section were chosen upon the available viscosity measurements. .9). Lateral distribution: samples have comparatively lower viscosities of less than 1E+7 cP. Lateral distribution:
 In the Upper Grosmont 3, the bitumen is less viscous in the central area of the cross section, where the thickness of this rock unit is also the highest (e.g. well 10-29-89-23W4 in Figure .16). The viscosities increase away from the middle of the section and are mostly in the range of 1E+7 cP to 2E+7 cP. In few locations, the viscosities exceed 2E+7 cP. These bitumens were all sampled near the Upper Ireton-Grosmont boundary. The viscosity variations in the UGM 2 and UGM 1 Lateral distribution:
 were not mapped in this cross section, as only one or two measurements were available for each unit. Conclusions:
 The results from inter-laboratory comparisons indicate that viscosity measurements obtained from different laboratories on the same samples can be quite different and result can vary far above analytical errors. This is due to different methods of preparing samples, different procedures applied, and different equipment used in each laboratory. Conclusions:
 Furthermore, neglecting to consider non-Newtonian nature of Grosmont bitumen in the commercial laboratories (Lab A and B) likely is another factor that causes inconsistency with in-house measurement (Lab C). Conclusions:
 The results from intra-laboratory comparisons show that consistency in viscosity measurements can be reached by the procedures designed in this study. Therefore, this study leads the way to a detailed and practice-tested industry standard of viscosity measurement. Conclusions:
 Distinct differences in ""aging"" were observed between bitumen samples extracted from legacy and fresh cores. A viscosity difference by one order of magnitude is not uncommon. Therefore, viscosity data from legacy cores must be corrected accordingly. Conclusions:
 The viscosity distribution in the Grosmont reservoir is complex and varies cyclically with depth, commonly in one order of magnitude. Conclusions:
 Moreover, viscosity seems stratigraphic-related, as similar trends are observed in samples from adjacent wells in the Nisku, Upper Ireton, and the Grosmont Formations. Lateral variations of viscosity support the observation from vertical viscosity variation. Each rock unit probably has its own viscosity distribution pattern, with the high viscosity zones normally formed in the rock unit boundaries. Introduction:
 It is estimated that the amount of biodegraded oil in the earth exceeds that of conventional oil . Major petroleum accumulations in the Western Canada Sedimentary Basin (WCSB), such as Athabasca, Cold Lake, Peace River, and the Grosmont are confirmed to be heavily to severely biodegraded hydrocarbons (heavy oil and bitumen deposits). Petroleum biodegradation is the alteration of crude oil by microorganisms, such as bacteria, yeast, and fungi . Introduction:
 Compared with conventional oil, biodegraded oil generally has a lower American Petroleum Institute (API) gravity, higher viscosity, and higher nitrogen, sulfur, oxygen (NSO) contents ). These changes reduce oil value and negatively affect the oil production and refining operation. Therefore, it is very important to measure and predict the extent of the biodegradation during exploration."
"Oil Biodegradation in Siliciclastic Reservoir: an Example from Paleogene, Oliva Block, North of Santos Basin, Brazil","https://scispace.com/paper/oil-biodegradation-in-siliciclastic-reservoir-an-example-1u7d70vvhv","2017","Journal Article","","Natália Medeiros Marins Nunes
Marcus Vinicius Berao Ade
René Rodrigues
Fernanda de Assis
Felipe Nascimento
Ricardo Teixeira Nicácio Leite","10.11137/2017_3_222_231","https://scispace.com/pdf/oil-biodegradation-in-siliciclastic-reservoir-an-example-1u7d70vvhv.pdf","For a petroleum company, the oil biodegradation is an important aspect to appraisal both exploration/production and economic perspective. Black to volatile oils require different materials and techniques in comparison to those used for heavy oils. Economically, biodegradable oils has a lower market value than the non-biodegradable oil. Following the presence and absence of a set of biomarkers observed in the chromatograms and fragmentograms, it is possible an interpretation and an indentification of different levels of biodegradation . This methodology comprises the main objective of this work. The oil studied lacks “n” and iso-alkanes, the major proportion of tricyclic on the pentacyclic, the presence of demethylated compounds, plus the major proportion of diasteranes on steranes, suggesting an advanced degree of biodegradation. According to this investigation, the degree 8 of biodegradation (Peter & Moldowan, 1993), records a huge process of bacterial attack happened into the reservoir in a range of temperature from 35°C up to 50°C, from the oil/water contact.","Title: Anuário do Instituto de Geociências -UFRJ www.anuario.igeo.ufrj.br Oil Biodegradation in Siliciclastic Reservoir: an Example from Paleogene, Oliva Block, North of Santos Basin, Brazil Biodegradação de Óleo em Reservatório Siliciclástico: um Exemplo do Paleógeno Authors: Natália Medeiros,Marins Nunes,Marcus Vinicius,Berao Ade,Rene Rodrigues,Fernanda Botelho De Assis,Felipe Nascimento,Ricardo Teixeira,Nicácio Leite Keywords: Organic geochemistry, Biomarkers, Biodegradation Resumo"
"Biomarker characters and biodegradation of petroleum in Gangxi oil field, China","https://scispace.com/paper/biomarker-characters-and-biodegradation-of-petroleum-in-4owl0vpe67","2014","","","Minmin Cai
Jun Yao
Ruixia Wang","","https://scispace.com/pdf/biomarker-characters-and-biodegradation-of-petroleum-in-4owl0vpe67.pdf","Biomarker characters and biodegradation of petroleum were investigated in Gangxi oil field, China, using GC-MS analysis. TIC profiles suggested that the petroleum in oil reservoir was biodegraded seriously by indigenous microbiota, due to the secondary alteration processes (water flooding since 1972). The n-alkanes were missing in most of oil samples. The iso-alkanes were present in all of the samples but in low concentration. The polycyclic aromatic hydrocarbons were degraded at different degrees. The PAHs of 2 rings were almost missing, while that of 3 or 4 rings were present at low degraded rate. These suggested that the indigenous microorganism of oil well might have ability to degrade petroleum and it could be used for remedying oil spill. Through analysis of 28 kinds of biomarker, these oils showed similar characteristics: mid content of gammacerane, abundant hopane, and low content of oleanane. These meant that the source of oil might be prokaryotic organisms and algal, and the reservoirs was a not highly reducing and anoxic environment. The maturity parameters of 20S / (20S + 20R) and ββ / (ββ + αα) showed these oil was mature oil, and the maturity degree of oil samples increased as order: 2#, 5#, 3# or 1#, 4#, 6#.","Title: Biomarker characters and biodegradation of petroleum in Gangxi oil field, China Authors: Minmin Cai,Jun Yao,Ruixia Wang Keywords: Biodegradation, Petroleum, PAH, Biomarker _____________________________________________________________________________________________"
"Investigation on the biodegradation levels of super heavy oils by parameter-striping method and refined Manco scale: a case study from the Chepaizi Uplift of Junggar Basin","https://scispace.com/paper/investigation-on-the-biodegradation-levels-of-super-heavy-2g40fwp0hc","2021","Journal Article","Petroleum Science","Xiangchun Chang
Bingbing Shi
Zhongquan Liu
Yue Wang
Youde Xu","10.1007/S12182-020-00542-X","https://link.springer.com/content/pdf/10.1007/s12182-020-00542-x.pdf","","(Corresponding Author),Bing-Bing Shi,• Zhong-Quan,Liu,Yue Wang,You-De Xu Keywords: Super heavy oil, Biodegradation, Parameter-striping method, Refined Manco scale, Junggar Basin Introduction:
 Heavy oil and oil sand bitumen dominate the world's oil inventory , even exceed the normal oil in quantity . Biodegradation may be responsible for these unconventional resources, which primarily formed from the microbial degradation of the conventional oils over geological timescales . With the proceeding of biodegradation, the oil will exhibit decreases in mass and net volume, increases in oil density, oil viscosity, oil acidity and sulfur content, enrichments in nitrogen, sulfur and oxygen-containing organic compounds, and trace mental elements, which heavily affect the oil's chemical compositions and physical properties . Even within a single petroleum reservoir, biodegradation may create orders of magnitude variation in oil viscosity and fluid property laterally and vertically ). Allowing for their great impact on the economic value and predictability, knowledge of the petroleum biodegradation is critical in selecting exploitation strategies , evaluating the altering extent  and forecasting the oil compositional characteristics and viscosity . Introduction:
 Experimental examinations and case studies indicate that relative sensitivity to microbial attack exist among different compound class, even among the individual compound Edited by Jie Hao and Chun-Yan Tang in each class. Therefore, biodegradation is a quasi-stepwise process with consume of biomarkers in a preferential order . Based on the alteration/removal of saturated biomarkers, i.e., normal alkanes, acyclic isoprenoids, terpanes and steranes, and selected aromatic compounds (mainly aromatic steroids),  developed a classical scale to assess the extent of oil biodegradation, which is typically abbreviated as PM scale. Five terms, i.e., light (PM1-3), moderate (PM4-5), heavy (PM6-7), very heavy (PM8-9) and severe (PM10) are assigned to ranges of the PM scale. Another scheme was established by  fundamentally based on the alteration extent with a compound class and the presence or depletion of single key compound class, only with the terms of heavy and severe to describe the PM 4-10 range. Introduction:
 The normal alkanes are generally more susceptible to biodegradation than the branched alkanes and isoprenoids , thus ratios of i-C 5 /n-C 5 , pristane/n-C 17 and phytane/n-C 18 are widely used to assess the alteration content of light to moderate biodegraded oils ). However, some case studies showed no evident correlations between Ph/n-C 18 and oil API, and then the parameter ""mean degradative loss"" was proposed to assess the biodegradation extent by means of quantifying the depletion in volumetrically important individual oil constituents, especially for the light to moderate level of alteration . Additionally, the production and biodegradation of oxygen-containing compounds also follow a preferential order, thereafter the acyclic (DBE 1)/ cyclic (DBE 2-4) can reveal the biodegradation level, which well correlated with the PM scale when it less than PM < 6 ."
"Life in the slow lane; biogeochemistry of biodegraded petroleum containing reservoirs and implications for energy recovery and carbon management","https://scispace.com/paper/life-in-the-slow-lane-biogeochemistry-of-biodegraded-3r1g0n14av","2014","Journal Article","Frontiers in Microbiology","Ian M. Head
Neil D. Gray
Stephen R. Larter
Stephen R. Larter","10.3389/FMICB.2014.00566","https://scispace.com/pdf/life-in-the-slow-lane-biogeochemistry-of-biodegraded-3r1g0n14av.pdf","Our understanding of the processes underlying the formation of heavy oil has been transformed in the last decade. The process was once thought to be driven by oxygen delivered to deep petroleum reservoirs by meteoric water. This paradigm has been replaced by a view that the process is anaerobic and frequently associated with methanogenic hydrocarbon degradation. The thermal history of a reservoir exerts a fundamental control on the occurrence of biodegraded petroleum and microbial activity is focussed at the base of the oil column in the oil water transition zone that represents a hotspot in the petroleum reservoir biome. Here we present a synthesis of new microbiological, geochemical and biogeochemical data that expands our view of the processes that regulate deep life in petroleum reservoir ecosystems and highlights interactions of a range of biotic and abiotic factors that determine whether petroleum is likely to be biodegraded in situ, with important consequences for oil exploration and production. We also discuss the role of microbial processes for energy recovery in the future and how this fits within the broader socioeconomic landscape of energy futures.","driven from the basal oil-water contact of the filling reservoir. Although petroleum biodegradation undoubtedly occurs in shallow carrier systems too, relative residence time in-reservoir, compared to incarrier, is large, suggesting reservoir processes dominate alteration of oil. CONTROLS ON IN-RESERVOIR PETROLEUM BIODEGRADATION:
 The past decade has witnessed fundamental changes in our concept of in-reservoir petroleum biodegradation with a shift from a model that emphasized the central importance of aerobic oil degradation, with oxygen delivered to petroleum reservoirs in meteoric water  to a model where in-reservoir crude oil biodegradation is driven by anaerobic processes. In reservoirs with low concentrations of sulfate, methanogenic degradation is a primary mechanism of petroleum biodegradation . This conclusion was based on field measurements of metabolites characteristic of anaerobic hydrocarbon degradation , comparative analysis of field-degraded oils with oils degraded under methanogenic or sulfate-reducing conditions in laboratory incubations, analysis of gas isotopes from the field and Rayleigh fractionation modeling . This conceptual shift has important implications for understanding the factors that control biodegradation in situ, and therefore, for establishing the likelihood that a prospect will be biodegraded pre-drill. Moreover, the mechanisms whereby petroleum hydrocarbons are degraded may dictate which diagnostic metabolites might act as signatures of different processes occurring in relation to prevailing reservoir conditions (e.g., low sulfate clastic systems vs. high sulfate carbonate systems). The following sections detail the factors affecting anaerobic and specifically methanogenic crude oil biodegradation. OIL PROPERTIES:
 Here we evaluate the effects of different oil components on the methanogenic degradation of crude oil using both observations from field biodegraded oils and experimental approaches."
"The controls on the composition of biodegraded oils in the deep subsurface- Part 4. Destruction and production of high molecular weight non-hydrocarbon species and destruction of aromatic hydrocarbons during progressive in-reservoir biodegradation","https://scispace.com/paper/the-controls-on-the-composition-of-biodegraded-oils-in-the-4hid2080gx","2017","Journal Article","Organic Geochemistry","Thomas B. P. Oldenburg
Martin Jones
Haiping Huang
Barry Bennett
Nor Shahida Shafiee
Nor Shahida Shafiee
Ian M. Head
Steve Larter","10.1016/J.ORGGEOCHEM.2017.09.003","https://eprints.ncl.ac.uk/file_store/production/242147/4E88E9F5-FC71-42AC-A00D-47E968C2DB48.pdf","","to 3 rings) as a function of increasing biodegradation level was obvious. Our observations reveal that oxidation processes (formation of carboxyl and hydroxyl species) are the main overall processes occurring in in-situ reservoir biodegradation. Conclusions:
 Moreover, these surfactant-like species may well impact interfacial, corrosion, transport and environmental distribution properties of an oil, and the impact will vary with the type of petroleum. This is very important and a rigorous examination of the various impacts on oil properties, beyond the well-studied viscosity property domain, is required. In addition, as mixed heteroatom species would appear to be very common in oil sands bitumen and related heavy oils, and with increasing concern over oil spillage during transportation and water body interaction with these materials, it will be important to obtain quantitative data and toxicological information on these diverse mixtures of previously unidentified species with largely unknown toxicological properties. Conclusions:
 An extended set of sample suites from several petroleum systems with various levels of biodegradation was used for the study of biodegradation resistant parameters. Groups of nitrogen and mixed nitrogen-sulfur species appear to clearly distinguish oil families by their source facies, independent of the level of biodegradation. Source maturity has a minor impact on the parameters compared to interfamily variations. These species add a very biodegradation resistant parameter to the petroleum geochemists arsenal. Conclusions:
 Finally, and more speculatively, nitrogen isotope systematics within the Chinese oil sample suite shows selective enrichment of 15 N isotope at low levels of biodegradation (PM level 2 to 4) which may indicate that nitrogen is used by the microorganisms as a nutrient source. This preference disappears at more severe levels of biodegradation. Because readily biodegradable hydrocarbons such as n-alkanes are completely destroyed at this stage, it is possible, but not proven, that highly alkylated nitrogen-containing species are being used as a source of carbon and nitrogen. . Methane formation from long-chain alkanes by anaerobic microorganisms. Nature 401, 266-269."
"Petroleum Geochemistry At the Dawn of the 21st Century","https://scispace.com/paper/petroleum-geochemistry-at-the-dawn-of-the-21st-century-n3pg7vm97r","2003","Journal Article","Oil & Gas Science and Technology-revue De L Institut Francais Du Petrole","Alain-Yves Huc","10.2516/OGST:2003015","https://scispace.com/pdf/petroleum-geochemistry-at-the-dawn-of-the-21st-century-n3pg7vm97r.pdf","Following a short review of the evolution of petroleum organic geochemistry in recent decades, this paper depicts the present status of research in the field and describes the guidelines dictated by the needs of the operators. Today, the industrial players are interested in increasingly deep prospects (high pressure, high temperature), in the exploration of the deep offshore, the search for gas and in the production of the planet's enormous heavy oil reserves. In this context, the challenge is to contribute effectively to the quantitative prediction of the oil and gas reserves at the scale of a basin (volume, composition, uncertainties) and to predict the quality of the fluids present in a reservoir, through a closer knowledge of the geochemical events affecting their preservation and their alteration.","of the oils and often by an increase in their in situ viscosity. The merchant value of the oil and the insufficient yields can accordingly compromise the economic value of a discovery. Our knowledge of this mechanism is largely inadequate today in view of the industrial challenges. What we know::
 By definition, biodegradation demands the presence of active microorganisms, at least during a part of the geological history of a reservoir. Hence temperature is a crucial factor, and the experience gained makes it possible today to propose guides to the limits beyond which biodegradation is a minor risk (75°C) or none at all (95°C). The consideration of the temperature of a field, or even better, the modeling of the regional thermal history, is hence an indispensable prerequisite to assessing the ""biodegradation"" risk in exploration. What we do not know::
 Conventionally speaking, biodegradation was considered as the result of the activity of aerobic bacteria in the presence of oxygen supplied by meteoric waters. The latest studies tend to show that the alteration of the oil is probably the result of anaerobic organisms. It is extremely important to verify this new concept, because the circulation of meteoric waters, the only ones that could contain oxygen, in contact with the oil accumulation, would become a non necessary prerequisite. This does not necessarily mean that the circulation of an aquifer is not instrumental to renew the nutrients and the electron acceptors, while preventing the self-poisoning of the system by eliminating the toxic products resulting from microbial activity. The microbial mechanisms involved in this anaerobic degradation (sulfatereduction, fermentation, methanogenesis), the electron acceptors necessary (sulfates, metals, etc.), and the limiting factors, other than temperature (nutrients, trace elements, salinity?) remain theoretical. Basically, the kinetics of the mechanism is unknown. A better prediction of biodegradation, relying on a deterministic model, therefore depends on the answers provided to these questions. What we do not know::
 In this respect, basin models should ultimately be enriched with biodegradation modules. Already, the functionalities of these models, explicitly taking account of the hydrodynamism, the thermal history, the formation of the hydrocarbons and their composition, help to calculate a number of boundary conditions of the prospects and to assess the age of filling of the fields, parameters whose knowledge contributes to a better understanding of the risks associated with biodegradation, or to the effective testing of the assumptions made."
"Comprehensive two-dimensional gas chromatography coupled to time of flight mass spectrometry: new biomarker parameter proposition for the characterization of biodegraded oil","https://scispace.com/paper/comprehensive-two-dimensional-gas-chromatography-coupled-to-3n7az1sc77","2013","Journal Article","Journal of the Brazilian Chemical Society","Renata F. Soares
Ricardo Pereira
Raphael S. F. Silva
Leonardo Mogollon
Débora A. Azevedo","10.5935/0103-5053.20130198","https://scispace.com/pdf/comprehensive-two-dimensional-gas-chromatography-coupled-to-3n7az1sc77.pdf","Comprehensive two-dimensional gas chromatography with time of flight mass spectrometry (GC×GC-TOFMS) is an appropriate technique for the elucidation of molecular composition of petrochemical samples, such as biodegraded oils. Biomarkers were separated and identified, and conventional biomarker ratios were determined via gas chromatography-mass spectrometry (GC-MS) and GC×GC-TOFMS. In the extracted ion chromatogram m/z 123 + 177 + 191, coelutions between tricyclic terpanes, hopanes and 25-nor-hopanes with secohopanes were resolved by GC×GC-TOFMS. GC×GC-TOFMS allowed the identification of complete series of 25-nor-hopanes, nor-gammacerane, C29 28-nor-spergulanes and oleanane not identified by using GC-MS. The biomarker ratios from the studied oils indicated that they derived from marine source rock deposited under anoxic conditions. The higher chromatographic resolution and sensitivity achieved by using GC×GC-TOFMS allowed for three new parameters to characterize biodegraded oils. These results indicated the superiority of GC×GC-TOFMS for separation and identification of individual and non-target compounds in severely biodegraded oils.","Title: Comprehensive Two-Dimensional Gas Chromatography Coupled to Time of Flight Mass Spectrometry: New Biomarker Parameter Proposition for the Characterization of Biodegraded Oil Authors: Renata F Soares,Ricardo Pereira,Raphael S F Silva,Leonardo Mogollon,Débora A Azevedo Keywords: heavily biodegraded oils, biomarker, geochemical parameters, comprehensive two-dimensional gas chromatography, time of flight mass spectrometry"
"Processos naturais de biodegradação do petróleo em reservatórios","https://scispace.com/paper/processos-naturais-de-biodegradacao-do-petroleo-em-3nwu9jb0z6","2012","Journal Article","Química Nova","Georgiana Feitosa da Cruz
Anita J. Marsaioli","10.1590/S0100-40422012000800024","https://scispace.com/pdf/processos-naturais-de-biodegradacao-do-petroleo-em-3nwu9jb0z6.pdf","Petroleum biodegradation in reservoirs is a process caused by different microorganisms affecting many oil deposits which modifies the oil composition in a quasi-stepwise process starting from n-alkanes and isoprenoids through to diasteranes. This causes oil souring and increased viscosity, sulfur and metal content, having a direct impact on oil production and refining costs.","Title: PROCESSOS NATURAIS DE BIODEGRADAÇÃO DO PETRÓLEO EM RESERVATÓRIOS Authors: Georgiana Feitosa Da Cruz,Anita Jocelyne Marsaioli Keywords: aerobic and anaerobic microorganisms, petroleum biomarkers, oil composition"
"Canadian oil sands; a window on the deep petroleum biosphere","https://scispace.com/paper/canadian-oil-sands-a-window-on-the-deep-petroleum-biosphere-n0jvfa2qg1","2012","","","Ian M. Head
Neil D. Gray
Angela Sherry
Michael J. Maguire
Russell J. Grant
Carolyn M. Aitken
D. Martin Jones
Thomas B. P. Oldenburg
B. Bennett
Steve Larter
U. Newcastle
John V. Headley
Kerry M. Peru
Brian Fahlman
Jonathan Bailey
Dena W. McMartin
Sault Ste","","https://scispace.com/pdf/canadian-oil-sands-a-window-on-the-deep-petroleum-biosphere-n0jvfa2qg1.pdf","Mineralogical Magazine | www.minersoc.org 1827 Canadian oil sands; a window on the deep petroleum biosphere IAN M. HEAD1 *, NEIL D. GRAY1, ANGELA SHERRY1, MICHAEL J. MAGUIRE1, RUSSELL J. GRANT, CASEY R.J. HUBERT1, CAROLYN AITKEN1, D. MARTIN JONES1, THOMAS OLDENBURG2, BARRY BENNETT2 AND STEVE LARTER2 NRG, School of Civil Engineering and Geosciences, U. Newcastle, Newcastle upon Tyne, UK. i.m.head@ncl.ac.uk (* presenting author) PRG Dept Geosciences, U. Calgary, Calgary, Canada., slarter@ucalgary.ca","Title: Canadian oil sands; a window on the deep petroleum biosphere Authors: Ian M Head,Neil D Gray,Angela Sherry,Michael J Maguire,Russell J Grant,Casey R J Hubert,Carolyn Aitken,D Martin Jones,Thomas Oldenburg,Barry Bennett,Steve Larter Covering an area over 100,000 km 2 the Canadian oil sands deposits are a vast testament to the consequences when the biosphere meets the geosphere. By integrating laboratory and field based studies of the microbiology, geochemistry and geology of the Canadian oil sands we have developed a more complete understanding of the processes that led to their formation and factors that may control in-reservoir petroleum biodegradation. Studies of methanogenic oil degradation in the laboratory suggest that in the initial stages of biodegradation when the bulk of the crude oil hydrocarbons, principally saturated hydrocarbons, are removed, oil degradation is driven by consortia of bacteria from the Syntrophaceae and methanogenic archaea. However field studies of the microbial communities currently predominant in the heavily biodegraded oil sands paint a very different picture with apparent predominance of known hydrocarbon degrading taxa conventionally considered to be aerobes. In addition, the communities in produced water samples contrast with communities detected in core samples and are dominated by Epsilonproteobacteria which are typically thought to play a role in sulfur cycling. The reasons for the contrasting views obtained using different approaches and sampling strategies will be explored and linked to geochemical patterns characteristic of heavy oil reservoirs. Based on the occurrence of geochemical gradients in biodegraded petroleun reservoirs it was initially inferred that the petroleum reservoir microbiota should be most abundant and active at the base of the reservoir where oil staurated rock transitions to water saturated rock . This theory appears to hold up to empirical scrutiny and we have shown that bacterial 16S rRNA gene abundance is around 2 orders of magnitude greater in these oil water transition zones. We will discuss our most recent findings integrating geochemical and metagenomic results to gain further insights into the potential role of the microbiota currently dominant in oil sands reservoirs and the implications for the petroleum deep biosphere and other hydrocarbon-impacted anoxic environments. [1] Head I.M., Jones D.M. and Larter S.R. . Biological activity in the deep subsurface and the origin of heavy oil. Nature 426, 344-352. Orbitrap high resolution mass spectrometry characterization of:
 Athabasca oil sands acids in environmental samples JOHN V. HEADLEY* 1 , KERRY M. PERU 1 , BRIAN FAHLMAN 2 , JONATHAN BAILEY 1 AND DENA MCMARTIN 3 Orbitrap high resolution mass spectrometry characterization of:
 1 Environment Canada, Saskatoon, Canada, John.Headley@ec.gc.ca 2 Canadian Forest Service -Great Lakes Forestry Centre, Sault Ste."
