"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Modelling and analysis of offshore energy systems on North Sea oil and gas platforms","https://scispace.com/paper/modelling-and-analysis-of-offshore-energy-systems-on-north-3sgi5h0j4t","2012","","","Tuong-Van Nguyen
Brian Elmegaard
Leonardo Pierobon
Fredrik Haglind
Peter Breuhaus","","https://scispace.com/pdf/modelling-and-analysis-of-offshore-energy-systems-on-north-3sgi5h0j4t.pdf","Presented at: SIMS 2012 : The 53rd Scandinavian conference on simulation and modeling, organized by Orkustofnun, Reykjavik 4-6 October, 2012","Exergy components: Finally, the specific chemical exergy of a mixture ēch,mix , on a molar basis, becomes: Exergy components: Where x k is the partial pressure of the k gas and R the ideal gas constant. Exergy efficiency:
 Applying an exergy balance on a specific process component k and calculating its exergy destruction rate Ėd,k , provides information on its thermodynamic inefficiencies. The exergy destruction rate of this component can then be related to the exergy destruction rate of the whole system Ėd by calculating the exergy destruction ratio y * k , defined as: Exergy efficiency:
 Exergetic efficiency η k for a sub-system k, which is a measure of its thermodynamic performance, can be defined by identifying fuel and product of interest. It should be emphasised that fuel and product exergies Ėf,k and Ėp,k of the sub-system of interest are not necessarily equal to its input Ėi,k and output exergies Ėo,k . Exergy efficiency:
 Definitions of exergetic fuels and products for the components and sub-systems investigated within this study are extensively discussed in Bejan et al  and in Kotas . System simulation:
 This section introduces and discusses the results of the oil offshore platform modelling, which was described in detail in Section 3. Results of the process plant simulation are presented in Table , with flows expressed in standard cubic meters (Sm 3 ), which stands for volume measurements in standard conditions (temperature of 15 • C and pressure of 1 atm). The power requirements of the offshore platform are shown in Table , with values expressed in MW. Results indicate that the power consumption of the offshore platform ranges from 18 to 23.5 MW and is strongly correlated to the energy demand of the gas lifting and exportation trains. In any case, this specific process is the major electricity consumer of the offshore plant and is responsible for 50% to 65% of the total power demand. This power consumption, both in absolute and specific terms, is larger in case 3 than in cases 1 and 2, as the power required to compress the surplus of gas overcomes the decrease of power in the crude oil pumping and wastewater treatment sections. Additionally, gas compressors on offshore platforms are characterised by a relatively low isentropic efficiency and the use of anti-surge gas recycling has also an impact on the train power consumption. Another important aspect of the power consumption profile of oil offshore platforms is the great demand associated with the seawater injection process, as a large amount of seawater must be pumped from atmospheric pressure to 11.5 MPa. This process demand accounts for 29% to 39% of the total power consumption and reaches nearly 7 MW. Seawater pumped for injection is not extracted through the same wells as oil and natural gas and does not enter the crude oil separation train. Conversely, oil, associated water and gas do thus not enter the water purification train, and variations in the well-fluid composition do therefore not directly affect the pumping work for seawater injection."
"Thermodynamic analysis of an upstream petroleum plant operated on a mature field","https://scispace.com/paper/thermodynamic-analysis-of-an-upstream-petroleum-plant-4qrxvxkvy0","2014","Journal Article","Energy","Tuong-Van Nguyen
Tomasz Jacyno
Peter Breuhaus
Mari Voldsund
Brian Elmegaard","10.1016/J.ENERGY.2014.02.040","https://backend.orbit.dtu.dk/ws/files/90445406/Thermodynamic_analysis_of_an_upstream_petroleum.pdf","","processing plant, as the temperatures of the heat sources (e.g. glycol loop) and the heat receivers (e.g oil and gas) would be better matched. The trade-off between additional capital costs and smaller operating ones should be investigated carefully. Benchmarking and performance indicators:
 These results may give hints for setting meaningful benchmarking and comparing different facilities, as proposed in Voldsund et al. . The specific power consumption and energy efficiency are indicators already in use in the industry . However, the use of the specific power consumption may be misleading because it is expressed on oil equivalent and volume bases. As operating conditions, reservoir properties and export specifications vary from one field to another, a comparison of different facilities using this metric may unfairly favour some plants . Benchmarking and performance indicators:
 Other indicators, such as the exergy efficiency and the specific exergetic waste, could be used along with adequate performance benchmarks. For instance, the exergetic efficiency shows, at the difference of the energy efficiency, the real consumption of the resources required to run the processing plant. The specific exergy consumption, at the difference of the specific power consumption, takes into account the exergy consumed on-site as heat, which may be significant for oil and gas platforms processing a low-temperature or highly viscous crude. The specific exergy waste reflects the losses of resources with the flared and vented gases, but also with the produced water, which is rejected in significant quantities for platforms operating on mature oilfields. It would also be relevant to compare the current power consumption with the power demand when integrating best-available-technologies, as this provides information on the maximum energy savings with the current technological limits . Conclusion:
 The processing plant of an offshore platform on a mature oilfield was modelled based on reconciliated data, and its performance was assessed by conducting an energy and exergy analysis. The material and energy flows under two types of production days were derived and validated by comparison with the available measurements. In any case, electric power is mostly consumed to increase the pressure of the produced gas in the recompression and compression sections, while heat is used for enhancing the hydrocarbon separation in the condensate treatment and glycol regeneration systems. The total power consumption amounts to 18.6 MW and can reach 25.5 MW when oil is loaded and exported to the coast. The heating demand is minor in comparison: it is met by electrical heating, heat recovery from a glycol loop and internal heat exchanges. Conclusion:
 As suggested in related studies, exergy is mainly destroyed in subsystems where the pressure is significantly reduced (throttling in well-heads and production manifolds) or increased (compression in gas treatment and recompression), because of the turbomachinery inefficiencies and the temperature gaps in the coolers. The exergetic efficiencies ranged between 2-17% for the coolers, exceeded 35% for the heaters, 60% for the compressors and 70% for the large pumps. Exergy is lost to the environment with flared and vented gases, and with produced and cooling water not used for water injection."
"Exergetic assessment of energy systems on North Sea oil and gas platforms","https://scispace.com/paper/exergetic-assessment-of-energy-systems-on-north-sea-oil-and-2hjswt5mpo","2013","Journal Article","Energy","Tuong-Van Nguyen
Leonardo Pierobon
Brian Elmegaard
Fredrik Haglind
Peter Breuhaus
Mari Voldsund","10.1016/J.ENERGY.2013.03.011","https://orbit.dtu.dk/files/90483801/Exergetic_assessment_of_energy_systems_postprint.pdf","","of the compressor internals), implementing variable speed drive systems, using alternative control methods and adjusting the stagger angle of vanes. Another possibility is to integrate compressors of different sizes in parallel so that the majority of them is operated near their optimal operating point. Comparison with literature:
 The process simulation results are in accordance with the findings of Svalheim and King , who stated that the gas compression, oil pumping and seawater injection steps are the most energy-consuming steps. It was suggested to use the produced water extracted along with oil and gas instead of treated seawater , but it was also emphasised that the hydrocarbon content of the wastewater emulsion might result in plugging issues. Further research and quality control of the treated water are thus necessary before this option becomes viable . Comparison with literature:
 The present results on the thermodynamic performance of oil and gas platforms can be compared to the results of Voldsund et al. , which were introduced in Section 1. They considered a real-case offshore facility located in the North Sea region, processing a crude oil rich in methane (78%) and producing about 370 kSm 3 /hr of natural gas, 135 Sm 3 /hr of oil and 67 Sm 3 /hr of water. In this regard, the most similar case investigated within this work was Case 6. The power demand was about 18.5 MW without seawater injection, which is about 20% smaller than the value calculated and presented in their paper. This difference is mainly imputable to the assumptions on the isentropic efficiency of the gas compressors in the present study, which was at first set to 65% and varied by conducting a sensitivity analysis. In their work, the isentropic efficiency was between 47% and 69% in the recompression train and between 54% and 69% in the compression section. Other differences are the total volume of gas processed in the gas compression section, which is about 15% larger, and the final pressure level, which is 23.5 MPa. Comparison with literature:
 Furthermore, the comparison between these two research works also suggests that the gas compressiontreatment process is one of the most exergy-destructive steps of a typical oil offshore processing. Similarly, the recompression and separation steps rank next, while the exergy destruction taking place in the oil export pumping is generally negligible. The main discrepancy lies in the accounting of the exergy associated with overboard discharge of cooling water. It is in the present work accounted as an exergy loss whereas it is considered as exergy destruction in their study, because of a different choice of the system boundaries. They suggested to focus on the gas compression and injection train, by for instance eliminating anti-surge recycling. One of the main emphases was on the performance improvement of this system section, since a more efficient gas process would induce a reduction of the power consumption and a lower exergy destruction in both the oil processing and power generation plants. There was on overall a good correspondence between the findings of both works."
"On the definition of exergy efficiencies for petroleum systems: Application to offshore oil and gas processing","https://scispace.com/paper/on-the-definition-of-exergy-efficiencies-for-petroleum-4qb8lx58jv","2014","Journal Article","Energy","Tuong-Van Nguyen
Mari Voldsund
Brian Elmegaard
Ivar S. Ertesvåg
Signe Kjelstrup","10.1016/J.ENERGY.2014.06.020","https://orbit.dtu.dk/files/96856864/On_the_definition_of_exergy.pdf","",": Task exergy efficiencies (%) based on the approach of Kotas and Oliveira and Van Hombeeck for generic separation systems. Total exergy efficiency: rational efficiency of separation processes is often low, because of the large compression ratios of the gas streams. Total exergy efficiency:
 Platform B presents a negative efficiency, since the exergy of the output streams is smaller than the exergy of the feeds. The pressures and temperatures of the oil and gas are lower than those of the feed since there is no need for gas compression before export. The reductions of physical exergy (≃ 12,200 kW) are thus higher than the increases of chemical exergy (≃ 300 kW), leading to the negative value. The same has been seen when this definition of the exergy efficiency has been applied at the level of the separation module for another platform . Total exergy efficiency:
 This case illustrates the limitations of applying this approach for evaluation of our four different processing plants, and suggests that the differences of physical and chemical exergy between the input and output streams should be considered apart. The reduction of pressure throughout the platform results in a higher vapour fraction of the streams and drives the separation. The expense of physical exergy may therefore be accounted as a part of the resources spent to drive the processing plant. Task exergy efficiency: Cornelissen for crude oil distillation, Rian and Ertesvåg for LNG plant:
 Kotas  suggested an alternative to Equation 17 for air distillation plants, where the physical and chemical exergy in the material streams are treated separately: Task exergy efficiency: Cornelissen for crude oil distillation, Rian and Ertesvåg for LNG plant:
 The exergetic fuel is now taken as the sum of the exergy transferred as heat and power and the physical exergy of the feed. Similarly, the exergetic product is now taken as the difference of chemical exergies between the inlet and outlets of the processing plant, as well as the physical exergy of the useful output streams. Task exergy efficiency: Cornelissen for crude oil distillation, Rian and Ertesvåg for LNG plant:
 This approach is similar to the one applied by Cornelissen  for a crude oil distillation plant and by Rian and Ertesvåg  for an LNG plant, where it is suggested that all physical exergy of the feed streams is consumed along with exergy associated with heat and power. The desired result is taken as the physical exergy of the outlet streams, as well as the increased chemical exergy due to separation. Task exergy efficiency: Cornelissen for crude oil distillation, Rian and Ertesvåg for LNG plant:
 The expression for the exergy efficiency of the system (ε II−2 ) is then given by: Task exergy efficiency: Cornelissen for crude oil distillation, Rian and Ertesvåg for LNG plant:
 When applying this approach (Table , Figure ), the exergetic fuel amounts from 33 MW (Platform D) to 110 MW (Platform B). The major contributions to the fuel are the physical exergy of the feeds and the power consuption. In any case, it can be seen that most exergy consumed on the plant is used to produce high-pressure gas, and that the separation effect is negligible in comparison. Ėph (oil/cond.)"
"Exergy destruction and losses on four North Sea offshore platforms: A comparative study of the oil and gas processing plants","https://scispace.com/paper/exergy-destruction-and-losses-on-four-north-sea-offshore-vb9xtav3zc","2014","Journal Article","Energy","Mari Voldsund
Tuong-Van Nguyen
Brian Elmegaard
Ivar S. Ertesvåg
Audun Røsjorde
Knut Jøssang
Signe Kjelstrup","10.1016/J.ENERGY.2014.02.080","https://orbit.dtu.dk/files/92225693/Exergy_destruction_and_losses_postprint.pdf","","Title: Exergy destruction and losses on four North Sea offshore platforms: A comparative study of the oil and gas processing plants Authors: Mari Voldsund,Tuong-Van Nguyen,Brian Elmegaard,Ståle Ertesvåg,Audun Røsjorde,Knut Jøssang,Signe Kjelstrup Keywords: Exergy, Oil and gas, Energy, Efficiency"
"Modelling, analysis and optimisation of energy systems on offshore platforms","https://scispace.com/paper/modelling-analysis-and-optimisation-of-energy-systems-on-n2s1prhbg9","2014","","","Tuong-Van Nguyen
Brian Elmegaard
Peter Breuhaus
Fredrik Haglind","","https://scispace.com/pdf/modelling-analysis-and-optimisation-of-energy-systems-on-n2s1prhbg9.pdf","Nowadays, the offshore production of oil and gas requires on-site processing, which includes operations such as separation, compression and purification. The offshore system undergoes variations of the petroleum production rates over the field life – it is therefore operated far from its nominal operating conditions, which results in poorer performance. The present thesis addresses the question of how offshore platforms should be modelled, analysed and optimised from an energy system perspective. The research challenges can be classified into three main areas: (i) the simulation and assessment of oil and gas facilities, (ii) the means to reduce their performance losses, and (iii) the systematic design of future plants. This work builds upon a combination of modelling tools, performance evaluation methods and multi-objective optimisation routines to reproduce the behaviour of five offshore platforms, quantify the potentials for energy savings, and design more efficient conversion units. The findings show that the differences in the field and operating conditions directly impact the energy demand and performance profiles of these facilities. Most inefficiencies are associated with the combustion, pressure-change and cooling operations, but these processes are ranked differently depending on the plant layout and on the field production stage. The most promising improvements consist of introducing a multi-level production manifold, avoiding anti-surge gas recirculation, installing a waste heat recovery cycle, and implementing a CO2-capture unit. The benefits of such measures vary widely across offshore platforms, pinpointing that no generic improvement can be proposed, and that caution should be exercised when giving recommendations to the stakeholders. Finally, the several studies stress the importance of developing site-scale solutions, which account for the synergies between the processing and utility plants, to enhance the overall platform performance and intensify the petroleum production.","minimal, as gas is only flared during shut-down or emergencies, and vented in small quantities from the glycol regenerator. In general, continuous flaring is forbidden on Norwegian platforms and should be avoided, as it results in unnecessary losses. Conclusion:
 Exergy analyses were performed on the oil and gas processing systems on four North Sea oil and gas platforms, which differ by their operating conditions and strategies. The comparison of the exergy destruction sources illustrated the large exergy destruction associated with the gas treatment and production manifold systems, ranging above 27 % and 11 %, respectively. The fuel gas and seawater injection processes represent less than 3 % each in every case. However, the contributions of the recompression, separation and oil export sections vary significantly across the different platforms. Although the precise values of the exergy destruction rates differ from one platform to another, the main causes can be identified with the depressurisation in the production manifold, the compressor inefficiencies, and the heat transfers processes in the coolers. Conclusion:
 The exergy destruction and losses in the oil and gas processing system of four oil and gas platforms were mapped: the findings are in accordance with the results of Svalheim and King , who stated that the gas compression step is the most energy-demanding steps. They can also be compared to the previous results of Bothamley  who focused on the variety of offshore processing options in different oil regions. However, these results depend strongly on factors such as (i) the efficiency and the control strategies of the turbo-machinery components (ii) the integration of additional subsystems such as condensate export and (iii) the outlet specifications of the processing plant. Conclusion:
 In addition, the differences between the platforms analysed in this study and the Brazilian cases  show that caution should be exercised when extending the present conclusions to platforms in other regions of the world. Each oil platform should be analysed individually, to pinpoint the major sources of performance losses for each specific facility. its lifetime, but not for establishing consistent benchmarks or for comparing one facility with another. Another approach is to compare the total energy use to the ones if the energy management strategies had been optimal , or if state-of-the-art technologies had been implemented in replacement of the current ones . Conclusion:
 However, they cannot provide information on the extents and locations of the performance losses of the overall plant and subsystems, which can be, on the contrary, illustrated by exergybased indicators, as suggested by Rivero . Various formulations have been proposed from the 1950s, with, among others, the contributions of Nesselmann  and of Fratzscher and Beyer . Both works reported the definition of the exergetic efficiency of a given system as the ratio of its total exergy output to its total exergy input. Grassmann  and Nesselmann  suggested to define the exergetic efficiency as the ratio of the part of the exergy transfers that contribute to the transformations taking place, i.e. the consumed exergy, to the part of the exergy transfers that are generated within the system, i.e. the produced exergy. Baehr  proposed his own expressions for these two terms. The difficulty of providing a nonambiguous definition of an exergetic efficiency was stressed, as different views on consumed and produced exergies may apply."
"Life-cycle production optimization of hydrocarbon fields : Thermoeconomics perspective","https://scispace.com/paper/life-cycle-production-optimization-of-hydrocarbon-fields-1dnqf0b6x9","2019","Journal Article","Sustainable Energy and Fuels","Rouhollah Farajzadeh
Rouhollah Farajzadeh
S. Kahrobaei
A.H. de Zwart
D. M. Boersma","10.1039/C9SE00085B","https://scispace.com/pdf/life-cycle-production-optimization-of-hydrocarbon-fields-1dnqf0b6x9.pdf","We suggest alternative objective functions based on the concept of thermoeconomics (or exergoeconomics) that could be used for simultaneous maximization of economics and energy efficiency of oil-production systems. The suggested functions are evaluated for an oil reservoir, where water is injected to improve its recovery factor. We find that life-cycle optimization of water-injection projects in terms of net present value (NPV) and net cumulative exergy (NCE) leads to consistent results. We show that managing reservoirs based on a long-term objective leads to significant reduction in their CO2 footprint. For oil production by water injection, commitment to reduce CO2 emission provides an opportunity to maximize the NPV of these projects. The sustainability of water injection into hydrocarbon reservoirs is highly dependent on the volumes of the injected and produced liquids. Above a critical water cut (80% in this study), the energy efficiency of the project decreases dramatically, and its CO2 footprint increases exponentially.","À1 . Therefore, the total cumulative invested exergy can be written as follows Invested exergy (work stream): water +E x pump water +E x lift oil,water +E x heat oil +E x trans oil (10) Exergy recovery factor:
 We dene the exergy recovery factor, Ex RF , as the ratio between the produced exergy corrected for material and process exergy requirements for its extraction and the gross exergy of the source, 51 i.e., Exergy recovery factor:
 The exergy recovery factor assumes values between ÀN and 1 and is the measure of efficiency and sustainability of the system. In other words, 1 À Ex RF is the fraction of the energy that has been ""wasted"" or ""lost"" in different components of the oil production system. The invested exergy can be used to calculate the CO 2 footprint of the applied improved oil recovery technique.  The amount of emitted CO 2 depends on the CO 2 footprint of the energy source. Notably, a lower exergy recovery factor does not necessarily correspond to a larger CO 2 emission. Objective functions:
 Three objective functions are used to optimize the rate of the injection and production wells to achieve a maximum economic value or energy efficiency. These functions are explained next. Net present value (NPV):
 The economic performance of a reservoir system, such as the net present value (NPV), is the most commonly used objective function for production optimization. The NPV is dened as follows (J ¼ NPV) Net present value (NPV):
 where q op,k [m 3 day À1 ] is the oil production rate, q wp,k [m 3 day À1 ] is the water production rate, q wi,k [m 3 day À1 ] is the water injection rate, r o [$ per m 3 ] is the unit price of the produced oil, r wp [$ per m 3 ] is the cost of the produced water, r wi is the cost of the water injection [$ per m 3 ], Dt k [day] is the difference between the consecutive time steps, b is the discount factor, t k [day] is the cumulative time corresponding to the time step k, and s t is the reference time period for discounting. Table  shows the unit prices, which are used in eqn (12) to calculate the economic performance of the reservoir. Net cumulative exergy:
 The exergy-based objective function is set to the cumulative net exergy gain from the reservoir. Replacing eqn (4)- (9) in eqn (1), the NCE can be rewritten in terms of the production and injection rates as follows (V ¼ NCE) Net cumulative exergy:
 Table  shows the specic exergy values, which are used in eqn (13) to calculate the net cumulative exergy. Modied NPV with CO 2 emission penalty:
 The invested exergy can be included in the NPV denition by including a CO 2 -emission penalty fee. The amount of emitted CO 2 is assumed to be directly related to the exergy invested to produce the hydrocarbon,"
"Sustainable production of hydrocarbon fields guided by full-cycle exergy analysis","https://scispace.com/paper/sustainable-production-of-hydrocarbon-fields-guided-by-full-281dgixv6e","2019","Journal Article","Journal of Petroleum Science and Engineering","Rouhi Farajzadeh","10.1016/J.PETROL.2019.106204","https://repository.tudelft.nl/islandora/object/uuid%3A24489ee1-0ae3-48de-ace3-9b1414bc47e1/datastream/OBJ/download","","the hydrocarbon-production systems provides information on the location and scale of destroyed exergy . The results of the analysis can be used to design alternative systems/facilities/concepts and/or to make adjustments to the current production scheme by optimizing the process parameters. Full-cycle exergy analysis of hydrocarbon production systems:
 For example, in enhanced oil recovery techniques, the process parameter could be the volume of the injected chemicals. In the next section we will show that in water-injection improved oil recovery the water cut or water utilization factor (the volume of water required to produce unit volume of oil) could be the optimized parameters. The componentbased exergy analysis can quantify the difference between the theoretical (i.e. ideal or reversible) and the practical (irreversible) process Fig. . Workflow of an optimization process based on the exergy analysis: the output is list of exergy-intensive components/processes and offers the basis for a more sustainable production system.  ). The end goal of component-based exergy analysis is to shorten the distance between carbon-neutral and theoretical efficiencies by optimizing/eliminating energetically-expensive processes or avoiding production of hydrocarbons that require large energy investment. Fig. . An exemplary oil recovery factor (E RF ) history (left axis, dashed line) and its corresponding exergy-recovery-factor (Ex RF ) history (right axis, solid line). The project is not energetically sustainable after the exergy-zero time (corresponding to an exergy-zero-recovery factor), shown by red shaded area. (For interpretation of the references to colour in this figure legend, the reader is referred to the Web version of this article.) efficiency. The outcome leads to a more sustainable production or optimal reservoir management scenario. This might not always be the scenario with maximum hydrocarbon volumes or exergy gain. Nevertheless, the result of the analysis will be a plan by which hydrocarbons are extracted with lowest possible exergy investment or CO 2 footprint. The end goal of the exergy analysis is to close the gap between the zeroemission (carbon-neutral) and theoretical efficiencies (Fig. ). The exergy-based life cycle analysis of the hydrocarbon production should be performed in an integrated inter-disciplinary manner, i.e. by exploiting expertise of various (surface and subsurface) disciplines of energy and material sciences at multiple length and time scales. This will help understanding of the flow of energy in different stages of the production/consumption loop, which may also vary with time. Exergy-recovery factor as a measure of sustainability in production of hydrocarbons:
 The efficiency of the production concepts can be evaluated using the (2)"
"A review of thermodynamic analysis of distillationcolumn","https://scispace.com/paper/a-review-of-thermodynamic-analysis-of-distillationcolumn-1tiwso62","2022","Journal Article","African Journal of Engineering and Environment Research","","10.37703/ajoeer.org.ng/se/09-2022/05","https://scispace.com/pdf/a-review-of-thermodynamic-analysis-of-distillationcolumn-1tiwso62.pdf","Separation technique with distillation column is an energy intensive process even though it is one of the most extensively used separation process in the petrochemical, chemical and agro-allied industries. Studies have proved that some other schemes of distillation columns other than the conventional columns could be more energy efficient. This has led to a number of different configurations of the columns. This study presents a review of second law of thermodynamics in determining and enhancing the effectiveness of energy usage in the distillation columns. The review covers binary, multicomponent and crude distillation columns and it is not limited to the conventional columns. It can be concluded that exergy analysis of the columns while providing a true analysis of the column efficiency can be used to improve the column’s energy efficiency. It is therefore imperative that process engineers should be armed with this tool to design and operate energy efficient columns.
Keywords: Distillation, Exergy analysis, Efficiency, Thermodynamics.","exergy input always exceeds the exergy output; this imbalance is due to irreversibilities, which some have referred to as exergy loss or recoverable exergy. A pictorial representation is given in Figure Figure : Distribution of exergy in a process THERMODYNAMIC ANALYSIS OF BINARY AND MULTICOMPONENT SYSTEMS:
 Optimal thermodynamic feed conditions have been identified through thermodynamic efficiency analysis of distillation columns . It was suggested that a binary mixture of same compositions one being saturated vapour and the other saturated liquid gives a substantial improvement in distillation column efficiency. THERMODYNAMIC ANALYSIS OF BINARY AND MULTICOMPONENT SYSTEMS:
 The fact that irreversibility in a column is high and its fluxes are distributed in non-uniform manner in the column is reiterated in another research effort. They are found to be more significant in the condenser, reboiler and feed tray. The target therefore is to minimise the temperature pinch by inserting a heat pump to function in between two successive trays. THERMODYNAMIC ANALYSIS OF BINARY AND MULTICOMPONENT SYSTEMS:
 Column grand composite curve (CGCC) and exergy loss profile were used in thermodynamically retrofit of distillation column . The retrofit suggestions were based on the reduction in exergy loss of the process and subsequent increase in exergy efficiency. It includes feed preheating, inclusion of side reboilers and condensers. Recoverable exergy:
 Exergy analysis has been used in determining distillation column feasible operating conditions, , in determining binary plate distillation column reflux ratio  and in optimizing binary plate distillation column operations . Recoverable exergy:
 Exergy analysis was implemented in the control of binary distillation column using relative exergy array (REA) in place of relative gain array (RGA) . In another study artificial neural network (ANN) was used in the modelling, control and optimisation of energy efficient column . Recoverable exergy:
 In all these cases, the criteria focused on increase in thermodynamic efficiency at thermodynamically feasible conditions. The method, in all these cases, has been proved on binary systems. Recoverable exergy:
 A comprehensive list on review of thermodynamic analysis of distillation process was presented by ). The focus is on conventional column emphasising reduction of ecological cost energy cost and thermodynamic cost. Exergy analysis of an ideal heat integrated distillation column was performed and compared with the conventional distillation column . The heat integrated column gives potential for internal heat integration between the rectifying and the stripping section. Recoverable exergy:
 Exergy analysis was used to determine the stage for heat to be added in a dividing wall heat distillation column . This method was successful in improving the efficiency of the columns with multiple feeds and products. Recoverable exergy:
 A five column scheme for purifying methanol was shown to have an exergy loss decrease of about 21.% compared to the four column scheme . The purity and the yield of methanol in both schemes are the same. Recoverable exergy:
 Feyzi and Beheshti (2017)computed the exergy efficiency of a reactive distillation column under different operating conditions. Response surface method (RSM) was then applied to model and optimize the efficiency. Exergy efficiency of the column was increased by 12 % and the exergy loss was reduced by 28%."
"Comparative thermodynamic assessment of various super- and trans-critical working fluids for low temperature power generation applications","https://scispace.com/paper/comparative-thermodynamic-assessment-of-various-super-and-yes0w4esfr","2017","Journal Article","Journal of Polytechnic","Hasan Ozcan
Sertac Samed Seyitoglu","10.2339/POLITEKNIK.369087","https://scispace.com/pdf/comparative-thermodynamic-assessment-of-various-super-and-yes0w4esfr.pdf","Recently, energy need is exponentially increasing in the world while energy sources are decreasing rapidly. Therefore, this issue requires energy sources to be used more efficiently and urges professionals to utilize energy from low temperature energy sources such as waste heat and low temperature renewable sources. In this study, energy and exergy analyses of several clean working fluids are comparatively studied in several organic Rankine cycle configurations. CO 2 , N 2 O, and SF 6 fluids are compared with the conventional R23 in three ORC configurations, namely the basic ORC cycle, regenerative ORC cycle, and reheat and regenerative ORC cycle, respectively. Effects of various selected system and environmental parameters on the system performances are comprehensively investigated. Even though R23 shows the best energy and exergy performances than those of other investigated working fluids at low-temperature applications, N 2 O and CO 2 provide a clean solution to high GWP (global warming potential) R23 with similar performance characteristics at low and high temperature power generation applications.","AND ASSESSMENT:  All system components are assumed to be ideal, and all corresponding components are studied without any type of specific losses. ANALYSES AND ASSESSMENT:  Pressure losses through all installments are neglected. ANALYSES AND ASSESSMENT:
  All working fluids are taken to be real gases. ANALYSES AND ASSESSMENT:
  The main optimization parameters are selected as the source temperature and pump pressure ratio for parametric optimization. Thermodynamic analysis of all three configurations are based on simplified steady-state modeling of all components through mass, energy, entropy, and exergy balances as follows : ANALYSES AND ASSESSMENT:
 Here, the definition 𝐸𝑥 refers to exergy rate and calculated with its specific form as follows: ANALYSES AND ASSESSMENT:
 𝐸𝑥 ̇= 𝑚̇• 𝑒𝑥 (5) And the specific exergy is the sum of chemical and physical exergy of a substance which are also defined in the flowing equations below, as follows: ANALYSES AND ASSESSMENT:
 The third and fourth components of Eq. ( ) refer to thermal exergy and exergy destruction rates as follows: ANALYSES AND ASSESSMENT:
 𝐸𝑥 ̇𝑑𝑒𝑠 = 𝐼 ̇= 𝑇 0 • 𝑆 ̇𝑔𝑒𝑛  Since this study aims to compare the effects of various system parameters, system configurations and specifically working fluid selection, the best way to compile and compare all these data may be possible by considering the overall performance indicators of the relevant thermal system. Therefore, energy and exergy efficiencies are selected to be the main performance indicators. Energy and exergy efficiencies of conventional and regenerative ORC system are same and defined as follows: ANALYSES AND ASSESSMENT:
 The denominator of Eq. ( ) also results in the thermal exergy input of the heater unit. For the reheat and regenerative cycle: ANALYSES AND ASSESSMENT:
 For all configurations, one can also define the exergy efficiency as the second law efficiency by considering its Carnot factor, which results the same as in the exergy efficiency definitions, as follows: ANALYSES AND ASSESSMENT:
 Even though results of the second law efficiency and the exergy efficiency show uniform changes and similar results for this present study, it would not be suitable to use second law efficiency definition when the investigated thermal system includes chemical reactions."
