"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Investigation of Dynamic Viscosity of Several Aliphatic and Aromatic Hydrocarbons in Connection with Thermo-Occupancy Function","https://scispace.com/paper/investigation-of-dynamic-viscosity-of-several-aliphatic-and-2y5vgj5l","2022","Journal Article","Acta Physica Polonica A","Fatma Sahin-Dinc","10.12693/aphyspola.141.535","https://scispace.com/pdf/investigation-of-dynamic-viscosity-of-several-aliphatic-and-2y5vgj5l.pdf","","that the Newtonian viscosity is the same as the solid-like viscosity of a liquid in . The viscosity formulation is obtained by replacing the Newtonian viscosity in (4) with the solid-like viscosity in (3) using ( ), ( ) and ( ) Interpretation of viscosity characterisation of liquid hydrocarbons:
 (8) In ( ), the right-hand side is referred to as the logarithm of zero-shear viscosity, (ln η 0 ), i.e., Interpretation of viscosity characterisation of liquid hydrocarbons:
 In a scaled form, (9) becomes Interpretation of viscosity characterisation of liquid hydrocarbons:
 Here, η0 = η 0 /η * is the scaled quantity in which η * is the viscosity extrapolation at the highest hole fraction value. In ( ) and ( ), α and α s are measures of activation energy and are presumably affected by the segmental friction, molecular structure, branching, composition, additives, etc. These parameters (the expressions for η * , α, and α s , respectively), are given as follows: Interpretation of viscosity characterisation of liquid hydrocarbons:
 Here, a and a stand for the activation energy coefficients, and the function Φ changes slowly with respect to temperature and pressure . Interpretation of viscosity characterisation of liquid hydrocarbons:
 A ratio of the fraction y h to absolute temperature T in , and scaled temperature T in ( ) is called thermo-occupancy function and represented, respectively, by Interpretation of viscosity characterisation of liquid hydrocarbons:
 The thermo-occupancy function Y h not only provides the thermodynamic properties of liquids obtained from the equilibrium condition of the SS-EoS but also constructs a bridge between equilibrium and transport properties through the viscosity equation defined in . In order to linearize the dependence between two quantities, namely hole fraction and dynamic viscosity (see ), an empirical additive hole fraction parameter, h , is defined . With the inclusion of parameter h , ( ) and  becomes Interpretation of viscosity characterisation of liquid hydrocarbons:
 Since ( ) and ( ) includes an additive hole fraction term h necessary for the flow, it corresponds to the transport state of the model. However, (9) represents the equilibrium state of the model. The estimation of viscosity from volumetric measurements, and vice versa, can be obtained through ( )- . Interpretation of viscosity characterisation of liquid hydrocarbons:
 The ""viscoholibility"", a combined word of hole fraction and viscosity, is expressed as the differentiation of ln(η 0 ) in ( ) and ( ) with respect to vacancy fraction at a constant absolute temperature  ∂ ln(η 0 ) ∂h Interpretation of viscosity characterisation of liquid hydrocarbons:
 where the sign ""−"" indicates the inverse relationship between zero-shear viscosity and hole fraction. Calculations and discussion:
 3.1. The PVT data fit through the SS theory (SS-EoS Fits) Calculations and discussion:
 The P V T data of hydrocarbon fluids examined in this work were provided by Caudwell et al.  in the temperature range 298.15-473.15 K and for the range of pressures from 0.1 to 202.4 MPa. The density is determined with the aid of a steadystate vibrating-wire instrument, technical details of which are provided in ."
"Cálculo de viscosidade de líquidos com a ede cubic-plus-association incorporada ao modelo eyring","https://scispace.com/paper/calculo-de-viscosidade-de-liquidos-com-a-ede-cubic-plus-9nfh58eixc","2015","Proceedings Article","","I. Q. Matos
J. P. L. Santos
G. F. Silva","10.5151/CHEMENG-COBEQ2014-0637-24641-139268","https://scispace.com/pdf/calculo-de-viscosidade-de-liquidos-com-a-ede-cubic-plus-9nfh58eixc.pdf","RESUMO – A viscosidade e uma propriedade de transporte fundamental para o desenvolvimento de processos nas industrias petroquimica, petrolifera, quimica e de outras industrias que envolvem o transporte de fluidos. Calculos de viscosidade sao baseados no principio dos estados correspondentes ou na teoria de Eyring. Assim, o objetivo do presente trabalho e incorporar a equacao de estado Cubic-Plusassociation (EdE CPA) na teoria de Eyring para correlacionar e predizer a viscosidade dos componentes puros que formam ligacoes de hidrogenio metanol, etanol e 2-propanol e das misturas metanol+etanol, metanol+2-propanol e etanol+ 2propanol. A EdE CPA forneceu resultados satisfatorios tanto para componentes puros quanto para misturas binarios.","CÁLCULO DE VISCOSIDADE DE LÍQUIDOS COM A EDE CUBIC-PLUS-ASSOCIATION INCORPORADA AO MODELO EYRING Authors: I Q Matos,J P L Santos,G F Silva INTRODUÇÃO:
 A viscosidade é uma propriedade de transporte fundamental para projetar equipamentos nas indústrias química, petroquímica e petróleo nas quais estão relacionadas ao transporte, agitação, filtração e troca de calor de fluidos. Apesar disso, não há uma teoria satisfatória para propriedades de transporte de gases densos e líquidos reais. As dificuldades inerentes ao estudo dessas propriedades são atribuídas a medidas experimentais pouco confiáveis e a complexidade no tratamento teórico. Por exemplo, correlações para viscosidade são empíricas ou têm uma sólida base teórica. Os modelos mais usados estão baseados na teoria desenvolvida por Eyring que representa uma alternativa aos modelos baseados na mecânica estatística e às correlações empíricas. A teoria de Eyring é baseada na energia livre de ativação em excesso de escoamento e esta é relacionada com modelos de energia livre em excesso e, consequentemente, com coeficientes de fugacidade obtidos através de uma equação de estado . Para correlacionar a viscosidade e a densidade, é necessário associar uma equação de estado para calcular a energia livre de Gibbs em excesso e, no caso desse trabalho, será usada a equação de estado Cubic Plus Association ( EdE CPA) . Esta é uma equação híbrida que possui termos provenientes de diferentes teorias, ou seja, um termo provém da equação SRK (Soave-Redlich-Kwong), para contabilizar as interações físicas, e o outro provém da equação SAFT (Statistical-Associating-Fluid-Theory), para contabilizar a formação de ligações de hidrogênio. A EdE CPA vem fornecendo resultados bastante exitosos para a modelagem de sistemas que possuem ligações de hidrogênio, como os que envolvem alcoóis. Além disso, seu custo computacional é mais alto do que as das uma EdE's cúbicas, mas é mais baixo do que o custo de EdE's baseadas puramente na mecânica estatística como, por exemplo, a EdE SAFT e suas variantes. Sendo assim, esse trabalho tem como objetivo calcular a viscosidade dos componentes puros metanol, etanol e 2-propanol e calcular a viscosidade e densidade molar das misturas binárias metanol + etanol, metanol + 2-propanol e etanol + 2-propanol. MODELAGEM TERMODINÂMICA:
 Para os componentes puros, o modelo para viscosidade usado  está relacionado com o volume molar e a pressão pela seguinte equação:"
"Dependence of dynamic viscosity of naphthenic hydrocarbons in cyclopentane series on quantum and structural parameters","https://scispace.com/paper/dependence-of-dynamic-viscosity-of-naphthenic-hydrocarbons-543rqizo4h","2020","Journal Article","","Ella A. Kovaleva
Mikhail Yu. Dolomatov","10.6060/IVKKT.20206304.6099","https://scispace.com/pdf/dependence-of-dynamic-viscosity-of-naphthenic-hydrocarbons-543rqizo4h.pdf","Рассмотрена взаимосвязь параметров вязкого течения ньютоновской жидкости моноциклических углеводородов с квантовыми и структурными (топологическими) характеристиками молекул. В качестве квантовых и топологических характеристик рассмотрены потенциалы ионизации и топологические индексы, соответственно. Вертикальные потенциалы ионизации рассчитывали по теореме Купманса квантово-химическими методами с полной оптимизацией геометрии молекул. В качестве топологических индексов, учитывающих размеры и форму графа, были исследованы индекс Винера, центрический индекс Балабана, индексы Рандича (индекс молекулярной связности), Гутмана (Сцегеда), Платта и Харари. Для углеводородов ряда циклопентана с боковыми цепями установлен кинетический компенсационный эффект динамической вязкости, который связывает энергию активации и предэкспоненту Аррениуса в рамках модели Френкеля-Эйринга. Установлено, что для соединений рядов пятичленных нафтенов кажущаяся энергия активации вязкого течения и связанная с ней предэкспонента Аррениуса зависят от квантовых параметров (потенциалов ионизации) и топологии молекул. В работе предложена регрессионная модель QSPR «структура-свойство», использующая в качестве дескрипторов для прогноза динамической вязкости потенциалы ионизации и топологические индексы. Для проверки прогностических возможностей предложенной модели и адекватности прогноза рассчитана динамическая вязкость углеводородов, не входящих в базовый ряд. Дано экспериментальное и теоретическое обоснование предложенной закономерности в рамках представления об энергии активации вязкого течения как меры межмолекулярного взаимодействия и преобладания дисперсионного взаимодействия в молекулах углеводородов ряда циклопентана. Полученное в ходе исследования уравнение может быть использовано для прогнозирования вязкостных характеристик синтезированных и природных пятичленных нафтенов.","взаимодействие. Interrelation of parameters for Newtonian fluid viscous flow of monocyclic hydrocarbons with quantum and structural (topological) characteristics of molecules are considered. Ionization potentials and topological indices, respectively, were considered as quantum and topological characteristics. The vertical ionization potentials were calculated by the Koopmans ' theorem of quantum chemical methods with full molecular geometry optimization. We have studied topological indices that take into account the size and shape of the molecular graph. As a topological descriptors the Wiener index, the Balaban centric index, the Randic index (the index of molecular connectivity), Gutman (Szeged) index, Platt index and the Harary index were considered. For hydrocarbons in cyclopentane series with side chains, the kinetic compensation effect of dynamic viscosity has been established, which connects the activation energy and Arrhenius factor in the framework of the Frenkel-Eyring model. It is established that for compounds of a number of five-membered naphthenes, the apparent activation energy for viscous flow and the associated pre-exponential factor, depends on quantum parameters (ionization potentials) and the topology of the molecules. In this paper, a regression quantitative structure−property relationship (QSPR) is proposed using as descriptors the ionization potentials and topological indices for the prediction of dynamic viscosity. Prognostics capabilities of the proposed model and the adequacy of the forecast were verified by calculating the values of the dynamic viscosity of hydrocarbons that are not included in the base series. Experimental and theoretical substantiation of the proposed regularity was given within the framework of the representation of the viscous flow activation energy as a measure of intermolecular interaction and the predominance of dispersion interaction in hydrocarbon molecules for cyclopentane series. The equation obtained during the study can be used to predict the viscosity characteristics of synthesized and natural five-membered naphthenes.:
 Согласно теории Г. Эйринга , в ньютоновской жидкости происходит активационное движение молекул. Молекула может проникнуть в соседний слой лишь при образовании в нем полости, достаточной для перескакивания туда молекулы. На образование полости (на «рыхление» жидкости) Изв. вузов. Химия и хим. технология. 2020. Т. 63. Вып. 4 расходуется так называемая энергия активации вязкого течения. Теория Эйринга позволяет описать температурную зависимость вязкости  "
"Suggestion of mixing rule for parameters of PRμ model for light liquid hydrocarbon mixtures","https://scispace.com/paper/suggestion-of-mixing-rule-for-parameters-of-prm-model-for-108suq7k6p","2014","Journal Article","Korean Journal of Chemical Engineering","Shahin Khosharay","10.1007/S11814-014-0043-1","https://scispace.com/pdf/suggestion-of-mixing-rule-for-parameters-of-prm-model-for-108suq7k6p.pdf","Our aim is to improve the predictions for the viscosities of selected light liquid hydrocarbon mixtures by using a reliable model based on Peng-Robinson equation of state (PR EOS). Therefore, a viscosity model on the basis of the similarity between PvT and Tμ(viscosity) P has been applied. Based on the volume-translated Peng-Robinson equation of state (VTPR EOS), a correction has been used for viscosity to improve the results of model. The viscosity model can be extended to mixtures by using an appropriate mixing rule for the parameters of the PR model. For a better description of viscosity and improvement of some calculation results, a mixing rule has been proposed for the parameters of the model. The results of the model show that the agreement between experimental and the calculated viscosities is reasonably good and noticeable improvements can be seen in the results of some calculations.","Suggestion of mixing rule for parameters of PRµ model for light liquid hydrocarbon mixtures Authors: Shahin Khosharay (Corresponding Author) Keywords: Viscosity, Equation of State, PRµ Model, Hydrocarbon Mixtures INTRODUCTION:
 The thermodynamic and transport properties of fluids are essential for engineering applications such as design or analysis of chemical processes, heat and mass transfer and numerical analysis of fluid flow. Among these properties, liquid viscosity emerges as one of the key transport properties required in petrochemical, petroleum, and chemical industries, including fluid transport, mixing, agitation, filtration, heat exchange, or concentration. It is also the most important property in polymer processing. In addition, the thickness and uniformity of a coating layer on a wafer depends on the viscosity of photoresistant. In the design, operation, and optimization of separation equipment, it is important to determine the precise values of liquid viscosity over wide ranges of temperature and pressure . The viscosity of n-alkane mixtures is a main parameter in modeling underground oil flow and other applications of chemical engineering such as oil processes, process equipment in the oil and gas industries and oil recovery technology . The accuracy of hydrodynamic process modeling in different applications depends on the reliability of the dynamic viscosity determination for the working media in the liquid and vapor states . INTRODUCTION:
 Reliable viscosity data are measured by experimental methods, but it is almost impossible to measure the viscosities of all mixtures with experimental methods. Although viscosity data are abundant in the atmosphere, the experimental viscosity data at high pressures are considered a restriction; therefore, fluid viscosities should be described at high pressures by applying a reliable model . INTRODUCTION:
 Several models have been proposed for the calculation of fluid viscosity. Among these, the correlation of Lohrenz et al.  and the viscosity model based on the corresponding states theory suggested by Pedersen and Fredenslund  are currently applied in the petroleum industry. Three main problems hinder their application: (1) limited application range and accuracy, (2) the viscosity of liquid and gas phases are calculated by using different correlations, so a smooth transition in the near-critical region is a problem, and (3) density is needed for calculation of the fluid viscosity, so that a different density correlation is required ."
"Desarrollo de un viscosímetro de hilo vibrante para la caracterización termofísica a alta presión de nuevos biocombustibles","https://scispace.com/paper/desarrollo-de-un-viscosimetro-de-hilo-vibrante-para-la-1h0o1j45ue","2014","Dissertation","","Zambrano Carranza
Johnny Robinson","10.35376/10324/9124","https://scispace.com/pdf/desarrollo-de-un-viscosimetro-de-hilo-vibrante-para-la-1h0o1j45ue.pdf","La viscosidad, propiedad termodinamica y de transporte de los fluidos, es clave para la caracterizacion de compuestos puros y de mezclas, asi como en el tratamiento de informacion para el diseno de procesos industriales o para la medicion de caudal; su exactitud es necesaria para garantizar la calidad de muchos productos. La mayoria de las tecnicas para obtener la viscosidad de los fluidos exige una calibracion con un fluido de referencia apropiado, a la temperatura y presion de medicion; lo que impone un limite superior a la precision alcanzable ante la escasez de fluidos de referencia, especialmente a presiones y temperaturas elevadas.
Estudios recientes sobre viscosidad giran en torno a tres ejes de gran interes para los investigadores. Primero, la construccion de equipos capaces de determinar el comportamiento viscoso de liquidos de manera absoluta en amplios rangos de temperatura, presion y viscosidad, segundo, la busqueda de fluidos que puedan servir de referencia para calibrar los viscosimetros relativos, y tercero, la modelizacion del comportamiento en presion y temperatura de esta propiedad de transporte con ecuaciones precisas y con sentido fisico.
El Grupo de Investigacion TERMOCAL, Universidad de Valladolid, concibio la idea de desarrollar un viscosimetro de hilo vibrante que sirva de viscosimetro absoluto en amplios rangos de temperatura, presion y viscosidad.
El equipo emplea un sensor con hilo de tungsteno anclado en ambos extremos, con longitud de 50 mm y radio nominal de 75 µm; la teoria del viscosimetro de hilo vibrante se basa en las vibraciones transversales de un hilo tensionado, las frecuencias de vibracion permiten medir la viscosidad del fluido que rodea al hilo vibrante.","cada isoterma empleando las ecuaciones (4.21), (4.13) y (4.28) cuando V 0 es tratado como un parámetro ajustable para cada isoterma y composición. Mezcla de Compuestos:
 Ciotta et al.  investigaron una regla de mezcla cuadrática para evaluar V 0 ; expresada como: La optimización de los parámetros de (4.34) generan una representación mejorada de la viscosidad de la mezcla; como se verá en el Capítulo 7 Resultados Experimentales. Sin embargo, como lo establece , la (4.34) es una correlación más que una predicción basada en las propiedades de las sustancias puras. En el trabajo de , para el intervalo de temperaturas de la investigación, obtuvo valores de 0.97 ≤  ≤ 1.05. TEORÍA DE EYRING:
 La correlación propuesto por Assael et al.  puede subestimar o sobrestimar el comportamiento de los componentes puros y sus mezclas en amplios rangos de temperatura y presión . En un estudio de la viscosidad de cinco hidrocarburos líquidos a presiones de hasta 250 MPa, Oliveira y Wakeham  reportan que la exactitud de la correlación de Assael et al.  se estima a no ser mejor que ± 5 %. Para obtener un modelado preciso de los líquidos puros y mezclas a presiones elevadas, Quiñones-Cisneros et al.  propusieron el modelo denominado teoría de fricción (f-theory); que se basa en los conceptos de fricción de la mecánica clásica y la teoría de fluidos van der Waals. Más tarde, Allal et al.  propusieron una teoría basada en el concepto de volumen libre para el modelo la viscosidad de los fluidos newtonianos en los estados gaseosos y densos. Macías-Salinas et al.  desarrollaron un modelo basado en la teoría de Eyring acoplado con una ecuación cúbica de estado para correlacionar y/o predecir la viscosidad de líquido de soluciones binarias altamente no ideal en un amplio rango de temperatura, presión y composición. En , y siguiendo las ideas , representan las viscosidades del sistema benceno + n-tetradecano; una de las características del modelo es que utiliza un único parámetro de interacción binario independiente de la temperatura para describir toda la superficie η-T-p-x de interés."
"Viscosity Modelling of Reservoir Fluids over Wide Temperature and Pressure Ranges","https://scispace.com/paper/viscosity-modelling-of-reservoir-fluids-over-wide-1qa8v9grgv","2013","Journal Article","Chemical engineering transactions","Ricardo MacÍas Salinas
Marco A. Aquino-Olivos
Fernando García-Sánchez","10.33032/CET1332263","https://scispace.com/pdf/viscosity-modelling-of-reservoir-fluids-over-wide-1qa8v9grgv.pdf","Viscosity Modelling of Reservoir Fluids over Wide Temperature and Pressure Ranges Ricardo Macias-Salinas*, Marco A. Aquino-Olivos, Fernando Garcia-Sanchez ESIQIE-Departamento de Ingenieria Quimica, Instituto Politecnico Nacional, Zacatenco, Mexico, D.F. 07738 Programa de Aseguramiento de Recuperacion de Hidrocarburos, Instituto Mexicano del Petroleo, Eje Central Lazaro Cardenas 152, Mexico, D.F. 07730 Laboratorio de Termodinamica, Programa de Investigacion en Ingenieria Molecular, Instituto Mexicano del Petroleo, Eje Central Lazaro Cardenas 152, Mexico, D.F. 07730 rms@ipn.mx","Title: Viscosity Modelling of Reservoir Fluids over Wide Temperature and Pressure Ranges Authors: Ricardo Macías-Salinas,Marco A Aquino-Olivos,Fernando García-Sánchez Introduction:
 Viscosity is a key transport property involved in process design and development, as well as reservoir simulation; its accurate knowledge is therefore paramount. For computer simulations there is still a need to develop reliable and yet simple models for the correlation and/or prediction of viscosities of pure fluids within wide ranges of temperature and pressure. A significant amount of modelling works has so far published in the literature dealing with the viscosity of pure fluids at different temperature and pressure conditions. A detailed analysis of these works reveals that the majority of the viscosity models range from semi-theoretical to purely empirical. These works also reveal that the Chapman-Enskog theory, the corresponding-states principle, and the Eyring's chemical kinetics-based theory stand as the most popular and utilized approaches in the viscosity modeling of pure substances. Many of these works are applicable only to some specific phases (either gas or liquid), and were developed and validated on pure hydrocarbons and light petroleum fluids. Some other viscosity models are indeed applicable to both gas and liquid phases , however, either they are cumbersome to use or their range of applicability is limited. The purpose of the present work is thus to develop a simple yet accurate viscosity model for reservoir fluids having in mind that (1) it should be applicable to the gas and liquid phases over wide ranges of temperature and pressure (encompassing the zero-density limit, the high-density region, and the vicinity of the critical point), (2) it should be able to handle petroleum fluids ranging from low to high molar masses, and (3) it should be computationally efficient so it can be further incorporated into a reservoir simulator. Modelling Approach:
 The present modelling work is based on a previously developed viscosity model  based on the Significant Structure Theory (SST) originally proposed by . The SST visualizes a liquid as having both ""solid-like"" and ""gas-like"" degrees of freedom with ""fluidized vacancies"" of molecular size randomly distributed throughout a quasi-lattice structure. A molecule displays gas-like behavior when it jumps from one vacant site to another. The vacant sites are assumed to have molecular size and to move freely through the lattice. On the other hand, when a molecule remains on its site, for the time it acquires solid-like properties. If V and V s are the molar volumes of the fluid and solid phases, respectively, thus the difference V-V s stands for the number of vacancies (or the number of gas-like molecules). Assuming that both occupied and vacant sites are randomly distributed, the fraction of gas-like molecules is, Modelling Approach:
 while the fraction of solid-like molecules is given by Modelling Approach:
 In this context, the viscosity of a liquid is calculated from two main components: a gas-like (η g ) and a solid-like (η s ) contribution as follows, Gas-Like Contribution:
 The equations of , based on the kinetic theory of Chapman-Enskog, were used here to calculate the viscosity of the gas-like molecules. The method of  applies in the limit of dilute gas for non-polar and polar fluids within a wide range of temperatures. The equations of Chung et al. are given below,"
"Viscous Liquids and the Glass Transition: A Potential Energy Barrier Picture","https://scispace.com/paper/viscous-liquids-and-the-glass-transition-a-potential-energy-47wz1nu6jb","1969","Journal Article","Journal of Chemical Physics","Martin Goldstein","10.1063/1.1672587","https://scispace.com/pdf/viscous-liquids-and-the-glass-transition-a-potential-energy-47wz1nu6jb.pdf","Recent attempts have been made to assess the relative merits of the free volume and entropy theories of viscous flow in glass‐forming liquids by accurate measurement of viscosity over wide temperature ranges, and subsequent comparison with the equations derived from these theories. In the author's view, this effort is misguided. The theories are crude and qualitative, and such tests are too stringent. It is better to make qualitative or semiquantitative comparison of a wide variety of physical phenomena; judged by this criterion, the entropy theory appears more successful. It is conjectured that further progress can be made by accepting the crude, naive character of any model we are likely to find tractable for the foreseeable future, and recognizing both the values and limitations of such models. A picture of the flow process in viscous liquids is proposed, in an attempt to answer certain questions about the molecular steps in flow either answered unsuccessfully or ignored by present theories, in the hop...","Title: Viscous Liquids and the Glass Transition: A Potential Energy Barrier Picture Authors: Martin Goldstein,W V Johnston,H Wiedersich,G W Lindberg"
"Viscosity of Oxygenated Fuel : A Model Based on Eyring's Absolute Rate Theory","https://scispace.com/paper/viscosity-of-oxygenated-fuel-a-model-based-on-eyring-s-2dxvu2y19j","2019","Journal Article","Fuel","Chenyang Zhu
Feng Yang
Xiangyang Liu
Waheed Afzal
Waheed Afzal
Maogang He","10.1016/J.FUEL.2018.12.031","","","Title: 6-Oct-2018: Revised Manuscript for FUEL with Reference number JFUE-D-18-02389R1 Keywords: Viscosity, Eyring's absolute rate theory, Flow energy, Oxygenated fuel, Free-volume model"
"Temperature Dependence of Rate Processes Beyond Arrhenius and Eyring: Activation and Transitivity.","https://scispace.com/paper/temperature-dependence-of-rate-processes-beyond-arrhenius-j4nvhahm57","2019","Journal Article","Frontiers in Chemistry","Valter H. Carvalho-Silva
Nayara D. Coutinho
Vincenzo Aquilanti","10.3389/FCHEM.2019.00380","https://scispace.com/pdf/temperature-dependence-of-rate-processes-beyond-arrhenius-j4nvhahm57.pdf","Advances in the understanding of the dependence of reaction rates from temperature, as motivated from progress in experiments and theoretical tools (e. g., molecular dynamics), are needed for the modeling of extreme environmental conditions (e.g., in astrochemistry and in the chemistry of plasmas). While investigating statistical mechanics perspectives (Aquilanti et al., 2017b, 2018), the concept of transitivity was introduced as a measure for the propensity for a reaction to occur. The Transitivity plot is here defined as the reciprocal of the apparent activation energy vs. reciprocal absolute temperature. Since the transitivity function regulates transit in physicochemical transformations, not necessarily involving reference to transition-state hypothesis of Eyring, an extended version is here proposed to cope with general types of transformations. The transitivity plot permits a representation where deviations from Arrhenius behavior are given a geometrical meaning and make explicit a positive or negative linear dependence of transitivity for sub- and super-Arrhenius cases, respectively. To first-order in reciprocal temperature, the transitivity function models deviations from linearity in Arrhenius plots as originally proposed by Aquilanti and Mundim: when deviations are increasingly larger, other phenomenological formulas, such as Vogel-Fulcher-Tammann, Nakamura-Takayanagi-Sato, and Aquilanti-Sanches-Coutinho-Carvalho are here rediscussed from the transitivity concept perspective and with in a general context. Emphasized is the interest of introducing into this context modifications to a very successful tool of theoretical kinetics, Eyring's Transition-State Theory: considering the behavior of the transitivity function at low temperatures, in order to describe deviation from Arrhenius behavior under the quantum tunneling regime, a ""d-TST"" formulation was previously introduced (Carvalho-Silva et al., 2017). In this paper, a special attention is dedicated to a derivation of the temperature dependence of viscosity, making explicit reference to feature of the transitivity function, which in this case generally exhibits a super-Arrhenius behavior. This is of relevance also for advantages of using the transitivity function for diffusion-controlled phenomena.","AM transitivity function, where α < 0 represents an energetic propensity toward to evolution of the fluid. The d is again the deformation parameter, playing an analogous role to that amply discussed previously: the result is an AM-like formula for viscosity , Viscosity and Diffusion From the Transitivity Function:
 here η o is introduced as a counterpart of Arrhenius prefactor A and is the viscosity when the temperature tends to infinity (β → 0). At low temperature, in viscous processes the apparent activation energy turns out to increase indefinitely and consequently the propensity to proceed to a kinetic transition approaches zero, γ → 0: so we establish a direct relationship for the d parameter (analogous to the cases dealt in section Viscosity and Diffusion From the Transitivity Function:
 Limiting Behaviors for the Transitivity Function at Low and High Temperature): Viscosity and Diffusion From the Transitivity Function:
 and T † is identified as a phenomenological ""freezing"" temperature of the process, namely the critical temperature (to be connected with that of glass transition, see , where the kinetic energy of the fluid particles is too low for the process to be turned on. In the early approach by  and , it was argued that the ε ‡ parameter be empirically put into relationship with the energy of vaporization of the fluid, H vap , and intuitively connected with the work required to make a hole of molecular size. Viscosity and Diffusion From the Transitivity Function:
 Using the Kauzmann-Eyring pre-factor η 0 = N a h V , where N a is the Avogadro number and V is the molar volume, and Equation ( ) for d, we finally obtain, Viscosity and Diffusion From the Transitivity Function:
 when T † tends to zero, the Arrhenius-Eyring exponential formula for viscosity is recovered, Viscosity and Diffusion From the Transitivity Function:
 The deviation from Arrhenius behavior in the temperature dependence of diffusion can now be evaluated from Equation (39) through the Stokes-Einstein equation . Viscosity and Diffusion From the Transitivity Function:
 where r is the hydrodynamic radius . This treatment of course does not provide further insight into these amply investigated issues, but points at a simple and perhaps useful physical interpretation of a long-standing as well recent intriguing rate phenomena. From a general perspective, the theory encourages considering wide ranges of available data on geochemistry , supercooled liquids science  and biochemistry  and digging for hidden insights. Preliminary searches, to be published, turned on successful. Ab initio ""Exact"" Quantum Dynamics"
"On the Commonality Between Theoretical Models for Fluid and Solid Friction, Wear and Tribochemistry","https://scispace.com/paper/on-the-commonality-between-theoretical-models-for-fluid-and-mwdx7i2psy","2015","Journal Article","Tribology Letters","Hugh Spikes
Wilfred T. Tysoe","10.1007/S11249-015-0544-Z","https://scispace.com/pdf/on-the-commonality-between-theoretical-models-for-fluid-and-mwdx7i2psy.pdf","Tribology is concerned with the influence of mechanically applied forces on interfacial phenomena that accompany and control sliding. A wide range of models has been developed to describe these phenomena, which include frictional dissipation, wear and tribochemical reactions. This paper shows that these apparently disparate models are based on the same fundamental concept that an externally applied force accelerates the rate of thermal transition of atoms or molecules across energy barriers present in solid and liquid materials, thereby promoting flow, slip or bond cleavage. Such “stress-assisted” effects and the associated thermal activation concepts were developed independently and in different forms by Prandtl (Z Angew Math Mech 8:85, 1928) and Eyring (J Chem Phys 4(4):283–291, 1936). These two works have underpinned subsequent theories of dry friction, boundary lubrication, EHD rheology, tribochemistry and nanoscale wear modelling. This paper first reviews the historical development of the concepts, focussing in particular on the models of Prandtl and Eyring and how they have subsequently been used and adapted by others. The two approaches are then compared and contrasted, noting that although superficially similar, they contain quite different assumptions and constraints. First, the Prandtl model assumes that the force is exerted through a compliant spring, while constant force sliding is assumed by Eyring. Second, different approximations are made in the two models to describe the change in energy barrier with external force. Prandtl explores the asymptotic behaviour of the energy barrier as the applied force become sufficiently high to reduce it to zero, while Eyring assumes that the energy barrier is reduced by an amount equal to the external work carried out on the system. The theoretical underpinnings of these differences are discussed along with the implications of compliant coupling and constant force sliding on the velocity and temperature dependence of the friction forces for the two models.","stresses, the ratio of shear stress to strain rate decreases reversibly with increasing shear stress. Substituting Eq. 13 into Eq. 11 and replacing Eyring's shear stress, f, by the more modern terminology, s, gives: Eyring Model for Viscosity and Shear Thinning of Liquids:
 If we set 2k B T=k 2 k 3 k = s e , the ''Eyring stress'', this becomes the nonlinear relationship between stress and strain: Eyring Model for Viscosity and Shear Thinning of Liquids:
 In the decade or so after it was developed, this equation was applied with varying degrees of success to describe the shear thinning properties of polymer melts, solutions and colloids, for which, being a model based on simple, quasispherical molecules, it was arguably not suited . Eventually, it was superseded for this purpose by networkbased models of shear thinning. Eyring Model for Viscosity and Shear Thinning of Liquids:
 However, since the 1970s, the Eyring sinh-based relationship between strain rate and shear stress has become very widely used to describe the shear stress/strain rate behaviour of liquid lubricant films in high-pressure elastohydrodynamic (EHD) contacts and thus the frictional properties of such contacts . In EHD lubrication, the extremely high local pressures within the lubricated contact result in a very large viscosity increase which, at high strain rates, gives rise to very large shear stresses. Under these conditions, even simple molecular liquids show extensive shear thinning. It is found that EHD friction (or mean shear stress) versus strain rate closely follows an ''arsinh'' relationship over a wide range of shear rates, in accord with Eq. 15. At very high shear stresses, this results in friction being proportional to log(strain rate). Although Eyring's model was developed to describe liquid viscosity, essentially it describes the sliding speed/ shear stress relationship between layers of molecules. As such, it was adapted by Briscoe and Evans in 1982 to interpret boundary friction between opposing Langmuir-Blodgett monolayers in a surface force apparatus . They assumed that hydrostatic pressure will increase the height of the energy barrier so that the sliding speed becomes: Eyring Model for Viscosity and Shear Thinning of Liquids:
 where Q 0 is the thermal activation barrier, m is the effective vibration frequency of the sliding molecules, b is the distance across the energy barrier, / is the shear activation volume, equivalent to Eyring's kk 2 k 3 /2, and X also has units of volume and is termed the pressure activation volume. At large applied shear stresses when e r/ ) e -r/ , this equation reduces to:"
