"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The Seismic Quest for Estimating Heavy Heavy Oil Viscosity","https://scispace.com/paper/the-seismic-quest-for-estimating-heavy-heavy-oil-viscosity-4lysw4r3qv","2011","","","Fereidoon Vasheghani
Larry Lines
Joan Embleton","","","In heavy oil reservoirs, the enhanced oil recovery (EOR) is largely governed by the mobility of fluids. These EOR methods generally attempt to increase mobility by lowering the fluid viscosity. Hence, it is important to have knowledge of viscosity throughout the reservoir. While viscometers and geochemistry can be used to estimate viscosity from borehole samples, we attempt to estimate viscosity between boreholes. Recent research by Vasheghani and Lines (2009) shows the relationship between heavy oil viscosity and seismic Q. The estimation of Q (inverse attenuation) is attempted using a crossborehole tomography method of Quan and Harris (1997). The combination of Q tomograms and rock physics models is subsequently used to produce estimates of viscosity between boreholes. The details of this research are published in the PhD thesis of Vasheghani (under preparation).","In this article, the relationship between heavy oil viscosity and seismic Q was investigated using a cross-borehole tomography method of Quan and Harris (1997), and the combination of Q tomograms and rock physics models was subsequently used to produce estimates of viscoities between boreholes."
"Prediction of difficulty for developing heavy oil reservoir with geochemical parameters","https://scispace.com/paper/prediction-of-difficulty-for-developing-heavy-oil-reservoir-3zx398vrej","2004","Journal Article","Acta Petrologica Sinica","Zhao Hong-jing","","","The viscosity of biodegraded oil is highly correlated to biodegradation degree.The distribution of some biomarkers in oil varies with the different biodegradation degrees.Oil viscosity in negatively correlated to saturated hydrocarbon concentration in oil and w(Pr+ Ph)-to- w(C 30 hopane)ratio,and it is also positively correlated to polar compounds' concentration and w(Pr+Ph)-to-w(nC 17 +nC 18 ) ratio.In addition,oil viscosity has close correlation with w(Pr+Ph)-to-w(carotene) ratio.Those geochemical parameters can be used to predict oil viscosity and thus to preliminarily evaluate oil production difficulty.The predicted resuls from six sand bodies of second member of Sha?3 in Leng-43 block of Liaohe Oilfield show that the viscosity of oil increase with well depth and reaches the highest value near oil-water contact.The distribution of production difficulty in this reservoir is similar to the distribution of oil viscosity.","In this article, the predicted resuls from six sand bodies of second member of Sha?3 in Leng-43 block of Liaohe Oilfield show that the viscosity of oil increase with well depth and reaches the highest value near oil-water contact."
"The Origin, Prediction and Impact of Oil Viscosity Heterogeneity on the Production Characteristics of Tar Sand and Heavy Oil Reservoirs","https://scispace.com/paper/the-origin-prediction-and-impact-of-oil-viscosity-3rvpm019x4","2006","Journal Article","Journal of Canadian Petroleum Technology","Stephen R. Larter
Jennifer D. Adams
Ian D. Gates
Barry Bennett
Haiping Huang","10.2118/08-01-52","","A defining characteristic of heavy and super heavy oilfields is the large spatial variation in fluid properties, such as oil viscosity, commonly seen within the reservoirs. Traditional heavy oil and tar sand exploration and production strategies rely significantly on the characterization of key reservoir heterogeneities and assessment of fluid saturations. while it is important to understand how these properties vary, the spatial distribution of fluid properties can often dominate production behaviour but surprisingly, are usually ignored! Heavy oil and tar sands are formed by microbial degradation of conventional crude oils over geological timescales. Constraints such as oil charge mixing, reservoir-temperature dependant biodegradation rate and supply of water and nutrients to the organisms ultimately dictate the final distribution of API gravity and viscosity found in heavy oil fields. Large-scale lateral and small-scale vertical variations in fluid properties due to interaction of biodegradation and charge mixing are common, with up to orders of magnitude variation in viscosity over the thickness of a reservoir. These variations are often predictable and can be integrated into reservoir simulation models in a manner similar to specifying geological heterogeneity. In this work, we describe and illustrate quantitative geological controls on fluid property variations and show how petroleum geochemistry can be used to rapidly produce high resolution fluid property images of tar sand and heavy oil reservoirs. The impact of viscosity variations in a heavy oil reservoir on production depends on recovery method. Numerical thermal reservoir simulations reveal that oil viscosity heterogeneity (i.e. a vertical viscosity profile in the reservoir) lowers the oil production volumes from steam assisted gravity drainage (SAGD) in geologically realistic reservoirs compared to results from equivalent models run with uniform average viscosity profiles. Similar results are found for the cyclic steam stimulation (CSS) process. In cases with viscosity profiles, the relatively high viscosity at the base of the reservoir slows the growth of the steam chambers relative to that in uniform viscosity reservoirs. We also describe how the chemical fluid heterogeneities can be used to predict oil viscosity from well cuttings and/or core or to de-mix produced oils into zonal contributions from different parts of the production well.","In this article, the authors describe and illustrate quantitative geological controls on fluid property variations and show how petroleum geochemistry can be used to rapidly produce high resolution fluid property images of tar sand and heavy oil reservoirs."
"Predicting heavy oil viscosity from well logs","https://scispace.com/paper/predicting-heavy-oil-viscosity-from-well-logs-413h2tosil","2016","","","Eric A. Rops
Laurence R. Lines","","","Summary Viscosity is a critical parameter in selecting the best recovery method to exploit a heavy oil or oil sands reservoir. While heavy oil viscosities can be measured in the lab from well samples, it would be very useful to have a method to reliably estimate heavy oil viscosity from well logs. Donor Company has generously provided viscosity data from their Athabasca North and Athabasca South oil sands development projects, with multiple measurements per well. Multi-attribute analysis enables a target attribute (viscosity) to be predicted using other known attributes (the well logs). In the Athabasca North area, P-wave sonic and Density porosity were used to predict viscosity with an average validation error of 147,000 cP, or 19% of the total viscosity range. In the Athabasca South area, medium resistivity, gamma ray, and P-wave sonic were used to predict viscosity with an average validation error of only 70,000 cP, or 13% of the total viscosity range.","In this article, multi-attribute analysis enables a target attribute (viscosity) to be predicted using other known attributes (the well logs) to estimate heavy oil viscosity from well logs."
"The Prediction of Viscosity, Formation Volume Factor, and Bubble Point Pressure of Heavy Oil Using Statistical Analysis, Artificial Neural Networks, and Three-dimensional Modeling: A Comparative Evaluation","https://scispace.com/paper/the-prediction-of-viscosity-formation-volume-factor-and-19nzx7zwu3","2014","Journal Article","Energy Sources Part A-recovery Utilization and Environmental Effects","F. Torabi
B. Y. Jamaloei
C. J. Zunti
C. C. Markwart","10.1080/15567036.2010.547926","","The physical properties of the reservoir fluids are required for various applications, such as reservoir performance optimization, field development, and modeling of the numerous enhanced oil recovery processes Some correlations have been developed that can predict the properties of the reservoir fluids However, most of these correlations do not accurately predict the physical properties of the heavy oil This study uses three approaches to develop new correlations for the calculation of the dead oil viscosity: statistical analysis, artificial neural networks, and three-dimensional modeling The results indicate that the developed correlations in this study for prediction of the heavy oil viscosity outperform the previously developed correlations Moreover, the statistical analysis is performed to develop new correlations for prediction of the bubble point pressure and the formation volume factor The results of these correlations are in good agreement with the experimental values Finally, recommendati","In this paper, the authors used three approaches to develop new correlations for the calculation of the dead oil viscosity: statistical analysis, artificial neural networks, and three-dimensional modeling."
"A new model for predicting the viscosity of heavy oil","https://scispace.com/paper/a-new-model-for-predicting-the-viscosity-of-heavy-oil-12xadqbjol","2016","Journal Article","Petroleum Science and Technology","Yonghui Liu
Shuqiang Shi
Yongqing Wang
Jiang Xie
Gang Xie","10.1080/10916466.2016.1169291","","Models of heavy oil viscosity are considered as a function of temperature and API gravity in literature at home and abroad, and the API gravity is measured under the condition of 20°C, but without considering the effect of temperature on the API and colloid asphalt content in heavy oil. A total of 197 data points from 41 samples of Huabei oilfield are tested from previous studiesand five other heavy oil viscosity models, and the calculation value is much less than the measured value. The new prediction model of heavy oil viscosity is established by Simplex Method and the General Global Optimization Method. The new model takes into account the temperature, API, colloid asphalt, and the influence of temperature on API. Using the new model to predict the viscosity of heavy oil samples of Huabei oilfield, the average relative error of 3.36%, mean absolute error of 7.61%. The new prediction model is precise than other eight models, calculated values and measured values coincide when degree is higher.","In this paper, a new prediction model of heavy oil viscosity is established by Simplex Method and the General Global Optimization Method, taking into account the temperature, API, colloid asphalt, and the influence of temperature on API."
"Viscosity Prediction of Heavy Oil from the Liaohe Basin Using Biomarker Parameters","https://scispace.com/paper/viscosity-prediction-of-heavy-oil-from-the-liaohe-basin-1130qzhg79","2014","Journal Article","Petroleum Science and Technology","J. J. Hu
X. T. Zhang
Q. Yu
Z. Huang
Q. Xiao
H. J. Zhao","10.1080/10916466.2011.637535","","A set of correlations was proposed to predict the viscosities of heavy oils from Leng 43/37 blocks (Liaohe Basin) using some biomarker parameters. Geochemical analysis showed that the heavy oils in this study main suffered from different degrees of biodegradation. With increasing biodegradation, the viscosities of crude oils have strong correlations with the following four biomarker biodegradation parameters: (Pr + Ph)/(nC17 + nC18), (nC17 + nC18)/C30H, nC17 + nC18 + Pr + Ph (mg/g), ∑(nC11 − nC36) (mg/g); the correlation coefficients were 0.96, 0.94, 0.93, and 0.94, respectively. Moreover, for convenience, we ranked the extent of biodegradation as nonbiodegraded and lightly, moderately, heavily, and severely biodegraded. The accuracy and applicable biodegradation scale range of these correlations are discussed. The viscosities obtained from the correlations could be used in designing biodegraded heavy oil production projects.","A set of correlations was proposed to predict the viscosities of heavy oils from Leng 43/37 blocks (Liaohe Basin) using some biomarker parameters and the extent of biodegradation was ranked as nonbiodegraded and lightly, moderately, heavily, and severely biodegraded."
"Identifying Lower Viscosity Intervals within Heavy Oil Accumulations","https://scispace.com/paper/identifying-lower-viscosity-intervals-within-heavy-oil-3fj9gsbujx","2010","Proceedings Article","","Mark McCaffery
Kate S. Weissenburger","10.3997/2214-4609.20144625","","In heavy oil accumulations, vertical variations in oil producibility are controlled by (1) vertical variations in reservoir porosity/permeability, and (2) vertical variations in oil viscosity. Unfortunately, due to perceived difficulties in quantifying oil viscosity, development strategies often focus solely on the reservoir rock properties. Such development strategies are not acceptable. Identifying zones of lower viscosity oil is critical to efficient field development, and geochemical analysis of Side Wall Cores (SWC) can yield the needed viscosity information.","In heavy oil accumulations, vertical variations in oil producibility are controlled by the vertical variation in reservoir porosity/permeability and the vertical variations of oil viscosity."
"An integrated methodological approach to substantiating the properties of high-viscosity oils using the example of the Karazhanbas oil field","https://scispace.com/paper/an-integrated-methodological-approach-to-substantiating-the-uz2d7ehwiq","2024","Journal Article","","Rakhim N. Uteev
K. M. Kunzharikova
Laura M. Bisikenova
Gaukhar Zh. Bektas","10.54859/kjogi108678","","Rationale: A characteristic feature of the modern stage of oil field development is the increase in the share of hard-to-recover oils, which mainly include heavy, highly viscous oils. This is due to changes in the structure of oil, an increase in the water cut of produced oil, geological and geophysical characteristics and conditions of oil occurrence that are unfavorable for extraction. The reserves of such oil significantly exceed the reserves of light and low-viscosity oil and, according to experts, they amount to at least 1 trillion tons. In industrialized countries they are considered not so much as a reserve for oil production, but as the main basis for its development in the coming years. The peculiarity of heavy oil is explained by its composition and PVT properties, which have a fairly serious impact on production. 
Target: Application of an integrated approach to substantiating the properties of high-viscosity oil and tools for mathematical modeling of the phase state of fluids in order to increase the reliability of reserve calculations and the efficiency of the oil field development. 
Materials and methods: The scientific work was based on the results of geochemical studies (fingerprinting and biomarker analysis), experimental data from rheological studies and the results of modeling the phase state of fluids. 
Results: It is proposed to use an integrated approach to data interpretation and compositional calculations, which make it possible to narrow the range of uncertainty and explain the huge variation in the values of physicochemical parameters across samples. 
Conclusion: An integrated approach to analyzing the results of PVT experiments, together with geological and field data and the results of geochemical studies, provides high-quality data that allows you to make strategic decisions on the oil field development, conduct accurate resource assessments and predict hydrocarbon production.","An integrated methodological approach to substantiating the properties of high-viscosity oils provides high-quality data for strategic decision-making, accurate resource assessments and predicting hydrocarbon production."
"Oil Viscosity Models for Greater Burgan Oilfield-Kuwait","https://scispace.com/paper/oil-viscosity-models-for-greater-burgan-oilfield-kuwait-kputzcavf7","","Journal Article","International journal of petroleum and petrochemical engineering","Asrar AlShammari
Osamah Alomair
Adel M. Elsharkawy","10.20431/2454-7980.0802002","",": In the petroleum industry, the prediction of viscosity using correlations is commonly used for solving many reservoir engineering and surface production problems. In the last seven decades, several black oil viscosity models have been developed. However, these models may only be suitable for the geological regions for which they were developed and may not provide acceptable results for crude oils for other regions. The purpose of this paper is to create a comprehensive oil viscosity models for the Greater Burgan Oilfield-Kuwait which is the second-largest oil field in the world with estimated recoverable oil of nearly 6% of the world's proven conventional oil reserve. Therefore, 824 data points of oil viscosity measurements for the Greater Burgan Oil Field has been used to evaluate the accuracy of the published models and later used to develop a new oil viscosity models for estimating dead, saturated, bubble point, and under saturated oil viscosities. The validity and accuracy of the proposed models were confirmed by comparing their predictions with 166 measured data points from the field itself. These new models showed better accuracy in estimating oil viscosity in all pressure and temperatures ranges, compared to previously published viscosity ones. Additionally, the results show that using the newly developed black oil models, the viscosity of Greater Burgan Oil Field crudes can be predicted with AARE values of 5.86% for dead oil, 4.8% for saturated oil, 5.4% at bubble point, and 1.9% for undersaturated oil. The new models will improve our predications of oil flow rate, pressure drop in tubing and flow lines and hence the design of production equipment and surface facilities. These models can easily be integrated into reservoir simulation for planning primary, secondary and EOR studies.","Oil viscosity models for the Greater Burgan Oilfield-Kuwait are developed using a large dataset of viscosity measurements. The new models show better accuracy in estimating oil viscosity in all pressure and temperatures ranges compared to previously published models."
