"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Coupling hydrocarbon degradation to anaerobic respiration and mineral diagenesis: theoretical constraints.","https://scispace.com/paper/coupling-hydrocarbon-degradation-to-anaerobic-respiration-13u7swn145","2010","Journal Article","Geobiology","Tullis C. Onstott
S. M. Hinton
B. J. Silver
H. E. King","10.1111/J.1472-4669.2009.00224.X","","The diagenetic mineral assemblages in petroleum reservoirs control the formation fluid pH and pCO2. Anaerobic biodegradation of petroleum is controlled by the transfer of electrons from reduced organic species to inorganic, redox sensitive, aqueous and mineral species in many cases through intermediates such as H2 and CH3COO ) . The terminal electron accepting reactions induce the dissolutionor precipitation of the same minerals that control the ambient pH and pCO2 in petroleum reservoirs. In this study, we develop a model for anaerobic biodegradation of petroleum that couples the production of acetate and H2 to ‘late stage’ diagenetic reactions. The model reveals that the principal terminal electron accepting process and electron donor control the type of diagenetic reaction, and that the petroleum biodegradation rate is controlled through thermodynamic restriction by the minimum DG required to support a specific microbial metabolism, the fluid flux and the mineral assemblage. These relationships are illustrated by modeling coupled microbial diagenesis and biodegradation of the Gullfaks oil reservoir. The results indicate that the complete dissolution of albite by acids generated during oil biodegradation and the corresponding elevated pCO2 seen in the Gullfaks field are best explained by methanogenic respiration coupled to hydrocarbon degradation and that the biodegradation rate is likely controlled by the pCH4. Biodegradation of Gullfaks oil by a consortium that includes either Fe 3+ -reducing or SO 2� 4 -reducing bacteria cannot explain the observed diagenetic mineral assemblage or pCO2. For octane, biodegradation, not water washing, was the principal agent for removal atfluid velocities <20 m Myr )1 .","The model reveals that the principal terminal electron accepting process and electron donor control the type of diagenetic reaction, and that the petroleum biodegradation rate is controlled through thermodynamic restriction by the minimum DeltaG required to support a specific microbial metabolism, the fluid flux and the mineral assemblage."
"Anaerobic Biodegradation of Petroleum Hydrocarbons and Enlightenment of the Prospects for Gasification of Residual Oil","https://scispace.com/paper/anaerobic-biodegradation-of-petroleum-hydrocarbons-and-3p1ug3vzzx","2015","","","Wang Li-Ying Mbadinga
Serge Maurice Li
Hui Liu
Jin-Feng Yang
Shi-Zhong Mu Bo-Zhong","","","The conversion of residual oil to natural gas by anaerobic microorganisms could substantially improve the exploitation and utilization of oil resources. The recovery of methane gas as an alternate form of energy from unrecoverable crude oil may offer a route to economic production of energy from petroleum reservoirs. This review summarizes recent progress about microbial communities, reactions thermodynamics and kinetics involved in the anaerobic biodegradation of petroleum hydrocarbons and the subsequent conversion to methane gas. The feasibility and potential for energy recovery via methanogenesis of residual oil is also discussed. Furthermore, we provide new insights for further studies about this forefront technology.","In this paper, a review summarizes recent progress about microbial communities, reactions thermodynamics and kinetics involved in the anaerobic biodegradation of petroleum hydrocarbons and the subsequent conversion to methane gas."
"Entropy generation minimization for enhancing the fluid recovery and energy efficiency in petroleum reservoirs","https://scispace.com/paper/entropy-generation-minimization-for-enhancing-the-fluid-kmuu7yhmmgej","2023","Repository","","","10.48336/bgbq-fr82","","Hydrocarbon reservoir fluids usually contain a significant amount of mechanical energy that depends on the distribution of temperature and pressure throughout the reservoir. A fraction of the fluid's useful energy is lost during the irreversible processes that occur throughout the production life of the reservoir. Entropy generation (or production) can characterize this loss of useful energy in petroleum reservoirs. A petroleum engineer can develop an appropriate production strategy that minimizes entropy production in a reservoir to promote the efficient use of the reservoir energy. The design of a poor reservoir production system might result in a short-lived production well, low reservoir recovery factor, and inefficient use of available resources. Such an issue would not only result in the loss of a valuable portion of the reservoir's useful energy but also financial benefits. Various forms of energy exchange occur during hydrocarbon production in reservoirs, e.g., fluid and rock expansion, fluid flow, gravity drainage, and compaction of poorly consolidated rocks. During a reservoir's production lifetime, irreversible processes (e.g., fluid friction and heat transfer) lead to waste of energy, reducing the overall system's operational efficiency. Therefore, there is a desire to select an appropriate design that minimizes the entropy generation. In this thesis, we investigate the effect of essential factors such as reservoir formation, reservoir fluids, and production rate on entropy generation. The ultimate goal is to design a reservoir production strategy using the entropy generation analysis such that the production efficiency can be maximized. To simulate the fluid flow behavior of a reservoir system, a pseudo-steady flow state is developed in this thesis for single-phase (dry gas) and two-phase (oil-water) flow models in both the wellbore and reservoir. The effect of the wellbore conditions on the single-phase models is investigated and analyzed. One-dimensional flow is assumed in the wellbore, whereas radial flow occurs in the reservoir. Mass, momentum, energy, and entropy balance equations, including a method of Entropy Generation Minimization (EGM), are used to address the fluid flow behavior and energy loss in wellbore and reservoir systems. For a single-phase flow, the near-wellbore region is investigated and considered to be a separate zone for model development, which allows flexibility in modelling skin effects near the wellbore. Numerical methods are used to solve the fluid flow and entropy equations. The models are solved by a numerical scheme programmed in the MATLAB environment with an appropriate algorithm. For validation purposes, a commercial simulator, Computer Modeling Group (CMG), is used to verify the predicted results. A new production performance criterion called the Coefficient Of Performance (COP) is introduced. The COP integrates the recovery factor with entropy generation and provides a quantitative measure to optimize reservoir production. The models are used to conduct a parametric sensitivity analysis that includes the effects of fluid and rock parameters, such as permeability, porosity, viscosity, skin factor, Bottom Hole Pressure (BHP), wettability, and temperature on the total entropy production. The COP is used to optimize the operating conditions of the reservoir, such as the production rates and BHP. It is found that permeability and BHP have the most impact on the total entropy production for single-phase models. Concurrently, temperature and wettability are essential factors for two-phase flow models. This thesis enhances the understanding of reservoir energy analysis and provides more accurate models for calculating the optimum production rate of a given reservoir. In particular, the results presented in this thesis will impact production history calculations and reservoir simulation results. Furthermore, this research provides practitioners and engineers in the petroleum industry with a useful alternative approach for maximizing recovery efficiency by minimizing entropy generation. ",""
"Crude-oil biodegradation via methanogenesis in subsurface petroleum reservoirs","https://scispace.com/paper/crude-oil-biodegradation-via-methanogenesis-in-subsurface-32b1j487j0","2008","Journal Article","Nature","David Jones
Ian M. Head
Neil D. Gray
J. J. Adams
Arlene K. Rowan
Carolyn M. Aitken
Barry Bennett
Haiping Huang
A. Brown
Bernard F.J. Bowler
Thomas B. P. Oldenburg
Michael Erdmann
Stephen R. Larter
Stephen R. Larter","10.1038/NATURE06484","","Biodegradation of crude oil in subsurface petroleum reservoirs has adversely affected the majority of the world's oil, making recovery and refining of that oil more costly. The prevalent occurrence of biodegradation in shallow subsurface petroleum reservoirs has been attributed to aerobic bacterial hydrocarbon degradation stimulated by surface recharge of oxygen-bearing meteoric waters. This hypothesis is empirically supported by the likelihood of encountering biodegraded oils at higher levels of degradation in reservoirs near the surface. More recent findings, however, suggest that anaerobic degradation processes dominate subsurface sedimentary environments, despite slow reaction kinetics and uncertainty as to the actual degradation pathways occurring in oil reservoirs. Here we use laboratory experiments in microcosms monitoring the hydrocarbon composition of degraded oils and generated gases, together with the carbon isotopic compositions of gas and oil samples taken at wellheads and a Rayleigh isotope fractionation box model, to elucidate the probable mechanisms of hydrocarbon degradation in reservoirs. We find that crude-oil hydrocarbon degradation under methanogenic conditions in the laboratory mimics the characteristic sequential removal of compound classes seen in reservoir-degraded petroleum. The initial preferential removal of n-alkanes generates close to stoichiometric amounts of methane, principally by hydrogenotrophic methanogenesis. Our data imply a common methanogenic biodegradation mechanism in subsurface degraded oil reservoirs, resulting in consistent patterns of hydrocarbon alteration, and the common association of dry gas with severely degraded oils observed worldwide. Energy recovery from oilfields in the form of methane, based on accelerating natural methanogenic biodegradation, may offer a route to economic production of difficult-to-recover energy from oilfields.","The data imply a common methanogenic biodegradation mechanism in subsurface degraded oil reservoirs, resulting in consistent patterns of hydrocarbon alteration, and the common association of dry gas with severely degraded oils observed worldwide."
"Thermodynamic constraints on methanogenic crude oil biodegradation","https://scispace.com/paper/thermodynamic-constraints-on-methanogenic-crude-oil-2c5k1pkorn","2008","Journal Article","The ISME Journal","Jan Dolfing
Stephen R. Larter
Ian M. Head","10.1038/ISMEJ.2007.111","https://scispace.com/pdf/thermodynamic-constraints-on-methanogenic-crude-oil-2c5k1pkorn.pdf","Methanogenic degradation of crude oil hydrocarbons is an important process in subsurface petroleum reservoirs and anoxic environments contaminated with petroleum. There are several possible routes whereby hydrocarbons may be converted to methane: (i) complete oxidation of alkanes to H2 and CO2, linked to methanogenesis from CO2 reduction; (ii) oxidation of alkanes to acetate and H2, linked to acetoclastic methanogenesis and CO2 reduction; (iii) oxidation of alkanes to acetate and H2, linked to syntrophic acetate oxidation and methanogenesis from CO2 reduction; (iv) oxidation of alkanes to acetate alone, linked to acetoclastic methanogenesis and (v) oxidation of alkanes to acetate alone, linked to syntrophic acetate oxidation and methanogenesis from CO2 reduction. We have developed the concept of a ‘window of opportunity’ to evaluate the range of conditions under which each route is thermodynamically feasible. On this basis the largest window of opportunity is presented by the oxidation of alkanes to acetate alone, linked to acetoclastic methanogenesis. This contradicts field-based evidence that indicates that in petroleum rich environments acetoclastic methanogenesis is inhibited and that methanogenic CO2 reduction is the predominant methanogenic process. Our analysis demonstrates that under those biological constraints oxidation of alkanes to acetate and H2, linked to syntrophic acetate oxidation and methanogenesis from CO2 reduction offers a greater window of opportunity than complete oxidation of alkanes to H2 and CO2 linked to methanogenic CO2 reduction, and hence is the process most likely to occur.","Oxidation of alkanes to acetate and H2, linked to syntrophic acetate oxidation and methanogenesis from CO2 reduction offers a greater window of opportunity than complete oxidation of alkane to H2 and CO2 linked to methanogenicCO2 reduction, and hence is the process most likely to occur."
"Life in the slow lane; biogeochemistry of biodegraded petroleum containing reservoirs and implications for energy recovery and carbon management","https://scispace.com/paper/life-in-the-slow-lane-biogeochemistry-of-biodegraded-3r1g0n14av","2014","Journal Article","Frontiers in Microbiology","Ian M. Head
Neil D. Gray
Stephen R. Larter
Stephen R. Larter","10.3389/FMICB.2014.00566","https://scispace.com/pdf/life-in-the-slow-lane-biogeochemistry-of-biodegraded-3r1g0n14av.pdf","Our understanding of the processes underlying the formation of heavy oil has been transformed in the last decade. The process was once thought to be driven by oxygen delivered to deep petroleum reservoirs by meteoric water. This paradigm has been replaced by a view that the process is anaerobic and frequently associated with methanogenic hydrocarbon degradation. The thermal history of a reservoir exerts a fundamental control on the occurrence of biodegraded petroleum and microbial activity is focussed at the base of the oil column in the oil water transition zone that represents a hotspot in the petroleum reservoir biome. Here we present a synthesis of new microbiological, geochemical and biogeochemical data that expands our view of the processes that regulate deep life in petroleum reservoir ecosystems and highlights interactions of a range of biotic and abiotic factors that determine whether petroleum is likely to be biodegraded in situ, with important consequences for oil exploration and production. We also discuss the role of microbial processes for energy recovery in the future and how this fits within the broader socioeconomic landscape of energy futures.","A synthesis of new and existing microbiological, geochemical, and biogeochemical data is presented that proposes that the salinity of reservoir formation waters exerts a key control on the occurrence of biodegraded heavy oil reservoirs and introduces the concept of palaeopickling."
"Anaerobic hydrocarbon biodegradation in deep subsurface oil reservoirs","https://scispace.com/paper/anaerobic-hydrocarbon-biodegradation-in-deep-subsurface-oil-2hoq8ygl39","2004","Journal Article","Nature","Carolyn M. Aitken
David Jones
Steve Larter
Steve Larter","10.1038/NATURE02922","","Biodegradation of crude oil in subsurface petroleum reservoirs is an important alteration process with major economic consequences. Aerobic degradation of petroleum hydrocarbons at the surface is well documented and it has long been thought that the flow of oxygen- and nutrient-bearing meteoric waters into reservoirs was necessary for in-reservoir petroleum biodegradation. The occurrence of biodegraded oils in reservoirs where aerobic conditions are unlikely, together with the identification of several anaerobic microorganisms in oil fields and the discovery of anaerobic hydrocarbon biodegradation mechanisms, suggests that anaerobic degradation processes could also be responsible. The extent of anaerobic hydrocarbon degradation processes in the world's deep petroleum reservoirs, however, remains strongly contested. Moreover, no organism has yet been isolated that has been shown to degrade hydrocarbons under the conditions found in deep petroleum reservoirs. Here we report the isolation of metabolites indicative of anaerobic hydrocarbon degradation from a large fraction of 77 degraded oil samples from both marine and lacustrine sources from around the world, including the volumetrically important Canadian tar sands. Our results therefore suggest that anaerobic hydrocarbon degradation is a common process in biodegraded subsurface oil reservoirs.","The isolation of metabolites indicative of anaerobic hydrocarbon degradation from a large fraction of 77 degraded oil samples from both marine and lacustrine sources from around the world, including the volumetrically important Canadian tar sands are reported, suggesting that anaer aerobic degradation is a common process in biodegraded subsurface oil reservoirs."
"Anaerobic hydrocarbon biodegradation by alkylotrophic methanogens in deep oil reservoirs","https://scispace.com/paper/anaerobic-hydrocarbon-biodegradation-by-alkylotrophic-5duzkzsvungh","2024","Journal Article","The ISME Journal","Cui-Jing Zhang
Zhuo Zhou
Guihong Cha
Ling Li
Li Fu
Lai-Yan Liu
Lu Yang
Gunter Wegener
Lei Cheng
Meng Li","10.1093/ismejo/wrae152","","Abstract In subsurface biodegraded oil reservoirs, methanogenic biodegradation of crude oil is a common process. This process was previously assigned to the syntrophy of hydrocarbon-degrading bacteria and methanogenic archaea. Recent studies showed that archaea of the Candidatus Methanoliparum named as alkylotrophic methanogens couple hydrocarbon degradation and methane production in a single archaeon. To assess the geochemical role of Ca. Methanoliparum, we analyzed the chemical and microbial composition and metabolites of 209 samples from 15 subsurface oil reservoirs across China. Gas chromatography–mass spectrometry analysis revealed that 92% of the tested samples were substantially degraded. Molecular analysis showed that 85% of the tested samples contained Ca. Methanoliparum, and 52% of the tested samples harbored multiple alkyl-coenzyme M derivatives, the intercellular metabolites of alkylotrophic archaea. According to metagenomic and metatranscriptomic analyses, Ca. Methanoliparum dominates hydrocarbon degradation in biodegraded samples from the Changqing, Jiangsu, and Shengli (SL) oilfields, and it is persistently present as shown in a 15-year-long sampling effort at the Shengli oilfield. Together, these findings demonstrate that Ca. Methanoliparum is a widely distributed oil degrader in reservoirs of China, suggesting that alkylotrophic methanogenesis by archaea plays a key role in the alteration of oil reservoirs, thereby expanding our understanding of biogeochemical process in the deep biosphere.","Anaerobic hydrocarbon biodegradation in deep oil reservoirs is primarily driven by alkylotrophic methanogens, specifically Candidatus Methanoliparum, which couple hydrocarbon degradation and methane production, dominating hydrocarbon degradation in Chinese oilfields."
"Time to Take the Thermodynamics of Irreversible Processes into Consideration to describe in vivo Biodegradation","https://scispace.com/paper/time-to-take-the-thermodynamics-of-irreversible-processes-2nugufc1","2022","Journal Article","","Alexandre A Vetcher","10.54026/rdps/1004","https://scispace.com/pdf/time-to-take-the-thermodynamics-of-irreversible-processes-2nugufc1.pdf","Contemporary studies usually consider in vivo biodegradation as the unidirectional asymptotic process that could be approximated by a hyperbola-style equation. Recent observations demonstrate, that this process should be considered rather as an interaction of both synthesis and decay. These observations, probably, possess deeper roots in the thermodynamics of irreversible processes (TIP) which allows considering lifeassociated processes in connection with dissipative structures, distributing energy from the flow organized by centralized aerobic-anaerobic energy balance compensation (CAAEBC) system. In our review, we propose to take a wider and deeper view of in vivo biodegradation from this viewpoint.","This paper proposes to take a wider and deeper view of in vivo biodegradation from this viewpoint and states that recent observations demonstrate, that this process should be considered rather as an interaction of both synthesis and decay."
"High-Pressure Microscopic Investigation on the Oil Recovery Mechanism by in Situ Biogases in Petroleum Reservoirs","https://scispace.com/paper/high-pressure-microscopic-investigation-on-the-oil-recovery-3dd3ghud1u","2015","Journal Article","Energy & Fuels","Weiyao Zhu
JiaXin Zhao
Hongyan Han
Gangzheng Sun
Zhiyong Song","10.1021/ACS.ENERGYFUELS.5B01906","","Biogases, including CO2 and CH4, are an essential category of the complex metabolites in microbial enhanced oil recovery (MEOR). However, the recovery mechanisms and contributions of in situ biogases have not been individually studied. A microbial consortium from oil fields, which produced gases but few metabolites, was inoculated in microscopic flooding experiments mimicking reservoir pressure. Additional oil [14.8% of the original oil-in-place (OOIP)] was recovered. In terms of gas yields, porous media were favorable culturing substrates compared to bottles (up to 1.2 and 0.42 mL of biogas per mL of medium, respectively). Under pressurized reservoir conditions (8 MPa), contributions from typical mechanisms, including oil displacement and pressurization by gas bubbles, can be excluded as a result of the effective biogas dissolution in crude oil. The dissolved gases promoted the spontaneous expansion of microbial activities, so that 34.1% of the additional oil was recovered from the margin regions, area o...","In this article, a microbial consortium from oil fields, which produced gases but few metabolites, was inoculated in microscopic flooding experiments mimicking reservoir pressure, and additional oil [14.8% of the original oil-in-place (OOIP)] was recovered."
