"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"New Technology of Optimizing Heavy Oil Reservoir Management by Geochemical Means: A Case Study in Block Leng 43, Liaohe Oilfield, China","https://scispace.com/paper/new-technology-of-optimizing-heavy-oil-reservoir-management-4cyuyz5c2i","2002","Journal Article","Chinese Journal of Geochemistry","Zhao Hong-jing
Zhang Chunming
Mei Bo-wen
Steve Larter
Wu Tiesheng","10.1007/BF02831535","","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses biomarkers to assess heavy oil biodegradation and predict viscosity, but lacks thermodynamic, exergy, entropy or abandonment analysis.","Geochemical methods can be used to optimize heavy oil reservoir management. The distribution of some biomarkers in oils is different with the degree of biodegradation. Geochemical parameters can be used to predict oil viscosity and thus to preliminarily evaluate the difficulties involved in oil production. The results of viscosity prediction for oils from reservoir S32 in block Leng 43 and preliminary evaluation of oil production difficulty are consistent with the geological data."
"Prediction of difficulty for developing heavy oil reservoir with geochemical parameters","https://scispace.com/paper/prediction-of-difficulty-for-developing-heavy-oil-reservoir-3zx398vrej","2004","Journal Article","Acta Petrologica Sinica","Zhao Hong-jing","","","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses biomarker ratios to predict oil viscosity and assess production difficulty; does not include thermodynamic, exergy, entropy, or Gouy‑Stodola analysis.","The viscosity of biodegraded oil is highly correlated to biodegradation degree.The distribution of some biomarkers in oil varies with the different biodegradation degrees.Oil viscosity in negatively correlated to saturated hydrocarbon concentration in oil and w(Pr+ Ph)-to- w(C 30 hopane)ratio,and it is also positively correlated to polar compounds' concentration and w(Pr+Ph)-to-w(nC 17 +nC 18 ) ratio.In addition,oil viscosity has close correlation with w(Pr+Ph)-to-w(carotene) ratio.Those geochemical parameters can be used to predict oil viscosity and thus to preliminarily evaluate oil production difficulty.The predicted resuls from six sand bodies of second member of Sha?3 in Leng-43 block of Liaohe Oilfield show that the viscosity of oil increase with well depth and reaches the highest value near oil-water contact.The distribution of production difficulty in this reservoir is similar to the distribution of oil viscosity."
"Biogenic Methane Production from Crude Oil by Enrichment from a Low-Temperature Western Canadian Oil Reservoir","https://scispace.com/paper/biogenic-methane-production-from-crude-oil-by-enrichment-2m5uxpry9n","2009","","","Adewale J. Lambo
Marcy Yurkiw
Gerrit Voordouw","","https://cseg.ca/assets/files/resources/abstracts/2009/108.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Shows microbial conversion of crude (including heavy fractions) to methane and cites steranes/hopanes as biomarkers, but lacks thermodynamic, entropy or viscosity analysis.","Anaerobic conversion of crude oil to methane could be a cost-effective and environmentally-friendly enhanced recovery technology in mature or spent-oil reservoirs. In-reservoir methanogenic conversion of light-oil to heavy-oil with resultant production of methane is a dominant anaerobic biodegradative process since a majority of the world’s oil reservoirs are already biodegraded (Dolfing et al. 2008; Roadifer, 1987). Though before now, anaerobic biodegradation in petroleum reservoirs was believed to be driven by oxygen-containing meteoric water. However, studies combining field evidence with laboratory studies has unequivocally demonstrated that methane is the end- product of anaerobic biodegradation of crude oil in petroleum reservoirs (Jones et al. 2008). In this respect, in-situ methanogenic conversion of non-conventionally recoverable oil to natural gas may be a future enhanced oil recovery technology. It is thus encouraging that a much recent study demonstrates conversion of residual oil, in marginal sandstone reservoir core, to methane using inoculum obtained from gas-condensate contaminated subsurface sediments (Gieg et al., 2008). Studies on biodegraded oil has shown that petroleum hydrocarbons are degraded step-wise beginning with n-alkanes, monocyclic alkanes, alkylbenzenes, isoprenoid alkanes, alkylnaphtha-lenes, bicyclic alkanes, steranes and hopanes (Connan, 1984). However a majority of the studies on crude oil or hydrocarbon methanogenesis were done using microbial enrichments from oil contaminated sediments or anaerobic sediments (Gieg et al., 2008; Bekins et al., 2005; Warren et al., 2004; Anderson and Lovely, 2000; Zengler, 1999) and the few studies (Morikawa et. al., 1996; Stetter and Huber, 2000) using enrichment cultures from petroleum reservoirs were not thought to be sufficiently convincing (Roling et al., 2003). In view of the above, a study was initiated using a methanogenic enrichment that was obtained directly from an oil reservoir production fluid. The objective of the ongoing study was to demonstrate methane production by oil reservoir microorganisms under different culture conditions that may inhibit or enhance methanogenesis, as well as demonstrate the removal of crude oil components from light oil or heavy oil. The source of the enrichment was a low temperature reservoir, producing crude oil with an API gravity of"
"Viscosity Prediction of Heavy Oil from the Liaohe Basin Using Biomarker Parameters","https://scispace.com/paper/viscosity-prediction-of-heavy-oil-from-the-liaohe-basin-1130qzhg79","2014","Journal Article","Petroleum Science and Technology","J. J. Hu
X. T. Zhang
Q. Yu
Z. Huang
Q. Xiao
H. J. Zhao","10.1080/10916466.2011.637535","","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses biomarker parameters to predict heavy‑oil viscosity across biodegradation levels, but lacks thermodynamic/exergy or entropy analysis and does not discuss reservoir abandonment.","A set of correlations was proposed to predict the viscosities of heavy oils from Leng 43/37 blocks (Liaohe Basin) using some biomarker parameters. Geochemical analysis showed that the heavy oils in this study main suffered from different degrees of biodegradation. With increasing biodegradation, the viscosities of crude oils have strong correlations with the following four biomarker biodegradation parameters: (Pr + Ph)/(nC17 + nC18), (nC17 + nC18)/C30H, nC17 + nC18 + Pr + Ph (mg/g), ∑(nC11 − nC36) (mg/g); the correlation coefficients were 0.96, 0.94, 0.93, and 0.94, respectively. Moreover, for convenience, we ranked the extent of biodegradation as nonbiodegraded and lightly, moderately, heavily, and severely biodegraded. The accuracy and applicable biodegradation scale range of these correlations are discussed. The viscosities obtained from the correlations could be used in designing biodegraded heavy oil production projects."
"Establishing the relationship between heavy oil viscosity and molecular markers using an enhanced neural network model","https://scispace.com/paper/establishing-the-relationship-between-heavy-oil-viscosity-ypp6570qdyc7","2025","Journal Article","Dental science reports","Ming Zhong
Zicheng Niu
Jie Fan
Haiping Huang
Ningxi Li
Li Jia
Hong Zhang","10.1038/s41598-025-18561-2","https://scispace.compdf/establishing-the-relationship-between-heavy-oil-viscosity-ypp6570qdyc7.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses neural network to link biomarkers with heavy‑oil viscosity across biodegradation levels, but lacks thermodynamic or entropy analysis and does not discuss reservoir abandonment.","The heterogeneous viscosity distribution of biodegraded heavy oil poses significant challenges for reservoir management. While molecular markers (biomarkers) reflect biodegradation intensity, existing models fail to establish quantitative correlations between biomarker signatures and viscosity due to multicollinearity in high-dimensional geochemical data. This study develops an integrated machine learning framework to decode biomarker-viscosity relationships in the Songliao Basin heavy oils. Our dual-phase methodology combines ridge regression for multicollinearity mitigation with a feedforward neural network (FFNN) to capture nonlinear interactions. Key biomarkers were identified through geochemical analysis of 17 heavy oil samples spanning PM0-PM6 biodegradation levels. The hybrid model achieved exceptional prediction accuracy (R2 = 0.99996, RMSE = 3.39) through L2-regularized feature selection and neural network optimization, outperforming standalone FFNN models (cross-validation R2 improvement from 0.032 to 0.99996). Reverse prediction experiments validated biomarker response patterns, even in severely biodegraded oils. The advanced machine learning model proposed in this study is applicable to predict the viscosity of heavy oil and its biomarkers, thereby improving reservoir management strategies. Additionally, this study contributes a new perspective on characterizing and managing the reservoirs of various geological backgrounds and origins, not just biodegradable heavy oil reservoirs."
"Using Biomarkers to Improve Heavy Oil Reservoir Management: An Example From the Cymric Field, Kern County, California","https://scispace.com/paper/using-biomarkers-to-improve-heavy-oil-reservoir-management-u7k9orpzey","1996","Journal Article","AAPG Bulletin","Mark A. McCaffrey
Henry A. Legarre
Scott J. Johnson","10.1306/64ED8908-1724-11D7-8645000102C1865D","","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses biomarkers to map biodegradation‑driven viscosity variations in a heavy‑oil reservoir, but provides no thermodynamic, exergy, entropy or abandonment analysis.","For biodegraded oil accumulations, field development can be optimized by using geochemical indicators of variations in the extent of bacterial alteration. Biodegradation typically reduces oil producibility by increasing oil viscosity. In the Cymric field (Kern County, California), sidewall core extracts reveal that the extent of oil biodegradation changes substantially over extremely short vertical distances in a shallow, low-permeability reservoir. Zones of more degraded oil can extend laterally for more than a mile. The relationships between oil viscosity and biomarker biodegradation parameters in this field were calibrated from analyses of produced oils, and these relationships were used to convert sidewall core biomarker analyses into quantitative predictions of lateral and vertical changes in oil viscosity and gravity. Compositional variations were also used to allocate production to discrete zones. Viscosity prediction and production allocation can be used to optimize (1) the placement of new wells, (2) the placement of completion intervals, (3) the thickness of steam injection intervals, and (4) the spacing between injection intervals in the same well."
"… implications of a spill-fill sequence of reservoir charge coupled with viscosity and asphaltene gradients from a combination of water washing and biodegradation","https://scispace.com/paper/jYou_AlXfmYJ","","","","JC Forsythe
I De Santo
R Martin
R Tyndall","","","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses biomarkers to examine biodegradation and viscosity changes in a reservoir charging scenario, but provides no thermodynamic, exergy, entropy, or abandonment analysis.",""
"The impact of geological and microbiological processes on oil composition and fluid property variations in heavy oil and bitumen reservoirs","https://scispace.com/paper/the-impact-of-geological-and-microbiological-processes-on-4ajq0u20p4","2008","Dissertation","","Jennifer Jane Adams","10.11575/PRISM/2991","https://www.collectionscanada.gc.ca/obj/thesescanada/vol2/002/NR69474.PDF?is_thesis=1&oclc_number=812063525","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Discusses biodegradation trends and biomarkers affecting viscosity in heavy oil reservoirs, but lacks exergy, entropy analysis, and abandonment context.",""
"A practical biodegradation scale for use in reservoir geochemical studies of biodegraded oils","https://scispace.com/paper/a-practical-biodegradation-scale-for-use-in-reservoir-193vfwogsf","2012","Journal Article","Organic Geochemistry","Steve Larter
Haiping Huang
Jennifer D. Adams
Barry Bennett
Lloyd R. Snowdon","10.1016/J.ORGGEOCHEM.2012.01.007","https://www.researchgate.net/profile/Haiping-Huang/publication/256976238_A_practical_biodegradation_scale_for_use_in_reservoir_geochemical_studies_of_biodegraded_oils/links/638b2aa97d9b40514e100220/A-practical-biodegradation-scale-for-use-in-reservoir-geochemical-studies-of-biodegraded-oils.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses biomarkers to track biodegradation and viscosity changes in oils, but provides no thermodynamic, exergy, entropy, or Gouy‑Stodola analysis.",""
"Biodegradation characteristics of bitumen from the Upper Devonian Grosmont reservoir, Alberta, Canada","https://scispace.com/paper/biodegradation-characteristics-of-bitumen-from-the-upper-1qgnjq5kbc","2011","Journal Article","Bulletin of Canadian Petroleum Geology","Yi Zhao
Hans G. Machel","10.2113/GSCPGBULL.59.2.112","","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Analyzes heavy‑oil biodegradation via biomarker patterns and links degradation stages to bitumen viscosity; does not cover thermodynamic/exergy or entropy analyses.","The Upper Devonian Nisku Formation, Upper Ireton, and Grosmont Formation (collectively referred as the “Grosmont reservoir”) form a giant bitumen/heavy oil reservoir in Alberta, Canada with about 406 billion barrels of original oil in place. Because of the low quality of the hydrocarbons and the complex geology, the Grosmont reservoir was not deemed commercially viable until relatively recently. The Grosmont is now under consideration for commercial development by several companies and consortia due to technological advances and higher oil prices. One part of the work leading up to new pilot sites is the characterization of the degree of biodegradation in the Grosmont reservoir, which could be used as a proxy of the petrophysical properties of bitumen, specifically viscosity. In order to characterize the biodegradation in the Grosmont reservoir, a total of 18 samples selected from the Nisku, Upper Ireton, and Grosmont along a strike cross-section were examined by gas chromatography-mass spectrometry. Biomarker analysis indicates the Grosmont reservoir was subjected to extreme stages of biodegradation, demonstrated by the loss of regular steranes, strongly biodegraded hopanes, and reduced abundances of tricyclics and diasteranes. The rare geological marker compound 28, 30-bisnorhopane is also highly biodegraded but does exist in some Grosmont bitumen samples examined, supporting the notion that bitumens in the Devonian carbonates and the Cretaceous oil sands have a common origin. Based on the distribution characteristics of hopanes and tricyclics, several biodegradation parameters are identified and the samples are categorized into three distinct biodegradation stages. The data shows that the stage of biodegradation is likely most severe around stratigraphic boundaries and generally increases from southeast to northwest. Several recognized biodegradation parameters, such as 17α(H)-hopane/17α(H)-norhopane, are correlatable with the bitumen viscosity. Such parameters can be used as proxies for in situ viscosity, which is highly useful in aged samples (older than a few years) that have lost volatiles while in storage and thus no longer have the same viscosity as when retrieved from the reservoir."
