"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Data with hierarchical structure: impact of intraclass correlation and sample size on type-I error","https://scispace.com/paper/data-with-hierarchical-structure-impact-of-intraclass-oc6krkqkxv","2011","Journal Article","Frontiers in Psychology","Serban C. Musca
Rodolphe Kamiejski
Armelle Nugier
Alain Méot
Abdelatif Er-Rafiy
Markus Brauer
Markus Brauer","10.3389/FPSYG.2011.00074","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2011.00074/pdf","… threshold (α = 5%) when the hierarchical structure of the data is not taken into account. More precisely, we examine the Type-I error rate as a function of ICC, the number of level-2 units …","Least squares analyses (e.g., ANOVAs, linear regressions) of hierarchical data leads to Type-I error rates that depart severely from the nominal Type-I error rate assumed. Thus, when least squares methods are used to analyze hierarchical data coming from designs in which some groups are assigned to the treatment condition, and others to the control condition (i.e., the widely used ""groups nested under treatment"" experimental design), the Type-I error rate is seriously inflated, leading too often to the incorrect rejection of the null hypothesis (i.e., the incorrect conclusion of an effect of the treatment). To highlight the severity of the problem, we present simulations showing how the Type-I error rate is affected under different conditions of intraclass correlation and sample size. For all simulations the Type-I error rate after application of the popular Kish (1965) correction is also considered, and the limitations of this correction technique discussed. We conclude with suggestions on how one should collect and analyze data bearing a hierarchical structure."
"A solution to dependency: using multilevel analysis to accommodate nested data","https://scispace.com/paper/a-solution-to-dependency-using-multilevel-analysis-to-4pujc4mmal","2014","Journal Article","Nature Neuroscience","Emmeke Aarts
Matthijs Verhage
Jesse V. Veenvliet
Conor V. Dolan
Sophie van der Sluis","10.1038/NN.3648","https://web.math.princeton.edu/~sswang/literature_general_unsorted/aarts_effective_sample_size_NN.pdf","… use the term ICC to indicate the unexplained ICC, unless stated otherwise. Notably, the unexplained part of the ICC causes inflation of the type I error rate. In the extreme case of ICC = 1…","In neuroscience, experimental designs in which multiple observations are collected from a single research object (for example, multiple neurons from one animal) are common: 53% of 314 reviewed papers from five renowned journals included this type of data These so-called 'nested designs' yield data that cannot be considered to be independent, and so violate the independency assumption of conventional statistical methods such as the t test Ignoring this dependency results in a probability of incorrectly concluding that an effect is statistically significant that is far higher (up to 80%) than the nominal α level (usually set at 5%) We discuss the factors affecting the type I error rate and the statistical power in nested data, methods that accommodate dependency between observations and ways to determine the optimal study design when data are nested Notably, optimization of experimental designs nearly always concerns collection of more truly independent observations, rather than more observations from one research object"
"Data analytic methods for the analysis of multilevel questions: A comparison of intraclass correlation coefficients, rwg (j), hierarchical linear modeling, within-and …","https://scispace.com/paper/j26R4LS2IXYJ","","","","SL Castro","","","… multilevel models and to utilize multilevel data … multilevel methodologies are appropriate for their particular questions. In this final article, the statistical procedures used in the multilevel …",""
"Approaches for quantifying the ICC in multilevel logistic models: a didactic demonstration","https://scispace.com/paper/approaches-for-quantifying-the-icc-in-multilevel-logistic-3breuwwx","2022","Posted Content","","S Devine
JO Uanhoro
AR Otto","10.31234/osf.io/v68wb","https://online.ucpress.edu/collabra/article-pdf/10/1/94263/826910/collabra_2024_10_1_94263.pdf","… estimate and interpret the ICC in logistic multilevel models. A … and interpreting the ICC in logistic multilevel models poses … methods to compute the ICC in a logistic multilevel context (eg…","Multilevel modeling techniques have gained traction among experimental psychologists for their ability to account for dependencies in nested data structures. Increasingly, these techniques are extended to the analysis of binary data (e.g., choices, accuracy). Despite their popularity, these logistic multilevel models are often underutilized when researchers focus solely on fixed effects and ignore important heterogeneity that exists within and between participants, the random effects. In this tutorial, we review four techniques for estimating and quantifying residual- and cluster-level variance in logistic multilevel models in an accessible manner using real data. First, we introduce logistic multilevel modeling, including the interpretation of fixed and random effects. Second, we review the challenges associated with the estimation and interpretation of within- and between-participant variation in logistic multilevel models, particularly computing the intraclass correlation coefficient (ICC), which is usually a first, simple step in a linear MLM. Third, we demonstrate four existing methods of quantifying within- and between-participant variation in logistic multilevel models and discuss their relative advantages and disadvantages. Fourth, we present bootstrapping methods to make statistical inference about these variance estimates. To facilitate reuse, we developed R code to implement the discussed techniques, which is provided throughout the text and as supplemental materials. "
"Putting the individual into reliability: Bayesian testing of homogeneous within-person variance in hierarchical models","https://scispace.com/paper/putting-the-individual-into-reliability-bayesian-testing-of-3n5l6jd1l0","2021","Posted Content","Behavior Research Methods","Donald R. Williams
Stephen R. Martin
Philippe Rast","10.3758/S13428-021-01646-X","https://link.springer.com/content/pdf/10.3758/s13428-021-01646-x.pdf","… classical ICC literature that considers reliability to be fixed and non-varying. We present novel Bayesian methodology that allows for testing of varying intraclass correlation coefficients …","Measurement reliability is a fundamental concept in psychology. It is traditionally considered a stable property of a questionnaire, measurement device, or experimental task. Although intraclass correlation coefficients (ICC) are often used to assess reliability in repeated measure designs, their descriptive nature depends upon the assumption of a common within-person variance. This work focuses on the presumption that each individual is adequately described by the average within-person variance in hierarchical models. And thus whether reliability generalizes to the individual level, which leads directly into the notion of individually varying ICCs. In particular, we introduce a novel approach, using the Bayes factor, wherein a researcher can directly test for homogeneous within-person variance in hierarchical models. Additionally, we introduce a membership model that allows for classifying which (and how many) individuals belong to the common variance model. The utility of our methodology is demonstrated on cognitive inhibition tasks. We find that heterogeneous within-person variance is a defining feature of these tasks, and in one case, the ratio between the largest to smallest within-person variance exceeded 20. This translates into a tenfold difference in person-specific reliability! We also find that few individuals belong to the common variance model, and thus traditional reliability indices are potentially masking important individual variation. We discuss the implications of our findings and possible future directions. The methods are implemented in the R package vICC."
"Interrater reliability for multilevel data: A generalizability theory approach.","https://scispace.com/paper/interrater-reliability-for-multilevel-data-a-4jjj90wh9j","2021","Journal Article","Psychological Methods","Debby ten Hove
Terrence D. Jorgensen
L. Andries van der Ark","10.1037/MET0000391","https://www.researchgate.net/profile/Debby-Ten-Hove-2/publication/348381575_Interrater_Reliability_for_Multilevel_Data_A_generalizability_Theory_Approach/links/5ffc037792851c13fe02ffa1/Interrater-Reliability-for-Multilevel-Data-A-Generalizability-Theory-Approach.pdf","… observational data into cluster-, subject-, and rater-specific variance components, and we … both the variance components and multilevel ICCs can be estimated with hierarchical linear …","Current interrater reliability (IRR) coefficients ignore the nested structure of multilevel observational data, resulting in biased estimates of both subject- and cluster-level IRR. We used generalizability theory to provide a conceptualization and estimation method for IRR of continuous multilevel observational data. We explain how generalizability theory decomposes the variance of multilevel observational data into subject-, cluster-, and rater-related components, which can be estimated using Markov chain Monte Carlo (MCMC) estimation. We explain how IRR coefficients for each level can be derived from these variance components, and how they can be estimated as intraclass correlation coefficients (ICC). We assessed the quality of MCMC point and interval estimates with a simulation study, and showed that small numbers of raters were the main source of bias and inefficiency of the ICCs. In a follow-up simulation, we showed that a planned missing data design can diminish most estimation difficulties in these conditions, yielding a useful approach to estimating multilevel interrater reliability for most social and behavioral research. We illustrated the method using data on student-teacher relationships. All software code and data used for this article is available on the Open Science Framework: https://osf.io/bwk5t/. (PsycInfo Database Record (c) 2021 APA, all rights reserved)."
"Identifying intraclass correlations necessitating hierarchical modeling","https://scispace.com/paper/identifying-intraclass-correlations-necessitating-1c6afk5546","2018","Journal Article","Journal of Applied Statistics","Kyle M. Irimata
Jeffrey R. Wilson","10.1080/02664763.2017.1288203","","… In Section 2, we review correlated outcomes and present a hierarchical logistic model. In Section 3, we develop ANOVA type intraclass correlation estimators for the first and second …","Hierarchical binary outcome data with three levels, such as disease remission for patients nested within physicians, nested within clinics are frequently encountered in practice. One important aspe..."
"Intraclass correlation coefficients in hierarchical design studies with discrete response variables: A note on a direct interval estimation procedure","https://scispace.com/paper/intraclass-correlation-coefficients-in-hierarchical-design-1lrdfpromi","2015","Journal Article","Educational and Psychological Measurement","Tenko Raykov
George A. Marcoulides","10.1177/0013164414564052","https://pmc.ncbi.nlm.nih.gov/articles/PMC5965596/pdf/10.1177_0013164414564052.pdf","… We demonstrate next the discussed ICC interval estimation procedure for discrete outcomes … can be considered nested within. If one is interested in finding out the intraclass correlation …","A latent variable modeling procedure that can be used to evaluate intraclass correlation coefficients in two-level settings with discrete response variables is discussed. The approach is readily applied when the purpose is to furnish confidence intervals at prespecified confidence levels for these coefficients in setups with binary or ordinal outcome measures and nesting of subjects within higher order units. The method can aid educational and behavioral researchers in their study of sources of observed outcome variability and model choice considerations in multilevel settings, and is illustrated with empirical survey data."
"The impact of intraclass correlation on the effectiveness of level-specific fit indices in multilevel structural equation modeling: A Monte Carlo study","https://scispace.com/paper/the-impact-of-intraclass-correlation-on-the-effectiveness-of-3e2c4xxqac","2017","Journal Article","Educational and Psychological Measurement","Hsien-Yuan Hsu
Jr Hung Lin
Oi-Man Kwok
Sandra Acosta
Victor L. Willson","10.1177/0013164416642823","https://pmc.ncbi.nlm.nih.gov/articles/PMC5965526/pdf/10.1177_0013164416642823.pdf","… discussed in the current study referred to latent factor ICC rather than observed variable ICC… The four design factors included in this study were intraclass correlation (ICC: ICC1 to ICC6), …","Several researchers have recommended that level-specific fit indices should be applied to detect the lack of model fit at any level in multilevel structural equation models. Although we concur with their view, we note that these studies did not sufficiently consider the impact of intraclass correlation (ICC) on the performance of level-specific fit indices. Our study proposed to fill this gap in the methodological literature. A Monte Carlo study was conducted to investigate the performance of (a) level-specific fit indices derived by a partially saturated model method (e.g., [Formula: see text] and [Formula: see text]) and (b) [Formula: see text] and [Formula: see text] in terms of their performance in multilevel structural equation models across varying ICCs. The design factors included intraclass correlation (ICC: ICC1 = 0.091 to ICC6 = 0.500), numbers of groups in between-level models (NG: 50, 100, 200, and 1,000), group size (GS: 30, 50, and 100), and type of misspecification (no misspecification, between-level misspecification, and within-level misspecification). Our simulation findings raise a concern regarding the performance of between-level-specific partial saturated fit indices in low ICC conditions: the performances of both [Formula: see text] and [Formula: see text] were more influenced by ICC compared with [Formula: see text] and SRMRB . However, when traditional cutoff values (RMSEA≤ 0.06; CFI, TLI≥ 0.95; SRMR≤ 0.08) were applied, [Formula: see text] and [Formula: see text] were still able to detect misspecified between-level models even when ICC was as low as 0.091 (ICC1). On the other hand, both [Formula: see text] and [Formula: see text] were not recommended under low ICC conditions."
"Reliability for multilevel data: A correlation approach.","https://scispace.com/paper/reliability-for-multilevel-data-a-correlation-approach-476v6mjayq","2024","Preprint","","Tzu‐Yao Lin
Francis Tuerlinckx
Sophie Vanbelle","10.31234/osf.io/75der","https://scispace.compdf/reliability-for-multilevel-data-a-correlation-approach-476v6mjayq.pdf","… respectively, as well as with the consistency ICC and absolute agreement ICC, respectively. … to account for multilevel or hierarchical structures, where observed units are nested within …","Studying the reliability of a measurement instrument is essential. Despite the awareness of the problem of measurement errors in psychology and medicine and the various reliability coefficients that have been proposed, research on reliability for multilevel data, which ubiquitously exist in observational studies, remains limited. Two recent papers (Schönbrodt et al., 2022; ten Hove et al., 2022) address how to quantify reliability in multilevel settings based on generalizability theory. Specifically, ten Hove et al. (2022) defined between-cluster and within-cluster interrater intraclass correlation coefficients for multilevel designs where persons or raters are nested within clusters. Schönbrodt et al. (2022) also defined reliability coefficients at between-cluster and within-cluster (i.e., between-person) levels for designs where dyad members nested in couples are assessed numerous times daily over a number of days. Nevertheless, both approaches give inconsistent results regarding their definition of cluster-level reliability. In this paper, we propose an alternative approach to defining reliability coefficients that are based on calculating the expected correlation between repeated measurements. We will compare our approach with that of Schönbrodt et al. (2022) and ten Hove et al. (2022) and explain the differences between the three approaches in two common nested data structures: (1) raters crossed with both persons and clusters, but persons are nested within clusters, and (2) raters nested within both persons and clusters. To show the flexibility of the correlation approach, we further examine an additional design: (3) persons nested in clusters and crossed with raters and days. "
