"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Entropy generation minimization of two-phase flow irreversibilities in hydrocarbon reservoirs","https://scispace.com/paper/entropy-generation-minimization-of-two-phase-flow-31fx1bkv","2023","Journal Article","Energies","Murtada A. Elhaj
Syed Ahmed Imtiaz
Greg F. Naterer
Sohrab Zendehboudi","10.3390/en16104096","https://scispace.com/pdf/entropy-generation-minimization-of-two-phase-flow-31fx1bkv.pdf","… pressure using the initial and final relative permeabilities and the pressure profile equations, and then calculate the total entropy production by solving the reservoir and wellbore …","The efficient use of available energy in hydrocarbon extraction processes is essential to reducing overall emissions in the petroleum industry. The inefficient design of an extraction process leads to higher emissions per unit mass of hydrocarbon recovery. Fluid friction and heat transfer are irreversible processes that are vital in decreasing the overall system’s operational efficiency. To reduce these irreversible energy losses in the petroleum reservoir production’s life, contributing factors such as the characteristic features of a reservoir formation, reservoir fluids, and production rate are investigated in this paper. This study examines irreversible energy loss in porous media and wellbore formations using entropy generation minimization at various stages of production and thermodynamic conditions, eventually achieving higher hydrocarbon recovery factors. Entropy production is used to develop predictive models that calculate reservoir and wellbore energy losses for multiphase flow. The proposed models consider oil and water as the working fluids in a porous medium and a wellbore. This paper also investigates the thermophysical effects around the wellbore by incorporating Hawkin’s model. A sensitivity analysis assessed the impact of rock and fluid properties and thermodynamic conditions such as temperature, wettability, and capillary pressure on the total entropy generation. The findings reveal that the capillary pressure significantly impacts the oil and water recovery factor and total entropy production. Additionally, the capillary pressure strongly influences the reservoir production life. The two-phase models show that as the recovery factor increases, the total entropy production decreases at lower production rates. This article helps to address the impact of irreversible processes on multiphase hydrocarbon reservoir operational efficiency. Furthermore, the results obtained from the numerical-simulation model open up a new research area for scholars to maximize the recovery factor using entropy generation minimization in heterogeneous reservoirs."
"Production optimization of hydrocarbon reservoirs by entropy generation minimization","https://scispace.com/paper/production-optimization-of-hydrocarbon-reservoirs-by-entropy-2m5mpwmw1p","2020","Journal Article","Journal of Natural Gas Science and Engineering","Murtada A. Elhaj
Syed Imtiaz
Greg F. Naterer
Sohrab Zendehboudi","10.1016/J.JNGSE.2020.103538","https://www.academia.edu/download/112760682/j.jngse.2020.10353820240326-1-yivxl5.pdf","… Reservoir entropy generation has a significant role in production cycles of a hydrocarbon reservoir… strategy that minimizes the entropy production to improve operational efficiencies. The …",""
"From volumetric energy balance to the entropy generation: The evolution of the state of the art in thermodynamic concepts in petroleum production systems","https://scispace.com/paper/from-volumetric-energy-balance-to-the-entropy-generation-the-1i4fcgk98v","2011","Proceedings Article","","Edwin Tillero
Fidel T. Francisco Machado
David A. Romero","10.2118/139913-MS","","… recovery at the scenario of minimum irreversibility. … isothermal reservoir conditions, ΔS env =0 in equation 4. Thus, the irreversibilities are due to total entropy production in the process. …",""
"Diagnosis of the state of the reservoir system based on the entropy approach","https://scispace.com/paper/diagnosis-of-the-state-of-the-reservoir-system-based-on-the-3qh04vyg","2022","Journal Article","Elmi əsərlər","Dinara F. Guseynova","10.5510/ogp20220200667","https://proceedings.socar.az/uploads/pdf/86/007_014_Guseynova+.pdf","… of the transient processes of the reservoir system and evaluate the estimated … the reservoir system transient processes using dynamic analysis and the concept of entropy production, …","Investigation of the energy balance of the oil fields development process by thermodynamic methods shows that the production of reservoir fluids leads to irreversible energy losses, and the use of optimal operating conditions minimizes these losses. Studies were conducted to determine the degree of order of the reservoir system, based on an analysis of the positive and negative signs of production values and changes in the entropy increment, an estimation was made of the self-organization of dynamic open systems far from the equilibrium state. Based on the concept of entropy production, an analysis was made of the main technological data of the oilfield development, which allowed us to determine the boundaries of the transient processes of the reservoir system and evaluate the estimated recoverable oil volumes. The proposed approach, taking into account the reservoir system transient processes using dynamic analysis and the concept of entropy production, allows to obtain reliable predicted values of the recoverable volumes of hydrocarbons and make reasoned decisions on choosing a strategy for oil and gas fields development. Keywords: oil field; development; entropy production; echnological development indicators."
"Entropy generation minimization for enhancing the fluid recovery and energy efficiency in petroleum reservoirs","https://scispace.com/paper/entropy-generation-minimization-for-enhancing-the-fluid-kmuu7yhmmgej","2023","Repository","","MA Elhaj","10.48336/bgbq-fr82","https://memorial.scholaris.ca/bitstreams/b669dac2-475a-45cc-8408-fa3c05356b9f/download","… A petroleum engineer can develop an appropriate production strategy that minimizes entropy production in a reservoir to promote the efficient use of the reservoir energy. The design of …","Hydrocarbon reservoir fluids usually contain a significant amount of mechanical energy that depends on the distribution of temperature and pressure throughout the reservoir. A fraction of the fluid's useful energy is lost during the irreversible processes that occur throughout the production life of the reservoir. Entropy generation (or production) can characterize this loss of useful energy in petroleum reservoirs. A petroleum engineer can develop an appropriate production strategy that minimizes entropy production in a reservoir to promote the efficient use of the reservoir energy. The design of a poor reservoir production system might result in a short-lived production well, low reservoir recovery factor, and inefficient use of available resources. Such an issue would not only result in the loss of a valuable portion of the reservoir's useful energy but also financial benefits. Various forms of energy exchange occur during hydrocarbon production in reservoirs, e.g., fluid and rock expansion, fluid flow, gravity drainage, and compaction of poorly consolidated rocks. During a reservoir's production lifetime, irreversible processes (e.g., fluid friction and heat transfer) lead to waste of energy, reducing the overall system's operational efficiency. Therefore, there is a desire to select an appropriate design that minimizes the entropy generation. In this thesis, we investigate the effect of essential factors such as reservoir formation, reservoir fluids, and production rate on entropy generation. The ultimate goal is to design a reservoir production strategy using the entropy generation analysis such that the production efficiency can be maximized. To simulate the fluid flow behavior of a reservoir system, a pseudo-steady flow state is developed in this thesis for single-phase (dry gas) and two-phase (oil-water) flow models in both the wellbore and reservoir. The effect of the wellbore conditions on the single-phase models is investigated and analyzed. One-dimensional flow is assumed in the wellbore, whereas radial flow occurs in the reservoir. Mass, momentum, energy, and entropy balance equations, including a method of Entropy Generation Minimization (EGM), are used to address the fluid flow behavior and energy loss in wellbore and reservoir systems. For a single-phase flow, the near-wellbore region is investigated and considered to be a separate zone for model development, which allows flexibility in modelling skin effects near the wellbore. Numerical methods are used to solve the fluid flow and entropy equations. The models are solved by a numerical scheme programmed in the MATLAB environment with an appropriate algorithm. For validation purposes, a commercial simulator, Computer Modeling Group (CMG), is used to verify the predicted results. A new production performance criterion called the Coefficient Of Performance (COP) is introduced. The COP integrates the recovery factor with entropy generation and provides a quantitative measure to optimize reservoir production. The models are used to conduct a parametric sensitivity analysis that includes the effects of fluid and rock parameters, such as permeability, porosity, viscosity, skin factor, Bottom Hole Pressure (BHP), wettability, and temperature on the total entropy production. The COP is used to optimize the operating conditions of the reservoir, such as the production rates and BHP. It is found that permeability and BHP have the most impact on the total entropy production for single-phase models. Concurrently, temperature and wettability are essential factors for two-phase flow models. This thesis enhances the understanding of reservoir energy analysis and provides more accurate models for calculating the optimum production rate of a given reservoir. In particular, the results presented in this thesis will impact production history calculations and reservoir simulation results. Furthermore, this research provides practitioners and engineers in the petroleum industry with a useful alternative approach for maximizing recovery efficiency by minimizing entropy generation. "
"Entropy production as correlation between system and reservoir","https://scispace.com/paper/entropy-production-as-correlation-between-system-and-3hfqgcfg8n","2010","Journal Article","New Journal of Physics","Massimiliano Esposito
Katja Lindenberg
Christian Van den Broeck","10.1088/1367-2630/12/1/013013","https://iopscience.iop.org/article/10.1088/1367-2630/12/1/013013/pdf","… that system entropy production is always positive and is a direct measure of system–reservoir … exact formulation to the standard description of irreversibility in the limit of a large reservoir. …","We derive an exact (classical and quantum) expression for the entropy production of a finite system placed in contact with one or several finite reservoirs, each of which is initially described by a canonical equilibrium distribution. Although the total entropy of system plus reservoirs is conserved, we show that system entropy production is always positive and is a direct measure of system–reservoir correlations and/or entanglements. Using an exactly solvable quantum model, we illustrate our novel interpretation of the Second Law in a microscopically reversible finite-size setting, with strong coupling between the system and the reservoirs. With this model, we also explicitly show the approach of our exact formulation to the standard description of irreversibility in the limit of a large reservoir."
"The Gouy-Stodola Theorem and the derivation of exergy revised","https://scispace.com/paper/the-gouy-stodola-theorem-and-the-derivation-of-exergy-nq7yevi2j7","2020","Journal Article","Energy","Mauro Reini
Melchiorre Casisi","10.1016/J.ENERGY.2020.118486","https://arts.units.it/bitstream/11368/3021619/4/3021619_The%20Gouy-Stodola%20Theorem%20and%20the%20derivation%20of%20exergy%20revised-Energy%20210%20%282020%29%20118486-Post_print.pdf","… The Gouy-Stodola Theorem is the theoretical basis for allocating irreversibility and for … In this way the Gouy-Stodola Theorem still holds, but the allocation of exergy destruction is …",""
"Where does the stress path lead? Irreversibility and hysteresis in reservoir geomechanics","https://scispace.com/paper/where-does-the-stress-path-lead-irreversibility-and-266e90hpjw","2016","","","Rune M. Holt
Sohrab Gheibi
Alexandre Lavrov","","https://www.researchgate.net/profile/Sohrab-Gheibi/publication/304492511_Where_does_the_stress_path_lead_Irreversibility_and_hysteresis_in_reservoir_geomechanics/links/57712b8a08ae6219474a37cf/Where-does-the-stress-path-lead-Irreversibility-and-hysteresis-in-reservoir-geomechanics.pdf","… Reservoir stress changes caused by pore pressure depletion have impacts on hydrocarbon … stress heterogeneities and plastic deformation of the reservoir rock. The results show that all …",""
"Stochastic thermodynamics of a quantum dot coupled to a finite-size reservoir","https://scispace.com/paper/stochastic-thermodynamics-of-a-quantum-dot-coupled-to-a-3qhii1di4q","2023","Journal Article","Physical Review Letters","Saulo V. Moreira
Peter Samuelsson
Patrick P. Potts","10.1103/physrevlett.131.220405","https://link.aps.org/pdf/10.1103/PhysRevLett.131.220405","… and the reservoir temperature, we identify the appropriate stochastic entropy production. This … given the knowledge of the fluctuating reservoir temperature. This is in contrast to previous …","In nanoscale systems coupled to finite-size reservoirs, the reservoir temperature may fluctuate due to heat exchange between the system and the reservoirs. To date, a stochastic thermodynamic analysis of heat, work, and entropy production in such systems is, however, missing. Here we fill this gap by analyzing a single-level quantum dot tunnel coupled to a finite-size electronic reservoir. The system dynamics is described by a Markovian master equation, depending on the fluctuating temperature of the reservoir. Based on a fluctuation theorem, we identify the appropriate entropy production that results in a thermodynamically consistent statistical description. We illustrate our results by analyzing the work production for a finite-size reservoir Szilard engine. "
"Entropy production and thermodynamic power of the squeezed thermal reservoir","https://scispace.com/paper/entropy-production-and-thermodynamic-power-of-the-squeezed-iq3ovxphdebc","2022","Repository","","Manzano, Gonzalo
Zambrini, Roberta
Parrondo, Juan M. R.","10.48550/arxiv.1512.07881","https://arxiv.org/pdf/1512.07881","… the entropy production and the maximal extractable work from a squeezed thermal reservoir… quantum reservoirs via the analysis of entropy production, one of the most fundamental …","We analyze the entropy production and the maximal extractable work from a squeezed thermal reservoir. The nonequilibrium quantum nature of the reservoir induces an entropy transfer with a coherent contribution while modifying its thermal part, allowing work extraction from a single reservoir, as well as great improvements in power and efficiency for quantum heat engines. Introducing a modified quantum Otto cycle, our approach fully characterizes operational regimes forbidden in the standard case, such as refrigeration and work extraction at the same time, accompanied by efficiencies equal to unity. "
