"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A correlation approach for prediction of crude oil viscosities","https://scispace.com/paper/a-correlation-approach-for-prediction-of-crude-oil-2m9z733c8l","2005","Journal Article","Journal of Petroleum Science and Engineering","Ali Naseri
Manouchehr Nikazar
S.A. Mousavi Dehghani","10.1016/J.PETROL.2005.03.008","","… viscosity correlations developed by classical regression … oil viscosity correlations, which are used to estimate crude oil … the proposed correlation in this work for predicting the viscosity of …",""
"Reservoir oil viscosity determination using a rigorous approach","https://scispace.com/paper/reservoir-oil-viscosity-determination-using-a-rigorous-4hzl1dznzu","2014","Journal Article","Fuel","Abdolhossein Hemmati-Sarapardeh
Amin Shokrollahi
Afshin Tatar
Farhad Gharagheizi
Farhad Gharagheizi
Amir H. Mohammadi
Ali Naseri","10.1016/J.FUEL.2013.07.072","https://www.academia.edu/download/52320079/Reservoir_oil_viscosity_determination_us20170326-18504-146kgst.pdf","… Therefore, crude oil viscosity correlations can also be … point while others developed one correlation for saturated oil. … patterns and are used for regression analysis. According to SVM …",""
"Comparing classical and neural regression techniques in modeling crude oil viscosity","https://scispace.com/paper/comparing-classical-and-neural-regression-techniques-in-53altsovgh","2001","Journal Article","Advances in Engineering Software","A. M. Elsharkwy
R. B. C. Gharbi","10.1016/S0965-9978(00)00083-1","https://www.researchgate.net/profile/Adel-Elsharkawy/publication/257424610_Comparing_classical_and_neural_regression_techniques_in_modeling_crude_oil_viscosity/links/66b9dfb8299c327096c18370/Comparing-classical-and-neural-regression-techniques-in-modeling-crude-oil-viscosity.pdf","… Table 2 shows the average relative error percent (E r ), the average absolute error percent (E a ), the standard deviation percent (Sd), and the coefficient of correlation (R) for the training …",""
"New correlations for prediction of viscosity and density of Egyptian oil reservoirs","https://scispace.com/paper/new-correlations-for-prediction-of-viscosity-and-density-of-53juc3kau3","2013","Journal Article","Fuel","A.N. El-hoshoudy
A.B. Farag
O.I.M. Ali
M.H. EL-Batanoney
S.E.M. Desouky
M. Ramzi","10.1016/J.FUEL.2013.05.045","https://www.academia.edu/download/87934648/j.fuel.2013.05.04520220623-1-4djz7u.pdf","… While, crude oil viscosity is defined as the internal resistance … the undersaturated oil viscosity correlation based on data bank … Multiple least-square regression analysis was utilized to …",""
"A neural network model and an updated correlation for estimation of dead crude oil viscosity","https://scispace.com/paper/a-neural-network-model-and-an-updated-correlation-for-18dd6l6z29","2012","Journal Article","Brazilian Journal of Petroleum and Gas","Ali Naseri
Seyed Hamidreza Yousefi
Alireza Sanaei
A. A. Gharesheikhlou","10.5419/BJPG2012-0003","https://www.portalabpg.org.br/bjpg/index.php/bjpg/article/download/212/186","… Iranian crude oil. In this study, based on Iranian oil reservoir data, a new correlation for the estimation of dead oil viscosity was provided using non-linear multivariable regression and …","Viscosity is one of the most important physical properties in reservoir simulation, formation evaluation, in designing surface facilities and in the calculation of original hydrocarbon in-place. Mostly, oil viscosity is measured in PVT laboratories only at reservoir temperature. Hence, it is of great importance to use an accurate correlation for prediction of oil viscosity at different operating conditions and various temperatures. Although, different correlations have been proposed for various regions, the applicability of the existing correlations for Iranian oil reservoirs is limited due to the nature of the Iranian crude oil. In this study, based on Iranian oil reservoir data, a new correlation for the estimation of dead oil viscosity was provided using non-linear multivariable regression and non-linear optimization methods simultaneously with the optimization of the other existing correlations. This new correlation uses API Gravity and temperature as an input parameter. In addition, a neural-network-based model for prediction of dead oil viscosity is presented. Detailed comparisons show that validity and accuracy of the new correlation and the neural-network model are in good agreement with large data set of Iranian oil reservoir when compared with other correlations."
"Prediction of crude oil viscosity and gas/oil ratio curves using recent advances to neural networks","https://scispace.com/paper/prediction-of-crude-oil-viscosity-and-gas-oil-ratio-curves-54y4cxyqeu","2009","Proceedings Article","","Munirudeen A. Oloso
Amar Khoukhi
Abdulazeez Abdulraheem
Moustafa Elshafei","10.3997/2214-4609-PDB.170.SPE125360","","… Regression analysis is the widely used approach in … μ and undersaturated oil viscosity based on UAE crude oil. … He developed his undersaturated oil viscosity correlation as a …","This paper proposes and implements a new approach for predicting Pressure -Volume-Temperature (PVT) properties of crude oils. Instead of the usual single or multi-data point prediction for any crude oil PVT property that is described by a curve, the approach in this study predicts such a property over a specified range of required reservoir pressures. Moreover, the shapes of the predicted curves are smooth and consistent with the experimental curves. Prediction models based on Artificial Neural Networks (ANN) and two of its advances; Support Vector Regression (SVR) and Functional Networks (FN), have been developed to execute the formulated approach. The approach has been demonstrated for viscosity and solution gas/oil ratio (GOR) curves. These two properties vary with reservoir pressures and they are often required to be estimated over a specified range of pressures. In this study, three different data sets have been used. The first Data set consists of 12 variables which are the predictors, including crude oil hydrocarbon and non-hydrocarbon compositions and some reservoir properties. The other two data sets consist of laboratory viscosity-pressure measurements and laboratory gas/oil ratio-pressure measurements for plotting the viscosity and solution GOR curves respectively. In the simulation results, SVR and FN give better performances than the conventional ANN technique. Graphical plots and two common statistical measures (root mean square error, RMSE, and absolute percent relative error, AAPRE) have been used to evaluate the performances of all the developed models."
"Petroleum viscosity modeling using least squares and ANN methods","https://scispace.com/paper/petroleum-viscosity-modeling-using-least-squares-and-ann-1dpcsq0p","2022","Journal Article","Journal of Petroleum Science and Engineering","Dicho Stratiev
Svetoslav Nenov
Sotir Sotirov
Ivelina Shishkova
G. Palichev
Evdokia Sotirova
Vitaly Ivanov
Krassimir T. Atanassov
Simeon Ribagin
Nora Angelova","10.1016/j.petrol.2022.110306","","… Combining regression with ANN predicts well viscosity of all crude oil types. … M W m i x = ∑ i = 1 n x i M W c i API = 13.4–20.4 The correlation was developed for 28 heavy crude oils and …",""
"Improved prediction of heavy oil viscosity at various conditions utilizing various supervised machine learning regression","https://scispace.com/paper/improved-prediction-of-heavy-oil-viscosity-at-various-3jgne8f0","2022","Journal Article","Petroleum Science and Technology","Faisal Abdullah ALAdwani
Adel M. Elsharkawy","10.1080/10916466.2022.2060254","https://www.researchgate.net/profile/Adel-Elsharkawy/publication/360195188_Improved_prediction_of_heavy_oil_viscosity_at_various_conditions_utilizing_various_supervised_machine_learning_regression/links/62b19f0ad49f803365ae4573/Improved-prediction-of-heavy-oil-viscosity-at-various-conditions-utilizing-various-supervised-machine-learning-regression.pdf","… The density of the crude oil samples from data set I has a good correlation with both API and temperature as shown in Table 2 . The negative sign indicates that the density decreases as …","Abstract Fluid viscosity plays a major role in the petroleum industry. It’s required for fluid flow calculations through the reservoir and production systems. In this study, heavy oil viscosity measurements for seventy samples are reported at various temperatures with different API gravity. Three supervised machine learning regression (SMLR) models were developed to predict the viscosity as a function of API gravity, temperature, and density with a 5 K-fold validation technique for a better model representation. Results showed that the newly developed models have superiority over published models. The Gaussian process regression (GPR) and the regression ensembles tree (RET) showed the best performance with a mean absolute percent error of 0.7328%, a root mean square error of 0.6174 and a coefficient of determination of 0.9988 for the GPR where for the RET the mean absolute percent error is 0.5768%, the root mean square error is 3.514, and the coefficient of determination is 0.9971."
"Enhanced intelligent approach for determination of crude oil viscosity at reservoir conditions","https://scispace.com/paper/enhanced-intelligent-approach-for-determination-of-crude-oil-mqhkjszu","2023","Journal Article","Dental science reports","Kiana Peiro Ahmady Langeroudy
Parsa Kharazi Esfahani
Mohammad Reza Khorsand Movaghar","10.1038/s41598-023-28770-2","https://pmc.ncbi.nlm.nih.gov/articles/PMC9887002/pdf/41598_2023_Article_28770.pdf","… efficient polynomial correlation for estimating oil viscosity, … three supervised machine learning regression (SMLR) models. The … process regression (GPR) and the regression ensembles …","Abstract Oil viscosity plays a prominent role in all areas of petroleum engineering, such as simulating reservoirs, predicting production rate, evaluating oil well performance, and even planning for thermal enhanced oil recovery (EOR) that involves fluid flow calculations. Experimental methods of determining oil viscosity, such as the rotational viscometer, are more accurate than other methods. The compositional method can also properly estimate oil viscosity. However, the composition of oil should be determined experimentally, which is costly and time-consuming. Therefore, the occasional inaccessibility of experimental data may make it inevitable to look for convenient methods for fast and accurate prediction of oil viscosity. Hence, in this study, the error in viscosity prediction has been minimized by taking into account the amount of dissolved gas in oil (solution gas–oil ratio: R s ) as a representative of oil composition along with other conventional black oil features including temperature, pressure, and API gravity by employing recently developed machine learning methods based on the gradient boosting decision tree (GBDT): extreme gradient boosting (XGBoost), CatBoost, and GradientBoosting. Moreover, the advantage of the proposed method lies in its independence to input viscosity data in each pressure region/stage. The results were then compared with well-known correlations and machine-learning methods employing the black oil approach applying least square support vector machine (LSSVM) and compositional approach implementing decision trees (DTs). XGBoost is offered as the best method with its greater precision and lower error. It provides an overall average absolute relative deviation (AARD) of 1.968% which has reduced the error of the compositional method by half and the black oil method (saturated region) by five times. This shows the proper viscosity prediction and corroborates the applied method's performance. "
"Development of a robust model for prediction of under-saturated reservoir oil viscosity","https://scispace.com/paper/development-of-a-robust-model-for-prediction-of-under-3y3k34tuf9","2017","Journal Article","Journal of Molecular Liquids","Sassan Hajirezaie
Amin Pajouhandeh
Abdolhossein Hemmati-Sarapardeh
Maysam Pournik
Bahram Dabir","10.1016/J.MOLLIQ.2016.11.088","","… Crude oil viscosity is an important characteristic of reservoir … Another difference of GP with the traditional regression … correlation for prediction of under-saturated oil viscosity as a …",""
"Determination of density and viscosity of crude oil samples from FTIR data using multivariate regression, variable selection and classification","https://scispace.com/paper/determination-of-density-and-viscosity-of-crude-oil-samples-1gplm3au","2022","Journal Article","Advances in Control and Optimization of Dynamical Systems","Sh. Alizadeh
Souvik Ta
Ajay K. Ray
Sriram Lakshminarayanan","10.1016/j.ifacol.2022.07.550","https://skoge.folk.ntnu.no/prost/proceedings/dycops-2022/files/0168.pdf","… employ the decision tree classification method for classifying the Canadian crude oil samples and using the result to determine the viscosity based on a multivariate regression model. …","The use of Fourier Transform Infrared (FTIR) spectroscopy for quantification of crude oil properties was investigated using chemometric methods. Sample sets consisting of crude oil from seven different Canadian fields were analyzed. Different methods such as PLS, PCA, iPLS, and PLS-GA were used for model building and the results were compared. Evaluation of the models was conducted by determination of the coefficient of determination (R2) and cross validation error. The best results for quantification of density and viscosity were obtained by partial least squares (PLS) regression on FTIR data. Data analysis on the total sample set of 82 samples yielded a prediction error (root mean square error of cross validation) of 4.5 × 10−5 and 0.33 respectively for density and viscosity. Improvement in prediction accuracy of viscosity was obtained by using Decision tree classification on samples before applying PLS regression. "
"Prediction of dead oil viscosity: Machine learning vs. classical correlations","https://scispace.com/paper/prediction-of-dead-oil-viscosity-machine-learning-vs-4i06yh2e0g","2021","Journal Article","Energies","Fahimeh Hadavimoghaddam
Mehdi Ostadhassan
Ehsan Heidaryan
Mohammad Ali Sadri
Inna Chapanova
Evgeny Popov
Alexey Cheremisin
Saeed Rafieepour","10.3390/EN14040930","","… Hence, the crude oil viscosity can be divided into three categories, namely saturated oil … The most common method for getting dead oil viscosity data is viscosity correlation, which is very …","Dead oil viscosity is a critical parameter to solve numerous reservoir engineering problems and one of the most unreliable properties to predict with classical black oil correlations Determination of dead oil viscosity by experiments is expensive and time-consuming, which means developing an accurate and quick prediction model is required This paper implements six machine learning models: random forest (RF), lightgbm, XGBoost, multilayer perceptron (MLP) neural network, stochastic real-valued (SRV) and SuperLearner to predict dead oil viscosity More than 2000 pressure–volume–temperature (PVT) data were used for developing and testing these models A huge range of viscosity data were used, from light intermediate to heavy oil In this study, we give insight into the performance of different functional forms that have been used in the literature to formulate dead oil viscosity The results show that the functional form f(γAPI,T), has the best performance, and additional correlating parameters might be unnecessary Furthermore, SuperLearner outperformed other machine learning (ML) algorithms as well as common correlations that are based on the metric analysis The SuperLearner model can potentially replace the empirical models for viscosity predictions on a wide range of viscosities (any oil type) Ultimately, the proposed model is capable of simulating the true physical trend of the dead oil viscosity with variations of oil API gravity, temperature and shear rate"
"Quantitative structure–property relationship model for hydrocarbon liquid viscosity prediction","https://scispace.com/paper/quantitative-structure-property-relationship-model-for-1iwq7b0q8h","2018","Journal Article","Energy & Fuels","Guangqing Cai
Zhefu Liu
Zhefu Liu
Linzhou Zhang
Suoqi Zhao
Chunming Xu","10.1021/ACS.ENERGYFUELS.7B04075","","… multivariate linear regression. The model comprised a data set of 46 compounds with 16 molecular descriptors, and the square correlation … of this study is the petroleum fraction. Hence, …","The liquid viscosity of hydrocarbon compounds is essential in the chemical engineering process design and optimization In this paper, we developed a quantitative structure–property relationship (QSPR) model to predict the hydrocarbon viscosity at different temperatures from the chemical structure We collected viscosity data at different temperatures of 261 hydrocarbon compounds (C3–C64), covering n-paraffins, isoparaffins, olefins, alkynes, monocyclic and polycyclic cycloalkanes, and aromatics We regressed the experimental data using an improved Andrade equation at first Hydrocarbon viscosity versus temperature curves were characterized by only two parameters (named B and T0) The QSPR model was then built to capture the complex dependence of the Andrade equation parameters upon the chemical structures A total of 36 key chemical features (including 15 basic groups, 20 united groups, and molecular weights) were manually selected through the trial-and-error process An artificial neural network was tra"
"Multiple regression model for determining and predicting the viscosity of crude oils mixture","https://scispace.com/paper/multiple-regression-model-for-determining-and-predicting-the-2mjr8b4vq9","2019","Journal Article","","L. R. Baykova
N. A. Garris
G. I. Karimova","10.1088/1755-1315/272/2/022154","https://iopscience.iop.org/article/10.1088/1755-1315/272/2/022154/pdf","… On the data of the laboratory experiment, a correlation and regression … the regression equation for determining the coefficient of kinematic viscosity of a mixture of West Siberian crude oil …",""
"The origin, prediction and impact of oil viscosity heterogeneity on the production characteristics of tar sand and heavy oil reservoirs","https://scispace.com/paper/the-origin-prediction-and-impact-of-oil-viscosity-3rvpm019x4","2006","Journal Article","Journal of Canadian Petroleum Technology","Stephen R. Larter
Jennifer D. Adams
Ian D. Gates
Barry Bennett
Haiping Huang","10.2118/08-01-52","","… geochemically predicted viscosity profiles generated using principal component regression on … of oils obtained by using multivariate statistical chemometric methods or classification and …","A defining characteristic of heavy and super heavy oilfields is the large spatial variation in fluid properties, such as oil viscosity, commonly seen within the reservoirs. Traditional heavy oil and tar sand exploration and production strategies rely significantly on the characterization of key reservoir heterogeneities and assessment of fluid saturations. while it is important to understand how these properties vary, the spatial distribution of fluid properties can often dominate production behaviour but surprisingly, are usually ignored! Heavy oil and tar sands are formed by microbial degradation of conventional crude oils over geological timescales. Constraints such as oil charge mixing, reservoir-temperature dependant biodegradation rate and supply of water and nutrients to the organisms ultimately dictate the final distribution of API gravity and viscosity found in heavy oil fields. Large-scale lateral and small-scale vertical variations in fluid properties due to interaction of biodegradation and charge mixing are common, with up to orders of magnitude variation in viscosity over the thickness of a reservoir. These variations are often predictable and can be integrated into reservoir simulation models in a manner similar to specifying geological heterogeneity. In this work, we describe and illustrate quantitative geological controls on fluid property variations and show how petroleum geochemistry can be used to rapidly produce high resolution fluid property images of tar sand and heavy oil reservoirs. The impact of viscosity variations in a heavy oil reservoir on production depends on recovery method. Numerical thermal reservoir simulations reveal that oil viscosity heterogeneity (i.e. a vertical viscosity profile in the reservoir) lowers the oil production volumes from steam assisted gravity drainage (SAGD) in geologically realistic reservoirs compared to results from equivalent models run with uniform average viscosity profiles. Similar results are found for the cyclic steam stimulation (CSS) process. In cases with viscosity profiles, the relatively high viscosity at the base of the reservoir slows the growth of the steam chambers relative to that in uniform viscosity reservoirs. We also describe how the chemical fluid heterogeneities can be used to predict oil viscosity from well cuttings and/or core or to de-mix produced oils into zonal contributions from different parts of the production well."
"A residual viscosity correlation for predicting the viscosity of petroleum reservoir fluids over wide ranges of pressure and temperature","https://scispace.com/paper/a-residual-viscosity-correlation-for-predicting-the-3l9rmkner2","2001","Journal Article","Chemical Engineering Science","Z. Al-Syabi
Ali Danesh
Bahman Tohidi
Adrian Christopher Todd
D.H. Tehrani","10.1016/S0009-2509(01)00334-7","https://www.academia.edu/download/46013082/A_residual_viscosity_correlation_for_pre20160528-3517-e7acgr.pdf","… viscosity is essential in predicting the petroleum reservoir and well performance and the hydrocarbon recovery. In the so-called black oil simulation sets of viscosity … for the regression …",""
"Multivariate Statistical Modeling of Crude Oil Viscosity and Mole Percent Components for Reservoir Fluids","https://scispace.com/paper/multivariate-statistical-modeling-of-crude-oil-viscosity-and-8lltgo93d72z","","","","Jeremiah Ifeanyi Okoroma
Adaobi Stephenie Nwosi-Anele
Uchenna Daniel Elikee","10.9734/jenrr/2021/v9i430241","https://www.academia.edu/download/91963502/56748.pdf","… Nonlinear regression models were used to develop a correlation for the crude oil viscosity … predict the changes in composition of the crude oil. The composition included three lumped …","This study presents multivariate statistical modeling of PVT properties in a Hydrocarbon Reservoir. Traditionally, these properties are modeled by correlating them with the changes in pressure and temperature associated with them. However, these changes are often a direct corollary of the changing composition as each component’s presence and/or absence contributes to the overall property of the fluid system. In this work, Multiple Linear and Multiple Nonlinear regression models were used to develop a correlation for the crude oil viscosity and the mole percent of the components as they change with pressure and temperature. A fluid system was modelled using the PVT Package of Integrated Production System Modelling (IPM) Suite. The model was then used to perform a differential liberation test simulation to predict the changes in composition of the crude oil. The composition included three lumped crude oil fractions. After the PVT modelling, the generated PVT Composition was used to perform the Multivariate statistical analysis (MVA) and modelling.Two MVA techniques were compared – the Multiple Linear Regression (MLR) and Multiple Non-Linear Regression (MLNR).Analysis of residuals generated from the prediction run based on both techniques showed that the multiple linear regression method had trending residuals, contrary to the law of parametric estimation upon which it is based. However, the multiple nonlinear regression yielded 100% correlation with adequate residual trend and is thus recommended for adaptation to distinct fluid systems. It is imperative to note that the accuracy of this adaptive PVT modeling and prediction is hinged primarily on the accuracy of the PVT model used to estimate the compositional variation."
"Development of compositional-based models for prediction of heavy crude oil viscosity: application in reservoir simulations","https://scispace.com/paper/development-of-compositional-based-models-for-prediction-of-1fp506cm17","2023","Journal Article","Journal of Molecular Liquids","Zi-mei Liu
Xuliang Zhao
Yifan Tian
Jianping Tan","10.1016/j.molliq.2023.122918","","… Based on this analysis, we have chosen ERT as the main model of this research in correlation of oil viscosity to the input parameters. Indeed, ERT is recognized as a more robust …","The properties of crude oil are of great importance for efficient recovery of oil from oil fields. The properties are primarily used in reservoir simulations for prediction of oil recovery in order to save time and obtain the best recovery. Among various crude oil properties, viscosity is the most important one which should be precisely simulated. In this work, a novel approach based on machine learning is developed for estimation of crude oil viscosity as function of input parameters. Multiple distinct tree-based ensemble models are applied on the available dataset in this work to predict heavy-oil viscosity. AdaBoost Decision Trees (ADA-DT), Random Forest (RF), and Extremely Randomized Trees (ERT) are selected tree-based ensembles that used in this work for the simulation of oil viscosity. An Isolation Forest is applied on the dataset to remove outliers and also the earthworm optimization algorithm (EWA) is employed to find the optimum values of models' hyper-parameters. Optimized models of ADA-DT, ERT, and RF have RMSE error rates of 35.42, 27.02, and 58.71. Thus, ERT is selected as the best model of the dataset used in this work. "
"Correlation between the molecular structure and viscosity index of CTL base oils based on ridge regression","https://scispace.com/paper/correlation-between-the-molecular-structure-and-viscosity-19c9sqps","2022","Journal Article","ACS omega","Chunhua Zhang
Hanwen Wang
Xiaowen Yu
Chaolin Peng
Angui Zhang
Xue Mei Liang
Yinan Yan","10.1021/acsomega.2c01877","https://pmc.ncbi.nlm.nih.gov/articles/PMC9178722/pdf/ao2c01877.pdf","… In petroleum science with small samples, the primary forces of statistical analysis are OLS and stepwise regression. OLS estimates the unknown parameters of an equation by …","In China, coal-to-liquid (CTL) lube base oils with ultrahigh viscosity index (VI) are very popular. Since it consists of chain alkanes only and can be precisely characterized by molecular structures alone, quantitative 13C nuclear magnetic resonance (NMR) data are used to generate the average structural parameters (ASPs) of CTL base oil. In this work, the ASPs and bulk properties of CTL base oils were tested and compared with those of mineral base oils. Based on the test results, the correlation between the unique property of CTL base oil VI and ASPs was analyzed. To eliminate the effect of significant multicollinearity among the input variables, statistical methods such as ordinary least-squares (OLS), stepwise regression, and ridge regression methods were used to build the VI prediction model. The main findings are as follows: according to the 13C NMR spectrum, CTL base oils had a significantly higher content of isomeric chain alkanes (including several branching structures) than mineral base oil, while the content of cycloalkanes was zero; among several branched structures, the one with the largest difference in content is structure S67, which has the highest percentage in the iso-paraffin structures, all above 25.5% in CTL base oils and below 21.39% in mineral oils; according to the distillation curve of the simulated distillation (SimDist) analysis, CTL base oils with similar carbon number distribution showed lower boiling points, narrower distillation ranges, and higher distillation efficiencies than mineral base oil; correlation analysis showed that the average chain length (ACL), normal paraffins (NPs), and structure S67 caused the CTL base oil to exhibit a higher VI; and from 13C NMR data, the ridge regression model was used to obtain regression coefficients consistent with reality, and the expected VI could be well predicted with a correlation coefficient of 0.935."
"Prediction of Reservoir Properties from Seismic Data by Multivariate Geostatistics Analysis","https://scispace.com/paper/vl9gnpH4Ca0J","","","","VV Bezkhodarnov
TI Chichinina
MO Korovin","","","… For the first time, we applied the multivariate correlation-regression analysis (MCRA) in the Tomsk Ob region to estimate the physical and mechanical properties of soils in the early …",""
