"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Establishing the relationship between heavy oil viscosity and molecular markers using an enhanced neural network model","https://scispace.com/paper/establishing-the-relationship-between-heavy-oil-viscosity-ypp6570qdyc7","2025","Journal Article","Dental science reports","Ming Zhong
Zicheng Niu
Jie Fan
Haiping Huang
Ningxi Li
Li Jia
Hong Zhang","10.1038/s41598-025-18561-2","https://scispace.compdf/establishing-the-relationship-between-heavy-oil-viscosity-ypp6570qdyc7.pdf","The heterogeneous viscosity distribution of biodegraded heavy oil poses significant challenges for reservoir management. While molecular markers (biomarkers) reflect biodegradation intensity, existing models fail to establish quantitative correlations between biomarker signatures and viscosity due to multicollinearity in high-dimensional geochemical data. This study develops an integrated machine learning framework to decode biomarker-viscosity relationships in the Songliao Basin heavy oils. Our dual-phase methodology combines ridge regression for multicollinearity mitigation with a feedforward neural network (FFNN) to capture nonlinear interactions. Key biomarkers were identified through geochemical analysis of 17 heavy oil samples spanning PM0-PM6 biodegradation levels. The hybrid model achieved exceptional prediction accuracy (R2 = 0.99996, RMSE = 3.39) through L2-regularized feature selection and neural network optimization, outperforming standalone FFNN models (cross-validation R2 improvement from 0.032 to 0.99996). Reverse prediction experiments validated biomarker response patterns, even in severely biodegraded oils. The advanced machine learning model proposed in this study is applicable to predict the viscosity of heavy oil and its biomarkers, thereby improving reservoir management strategies. Additionally, this study contributes a new perspective on characterizing and managing the reservoirs of various geological backgrounds and origins, not just biodegradable heavy oil reservoirs.","This study develops a machine learning framework to decode biomarker-viscosity relationships in heavy oils, achieving exceptional prediction accuracy (R2 = 0.99996) and outperforming standalone models, with implications for reservoir management and characterization of biodegradable heavy oil reservoirs."
"Viscosity Prediction of Heavy Oil from the Liaohe Basin Using Biomarker Parameters","https://scispace.com/paper/viscosity-prediction-of-heavy-oil-from-the-liaohe-basin-1130qzhg79","2014","Journal Article","Petroleum Science and Technology","J. J. Hu
X. T. Zhang
Q. Yu
Z. Huang
Q. Xiao
H. J. Zhao","10.1080/10916466.2011.637535","","A set of correlations was proposed to predict the viscosities of heavy oils from Leng 43/37 blocks (Liaohe Basin) using some biomarker parameters. Geochemical analysis showed that the heavy oils in this study main suffered from different degrees of biodegradation. With increasing biodegradation, the viscosities of crude oils have strong correlations with the following four biomarker biodegradation parameters: (Pr + Ph)/(nC17 + nC18), (nC17 + nC18)/C30H, nC17 + nC18 + Pr + Ph (mg/g), ∑(nC11 − nC36) (mg/g); the correlation coefficients were 0.96, 0.94, 0.93, and 0.94, respectively. Moreover, for convenience, we ranked the extent of biodegradation as nonbiodegraded and lightly, moderately, heavily, and severely biodegraded. The accuracy and applicable biodegradation scale range of these correlations are discussed. The viscosities obtained from the correlations could be used in designing biodegraded heavy oil production projects.","A set of correlations was proposed to predict the viscosities of heavy oils from Leng 43/37 blocks (Liaohe Basin) using some biomarker parameters and the extent of biodegradation was ranked as nonbiodegraded and lightly, moderately, heavily, and severely biodegraded."
"Using Biomarkers to Improve Heavy Oil Reservoir Management: An Example From the Cymric Field, Kern County, California","https://scispace.com/paper/using-biomarkers-to-improve-heavy-oil-reservoir-management-u7k9orpzey","1996","Journal Article","AAPG Bulletin","Mark A. McCaffrey
Henry A. Legarre
Scott J. Johnson","10.1306/64ED8908-1724-11D7-8645000102C1865D","","For biodegraded oil accumulations, field development can be optimized by using geochemical indicators of variations in the extent of bacterial alteration. Biodegradation typically reduces oil producibility by increasing oil viscosity. In the Cymric field (Kern County, California), sidewall core extracts reveal that the extent of oil biodegradation changes substantially over extremely short vertical distances in a shallow, low-permeability reservoir. Zones of more degraded oil can extend laterally for more than a mile. The relationships between oil viscosity and biomarker biodegradation parameters in this field were calibrated from analyses of produced oils, and these relationships were used to convert sidewall core biomarker analyses into quantitative predictions of lateral and vertical changes in oil viscosity and gravity. Compositional variations were also used to allocate production to discrete zones. Viscosity prediction and production allocation can be used to optimize (1) the placement of new wells, (2) the placement of completion intervals, (3) the thickness of steam injection intervals, and (4) the spacing between injection intervals in the same well.","In this paper, the relationship between oil viscosity and biomarker biodegradation parameters in the Cymric field was calibrated from analyses of produced oils, and these relationships were used to convert sidewall core biomarker analyses into quantitative predictions of lateral and vertical changes in oil viscoity and gravity."
"Biomarker Molecular Indicators Predict Biodegraded Heavy Oil Physical Properties: A Case from Dongying Depression, Eastern China","https://scispace.com/paper/biomarker-molecular-indicators-predict-biodegraded-heavy-oil-4z5sgev0ja","2012","Journal Article","Advanced Materials Research","Zhong Hong Chen","10.4028/WWW.SCIENTIFIC.NET/AMR.524-527.2069","","To determine reliable molecular thermal maturity parameters for prediction of the physical properties of biodegraded oils, a suite of oils including 11 biodegraded oils from Caoqiao oilfield and 5 non-biodegraded oils from Wangjiagang oilfield in Dongying depression in Bohai-bay basin, eastern of China were analyzed. The oils were selected in a wide range of viscosity in order to investigate the relation between the parameters and oil properties. The data show the effects of biodegradation on some molecular thermal maturity parameters: C29 sterane parameters C2920S/(20S+20R) and C29ββ/(ββ+αα) increased apparently under heavy biodegradation (rank 6~7); parameters C3122S/(22S+22R), C3222S/(22S+22R), C293-methyl/C29 4-methyl, (C28+C29Tricyclics)/Ts and (C28+C29Tricyclics)/ (C28+C29Tricyclics +Ts) showed effects from heavy biodegradation (rank 6~7), and terpanes parameters Ts/(Ts+Tm), C29Ts/(C29Ts+C29Tm) and aromatic C20/(C28+C20), (C20+C21)/(C20+C21+C26+C27+C28) and D(3-6)/(D3-6+ C29 4-methylstigmastane 20R showed no effect from heavy biodegradation. Based on the comparison, the molecular maturity parameters C26 to C28 triaromatic parameters C26S/ (C26S+C28S), C27R/(C27R+C28R), C28/(C26+C27+C28) and tricyclic terpanes parameters C19/(C19+C23) were recommended to predict the physical properties of biodegraded oil for these parameters showed no effects from biodegradation(rank 6~7) and better relations with oil physical properties compared to other parameters. Some quantificational equations between these molecular thermal maturity parameters and the physical properties of biodegraded oils were inferred, which may assist in predicting the viscosity and API gravity of reservoired oils before production.","Some quantificational equations between these molecular thermal maturity parameters and the physical properties of biodegraded oils were inferred, which may assist in predicting the viscosity and API gravity of reservoired oils before production."
"The Impact of Oil Viscosity Heterogeneity on Production Characteristics of Heavy Oil and Tar Sand(HOTS) Reservoirs Part III: The Origin of Highly Non Linear Oil Viscosity Gradients and the Design of Geotailored Recovery Processes Suitable for such Compositionally Graded Reservoirs","https://scispace.com/paper/the-impact-of-oil-viscosity-heterogeneity-on-production-5cc6sgxnmf","2007","","","Steve Larter
Jennifer D. Adams
Ian D. Gates","","https://www.searchanddiscovery.com/abstracts/html/2013/90168cspg/abstracts/ndx_larter.pdf","The world oil inventory is dominated by heavy oils and tar sand (HOTS) bitumens generated almost entirely by the process of biodegradation. This process is a biologically-driven, complex reactive diffusion-dominated in-reservoir oil alteration process that occurs under anaerobic conditions (Aitken et al., 2004) driven by oil-water reactions, usually at the oil column base producing methane and heavy oil as by-products (Head et al, 2003). Because large volumes of lighter hydrocarbon components are consumed by the biological process at the oil-water contact or transition zone, significant vertical and lateral gradients in oil composition and thus oil viscosity result (Larter et al., 2003,2006a,b). The ultimate controls on the increase of oil alteration and thus viscosity rise are related to the oil charge composition and charge rate history (Adams et al., 2006), mixing of fresh and biodegraded oils and diffusion of oil components (Koopmans et al., 2002), the extent of the water leg in the reservoir and nutrient supply, and the reservoir temperature history (Larter et al., 2003; 2006a). Temperature ultimately controls the survival of microrganisms in the subsurface with reservoir pasteurisation at 80 C and above (Wilhelms et al., 2001).",""
"Viscosity and other rheological properties of bitumen from the Upper Devonian Grosmont reservoir, Alberta, Canada","https://scispace.com/paper/viscosity-and-other-rheological-properties-of-bitumen-from-1qpz4uudbg","2012","Journal Article","AAPG Bulletin","Yi Zhao
Hans G. Machel","10.1306/04261110180","","Viscosity is directly related to the mobility and quality of hydrocarbons in reservoirs, and its distribution is commonly heterogeneous. Therefore, viscosity has a great impact on the exploitation of heavy oil and bitumen reservoirs. Previous studies showed that viscosity measurements are problematic and are often inconsistent mainly because of the challenges of sample preparation and lack of a standard procedure for measuring viscosity in the oil and gas industry. This study aims to improve the characterization of reservoir viscosity by understanding the rheological properties of bitumen using bitumen samples from the Upper Devonian Grosmont reservoir, Alberta, Canada. This study shows that Grosmont bitumen is essentially a non-Newtonian fluid, exhibiting a distinctive shear-thinning behavior at low temperatures of less than 40C. With increasing temperature, however, the bitumen changes from a non-Newtonian fluid to a Newtonian fluid. At low temperatures, the viscosity variations can be divided into four stages. A standard viscosity called zero-shear viscosity is obtained from the viscosity variations and can be used throughout the reservoir as characteristic viscosity for Grosmont bitumen. The viscosity distribution in the Grosmont reservoir is complex and appears to be stratigraphically related. Bitumen samples from formation boundaries tend to have higher viscosities, suggesting more severe biodegradation at these locations. Possible causes for the observed patterns in the Grosmont include (1) oil-water contacts migrating up and down over time; (2) oil migration and/or biodegradation controlled by aquitards that divide the reservoir into hydrostratigraphically separated units; and (3) differences in microbial activity, that is, aerobic versus anaerobic, possibly controlled by the level of oxygenation over time.","In this article, the rheological properties of bitumen using bitumen samples from the Upper Devonian Grosmont reservoir, Alberta, Canada, were analyzed and it was shown that bitumen is essentially a non-Newtonian fluid, exhibiting a distinctive shear-thinning behavior at low temperatures of less than 40C. At low temperatures, the viscosity variations can be divided into four stages."
"The Origin, Prediction and Impact of Oil Viscosity Heterogeneity on the Production Characteristics of Tar Sand and Heavy Oil Reservoirs","https://scispace.com/paper/the-origin-prediction-and-impact-of-oil-viscosity-3rvpm019x4","2006","Journal Article","Journal of Canadian Petroleum Technology","Stephen R. Larter
Jennifer D. Adams
Ian D. Gates
Barry Bennett
Haiping Huang","10.2118/08-01-52","","A defining characteristic of heavy and super heavy oilfields is the large spatial variation in fluid properties, such as oil viscosity, commonly seen within the reservoirs. Traditional heavy oil and tar sand exploration and production strategies rely significantly on the characterization of key reservoir heterogeneities and assessment of fluid saturations. while it is important to understand how these properties vary, the spatial distribution of fluid properties can often dominate production behaviour but surprisingly, are usually ignored! Heavy oil and tar sands are formed by microbial degradation of conventional crude oils over geological timescales. Constraints such as oil charge mixing, reservoir-temperature dependant biodegradation rate and supply of water and nutrients to the organisms ultimately dictate the final distribution of API gravity and viscosity found in heavy oil fields. Large-scale lateral and small-scale vertical variations in fluid properties due to interaction of biodegradation and charge mixing are common, with up to orders of magnitude variation in viscosity over the thickness of a reservoir. These variations are often predictable and can be integrated into reservoir simulation models in a manner similar to specifying geological heterogeneity. In this work, we describe and illustrate quantitative geological controls on fluid property variations and show how petroleum geochemistry can be used to rapidly produce high resolution fluid property images of tar sand and heavy oil reservoirs. The impact of viscosity variations in a heavy oil reservoir on production depends on recovery method. Numerical thermal reservoir simulations reveal that oil viscosity heterogeneity (i.e. a vertical viscosity profile in the reservoir) lowers the oil production volumes from steam assisted gravity drainage (SAGD) in geologically realistic reservoirs compared to results from equivalent models run with uniform average viscosity profiles. Similar results are found for the cyclic steam stimulation (CSS) process. In cases with viscosity profiles, the relatively high viscosity at the base of the reservoir slows the growth of the steam chambers relative to that in uniform viscosity reservoirs. We also describe how the chemical fluid heterogeneities can be used to predict oil viscosity from well cuttings and/or core or to de-mix produced oils into zonal contributions from different parts of the production well.","In this article, the authors describe and illustrate quantitative geological controls on fluid property variations and show how petroleum geochemistry can be used to rapidly produce high resolution fluid property images of tar sand and heavy oil reservoirs."
"Pristine Biomarker Compositions Recovered from Biodegraded Oil Samples Using Mssv-Hy","https://scispace.com/paper/pristine-biomarker-compositions-recovered-from-biodegraded-3up0za8zyz","2023","Preprint","","Shengyu Yang
Brian Horsfield
Kai Mangelsdorf
Rolando di Primio
Joachim Rinna
Alexander Hartwig
Antonio Martín-Monge
R. Tocco
Rouven Elias","10.2139/ssrn.4675881","","Oil-source and oil-oil correlations are challenging when the primary chemical composition of petroleum was altered or destroyed by biodegradation. Biomarkers that are bound to macromolecular matrices rather than being in a free form are largely protected from alteration and may therefore offer a solution to the challenges. Using Microscale Sealed Vessel Catalytic Hydrogenation (MSSV-Hy), the bound biomarkers of two North Sea and two Barents Sea oil samples, with varying levels of biodegradation, were released from their respective asphaltenes. Despite biodegradation having changed the relative concentrations of steranes (C27-C30 steranes) and hopanes (C29-C30 hopanes) in the free biomarker fraction to varying degrees, the asphaltene-bound biomarkers were protected and show pristine ratios unaffected by biodegradation, e.g., the relative content of C27-C29 steranes, the C30/C29 sterane ratio, and the C29/C30 hopane ratio. Empirical calibration then allows these bound biomarkers to be converted into regular biomarker ratios. The MSSV-Hy technique has been shown to be an efficient and effective tool for releasing asphaltene-bound biomarkers from biodegraded oil and revealing genetic information when free biomarkers are altered by biodegradation. ","Mssv-Hy recovers pristine biomarker compositions from biodegraded oil samples, protecting biomarkers bound to macromolecular matrices from alteration."
"ABSTRACT: Alterations of Venezuelan Crudes due to Biodegradation Processes Measurable by Biomarker Parameters","https://scispace.com/paper/abstract-alterations-of-venezuelan-crudes-due-to-2q932qib59","1998","","","Irenio Berrios
Irene Romero","","https://scispace.com/pdf/abstract-alterations-of-venezuelan-crudes-due-to-2q932qib59.pdf","Geochemistry studies done in the Tia Juana Field of Maracaibo Basin (West of Venezuela) to optimize the geological model for better production strategies, have shown in this country one of the most severe cases of aerobic biodegradation and water washing at shallower depths. The biodegradation of a crude in the reservoir reduces its quality due to a sequential removal of n-alkanes, isoprenoids and other branched alkanes and, eventually some cyclic alkanes and aromatics, as conditions for microbial oxidation become increasingly favorable. (Reed, 1977; Alexander et al., 1983; Volkman et al., 1983; Connan, 1984; Peters and Moldowan, 1991).","Geochemistry studies done in the Tia Juana Field of Maracaibo Basin (West of Venezuela) to optimize the geological model for better production strategies, have shown one of the most severe cases of aerobic biodegradation and water washing at shallower depths."
"Mapping and Modeling Large Viscosity and Asphaltene Variations in a Reservoir Undergoing Active Biodegradation","https://scispace.com/paper/mapping-and-modeling-large-viscosity-and-asphaltene-248d01t863","2014","Proceedings Article","","Richard Jackson
Julian Y. Zuo
Ankit Agarwal
Bernd Heinrich Herold
Sanjay Kumar
Ilaria De Santo
Hadrien Dumont
Cosan Ayan
Oliver C. Mullins","10.2118/170794-MS","","Viscosity is one of the key reservoir fluid properties. It plays a central role in well productivity and displacement efficiency and has a significant impact on completion strategies. Accurately assessing areal and vertical variations of viscosity will lead to more realistic reservoir simulation and optimal field development planning. Downhole fluid analysis (DFA) has successfully been used to measure the properties of reservoir fluids downhole in real time. DFA has excellent accuracy in measuring fluid gradients which in turn enable accurate thermodynamic modeling. Integration of DFA measurements with the thermodynamic modeling has increasingly been employed for evaluating important reservoir properties such as connectivity, fluid compositional and property gradients. The thermodynamic model is the only one that has been shown to treat gradients of heavy ends in all types of crude oils and at equilibrium and disequilibrium conditions. In addition, fluid viscosity depends on concentration of heavy ends that are associated with optical density measured by DFA. Therefore, mapping viscosity and optical density (heavy end content) is a new important application of DFA technology for use as assessment of reservoir architectures and a mutual consistency check of DFA measurements. In this case study, a very large monotonic variation of heavy end content and viscosity is measured. Several different stacked sands exhibit the same profiles. The crude oil at the top of the column exhibits an equilibrium distribution of heavy ends, SARA and viscosity, while the oil at the base of the oil column exhibits a gradient that is far larger than expected for equilibrium. The fluid properties including SARA contents, viscosity and optical density vary sharply with depth towards the base of the column. The origin of this variation is shown to be due to biodegradation. GC-chromatographs of the crude oils towards the top of the column appear to be rather unaltered, while the crude oils at the base of the column are missing all n-alkanes. A new model is developed that accounts for these observations that assumes biodegradation at the oil-water contact (OWC) coupled with diffusion of alkanes to the OWC. Diffusion is a slow process in a geologic time sense accounting for the lack of impact of biodegradation at the top of the column. An overall understanding of charging timing into this reservoir and expected rates of biodegradation are consistent with this model. The overall objective or providing a 1st-principles viscosity map in these stacked sand reservoirs is achieved by this modeling. Linking DFA with thermodynamic modeling along with precepts from petroleum systems modeling provides a compelling understanding of the reservoir.","In this article, a large monotonic variation of heavy end content and viscosity is measured and the origin of this variation is shown to be due to biodegradation."
