"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Entropy Generation Minimization of Two-Phase Flow Irreversibilities in Hydrocarbon Reservoirs","https://scispace.com/paper/entropy-generation-minimization-of-two-phase-flow-31fx1bkv","2023","Journal Article","Energies","Murtada A. Elhaj
Syed Ahmed Imtiaz
Greg F. Naterer
Sohrab Zendehboudi","10.3390/en16104096","https://scispace.com/pdf/entropy-generation-minimization-of-two-phase-flow-31fx1bkv.pdf","The efficient use of available energy in hydrocarbon extraction processes is essential to reducing overall emissions in the petroleum industry. The inefficient design of an extraction process leads to higher emissions per unit mass of hydrocarbon recovery. Fluid friction and heat transfer are irreversible processes that are vital in decreasing the overall system’s operational efficiency. To reduce these irreversible energy losses in the petroleum reservoir production’s life, contributing factors such as the characteristic features of a reservoir formation, reservoir fluids, and production rate are investigated in this paper. This study examines irreversible energy loss in porous media and wellbore formations using entropy generation minimization at various stages of production and thermodynamic conditions, eventually achieving higher hydrocarbon recovery factors. Entropy production is used to develop predictive models that calculate reservoir and wellbore energy losses for multiphase flow. The proposed models consider oil and water as the working fluids in a porous medium and a wellbore. This paper also investigates the thermophysical effects around the wellbore by incorporating Hawkin’s model. A sensitivity analysis assessed the impact of rock and fluid properties and thermodynamic conditions such as temperature, wettability, and capillary pressure on the total entropy generation. The findings reveal that the capillary pressure significantly impacts the oil and water recovery factor and total entropy production. Additionally, the capillary pressure strongly influences the reservoir production life. The two-phase models show that as the recovery factor increases, the total entropy production decreases at lower production rates. This article helps to address the impact of irreversible processes on multiphase hydrocarbon reservoir operational efficiency. Furthermore, the results obtained from the numerical-simulation model open up a new research area for scholars to maximize the recovery factor using entropy generation minimization in heterogeneous reservoirs.","In this paper , the authors examined irreversible energy loss in porous media and wellbore formations using entropy generation minimization at various stages of production and thermodynamic conditions, eventually achieving higher hydrocarbon recovery factors."
"The reservoir concept: entropy generation and lost work","https://scispace.com/paper/the-reservoir-concept-entropy-generation-and-lost-work-3ctvn648me","2021","Journal Article","European Journal of Physics","Joaquim Anacleto","10.1088/1361-6404/ABEAFC","","In this paper, we discuss the concept of a reservoir in thermodynamics and its determining role in defining entropy flow, entropy generation, lost work, heat, and work. Also, a relation equivalent to that of Clausius is established, which explains why the statement ‘the entropy generation for an irreversible engine is given by the lost work divided by the lowest temperature reservoir’ is flawed, although such a statement is recognized in the literature. Addressing issues that are virtually absent from the literature, this study is expected to be mainly relevant from a scientific point of view but can also be educationally useful.","In this paper, the authors discuss the concept of a reservoir in thermodynamics and its determining role in defining entropy flow, entropy generation, lost work, heat, and work, which explains why the statement that the entropy generation for an irreversible engine is given by the lost work divided by the lowest temperature reservoir is flawed, although such a statement is recognized in the literature."
"Entropy generation minimization for enhancing the fluid recovery and energy efficiency in petroleum reservoirs","https://scispace.com/paper/entropy-generation-minimization-for-enhancing-the-fluid-kmuu7yhmmgej","2023","Repository","","","10.48336/bgbq-fr82","","Hydrocarbon reservoir fluids usually contain a significant amount of mechanical energy that depends on the distribution of temperature and pressure throughout the reservoir. A fraction of the fluid's useful energy is lost during the irreversible processes that occur throughout the production life of the reservoir. Entropy generation (or production) can characterize this loss of useful energy in petroleum reservoirs. A petroleum engineer can develop an appropriate production strategy that minimizes entropy production in a reservoir to promote the efficient use of the reservoir energy. The design of a poor reservoir production system might result in a short-lived production well, low reservoir recovery factor, and inefficient use of available resources. Such an issue would not only result in the loss of a valuable portion of the reservoir's useful energy but also financial benefits. Various forms of energy exchange occur during hydrocarbon production in reservoirs, e.g., fluid and rock expansion, fluid flow, gravity drainage, and compaction of poorly consolidated rocks. During a reservoir's production lifetime, irreversible processes (e.g., fluid friction and heat transfer) lead to waste of energy, reducing the overall system's operational efficiency. Therefore, there is a desire to select an appropriate design that minimizes the entropy generation. In this thesis, we investigate the effect of essential factors such as reservoir formation, reservoir fluids, and production rate on entropy generation. The ultimate goal is to design a reservoir production strategy using the entropy generation analysis such that the production efficiency can be maximized. To simulate the fluid flow behavior of a reservoir system, a pseudo-steady flow state is developed in this thesis for single-phase (dry gas) and two-phase (oil-water) flow models in both the wellbore and reservoir. The effect of the wellbore conditions on the single-phase models is investigated and analyzed. One-dimensional flow is assumed in the wellbore, whereas radial flow occurs in the reservoir. Mass, momentum, energy, and entropy balance equations, including a method of Entropy Generation Minimization (EGM), are used to address the fluid flow behavior and energy loss in wellbore and reservoir systems. For a single-phase flow, the near-wellbore region is investigated and considered to be a separate zone for model development, which allows flexibility in modelling skin effects near the wellbore. Numerical methods are used to solve the fluid flow and entropy equations. The models are solved by a numerical scheme programmed in the MATLAB environment with an appropriate algorithm. For validation purposes, a commercial simulator, Computer Modeling Group (CMG), is used to verify the predicted results. A new production performance criterion called the Coefficient Of Performance (COP) is introduced. The COP integrates the recovery factor with entropy generation and provides a quantitative measure to optimize reservoir production. The models are used to conduct a parametric sensitivity analysis that includes the effects of fluid and rock parameters, such as permeability, porosity, viscosity, skin factor, Bottom Hole Pressure (BHP), wettability, and temperature on the total entropy production. The COP is used to optimize the operating conditions of the reservoir, such as the production rates and BHP. It is found that permeability and BHP have the most impact on the total entropy production for single-phase models. Concurrently, temperature and wettability are essential factors for two-phase flow models. This thesis enhances the understanding of reservoir energy analysis and provides more accurate models for calculating the optimum production rate of a given reservoir. In particular, the results presented in this thesis will impact production history calculations and reservoir simulation results. Furthermore, this research provides practitioners and engineers in the petroleum industry with a useful alternative approach for maximizing recovery efficiency by minimizing entropy generation. ",""
"Diagnosis of the state of the reservoir system based on the entropy approach","https://scispace.com/paper/diagnosis-of-the-state-of-the-reservoir-system-based-on-the-3qh04vyg","2022","Journal Article","Elmi əsərlər","Dinara F. Guseynova","10.5510/ogp20220200667","","Investigation of the energy balance of the oil fields development process by thermodynamic methods shows that the production of reservoir fluids leads to irreversible energy losses, and the use of optimal operating conditions minimizes these losses. Studies were conducted to determine the degree of order of the reservoir system, based on an analysis of the positive and negative signs of production values and changes in the entropy increment, an estimation was made of the self-organization of dynamic open systems far from the equilibrium state. Based on the concept of entropy production, an analysis was made of the main technological data of the oilfield development, which allowed us to determine the boundaries of the transient processes of the reservoir system and evaluate the estimated recoverable oil volumes. The proposed approach, taking into account the reservoir system transient processes using dynamic analysis and the concept of entropy production, allows to obtain reliable predicted values of the recoverable volumes of hydrocarbons and make reasoned decisions on choosing a strategy for oil and gas fields development. Keywords: oil field; development; entropy production; echnological development indicators.","In this article , the authors investigated the energy balance of the oil fields development process by thermodynamic methods and showed that the production of reservoir fluids leads to irreversible energy losses, and the use of optimal operating conditions minimizes these losses."
"Irreversible Thermodynamics Applied to Reservoir Engineering","https://scispace.com/paper/irreversible-thermodynamics-applied-to-reservoir-engineering-5xsgcqfzab","2017","Book Chapter","","Rogério Oliveira Espósito
Pedro Henrique Rodrigues Alijó
José Antonio Scilipoti
Frederico W. Tavares","10.1016/B978-0-12-812452-9.00004-6","","This chapter describes the microscopic equations of fluid transport, which support irreversible thermodynamics. Different contributions for internal entropy generation, such as heat conduction, molecular diffusion, and viscous dissipation are derived. Soret and Duffour effects are discussed and the methods for calculation of thermal diffusion parameters for compositional grading proposed by two main investigation groups in the literature will also be presented. The systems of equations proposed independently by these two groups to eliminate the diffusive fluxes at steady state are compared to those obtained by the constant-temperature hypothesis along reservoir depth. The latter characterizes the gravity-modified thermodynamic equilibrium state. Finally, the equations governing fluid moving by natural convection in 2D systems with lateral temperature gradients are also derived, including a numerical solution sketched specifically for 2D domains.","In this paper, the microscopic equations of fluid transport, which support irreversible thermodynamics, are described and different contributions for internal entropy generation, such as heat conduction, molecular diffusion, and viscous dissipation are derived."
"Irreversibility and entropy production in transport phenomena I","https://scispace.com/paper/irreversibility-and-entropy-production-in-transport-1472pa3zch","2011","Journal Article","Physica A-statistical Mechanics and Its Applications","Masuo Suzuki","10.1016/J.PHYSA.2011.01.008","https://scispace.com/pdf/irreversibility-and-entropy-production-in-transport-1472pa3zch.pdf","The linear response framework was established a half-century ago, but no persuasive direct derivation of entropy production has been given in this scheme. This long-term puzzle has now been solved in the present paper. The irreversible part of the entropy production in the present theory is given by (dS/dt)irr=(dU/dt)/T with the internal energy U(t)U(t) of the relevant system. Here, U(t)=〈H0〉t=TrH0ρ(t) for the Hamiltonian H0H0 in the absence of an external force and for the density matrix ρ(t)ρ(t). As is well known, we have (dS/dt)irr=0 if we use the linear-order density matrix ρlr(t)=ρ0+ρ1(t)ρlr(t)=ρ0+ρ1(t). Surprisingly, the correct entropy production is given by the second-order symmetric term ρ2(t)ρ2(t) as (dS/dt)irr=(1/T)TrH0ρ2′(t). This is shown to agree with the ordinary expression J⋅E/T=σE2/T in the case of electric conduction for a static electric field E, using the relations TrH0ρ2′(t)=−TrH1(t)ρ1(t)=TrA⋅Eρ1(t)=J⋅E (Joule heat), which are derived from the second-order von Neumann equation iħdρ2(t)/dt=[H0,ρ2(t)]+[H1(t),ρ1(t)]. Here H1(t)H1(t) denotes the partial Hamiltonian due to the external force such as H1(t)=−e∑jri⋅E≡−A⋅E in electric conduction. Thus, the linear response scheme is not closed within the first order of an external force, in order to manifest the irreversibility of transport phenomena. New schemes of steady states are also presented by introducing relaxation-type (symmetry-separated) von Neumann equations. The concept of stationary temperature TstTst is introduced, which is a function of the relaxation time τrτr characterizing the rate of extracting heat outside from the system. The entropy production in this steady state depends on the relaxation time. A dynamical-derivative representation method to reveal the irreversibility of steady states is also proposed. The present derivation of entropy production is directly based on the first principles of using the projected density matrix ρ2(t)ρ2(t) or more generally symmetric density matrix ρsym(t)ρsym(t), while the previous standard argument is due to the thermodynamic energy balance. This new derivation clarifies conceptually the physics of irreversibility in transport phenomena, using the symmetry of non-equilibrium states, and this manifests the duality of current and entropy production.","In this paper, a direct derivation of the irreversible part of the entropy in the linear response framework was given by (dS/dt)irr=(dU/dt)/T with the internal energy U(t)U(t), for the Hamiltonian H0H0 in the absence of an external force."
"A thermodynamic entropy-based damage assessment with applications to prognostics and health management:","https://scispace.com/paper/a-thermodynamic-entropy-based-damage-assessment-with-t7ce2n5p0w","2018","Journal Article","Structural Health Monitoring-an International Journal","Anahita Imanian
Mohammad Modarres","10.1177/1475921716689561","https://journals.sagepub.com/doi/pdf/10.1177/1475921716689561","To advance the traditional structural integrity and life estimation approach, this article presents an explanation of damage and develops an alternative approach to damage assessment based on the fundamental laws of thermodynamics. This explanation provides a new way to perform prognostics and health management in terms of the irreversible thermodynamic framework. Specifically, it is proposed and demonstrated that entropy generated due to material degradation can be used as an index of damage. It is claimed that the use of an entropy-based damage index offers a unified and more comprehensive measure of damage. This is because energy dissipation associated with failure mechanisms that lead to material degradation involves irreversible processes, resulting in entropy generation, which is physically measurable as the materials degrade. We therefore conclude that entropy generation can be used to assess the degree of damage, the amount of the life of materials expended, and the extent of the life remaining. A...","It is proposed and demonstrated that entropy generated due to material degradation can be used as an index of damage and claimed that the use of an entropy-based damage index offers a unified and more comprehensive measure of damage."
"Ley de la entropía, factor inevitable en la crisis energética","https://scispace.com/paper/ley-de-la-entropia-factor-inevitable-en-la-crisis-energetica-qlfygqio53hp","2025","Repository","","","10.5281/zenodo.15826076","","La humanidad ha orientado su desarrollo al dominio y aprovechamiento de la energía mediante avances tecnológicos, pero esta visión ha descuidado un límite físico fundamental: la segunda ley de la termodinámica o ley de la entropía, la cual establece que toda conversión de energía implica una pérdida inevitable de energía útil, impidiendo así una eficiencia total. Este ensayo examina cómo la entropía representa un obstáculo estructural y natural para lograr un desarrollo energético verdaderamente sostenible. A través del análisis de fuentes científicas, estudios de caso y reflexiones filosóficas, se exploran las restricciones físicas presentes en diversos sistemas energéticos, desde plantas termoeléctricas hasta fuentes renovables y tecnologías digitales, considerando también la energía gris y su huella oculta. Asimismo, se discute el papel de la entropía en el cambio climático y en los sistemas abiertos y autoorganizados, como los propuestos por Prigogine. Se concluye que la actual crisis energética no puede abordarse exclusivamente con soluciones técnicas o económicas, ya que la entropía impone un límite físico, ambiental y temporal. Por tanto, se requiere una transformación profunda en nuestros modelos de consumo, crecimiento y bienestar, que incluya un cambio cultural, ético y sistémico, reconociendo los límites naturales del sistema energético global. ",""
"Ley de la entropía, factor inevitable en la crisis energética","https://scispace.com/paper/ley-de-la-entropia-factor-inevitable-en-la-crisis-energetica-81j3ut647mqn","2025","Repository","","","10.5281/zenodo.15826077","","La humanidad ha orientado su desarrollo al dominio y aprovechamiento de la energía mediante avances tecnológicos, pero esta visión ha descuidado un límite físico fundamental: la segunda ley de la termodinámica o ley de la entropía, la cual establece que toda conversión de energía implica una pérdida inevitable de energía útil, impidiendo así una eficiencia total. Este ensayo examina cómo la entropía representa un obstáculo estructural y natural para lograr un desarrollo energético verdaderamente sostenible. A través del análisis de fuentes científicas, estudios de caso y reflexiones filosóficas, se exploran las restricciones físicas presentes en diversos sistemas energéticos, desde plantas termoeléctricas hasta fuentes renovables y tecnologías digitales, considerando también la energía gris y su huella oculta. Asimismo, se discute el papel de la entropía en el cambio climático y en los sistemas abiertos y autoorganizados, como los propuestos por Prigogine. Se concluye que la actual crisis energética no puede abordarse exclusivamente con soluciones técnicas o económicas, ya que la entropía impone un límite físico, ambiental y temporal. Por tanto, se requiere una transformación profunda en nuestros modelos de consumo, crecimiento y bienestar, que incluya un cambio cultural, ético y sistémico, reconociendo los límites naturales del sistema energético global. ",""
"Entropy generation analysis as a design tool - A review","https://scispace.com/paper/entropy-generation-analysis-as-a-design-tool-a-review-xs94cdrpla","2015","Journal Article","Renewable & Sustainable Energy Reviews","Adriano Sciacovelli
Vittorio Verda
Enrico Sciubba","10.1016/J.RSER.2014.11.104","","There is an acknowledged growing need for efficient and sustainable systems that use available energy resources in an “optimal” (including constraints) way. Such a goal cannot be effectively achieved without taking into account the limits posed by the second law of thermodynamics. A possible approach consists in the so-called entropy generation analysis, which possesses key features making it more attractive than traditional energy balance approaches. In fact, entropy generation analysis allows for a direct identification of the causes of inefficiency and opens up the possibility for designers to conceive globally more effective systems. Furthermore, thanks to its direct derivation from basic thermodynamic principles, entropy generation analysis can be in principle used for any type of energy conversion system. These attractive features have made entropy generation analysis a popular thermodynamic method for the design and the optimization of less unsustainable systems. This paper presents a critical review of contributions to the theory and application of entropy generation analysis to different types of engineering systems. The focus of the work is only on contributions oriented toward the use of entropy generation analysis as a tool for the design and optimization of engineering systems. A detailed derivation of the existing entropy generation formulations is first presented, and the two more popular approaches are discussed: the entropy generation minimization (EGM) and the entropy generation analysis (EGA). The relevant literature is further classified in two categories, depending on whether the level of the analysis is global or local. This review will further clarify the use of entropy generation-based design methods, indicate the areas for future work, and provide the necessary information for further research in the development of efficient engineering systems.","Thanks to its direct derivation from basic thermodynamic principles, entropy generation analysis can be in principle used for any type of energy conversion system and possesses key features making it more attractive than traditional energy balance approaches."
