"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Eyring's Rate Theory and Its Connection to Entropy Scaling: Viscosity and Self-Diffusion of Hydrocarbons, Alcohols, and Water","https://scispace.com/paper/eyring-s-rate-theory-and-its-connection-to-entropy-scaling-qa5macipeiee","2025","Journal Article","","Maximilian Fleck","10.26434/chemrxiv-2025-nbhbq","","Eyring's absolute rate theory relates fluid flow with the activation energy necessary for a molecule to go from one equilibrium position to another. Developed nearly a century ago, it remains a powerful approach for understanding transport processes in liquids. This work presents a revision of Eyring's theory by replacing the vaporization-based parts of the theory with a residual approach that conceptualizes transport as local (re)movement of molecules within the system rather than removal from it. In this new approach, the energy barrier corresponds to the difference between a molecule with and without intermolecular interactions, effectively treating it as the residual property related to an ideal gas reference state. Furthermore, we explore the physical connections between Eyring's absolute rate theory and Rosenfeld excess entropy scaling, revealing that both approaches describe complementary aspects of the same transport phenomena. It is tempting to link both theories. The activation parameters in Eyring's theory, particularly the energy of activation, are shown to relate to the residual entropy used in entropy scaling. This provides a pathway to establish entropy scaling on a more rigorous physical foundation while offering deeper insights into the molecular mechanisms governing viscous flow. In comparison to experimental data, the revised theory demonstrated significant predictive power for viscosity across a wide range of thermodynamic conditions and species, including associating liquids. Moreover, parameters are transferable to other properties, such as self-diffusion. ",""
"Cálculo de viscosidade de líquidos com a ede cubic-plus-association incorporada ao modelo eyring","https://scispace.com/paper/calculo-de-viscosidade-de-liquidos-com-a-ede-cubic-plus-9nfh58eixc","2015","Proceedings Article","","I. Q. Matos
J. P. L. Santos
G. F. Silva","10.5151/CHEMENG-COBEQ2014-0637-24641-139268","https://scispace.com/pdf/calculo-de-viscosidade-de-liquidos-com-a-ede-cubic-plus-9nfh58eixc.pdf","RESUMO – A viscosidade e uma propriedade de transporte fundamental para o desenvolvimento de processos nas industrias petroquimica, petrolifera, quimica e de outras industrias que envolvem o transporte de fluidos. Calculos de viscosidade sao baseados no principio dos estados correspondentes ou na teoria de Eyring. Assim, o objetivo do presente trabalho e incorporar a equacao de estado Cubic-Plusassociation (EdE CPA) na teoria de Eyring para correlacionar e predizer a viscosidade dos componentes puros que formam ligacoes de hidrogenio metanol, etanol e 2-propanol e das misturas metanol+etanol, metanol+2-propanol e etanol+ 2propanol. A EdE CPA forneceu resultados satisfatorios tanto para componentes puros quanto para misturas binarios.","In this paper, a equacao de estado Cubic-Plus Association (EdE CPA) was incorporated into the teoria de Eyring for correlacionar and predizer a viscosidade dos componentes puros that formam ligacoes de hidrogenio metanol, etanol, 2-propanol, metanol+etanol, etc."
"Eyring-Theory-Based Model To Estimate Crude Oil Viscosity at Reservoir Conditions†","https://scispace.com/paper/eyring-theory-based-model-to-estimate-crude-oil-viscosity-at-3oh5oiu9g5","2009","Journal Article","Energy & Fuels","Ricardo Macías-Salinas
C. Duran-Valencia
Simón López-Ramírez
Christian Bouchot","10.1021/EF8003015","","The well-known absolute reaction rate theory of Eyring was successfully extended to the accurate estimation of crude oil viscosities over a wide pressure range: from dead to live oil conditions. Two simple cubic equations of state (Soave or Peng−Robinson) were incorporated into the viscosity model to calculate all of the thermodynamic properties required within the Eyring’s modeling framework. Satisfactory density and viscosity representations of various crude oils (with low-to-moderate molar masses) were achieved by using two tuning parameters valid over a wide pressure range.","In this article, the absolute reaction rate theory of Eyring was successfully extended to the accurate estimation of crude oil viscosities over a wide pressure range: from dead to live oil conditions."
"Modelación de la viscosidad dinámica de fluidos newtonianos a partir de la teoría de Eyring y la energía libre de Helmholtz residual","https://scispace.com/paper/modelacion-de-la-viscosidad-dinamica-de-fluidos-newtonianos-xg877oq0","2022","Journal Article","Revista EIA","Luis Fernando Cardona Palacio","10.24050/reia.v19i38.1535","","En este trabajo se modela la viscosidad dinámica de fluidos newtonianos a partir de la teoría de Eyring junto con la energía libre de Helmholtz residual. Para la estimación de esta energía se utiliza una versión modificada de la ecuación cúbica de estado de Peng-Robinson. Los parámetros ajustables del modelo se han determinado a partir de datos experimentales en la zona coexistencia líquido-vapor para n-alcanos y n-alcoholes. Posteriormente estos parámetros se han generalizado utilizando expresiones matemáticas simples que dependen del peso molecular de cada sustancia. Se evalúan las capacidades predictivas del modelo en condiciones de una sola fase. Las desviaciones absolutas durante el proceso de correlación son menores de 3,27%, mientras que en el proceso de predicción son menores de 5,60%. El modelo generalizado es extendido a mezclas binarias utilizando una regla de mezcla simple sin y con coeficientes de interacción, con desviaciones absolutas de 8,19% y 3,45%, respectivamente. Finalmente, el modelo es comparado con otros en la literatura y los resultados estadísticos muestran que proporciona resultados aceptables.","In this article , the viscosidad dinámica de fluidos newtonianos a partir de la teoría de Eyring junto with the energía libre de Helmholtz residual was modeled."
"Modified Eyring viscosity equation and calculation of activation energy based on the liquid quasi-lattice model","https://scispace.com/paper/modified-eyring-viscosity-equation-and-calculation-of-w1ae9h7lon","2010","Journal Article","Science China-physics Mechanics & Astronomy","GuangZe Han
ZengKe Fang
MingDong Chen","10.1007/S11433-010-4096-9","","Viscosity is an important physical parameter of fluid, and the Eyring viscosity equation is a popular viscosity theory. Based on the Eyring reaction rate equation and Boltzmann statistical theory, and including the probabilities of creating a hole in liquid and the transition to the neighboring hole, a modified Eyring viscosity equation was proposed. According to the structural characteristics of short-range order, liquid is treated as a quasi-lattice structure in a small region. The activation energy, which is the minimum energy needed for the molecule to jump to its neighboring hole because of the restriction of other molecules around it, was analytically calculated from an intermolecular Lennard-Jones potential function and a Stockmayer potential function. The viscosity values of 37 kinds of typical liquids at 25°C and the dependence of viscosity of three kinds of liquids on temperatures were calculated with this modified viscosity equation, and the calculated results agree with the experimental values to some extent. This work not only enriches the understanding of the mechanism of liquid viscosity, but also could provide some theoretical guides for the relevant studies and applications.","Based on the Eyring reaction rate equation and Boltzmann statistical theory, and including the probabilities of creating a hole in liquid and the transition to the neighboring hole, a modified Eyring viscosity equation was proposed in this paper."
"Cálculo de viscosidade de Líquidos com a EdE Cubic-Plus-Association incorporada ao modelo Eyring","https://scispace.com/paper/calculo-de-viscosidade-de-liquidos-com-a-ede-cubic-plus-3iwxzalx09","2014","","","Jose da Paixao Lopes dos Santos
Isabela Quintela Matos
Gabriel Francisco da Silva","","","RESUMO – A viscosidade e uma propriedade de transporte fundamental para o desenvolvimento de processos nas industrias petroquimica, petrolifera, quimica e de outras industrias que envolvem o transporte de fluidos. Calculos de viscosidade sao baseados no principio dos estados correspondentes ou na teoria de Eyring. Assim, o objetivo do presente trabalho e incorporar a equacao de estado Cubic-Plusassociation (EdE CPA) na teoria de Eyring para correlacionar e predizer a viscosidade dos componentes puros que formam ligacoes de hidrogenio metanol, etanol e 2-propanol e das misturas metanol+etanol, metanol+2-propanol e etanol+ 2propanol. A EdE CPA forneceu resultados satisfatorios tanto para componentes puros quanto para misturas binarios.","In this article, a equacao de estado Cubic-Plus Association (EdE CPA) was incorporated into the teoria de Eyring for correlacionar and predizer a viscosidade dos componentes puros that formam ligacoes de hidrogenio metanol, etanol, 2-propanol, metanol+etanol, etc."
"Relationship between the Macroscopic and Quantum Characteristics of Dynamic Viscosity for Hydrocarbons upon the Compensation Effect","https://scispace.com/paper/relationship-between-the-macroscopic-and-quantum-44yk17lxkk","2018","Journal Article","Russian Journal of Physical Chemistry A","M. Yu. Dolomatov
M. Yu. Dolomatov
Ella A. Kovaleva
D. A. Khamidullina","10.1134/S0036024418050084","","An approach that allows the calculation of dynamic viscosity for liquid hydrocarbons from quantum (ionization energies) and molecular (Wiener topological indices) parameters is proposed. A physical relationship is revealed between ionization and the energies of viscous flow activation. This relationship is due to the contribution from the dispersion component of Van der Waals forces to intermolecular interaction. A two-parameter dependence of the energy of viscous flow activation, energy of ionization, and Wiener topological indices is obtained. The dynamic viscosities of liquid hydrocarbons can be calculated from the kinetic compensation effect of dynamic viscosity, which indicates a relationship between the energy of activation and the Arrhenius pre-exponental factor of the Frenkel–Eyring hole model. Calculation results are confirmed through statistical processing of the experimental data.","In this paper, an approach that allows the calculation of dynamic viscosity for liquid hydrocarbons from quantum (ionization energies) and molecular (Wiener topological indices) parameters is proposed."
"Theory of the Viscosity of Liquids as a Function of Temperature and Pressure","https://scispace.com/paper/theory-of-the-viscosity-of-liquids-as-a-function-of-1bmnwpdb1n","1937","Journal Article","Journal of Chemical Physics","Raymond H. Ewell
Henry Eyring","10.1063/1.1750108","","An equation for the viscosity of a liquid in terms of the energy of vaporization and the molal volume is developed from the reaction rate theory of viscosity due to Eyring. The degree of freedom corresponding to flow is assumed to be a translational one, and the energy of activation for the elementary flow process is assumed to be some fraction, 1/n, of the energy of vaporization. On applying this equation to a large number of normal liquids it is found that molecules possessing spherical symmetry have n = 3, while nonspherical molecules have n greater than 3, usually about 4. It is shown that the ratio ΔEvap/ΔEvis,  where  ΔEvis=R(d ln η)/(d(1/T)), can be taken as an index of the size and shape of the molecule, or more precisely, of the unit of flow in the liquid. The activation energy for flow in liquid metals is a very small fraction of the energy of vaporization, ranging from 1/10 to 1/25, leading to the conclusion that the metal ions flow without their valence electrons. Viscosity data confirm the S8...","In this article, an equation for the viscosity of a liquid in terms of the energy of vaporization and the molal volume is developed from the reaction rate theory of viscosity due to Eyring."
"Thermodynamic activation functions of viscous flow of non-polar liquids","https://scispace.com/paper/thermodynamic-activation-functions-of-viscous-flow-of-non-4lmz6358z7","1986","Journal Article","Rheologica Acta","J. Kotas
M. Valešová","10.1007/BF01357960","","The thermodynamic activation function of viscous flow may be determined from the expression for the pre-exponential factor in the Eyring relationship (the viscosity coefficient), which is a function of density and relative permittivity, together with the thermal dependence of the viscosity coefficient. This method of determination is demonstrated for a series of n-alkanes C6–C20.","The thermodynamic activation function of viscous flow may be determined from the expression for the preexponential factor in the Eyring relationship (the viscosity coefficient), which is a function of density and relative permittivity as mentioned in this paper."
"Incremental viscosity by non-equilibrium molecular dynamics and the Eyring model.","https://scispace.com/paper/incremental-viscosity-by-non-equilibrium-molecular-dynamics-2um952okzw","2018","Journal Article","Journal of Chemical Physics","David M. Heyes
Daniele Dini
Edward Smith","10.1063/1.5027681","https://scispace.com/pdf/incremental-viscosity-by-non-equilibrium-molecular-dynamics-2um952okzw.pdf","The viscoelastic behavior of sheared fluids is calculated by Non-Equilibrium Molecular Dynamics (NEMD) simulation, and complementary analytic solutions of a time-dependent extension of Eyring’s model (EM) for shear thinning are derived. It is argued that an “incremental viscosity,” ηi, or IV which is the derivative of the steady state stress with respect to the shear rate is a better measure of the physical state of the system than the conventional definition of the shear rate dependent viscosity (i.e., the shear stress divided by the strain rate). The stress relaxation function, Ci(t), associated with ηi is consistent with Boltzmann’s superposition principle and is computed by NEMD and the EM. The IV of the Eyring model is shown to be a special case of the Carreau formula for shear thinning. An analytic solution for the transient time correlation function for the EM is derived. An extension of the EM to allow for significant local shear stress fluctuations on a molecular level, represented by a gaussian distribution, is shown to have the same analytic form as the original EM but with the EM stress replaced by its time and spatial average. Even at high shear rates and on small scales, the probability distribution function is almost gaussian (apart from in the wings) with the peak shifted by the shear. The Eyring formula approximately satisfies the Fluctuation Theorem, which may in part explain its success in representing the shear thinning curves of a wide range of different types of chemical systems.","The Eyring formula approximately satisfies the Fluctuation Theorem, which may in part explain its success in representing the shear thinning curves of a wide range of different types of chemical systems."
"Viscous behavior of linear and three-branch alkanes: Linking the equilibrium and transport theories","https://scispace.com/paper/viscous-behavior-of-linear-and-three-branch-alkanes-linking-3fsujyykn5ug","2022","Journal Article","","","10.1002/(sici)1099-0488(19990501)37:9&lt;879","","A new model for zero-shear viscosity, eta, is proposed. The model combines the Simha-Somcynsky (SS) statistical thermodynamic theory of liquids with the Eyring Significant Structure (ESS) transport theory. Using the new model, a successful linearization of the experimental viscosity vs, hole fraction data was obtained. A comparison between the new model and Utracki's relation, 1n eta = a(0) + a(1)/(h + a(2)) was also made. The former was found to be more successful for both linear and nonlinear structures, provided that an appropriate choice of the degrees of freedom of normal and activated states was made. The proportionality constant of the activation energy and transmission coefficient were also calculated for each species. (C) 1999 John Wiley &amp; Sons, Inc. ",""
"Détermination des variations de la viscosité de divers hydrocarbures en fonction de la pression et de la température. Etude critique de modles représentatifs.","https://scispace.com/paper/determination-des-variations-de-la-viscosite-de-divers-21tv9kpxq7","1991","Dissertation","","Aziz Ettahir","","","L'objectif de ce travail est de contribuer a mieux connaitre la viscosite des hydrocarbures et de leurs melanges dans de larges conditions de pression et de temperature. Nous avons d'abord choisi un ensemble de molecules modeles lourdes dotees de structures ramifiees ou polycycliques. Des determinations experimentales (t entre 25c et 90c et p inferieur a 1000 bars) de la viscosite et de la masse volumique relatives aux corps purs et a certains binaires (toluene et molecule modele) ont ete ainsi effectuees. Nous avons aussi realise une banque de donnees experimentales (environ 15500 points) relative a la viscosite et a la masse volumique, pour les hydrocarbures et leurs melanges. Nous avons compare et critique divers modeles et propose des ameliorations. Nous avons considere plus particulierement deux procedures frequemment utilisees en industrie petroliere. La premiere concerne une correlation basee sur la viscosite residuelle et la seconde concerne l'application du principe des etats correspondants avec double reference. Une methode mise au point au laboratoire (auto-reference) a ete aussi examinee et s'est revelee aussi performante que les deux premieres mais plus simple d'emploi.","In this article, an ensemble of molecules modeles lourdes dotees de structures ramifiees ou polycycliques was used to compare and critique divers modeles and propose des ameliorations."
"On the Role of Viscosity in the Eyring Equation","https://scispace.com/paper/on-the-role-of-viscosity-in-the-eyring-equation-1nujdn2nvd","2016","Journal Article","ChemPhysChem","Jos C. M. Kistemaker
Anouk S. Lubbe
Erik A. Bloemsma
Ben L. Feringa","10.1002/CPHC.201501177","","Transition-state theory allows for the characterization of kinetic processes in terms of enthalpy and entropy of activation by using the Eyring equation. However, for reactions in solution, it fails to take the change of viscosity of solvents with temperature into account. A second-generation unidirectional rotary molecular motor was used as a probe to study the effects of temperature-dependent viscosity changes upon unimolecular thermal isomerization processes. By combining the free-volume model with transition-state theory, a modified version of the Eyring equation was derived, in which the rate is expressed in terms of both temperature and viscosity.","By combining the free-volume model with transition-state theory, a modified version of the Eyring equation was derived, in which the rate is expressed in terms of both temperature and viscosity."
"Modified Eyring viscosity equation and calculation of activation energy based on the liquid quasi-lattice model","https://scispace.com/paper/modified-eyring-viscosity-equation-and-calculation-of-wqoe4l6rc5","2010","","","Han Guang","","","Viscosity is an important physical parameter of fluid,and the Eyring viscosity equation is a popular viscosity theoryBased on the Eyring reaction rate equation and Boltzmann statistical theory,and including the probabilities of creating a hole in liquid and the transition to the neighboring hole,a modified Eyring viscosity equation was proposedAccording to the structural characteristics of short-range order,liquid is treated as a quasi-lattice structure in a small regionThe activation energy,which is the minimum energy needed for the molecule to jump to its neighboring hole because of the restriction of other molecules around it,was analytically calculated from an intermolecular Lennard-Jones potential function and a Stockmayer potential functionThe viscosity values of 37 kinds of typical liquids at 25°C and the dependence of viscosity of three kinds of liquids on temperatures were calculated with this modified viscosity equation,and the calculated results agree with the experimental values to some extentThis work not only enriches the understanding of the mechanism of liquid viscosity,but also could provide some theoretical guides for the relevant studies and applications","Based on the Eyring reaction rate equation and Boltzmann statistical theory, and including the probabilities of creating a hole in liquid and the transition to the neighboring hole, a modified Eyring viscosity equation was proposed as discussed by the authors."
"Evaluation of the activation energy of viscous flow for a binary mixture in order to estimate the thermodiffusion coefficient","https://scispace.com/paper/evaluation-of-the-activation-energy-of-viscous-flow-for-a-1gt21qny1u","2011","Journal Article","Journal of Non-Equilibrium Thermodynamics","Alireza Abbasi
M. Ziad Saghir
Masahiro Kawaji","10.1515/JNETDY.2011.003","","The evaluation of the activation energy in Eyring’s viscosity theory is of great importance in estimating the thermodiffusion coefficient for associating and non-associating fluid mixtures. Several methods were used to estimate the activation energies of pure components and then extended to mixtures of linear hydrocarbon chains. Results show that the recent model of Abbasi et al. [1] gives a good outcome in determining the activation energy of the components of a binary mixture. The activation energy model for pure components is shown to be useful for obtaining the activation energy of the mixture. In this paper, the activation energy model using alternative forms of Eyring’s viscosity theory is used to estimate the thermodiffusion coefficient values for hydrocarbon binary mixtures. Comparisons of predicted thermodiffusion coefficients using different theoretical models with the experimental data show good capability of the activation energy model.","In this paper, the activation energy model using alternative forms of Eyring's viscosity theory is used to estimate the thermodiffusion coefficient values for hydrocarbon binary mixtures."
"Eyring黏度公式的几率修正及基于液体准晶模型分子活化能的计算","https://scispace.com/paper/eyringnian-du-gong-shi-de-ji-lu-xiu-zheng-ji-ji-yu-ye-ti-oa9fej0c4thi","","","","光泽 韩
明东 陈
增科 房","10.1360/2010-40-9-1092","","黏度是流体的重要物性参数,Eyring黏度公式是目前较为流行的黏度理论.利用Eyring反应速率方程,基于玻尔兹曼统计,考虑到液体中产生空位的几率和分子向邻近空位跃迁的几率,对Eyring黏度公式进行了几率修正.根据液体分子排列的短程有序结构,将液体视作具有简单立方系的准晶结构,利用分子之间的Lennard-Jones(L-J)势能模型和偶极分子间的Stockmayer势能函数,计算了液体分子向空位跃迁过程中必须克服周围其他分子束缚作用所需要的活化能.利用修正后的黏度公式计算了典型的37种常见液体在25℃时的黏度值以及三种液体的黏度值随温度的变化,计算结果与实验值基本相符.本工作丰富了对液体黏度产生机理的认识,对相关的研究和应用可能具有一定的理论指导意义.","This study revises the Eyring viscosity formula by incorporating probability corrections and calculates the activation energy for molecular hopping in liquids using a quasi-crystalline model, showing good agreement with experimental data for various liquids."
"Bestimmung der Aktivierungsenergie von Fluiden mit Hilfe der Viskositätsmessung","https://scispace.com/paper/bestimmung-der-aktivierungsenergie-von-fluiden-mit-hilfe-der-5dsd9x1ih7","2016","","","Mario Müller","","","Increasing the efficiency of modern drive technology can be carried out by minimizing the mechanical losses at the tribological contacts. The reliable function depends essentially on the thermophysical properties of the lubricant used. At the same time, higher power density ever higher demands are placed on the operational reliability of the drive train in case of malfunctions or other unforeseen operating situations. This also requires a continuous expansion of calculation and simulation methods. As the development trend leads to higher performance and power densities, the detailed account of thermophysical models of lubricants for reliable prediction of the operating performance of tribological contacts is essential. Eyring has placed with his kinetic theory the foundation for describing the viscosity by exchange processes. After Eyring the flow of a fluid based on the fact that particles can jump into an existing hole from the environment. Assuming that the internal friction is determined by the interaction between the molecules, existing interaction forces must be canceled and reformed. The energy required for this corresponds to the activation energy.","In this article, the authors present a detailed account of thermophysical models of lubricants for reliable prediction of the operating performance of tribological contacts, which is essential for the development trend of higher performance and power densities."
"Linking the viscous and vacancy behavior of high molecular weight hydrocarbons","https://scispace.com/paper/linking-the-viscous-and-vacancy-behavior-of-high-molecular-1plj5en1m6","2004","Journal Article","Rheologica Acta","Ugur Yahsi
Fatma Şahin","10.1007/S00397-003-0330-Y","","A new theoretical model that was recently purposed for zero-shear viscosity has now been extended to the three-branch alkanes with pentyl, hexyl, or phenyl attachments. The model links the equilibrium theory of Simha-Somcynsky (SS) statistical thermodynamics of liquids and the transport theory of Eyring Significant Structure (ESS). The predicted quantity of hole fraction as a measure of the free volume, computed from the SS equation of state, plays a primary role in the theory to combine the both theories. The experimental PVTη data from 310 to 408 K temperature and 0.1 to 344.5 MPa pressure range have been used. The proportionality constants of the activation energy and the transmission coefficient have been calculated for each species separately and they are in expected trend with the substituted ring structure. Satisfactory agreement in prediction of viscosity from the hole fraction has been obtained.","In this paper, a new theoretical model that was recently purposed for zero-shear viscosity has now been extended to the three-branch alkanes with pentyl, hexyl, or phenyl attachments."
"Viscosity of ternary liquid systems and the significant structure theory","https://scispace.com/paper/viscosity-of-ternary-liquid-systems-and-the-significant-240rt6vlsk","1994","","","J.D. Pandey
Abha Shukla
Shikha
Neelima Tripathi","","https://scispace.com/pdf/viscosity-of-ternary-liquid-systems-and-the-significant-240rt6vlsk.pdf","Significant structure theory (SST), developed by Eyring and coworkers, has been applied for the first time to evaluate the viscosity of carbon tetrachloride + cyclohexane +benzene ternary liquid mixture. The theoretical viscosity values obtained for this system are in agreement with those obtained from significant structure theory. Thus, it has been demonstrated that SST can be applied to multicomponent liquid systems.","Significant structure theory (SST) has been applied for the first time to evaluate the viscosity of carbon tetrachloride + cyclohexane +benzene ternary liquid mixture."
"Eyring Functions of Activation for the Viscous Flow of Some Higher Alcohols in Cyclohexane Solutions","https://scispace.com/paper/eyring-functions-of-activation-for-the-viscous-flow-of-some-413cso258r","1998","Journal Article","Monatshefte Fur Chemie","Helena Abramovič
Cveto Klofutar","10.1007/PL00013489","","The viscosities of solutions of 1-octanol, 1-nonanol, and 1-decanol in cyclohexane up to concentrations of 1.56 molċkg−1 were determined in the temperature range from 293.15 to 333.15 K. Applying Eyring’s transition state theory, the Eyring functions of activation for the viscous flow of binary mixtures, i.e. the molar Gibbs free energy, entropy, and enthalpy were estimated. The correlation coefficients β
 Y
 (Y=G, H, or S) were derived and used to discuss the initial effect of the solute on the activation parameters for the viscous flow. From the partial molar thermodynamic functions of activation and the partial molar volumetric data of solute and solvent at infinite dilution, the viscosity coefficient B was determined. For the interpretation of the experimental data, the Unified Interaction Parameter Formalism was used.","In this paper, the viscosities of solutions of 1-octanol, 1-nonanol, and 1-decanol in cyclohexane up to concentrations of 1.56 kg−1 were determined in the temperature range from 293.15 to 333.15"
"Activation Energy of the Eyring Theory of Liquid Viscosity and Diffusion","https://scispace.com/paper/activation-energy-of-the-eyring-theory-of-liquid-viscosity-3ec6q9j2lq","1957","Journal Article","Journal of Chemical Physics","F. C. Collins","10.1063/1.1743306","","The determination of the activation energy of the Eyring viscosity and diffusion theory from the isobaric temperature coefficient of the transport property is shown to be inconsistent with the assumed mechanism of the process. An alternative form of the Eyring theory makes use of an activation energy determined from the constant volume temperature coefficient of the transport property. Here the calculated viscosities and their isobaric temperature coefficients turn out to be in moderately satisfactory agreement with experiment in the case of several simple liquids.","In this paper, the activation energy of the Eyring viscosity and diffusion theory from the isobaric temperature coefficient of the transport property is shown to be inconsistent with the assumed mechanism of the process."
"On the Mechanism of Viscosity of Liquids","https://scispace.com/paper/on-the-mechanism-of-viscosity-of-liquids-2h3awfkbxn","1949","Journal Article","Journal of Chemical Physics","M. S. Telang","10.1063/1.1747315","","A new viscosity‐temperature relationship for liquids has been derived, and its application has been studied. The derivation is based upon the theory of viscosity by Eyring et al., rectifying the ``activation energy'' term. The ``activation energy'' term has been shown to be equivalent to the free energy of formation of a surface and the error committed by previous workers regarding the evaluation of ``activation energy'' has been discussed. The proposed equation is free from any arbitrary or empirical terms, and since, in particular, it does not involve any quantities derived from viscosity measurements, it makes a direct calculation of viscosity possible.","In this paper, a new viscosity-temperature relationship for liquids has been derived, and its application has been studied, based upon the theory of viscosities by Eyring et al., rectifying the activation energy term."
"Viscosité de mélanges d'alcanes et d'alkylbenzènes en fonction de la pression et de la température : Application aux coupes pétrolières","https://scispace.com/paper/viscosite-de-melanges-d-alcanes-et-d-alkylbenzenes-en-4c7elqil9a","1988","Dissertation","","Mohammed Kanti","","","La viscosite de melanges binaires ou ternaires d'alcanes purs et d'alkylbenzenes purs, ainsi que de coupes petrolieres est mesuree a des temperatures comprises entre 20 et 100**(o)c et a des pressions allant jusqu'a 1000 bars. Les resultats experimentaux sont confrontes aux calculs de diverses lois de melange. Pour les melanges binaires, les enthalpies libres molaires d'activation d'exces sont determinees a partir des mesures de viscosite et en fonction de la pression et de la temperature. L'utilisation des lois de melange, valables pour les melanges simples n'etant pas applicables aux melanges complexes comme les coupes petrolieres a rendu necessaire le developpement d'un modele base sur la seule connaissance, a pression atmospherique et a temperature donnee, de la viscosite du fluide considere.","In this paper, the authors investigate the applicability of various lois de melange, valables pour les melanges simples n'etant pas applicables aux melanges complexes comme les coupes petrolieres, to the developpement d'un modele base sur la seule connaissance, a pression atmospherique and a temperature donnee, de la viscosite du fluide considere."
"Linking the Viscous and Vacancy Behavior of Mixtures of High-Molecular-Weight Hydrocarbons","https://scispace.com/paper/linking-the-viscous-and-vacancy-behavior-of-mixtures-of-high-ze7t8pzab9","2006","Journal Article","International Journal of Thermophysics","Fatma Şahin
Cumali Tav
Ugur Yahsi","10.1007/S10765-006-0099-1","","A zero-shear viscosity model has now been extended to mixtures of three-branch alkanes with and without cyclopentyl or cyclohexyl attachments. The model links the equilibrium theory of Simha–Somcynsky (SS) statistical thermodynamics of liquids and the Eyring significant structure (ESS) transport theory. The predicted quantity of the hole fraction as a measure of the free volume, computed from the SS equation of state, plays a primary role in the approach to combine both theories. Experimental PVTη data from 310 to 408 K and 0.1 to 344.5 MPa have been used. The proportionality constant of the activation energy and the transmission coefficient have been calculated for each species separately, and they are in the expected trend with the fraction of mixtures. Satisfactory agreement in the prediction of viscosity from the hole fraction has been obtained. The volumetric and viscous data of physical mixtures are predicted from and compared with their chemical correspondence.","In this paper, a zero-shear viscosity model was extended to mixtures of three-branch alkanes with and without cyclopentyl or cyclohexyl attachments."
"Viscosity Calculations with the Eyring−Patel−Teja Model for Liquid Mixtures","https://scispace.com/paper/viscosity-calculations-with-the-eyring-patel-teja-model-for-1g0w4vcz6f","1999","Journal Article","Industrial & Engineering Chemistry Research","Ming-Jer Lee
Ju-Yin Chiu
Shou-Ming Hwang
Ho-mu Lin","10.1021/IE980751Y","","The Patel−Teja equation of state was incorporated with Eyring's theory to form the Eyring−Patel−Teja viscosity model, in which both the excess activation free energy of flow and the density of a li...","The Patel−Teja equation of state was incorporated with Eyring's theory to form the Eyring−Patel-Teja viscosity model as mentioned in this paper, in which both the excess activation free energy of flow and the density of a flow were taken into account."
"Prediction of the Kinematic Viscosity of Crude Oil Fractions","https://scispace.com/paper/prediction-of-the-kinematic-viscosity-of-crude-oil-fractions-1vlewruh9j","2010","Journal Article","Petroleum Science and Technology","A. Soltani
A. Nozarpour
Seyed Foad Aghamiri","10.1080/10916460902804580","","A generalized equation based on modified Eyring's theory for predicting kinematic viscosity of petroleum fractions is proposed in this work. The equation uses two reference fluids including a pair of (C6 and C10), (C10 and C14), or (C14 and C20) for petroleum fractions of molecular weight higher than 70 and lower than 300. Validity and accuracy of this equation have been confirmed by comparing the obtained results of this equation with experimental data. In contrast to other correlations that require so many specific parameters for oil viscosity prediction, this type of equation requires only molecular weight and true boiling point. The results obtained in this work are in agreement with experimental data with an average absolute deviation (AAD) of less than 5%.","In this article, a generalized equation based on modified Eyring's theory for predicting kinematic viscosity of petroleum fractions is proposed, which uses two reference fluids including a pair of (C6 and C10), (C10 and C14), or (C14 and C20) for petroleum fractions of molecular weight higher than 70 and lower than 300."
