"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Purpose in Thermodynamics","https://scispace.com/paper/purpose-in-thermodynamics-2kqpu6i844","2021","Journal Article","Energies","Adrian Bejan
George Tsatsaronis","10.3390/EN14020408","https://scispace.com/pdf/purpose-in-thermodynamics-2kqpu6i844.pdf","This is a review of the concepts of purpose, direction, and objective in the discipline of thermodynamics, which is a pillar of physics, natural sciences, life science, and engineering science. Reviewed is the relentless evolution of this discipline toward accounting for evolutionary design with direction, and for establishing the concept of purpose in methodologies of modeling, analysis, teaching, and design optimization. Evolution is change after change toward flow access, with direction in time, and purpose. Evolution does not have an ‘end’. In thermodynamics, purpose is already the defining feature of methods that have emerged to guide and facilitate the generation, distribution, and use of motive power, heating, and cooling: thermodynamic optimization, exergy-based methods (i.e., exergetic, exergoeconomic, and exergoenvironmental analysis), entropy generation minimization, extended exergy, environomics, thermoecology, finite time thermodynamics, pinch analysis, animal design, geophysical flow design, and constructal law. What distinguishes these approaches are the purpose and the performance evaluation used in each method.","the exergy output, in this order: the decrease in the non-flow exergy inventory (E + P 0 V − T 0 S), the exergy transfer associated with heat transfer from the temperature reservoirs other than the ambient [(1 Exergy Analysis (EA):
 Exergy destruction, and what to do about minimizing it, is not to be confused with the exergy analysis that ended with Equation . Exergy analysis relies solely on the laws of classical thermodynamics. Next, the changes in configuration aimed at reducing exergy destruction to increase . W are an entirely different concept (purpose), on which we focus in the remaining sections. Exergy Analysis (EA):
 Purpose and value are central in exergy analysis, where a product is defined unambiguously  for every system component and process according to its purpose, and where exergy represents the thermodynamic value of a carrier of energy. An exergy analysis provides the most rigorous definitions of thermodynamic efficiency and also the foundation for assigning costs and environmental impacts to energy carriers. Furthermore, an advanced exergy analysis  assesses (a) the part of the exergy destruction that realistically could be avoided in each component or process, and (b) the interactions among the exergy destructions within the different components or processes. In this way we obtain the most complete thermodynamic analysis possible based on the first and second laws, and very useful information on the required changes in the overall system to improve its thermodynamic efficiency. EA forms the basis of the exergy-based methods that include the exergetic, exergoeconomic (Section 4.5), and exergoenvironmental (Section 4.6) analyses, which form a consistent set of powerful analyses from the viewpoints of thermodynamics, economics and ecology. Entropy Generation Minimization (EGM):
 Entropy generation minimization (EGM), or irreversibility minimization, is closely related to exergy analysis, and was developed during the same period . The relation between the two methods rests in the Gouy-Stodola theorem , Entropy Generation Minimization (EGM):
 W lost = T 0 . S gen  which follows from Equation ( ), or from invoking the first law and the second law simultaneously . This theorem states that the amount or rate of exergy destroyed irreversibly within a thermodynamic system or component is equal to the entropy generated in the same system or component times the temperature of the environment. There is only one purpose in EGM (the same as after EA), namely to bring the system to operate closer to the reversible (ideal) limit."
"On the definition of exergy efficiencies for petroleum systems: Application to offshore oil and gas processing","https://scispace.com/paper/on-the-definition-of-exergy-efficiencies-for-petroleum-4qb8lx58jv","2014","Journal Article","Energy","Tuong-Van Nguyen
Mari Voldsund
Brian Elmegaard
Ivar S. Ertesvåg
Signe Kjelstrup","10.1016/J.ENERGY.2014.06.020","https://orbit.dtu.dk/files/96856864/On_the_definition_of_exergy.pdf","","oil/condensate at the outlet of the pumping section (p 4 ) is either higher (e.g. Platform C) or lower (e.g. Platforms A, B and D) than at the outlet of the production manifold (p 2 ); Case studies:
 • the pressure at the outlet of the gas treatment section (p 5 ) is either higher (e.g. Platforms A, C and D) or lower (e.g. Platform B) than at the inlet of the separation system (p 2 ). There is a need for gas compression in three of the four platforms.  For more details about the processes taking place on each of these platforms, the reader is referred to several works conducted by the same authors . Modelling and simulation:
 The process simulations were carried out with Aspen HYSYS R  and Aspen Plus R version 7.2 , with the exception of the glycol dehydration system. Simulations of the production manifolds, petroleum separation, oil pumping, gas recompression and flaring were based on the Peng-Robinson and Soave-Redlich-Kwong equations of state . The water purification and injection processes were simulated based on the Non-Random Two Liquid model  and the dehydration process on the Schwartzentruber-Renon equation of state . Exergy analysis:
 Exergy is defined as the maximum theoretical useful work as the system is brought into complete thermodynamic equilibrium with the environment . In this work, the discussions on exergy efficiencies focus exclusively on the exergy associated with mass and energy transfers. Exergy analysis:
 Unlike energy, exergy is not conserved in real processes -some is destroyed due to internal irreversibilities. On a time rate form and for a control volume with in-and outgoing flows, the exergy balance is expressed as: Exergy analysis:
 where Ėd is the exergy destroyed inside the control volume, Ėin is all exergy entering the system and Ėout is all exergy leaving it. The symbol ṁ denotes the mass flow rate of a stream of matter, Qk and Ẇ the time rates of energy transfer by heat and work ( Q ≥ 0 indicates heat transfer to the system, Ẇ ≥ 0 work done by the system) and e the specific exergy of a stream of matter. The symbols T 0 and T k denote the environmental temperature and the local temperature where heat transfer takes place. The subscripts in and out denote the inlet and outlet of the system and k the boundary of the component. The exergy destruction rate can also be calculated from the Gouy-Stodola theorem, which is expressed as: Exergy analysis:
 where Ṡgen is the entropy generation rate inside the control volume. Exergy destruction is also called internal exergy losses, since this is exergy that is lost because of the irreversibilities taking place inside the control volume under study. The exergy discharged to the environment without any practical use (e.g. exergy content of exhaust gases from a gas turbine -exergy transferred to the cooling water) is referred to as external exergy losses or just exergy losses . This waste exergy is destroyed when mixed irreversibly with the environment."
"Petrophysical properties of bitumen from the Upper Devonian Grosmont reservoir, Alberta, Canada","https://scispace.com/paper/petrophysical-properties-of-bitumen-from-the-upper-devonian-2lmbhp1vaa","2009","","","Yi Zhao","10.7939/R3MX5N","https://scispace.com/pdf/petrophysical-properties-of-bitumen-from-the-upper-devonian-2lmbhp1vaa.pdf","","Caution should be taken when measuring bitumen viscosity under low temperature, and the shear rate applied should always be included when presenting viscosity data. A method to calculate the zero-shear viscosity of Grosmont bitumen has been developed in this study. CHAPTER 6 CONCLUSIONS AND FUTURE WORK RECOMMENDATIONS:
 Recommended future work: The study of bitumen rheology shows that both zero-shear viscosity and the corresponding shear rate are temperature-dependent. It is likely that there is a correlation between these two factors, which should be independent of temperature. If such a correlation exists and is established, it can be used for choosing the shear rate range for zero-shear viscosity measurements, as long as the approximate viscosity of the tested sample at the temperature of interest is known. This will greatly improve the efficiency of viscosity measurements as the input of the shear rate range becomes predictable. CHAPTER 6 CONCLUSIONS AND FUTURE WORK RECOMMENDATIONS:
 2) The results of inter-laboratory comparison show that the viscosity measurements from different laboratories are not interchangeable. The Aging effects can be identified in the Grosmont bitumen by comparing legacy samples to the adjacent fresh samples. The viscosities of legacy samples are commonly one magnitude higher than the viscosities of fresh ones. Therefore, the viscosity data from legacy samples have to be corrected for use as reservoir proxies. The viscosity distribution in the Grosmont reservoir is complex, varying cyclically with depth, and is probably stratigraphically related, as similar trends are observed from adjacent wells and along the constructed strike cross section. Viscosity tends to increase toward stratigraphic unit boundaries, which implies more extensive biodegradation in those areas. CHAPTER 6 CONCLUSIONS AND FUTURE WORK RECOMMENDATIONS:
 Recommended future work: Due to the limit of time, the viscosity distribution has examined only along one strike section in the study area. This is not enough for characterizing the whole reservoir. Viscosity data along several dip cross sections and along some additional strike cross sections are needed. CHAPTER 6 CONCLUSIONS AND FUTURE WORK RECOMMENDATIONS:
 3) The biomarker results from the 18 samples analyzed indicate that the Nisku, Upper Ireton, and Grosmont Formations were subjected to extreme level of biodegradation, featured by the loss of regular steranes, strongly biodegraded hopanes, and affected distributions of tricyclics and diasteranes. Based on the biomarker distributions and biodegradation characteristics, the samples can be grouped into 3 biodegradation levels. No firm correlation between viscosity and biodegradation parameters has been found so far. This is at least partially due to: (i) the different biodegradation and evaporation rates between bulk oil and the biomarkers, and (ii) the inaccuracy of viscosity data. CHAPTER 6 CONCLUSIONS AND FUTURE WORK RECOMMENDATIONS:
 Recommended future work: Similar to the shortage of viscosity measurements, more biomarker analyses are needed to establish a detailed description on the extent of biodegradation in the study area."
"Exergy Destruction and Entropy Generation in Desalination Systems","https://scispace.com/paper/exergy-destruction-and-entropy-generation-in-desalination-7nzkc7a9b2","2016","Proceedings Article","","Veera Gnaneswar Gude","10.3390/ECEA-3-A005","https://scispace.com/pdf/exergy-destruction-and-entropy-generation-in-desalination-7nzkc7a9b2.pdf","The impetus for new tools for a comprehensive and accurate analysis of energy utilization and industrial systems comes from the need for sustainable development that could be impeded by exhausting energy sources and deteriorating environment Exergy evaluation provides insight to achieve highest technological efficiency at the lowest cost while meeting the social and legal conditions Desalination processes are known as major energy consumers and exergy destruction and entropy of these processes is essential for their sustainable development This paper identifies important areas of exergy destruction and entropy generation in desalination processes including multi-effect distillation (MED), multistage flash (MSF) and reverse osmosis (RO) with case studies and offers recommendations for future efforts in research and development","Title: Exergy Destruction and Entropy Generation in Desalination Systems Authors: Veera Gnaneswar Gude (Corresponding Author) Keywords: energy, exergy, entropy, desalination, distillation, membranes, osmosis"
"Modelling, analysis and optimisation of energy systems on offshore platforms","https://scispace.com/paper/modelling-analysis-and-optimisation-of-energy-systems-on-n2s1prhbg9","2014","","","Tuong-Van Nguyen
Brian Elmegaard
Peter Breuhaus
Fredrik Haglind","","https://scispace.com/pdf/modelling-analysis-and-optimisation-of-energy-systems-on-n2s1prhbg9.pdf","Nowadays, the offshore production of oil and gas requires on-site processing, which includes operations such as separation, compression and purification. The offshore system undergoes variations of the petroleum production rates over the field life – it is therefore operated far from its nominal operating conditions, which results in poorer performance. The present thesis addresses the question of how offshore platforms should be modelled, analysed and optimised from an energy system perspective. The research challenges can be classified into three main areas: (i) the simulation and assessment of oil and gas facilities, (ii) the means to reduce their performance losses, and (iii) the systematic design of future plants. This work builds upon a combination of modelling tools, performance evaluation methods and multi-objective optimisation routines to reproduce the behaviour of five offshore platforms, quantify the potentials for energy savings, and design more efficient conversion units. The findings show that the differences in the field and operating conditions directly impact the energy demand and performance profiles of these facilities. Most inefficiencies are associated with the combustion, pressure-change and cooling operations, but these processes are ranked differently depending on the plant layout and on the field production stage. The most promising improvements consist of introducing a multi-level production manifold, avoiding anti-surge gas recirculation, installing a waste heat recovery cycle, and implementing a CO2-capture unit. The benefits of such measures vary widely across offshore platforms, pinpointing that no generic improvement can be proposed, and that caution should be exercised when giving recommendations to the stakeholders. Finally, the several studies stress the importance of developing site-scale solutions, which account for the synergies between the processing and utility plants, to enhance the overall platform performance and intensify the petroleum production.","The installation of cold flares and steam cycles is a viable energy conservation measure. Findings: Rivero 2002 Exergy analysis in the petroleum sector Findings: The exergy concept helps improving the energy use in the petroleum energy-intensive sectors. Findings:
 Svalheim  2002 Environmental impacts and measures Energy use on offshore platforms The installation of combined cycles and the constant turbine monitoring have greatly improved the energy performance of North Sea facilities. Findings:
 Bothamley  2004 Offshore processing of petroleum General petroleum processing is similar from one oil region to another, with minor differences. Findings:
 Nakashima et al.  2004 Exergoeconomic analysis of offshore platforms Exergoeconomic tools are powerful for comparing different technology options on oil facilities. Findings:
 Vanner  2005 Energy use on offshore platforms Efficiency trends with time The energy intensity increases with time, because of e.g. the variations in GOR. Findings:
 Voldsund et al.  2010 Exergy analysis of offshore platforms Findings:
 The exergy analysis pinpoints the gas compression operations as the most exergy-destroying ones. Methods:
 This chapter presents the methodology applied throughout this project, from the general strategy to an overview and theoretical background of the system modelling methods, the performance analysis techniques and the optimisation routines. Introduction:
 This study deals with the specific case of oil and gas platforms. There is, at the knowledge of the author, no unified and consistent approach for modelling, analysing and optimising such complicated and complex systems. A systematic methodology has therefore been developed throughout this study, based on the generic approach proposed by Bolliger . Introduction:
 This approach relies on the separation of the models of the systems under study (physical models) from the models used for analysing their performance (analysis models). The main advantage of this decomposition is that models developed with different software can be reused and assembled to generate large system superstructures, by transferring information from one model to another. Multiple system configurations can therefore be generated and optimised. Introduction:
 Several performance assessment tools (e.g. energy , exergy , pinch  and life cycle ), which were developed during the last decades, were considered when building the analysis models. These tools have been applied for studying systems as small as human metabolisms, and as big as ecosystems. They illustrate different aspects of the performance of the energy system under study, and they should therefore be applied consistently to allow for sound conclusions. Introduction:
 Such a systematic methodology has been applied for the conception and analysis of energy conversion systems such as heat pumps , power plants with CO 2 -sequestration , geothermal systems  and fuel cells . Building on these methods, this chapter presents the basis of the strategy applied throughout this project. Strategy:
 The backbone of this methodology consists of a combination of (i) system modelling, using flowsheeting tools, (ii) system analysis, applying advanced evaluation methods, and (iii) system optimisation, based on powerful search heuristics such as genetic algorithms (Figure .1). The corresponding models are separated from one another, and, if needed, the data are structured and transferred through a Matlab-language based platform, which was developed at the École Polytechnique Fédérale de Lausanne for this specific purpose."
"Exergy analysis of conventional and hydrothermal liquefaction–esterification processes of microalgae for biodiesel production","https://scispace.com/paper/exergy-analysis-of-conventional-and-hydrothermal-4rf7btjaeu","2020","Journal Article","Central European Journal of Chemistry","Laras Prasakti
Sangga Hadi Pratama
Ardian Fauzi
Yano Surya Pradana
Arief Budiman
Rochmadi","10.1515/CHEM-2020-0132","https://scispace.com/pdf/exergy-analysis-of-conventional-and-hydrothermal-4rf7btjaeu.pdf","Abstract As fossil fuels were depleting at an alarming rate, the development of renewable energy has become necessary. One of the promising renewable energy to be used is biodiesel. The interest in using third-generation feedstock, which is microalgae, is rapidly growing. The use of third-generation biodiesel feedstock will be more beneficial as it does not compete with food crop use and land utilization. The advantageous characteristic which sets microalgae apart from other biomass sources is that microalgae have high biomass yield. Conventionally, microalgae biodiesel is produced by lipid extraction followed by transesterification. In this study, combination process between hydrothermal liquefaction (HTL) and esterification is explored. The HTL process is one of the biomass thermochemical conversion methods to produce liquid fuel. In this study, the HTL process will be coupled with esterification, which takes fatty acid from HTL as raw material for producing biodiesel. Both the processes will be studied by simulating with Aspen Plus and thermodynamic analysis in terms of energy and exergy. Based on the simulation process, it was reported that both processes demand similar energy consumption. However, exergy analysis shows that total exergy loss of conventional exergy loss is greater than the HTL-esterification process.","Title: Exergy analysis of conventional and hydrothermal liquefaction-esterification processes of microalgae for biodiesel production Authors: Laras Prasakti,Sangga Hadi Pratama,Ardian Fauzi,Surya Yano,Pradana,Arief Rochmadi,Budiman (Corresponding Author),Rochmadi : Pradana,Arief Budiman Keywords: biodiesel, microalgae, hydrothermal liquefaction, exergy, AspenPlus simulation"
"Modelling and analysis of offshore energy systems on North Sea oil and gas platforms","https://scispace.com/paper/modelling-and-analysis-of-offshore-energy-systems-on-north-3sgi5h0j4t","2012","","","Tuong-Van Nguyen
Brian Elmegaard
Leonardo Pierobon
Fredrik Haglind
Peter Breuhaus","","https://scispace.com/pdf/modelling-and-analysis-of-offshore-energy-systems-on-north-3sgi5h0j4t.pdf","Presented at: SIMS 2012 : The 53rd Scandinavian conference on simulation and modeling, organized by Orkustofnun, Reykjavik 4-6 October, 2012","flows. This overall model includes power generation, oil and gas processing, gas purification and seawater injection sub-models. The first sub-model was calibrated by use of published data from SIEMENS while the others were verified by comparison with open literature. Conclusion:
 The performance of this integrated plant was assessed, based on the exergetic analysis method. Exergy is destroyed at a rate of 55-65 MW within the overall platform, with a share of 70-30% for the utility system (power generation and waste heat recovery) and the oil, gas and water processing, respectively. Exergy losses are also significant, amounting to about 17-20 MW, and are mostly due to the rejection of high-temperature exhaust gases from the cogeneration plant to the environment. However, the exergy destruction and loss rates represent only 0.5 to 1.5% of the total input exergy, due to the inherently large chemical exergy content of crude oil and natural gas. Conclusion:
 Three simulation cases were investigated to analyse the effects of different gas-to-oil and water-tooil ratios on the thermodynamic performance of this system, and to evaluate the exergy destruction share amongst the several system modules. The gas-to-oil ratio is the most important variable: a larger gas frac-tion in the well-fluid stream causes a strong increase of the process plant power consumption and a larger exergy destruction in the production manifolds and gas compression trains. Conclusion:
 Recovering more thermal exergy from the exhaust gases, improving the part-load efficiency of the gas turbine components and of the gas compression trains could significantly increase the thermodynamic performance of conventional oil and gas offshore platforms. Higher pressure levels in the separation train would lead to smaller exergy destruction rates in the manifold and re-compression trains, although this might result in a lower hydrocarbon recovery and conflict with the process constraints of other system sections. Conclusion:
 Conventional exergy analysis does not allow evaluating interactions and cost flows between the system components and processes present on the whole offshore platform. Future work will address this issue by conducting an advanced exergy analysis, an exergoeconomic assessment and an evaluation of the uncertainties associated with the crude oil and gas compositions."
"FE Simulation Modelling and Exergy Analysis of Conventional Forging Deformation Behaviour of Material Processing","https://scispace.com/paper/fe-simulation-modelling-and-exergy-analysis-of-conventional-52iflszhjb","2017","Journal Article","International Journal of Engineering Research and Applications","Santosh Sanodiya","10.9790/9622-0703020614","https://scispace.com/pdf/fe-simulation-modelling-and-exergy-analysis-of-conventional-52iflszhjb.pdf","The present paper examines the deformation behaviour of geometrical specimens of an aluminium alloy undergoing axial compression in a Universal Testing Machine under dry condition. It is observed that researchers have made attempts to investigate alternate specimens for friction calibration. It is found that ring compression test is recommended as the standard test for determination of coefficient of friction, because it gives reliable results. The effect of weight percentage of silicon carbide on microstructure, hardness and upsetting load is studied. The friction factor at die metal interface is evaluated by ring compression tests and its effect on non-uniform deformation is investigated. The experimental results are finally compared with those obtained by FEA simulation and modelling. In order to validate the predictability of these specimens, real experiments on them are carried out. Rings of standard dimensional ratio 6:3:1 in the same machine. Friction predictions from both specimen are found to be in close match, proposed alternate specimen offers a powerful tool for friction prediction in the absence of ring specimen. Some aspects of Exergy calculations have been in the past repeatedly used to quantify the quality and quantity of energy used in thermal energy processes. This attempt to drive a exergy utilization and compare for the first time two entirely different manufacturing processes, material processing by a mechanical method of straining of the material and thermal processing during cold forging of the same mass of the material using exergy formulation as metric. The exergy analysis of material processing is determined by performed work and utilized heat transfer using mechanical and thermal processes.","work, heat and material streams entering and leaving manufacturing systems ( ). An exergy balance can be formulated for every manufacturing system as follows: III. EXERGY ANALYSIS: The exergy of the aggregated materials entering and leaving the system are represented by . III. EXERGY ANALYSIS:
 The components, and show the exergy flows accompanied with work and heat, respectively. Any work required beyond the minimum requirements is lost and expressed by . For this analysis, all exergies 𝐵 are calculated in respect to the reference state 𝑇 0 = 298.15 K and 𝑝 o = 101.3 kPa. The first step in any system analysis is to identify the system boundaries. Depending on the enclosed control volume, results may differ substantially . Here, we investigate this process for two different control volumes. III. EXERGY ANALYSIS:
 The method of exergy analysis is well suited for furthering this goal, for it enables the location, type and true magnitude of waste and loss to be determined. Such information can be used to design new systems and to reduce the inefficiency of existing systems. This paper provides a brief survey of both exergy principles and the current literature of exergy analysis with emphasis on areas of application. Exergy is a thermodynamic concept and is defined as ""Optimal work that can be extracted from a system as it interacts with an environment"" (2005). Exergy is additive but not conserved and the different types of exergy B can be represented by the following equation ( ). III. EXERGY ANALYSIS:
 Where B k represents kinetic exergy, Bp represents potential exergy, Bph represents physical exergy and Bch represents chemical exergy for better understanding of different types of exergy). There has been a lot of work done in the field of exergy analysis . It is also mainly used in consideration of ecological concepts which can be used to assess the influence on the environment. The basic definition, the concept, the formulation and explanation of exergy use is clearly discussed by . Before the use of exergy analysis has been developed, the energy analysis has been used with a wide range of economic, environmental and efficiency studies. Brunhes showed the drawbacks of energy assessments only. The loss of exergy which is caused by the irreversibility of the process is directly linked to the entropy change. The relationship that defines this loss is called the Gouy-Stodola""s theorem represented by the following equation . III. EXERGY ANALYSIS:
 This particular equation is extensively used in paper especially for the thermal exergy calculations. This provided the base to correlate the entropy generation and exergy utilization meaningfully. This value is obviously very low; therefore the exergy analysis reveals clearly the possibilities for improvement. The study is done on material, energy and exergy balances of the system as a whole and of its separate elements.. Process design guides transforming of raw materials into the finished products . This study promotes two approaches for process design. One being hierarchic (called in the study) the other approach being mathematical approach. Using the exergy calculations, a new approach for chemical process synthesis has been developed. It shows that this approach may be used to define a more exergy efficient benzene synthesis process ."
"Entropy and exergy in irreversible renewable energy systems","https://scispace.com/paper/entropy-and-exergy-in-irreversible-renewable-energy-systems-4u2r4jyca2","2013","Journal Article","Renewable & Sustainable Energy Reviews","Umberto Lucia","10.1016/J.RSER.2012.12.017","https://scispace.com/pdf/entropy-and-exergy-in-irreversible-renewable-energy-systems-4u2r4jyca2.pdf","Exergy and entropy generation analysis of the open systems allows to obtain a measure of how far the open real systems deviate from equilibrium with their environment. A link between entropy generation maximum principle and the exergy analysis of engineering and natural systems is suggested in order to use the exergy and entropy approach to improve the renewable energy systems.","Nothing is really produced or generated . Indeed, the second law states: Entropy generation: defining the total entropy as : Entropy generation: then S g is the entropy generation, that is the entropy variation due to irreversibility, defined as : Entropy generation:
 and t 1 and t 2 the initial and final time of the process, Q the heat exchanged, T the temperature of the thermostats, s the specific entropy and G the mass flow. It is always S g Z0 The quantity DS e should be better defined as the entropy variation that will be obtained exchanging reversibly the same fluxes throughout the system boundaries. Then entropy is not more than a parameter characterizing the thermodynamic state and the term due to internal irreversibility, S g , measures how far the system is from the state that will be attained in a reversible way . In the second law analysis the definition and identification of the thermodynamic system is fundamental. The open thermodynamic system has been analytically introduced in terms of advanced analysis in Refs. . Here its phenomenological description is summarized as follows. Let us consider an open continuum or discrete N particles system. Every ith element of this system is located by a position vector Entropy generation:
 The masses m i must satisfy the condition: Entropy generation:
 where m is the total mass which must be a conserved quantity so that it follows: Entropy generation:
 where r¼dm/dV is the total mass density, with V total volume of the system and _ Entropy generation:
 velocity of the centre of mass. Entropy generation:
 The mass density must satisfy the following conservation law: Entropy generation:
 where r i is the density of the ith elementary volume V i , with Entropy generation:
 and X is the source, generated by matter transfer, chemical reactions and thermodynamic transformations. Inside this system, the principle of maximum entropy generation has been proved : in a general thermodynamic transformation, the condition of the stability for the open system steady states consists of the maximum of the entropy generation. Exergy and entropy generation:
 The exergy of a system is defined as the maximum shaft work that could be done by the composite of the system and a specified reference environment that is assumed to be infinite, in equilibrium, and ultimately to enclose all other systems: the environment is specified by stating its temperature, pressure and chemical composition. Exergy and entropy generation:
 The exergy was implicitly introduced  by Carnot in 1824 ; from this work Clapeyron , Rankine , Thomson  and Clausius  developed the Second Law of Thermodynamics, but it was Gibbs  to define the available energy, by introducing the available work, including the diffusion terms, even if also Tait and Lord Kelvin introduced a quantity similar to Gibbs availability  without any improvement on it . The Gibbs results were developed by Duhem  and by Carathe ´odory , while, independently from Gibbs' results, Gouy  proved his useful energy theorem (today known as Gouy-Stodola theorem) and Stodola  used it in designing. Exergy and entropy generation:
 The results of Gouy were also applied by Jouget , Goodenough , DeBaufre , Born , Darrieus , Lerberghe and Glansdorff . Maxwell  and Lorenz  developed some applications of the Gouy-Stodola theorem starting from the concept of entropy."
"Pitfalls of Exergy Analysis","https://scispace.com/paper/pitfalls-of-exergy-analysis-2p62o7uhdv","2017","Journal Article","Journal of Non-Equilibrium Thermodynamics","Petr Vágner
Michal Pavelka
František Maršík","10.1515/JNET-2016-0043","https://scispace.com/pdf/pitfalls-of-exergy-analysis-2p62o7uhdv.pdf","The well-known Gouy–Stodola theorem states that a device produces maximum useful power when working reversibly, that is with no entropy production inside the device. This statement then leads to a method of thermodynamic optimization based on entropy production minimization. Exergy destruction (difference between exergy of fuel and exhausts) is also given by entropy production inside the device. Therefore, assessing efficiency of a device by exergy analysis is also based on the Gouy–Stodola theorem. However, assumptions that had led to the Gouy–Stodola theorem are not satisfied in several optimization scenarios, e.g. non-isothermal steady-state fuel cells, where both entropy production minimization and exergy analysis should be used with caution. We demonstrate, using non-equilibrium thermodynamics, a few cases where entropy production minimization and exergy analysis should not be applied.","Authors: Petr Vágner,Michal Pavelka,František Maršík Keywords: exergy analysis, non-equilibrium thermodynamics, fuel cells, optimization, entropy production minimization"
