"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"On the definition of exergy efficiencies for petroleum systems: Application to offshore oil and gas processing","https://scispace.com/paper/on-the-definition-of-exergy-efficiencies-for-petroleum-4qb8lx58jv","2014","Journal Article","Energy","Tuong-Van Nguyen
Mari Voldsund
Brian Elmegaard
Ivar S. Ertesvåg
Signe Kjelstrup","10.1016/J.ENERGY.2014.06.020","https://orbit.dtu.dk/files/96856864/On_the_definition_of_exergy.pdf","","Title: On the definition of exergy efficiencies for petroleum systems: Application to offshore oil and gas processing Authors: Tuong-Van Nguyen,Mari Voldsund,Brian Elmegaard,Ståle Ertesvåg,Signe Kjelstrup Keywords: Exergy, Efficiency, Petroleum, Oil and gas platforms"
"Purpose in Thermodynamics","https://scispace.com/paper/purpose-in-thermodynamics-2kqpu6i844","2021","Journal Article","Energies","Adrian Bejan
George Tsatsaronis","10.3390/EN14020408","https://scispace.com/pdf/purpose-in-thermodynamics-2kqpu6i844.pdf","This is a review of the concepts of purpose, direction, and objective in the discipline of thermodynamics, which is a pillar of physics, natural sciences, life science, and engineering science. Reviewed is the relentless evolution of this discipline toward accounting for evolutionary design with direction, and for establishing the concept of purpose in methodologies of modeling, analysis, teaching, and design optimization. Evolution is change after change toward flow access, with direction in time, and purpose. Evolution does not have an ‘end’. In thermodynamics, purpose is already the defining feature of methods that have emerged to guide and facilitate the generation, distribution, and use of motive power, heating, and cooling: thermodynamic optimization, exergy-based methods (i.e., exergetic, exergoeconomic, and exergoenvironmental analysis), entropy generation minimization, extended exergy, environomics, thermoecology, finite time thermodynamics, pinch analysis, animal design, geophysical flow design, and constructal law. What distinguishes these approaches are the purpose and the performance evaluation used in each method.","the exergy output, in this order: the decrease in the non-flow exergy inventory (E + P 0 V − T 0 S), the exergy transfer associated with heat transfer from the temperature reservoirs other than the ambient [(1 Exergy Analysis (EA):
 Exergy destruction, and what to do about minimizing it, is not to be confused with the exergy analysis that ended with Equation . Exergy analysis relies solely on the laws of classical thermodynamics. Next, the changes in configuration aimed at reducing exergy destruction to increase . W are an entirely different concept (purpose), on which we focus in the remaining sections. Exergy Analysis (EA):
 Purpose and value are central in exergy analysis, where a product is defined unambiguously  for every system component and process according to its purpose, and where exergy represents the thermodynamic value of a carrier of energy. An exergy analysis provides the most rigorous definitions of thermodynamic efficiency and also the foundation for assigning costs and environmental impacts to energy carriers. Furthermore, an advanced exergy analysis  assesses (a) the part of the exergy destruction that realistically could be avoided in each component or process, and (b) the interactions among the exergy destructions within the different components or processes. In this way we obtain the most complete thermodynamic analysis possible based on the first and second laws, and very useful information on the required changes in the overall system to improve its thermodynamic efficiency. EA forms the basis of the exergy-based methods that include the exergetic, exergoeconomic (Section 4.5), and exergoenvironmental (Section 4.6) analyses, which form a consistent set of powerful analyses from the viewpoints of thermodynamics, economics and ecology. Entropy Generation Minimization (EGM):
 Entropy generation minimization (EGM), or irreversibility minimization, is closely related to exergy analysis, and was developed during the same period . The relation between the two methods rests in the Gouy-Stodola theorem , Entropy Generation Minimization (EGM):
 W lost = T 0 . S gen  which follows from Equation ( ), or from invoking the first law and the second law simultaneously . This theorem states that the amount or rate of exergy destroyed irreversibly within a thermodynamic system or component is equal to the entropy generated in the same system or component times the temperature of the environment. There is only one purpose in EGM (the same as after EA), namely to bring the system to operate closer to the reversible (ideal) limit."
"Exergy Analysis of Solar Cooling Systems","https://scispace.com/paper/exergy-analysis-of-solar-cooling-systems-1jut4pweri","2010","","","Luigi Marletta","","https://scispace.com/pdf/exergy-analysis-of-solar-cooling-systems-1jut4pweri.pdf","","internal, potential, kinetic) may individually undergo quantitative changes, but the overall amount of energy is conserved. The energy balance equation, which quantifies the energy conservation law for a stationary process observed through a control volume, may be stated as follows: Fig. 1. Energy flows across a physical system:
 Q = thermal energy flow crossing the system boundaries (W); P = mechanical power crossing the system boundaries (W); m = mass flow rate entering / leaving the system (kg/s); z = height of the system above a reference level (m); w = mass flow velocity (m/s). h = specific enthalpy measured at the system inlet and outlet (kJ/kg) Fig. 1. Energy flows across a physical system:
 The index of performance derived from such an approach compares the amount of energy required by the final user (either electric, or mechanical, or thermal…) to the total amount of energy exploited by the system, expressed as: Physical System Energy Inlet Energy Outlet:
 Energy released to the user η = Energy provided to thesystem Physical System Energy Inlet Energy Outlet:
 One must realize that such a definition compares different forms of energy. As an example, in the case of a power plant for the production of electric energy, the energy efficiency is defined as: Physical System Energy Inlet Energy Outlet:
 where P is the electric power, and Q th the thermal energy to drive the system. But, as a matter of fact, different forms of energy have different potentials to produce useful work. So the definition of efficiency stated above is a comparison between quantities which are metrically homogeneous but not conceptually equivalent.  The Second Law of Thermodynamics:
 The Second Law of Thermodynamics may help overcome this drawback, on the basis of a rather different approach to system analysis.  The Second Law of Thermodynamics:
 The starting point is that real processes are not reversible and give rise to entropy production: friction, hysteresis, molecular or thermal diffusion are the most common examples of irreversibilities occurring in a real process. The mathematical form of the Second Law most suitable for our purposes is the Clausius equation: where: s = entropy per unit mass (kJ/(kgK)); Q = heat transfer occurring through the system boundaries (W); T = temperature of the environment being involved in the heat transfer (K);  = overall entropy production due to irreversibility (W/K).  The Second Law of Thermodynamics:
 The reader is reminded that, as stated by the Second Law,  ≥0, being  =0 only for ideal (reversible) processes. This relationship is precious to us, as it allows the assessment of entropy production , which is always the unknown of the problem.  The Second Law of Thermodynamics:
 It is intuitive that when dealing with complex systems, it is possible to decompose them into several, more simple subsystems; by evaluating  for each one of them, it is possible to detect the ones most responsible for thermodynamic drawbacks and thus provide corrective measures.  The Gouy-Stodola equation:
 Let us realize that the first law contains a term for work, but no term for irreversibility, whereas the second law contains a term for irreversibility but not for work."
"Unavailability percentage as energy planning and economic choice parameter","https://scispace.com/paper/unavailability-percentage-as-energy-planning-and-economic-110eexduhb","2017","Journal Article","Renewable & Sustainable Energy Reviews","Umberto Lucia
Giulia Grisolia","10.1016/J.RSER.2016.10.064","https://scispace.com/pdf/unavailability-percentage-as-energy-planning-and-economic-110eexduhb.pdf","The unavailability percentage is suggested as an indicator of the level of the technological development in relation to the optimized use of energy. This quantity can be used in economic, and socio-political evaluations because it is related to the exergy lost during a process, and therefore it can provide information on the optimization level obtained through a technology or it can be useful to compare different technologies.","thermodynamic approach for the whole system, based on the quantitative evaluation of the flows of matter and energy which occur in the system and of the consumption rate of the available resources. This information can represent a fundamental support to policy planning and resource management . -Considerations:
 Exergy is a quantity that allows the engineers to design systems with the aim of obtain the highest efficiency at a least cost under the actual technological, economic and legal conditions, but also considering ethical, ecological and social consequences ; indeed, 1. It allows the evaluation of the impact of energy resource utilization on the environment; 2. It allows the evaluation of more efficient energy-resource use, and of the locations, types, and magnitudes of wastes and losses; 3. It is an efficient technique to evaluate if it is possible to design more efficient energy systems by reducing the inefficiencies in existing technologies. Now, we wish to highlight that any effect in Nature is always the result of the dynamic balances of the interactions between the open systems and their environment, and the exchange of energy drives some behaviour of natural systems, i.e. their evolution is driven by the decrease of their free energy in the least time . Exergy is defined as the maximum amount of work obtainable by a system as it comes to equilibrium with its reference environment. So, it represents a measure of the ability of a system to cause changes, due to its non complete stable equilibrium, in relation to the reference environment. Consequently, we highlight that : -Considerations:
 1. The exergy of a system in complete equilibrium with its environment is null; 2. Exergy doesn't follow any conservation law; 3. A system carries exergy proportional to the level of disequilibrium with its environment; 4. Any loss of energy quality results in consumption of exergy. -Considerations:
 Moreover, all the real systems operate on irreversible thermodynamic processes which take place in a finite proper time , its process lifetime. In the analysis of the thermodynamic behaviour of open systems, irreversible processes represent one of the fundamental topic of investigation in thermodynamics. Indeed, the studies on irreversibility are important in the design and development of the industrial devices ; indeed, they allow us to evaluate the dissipations by using entropy generation, and, consequently, to express the usual thermodynamic inequality by means of equations  of the irreversible and non-equilibrium thermodynamics. In thermodynamics, in 1824, Carnot  introduced an ideal engine operating on a reversible cycle without dissipation. This engine convert the absorbed heat in work and, apparently, it has no irreversibility. Carnot proved that :"
"Thermodynamic Analysis of Closed Steady or Cyclic Systems","https://scispace.com/paper/thermodynamic-analysis-of-closed-steady-or-cyclic-systems-3sjjm2chm7","2015","Journal Article","Entropy","Jim A. McGovern","10.3390/E17106712","https://scispace.com/pdf/thermodynamic-analysis-of-closed-steady-or-cyclic-systems-3sjjm2chm7.pdf","Closed, steady or cyclic thermodynamic systems, which have temperature variations over their boundaries, can represent an extremely large range of plants, devices or natural objects, such as combined heating, cooling and power plants, computers and data centres, and planets. Energy transfer rates can occur across the boundary, which are characterized as heat or work. We focus on the finite time thermodynamics aspects, on energy-based performance parameters, on rational efficiency and on the environmental reference temperature. To do this, we examine the net work rate of a closed, steady or cyclic system bounded by thermal resistances linked to isothermal reservoirs in terms of the first and second laws of thermodynamics. Citing relevant references from the literature, we propose a methodology that can improve the thermodynamic analysis of an energy-transforming or an exergy-destroying plant. Through the reflections and analysis presented, we have found an explanation of the second law that clarifies the link between the Clausius integral of heat over temperature and the reference temperature of the Gouy–Stodola theorem. With this insight and approach, the specification of the environmental reference temperature in exergy analysis becomes more solid. We have explained the relationship between the Curzon Ahlborn heat engine and an irreversible Carnot heat engine. We have outlined the nature of subsystem rational efficiencies and have found Rant’s anergy to play an important role. We postulate that heat transfer through thermal resistance is the sole basis of irreversibility.","irreversibility is modelled by the bounding thermal resistances only. Reversible or Irreversible System: The entropy transfer rate associated with a rate of heat transfer Qi through a boundary that is at absolute temperature T i is given by Equation (1). Ṡi = Qi:
 We find it very useful to plot temperature against the cumulative rate of entropy transfer, over the surface of the assembly of Carnot cycle systems or the assembly of irreversible systems that involve heat transfer at two temperatures only, which undergo no net change, and over time. We have that sort of arrangement in mind when we put forward these n isothermal reservoirs. The integer n could have any value up to infinity, and if it is infinity, then we could have smooth temperature glides (over part of the boundary of the surface or over intervals of time). Hence, we can have constant temperatures and/or temperature glides. Amelkin et al.  have considered a multiple reservoir arrangement of the type shown in Figure , both for the case where System A is reversible and where it involves irreversibility. In optimizing the plant for the maximization of power output, they came to the conclusion that not all thermal reservoirs should be chosen. In the present paper, we are not concerned with performing such an optimization, but rather with characterizing the performance of the overall system as it exchanges energy by heat transfer at specified rates with specified isothermal reservoirs."
"A Preliminary Exergy Analysis of the EU DEMO Fusion Reactor","https://scispace.com/paper/a-preliminary-exergy-analysis-of-the-eu-demo-fusion-reactor-1w8q9mvtdh","2019","Journal Article","International Journal of Embedded Systems","Pierfrancesco Palazzo
Fabio Giannetti
Gianfranco Caruso","10.18280/TI-IJES.632-447","https://scispace.com/pdf/a-preliminary-exergy-analysis-of-the-eu-demo-fusion-reactor-1w8q9mvtdh.pdf","Received: 20 March 2019 Accepted: 6 May 2019 Purpose of the present study is the exergy analysis of EU DEMO pulsed fusion power plant considering the Primary Heat Transfer Systems, the Intermediate Heat Transfer System (IHTS) including the Energy Storage System (ESS) as a first option to ensure the continuity of electric power released to the grid. A second option here considered is a methane fired auxiliary boiler replacing the ESS. The Power Conversion System (PCS) performance is evaluated as well in the overall balance. The performance analysis is based on the exergy method to specifically assess the amount of exergy destruction determined by irreversible phenomena along the whole cyclic process. The pulse and dwell phases of the reactor operation are evaluated considering the state of the art of the ESS adopting molten salts alternate heating and storage in a hot tank followed by a cooling and recovery of molten salt in a cold tank to ensure the continuity of power release to the electrical grid. The second option of the plant configuration is evaluated on the basis of an auxiliary boiler replacing the ESS with a 10% of the power produced by the reactor during both pulse and dwell modes.","determines a different available mechanical internal energy. The energy loss in terms of non-useful work interaction released to the reservoir has to be accounted for in the exergy balance of steam turbines. Hence, for a steam turbine stage the following equations apply: Mechanical exergy:
 The steam turbine mechanical exergy balance along a real process is the following: Mechanical exergy:
 where the term 𝑝 𝑅 𝑣 𝑅 (𝑠 𝐼𝑅𝑅 ) 𝑀 represents the mechanical exergy destruction. Irreversible processes and exergy destruction:
 Real processes imply irreversible phenomena determining an amount of entropy production. The Gouy-Stodola theorem ensures the direct relationship between entropy production and exergy destruction as expressed by the following relation : Irreversible processes and exergy destruction:
 A formulation extended to all type of irreversible processes should account for chemical exergy destruction and mechanical exergy destruction, according to the following generalized version of Gouy-Stodola theorem: Irreversible processes and exergy destruction:
 That considers the generalized reservoir conditions at 𝑇 𝑅 , 𝜇 𝑅 and 𝑝 𝑅 ensuring the equality of all thermodynamic potentials and the stable equilibrium state. Exergy balance and exergy efficiency:
 The calculation of exergy balance of a component is obtained considering the difference of exergy content of entering and exiting mass of the same stream through the control volume. However, in case of a single stream entering without exiting or, vice versa, exiting without entering, the exergy property has to be calculated based on the canonical definition with respect to the external reference system or environment. Exergy balance and exergy efficiency:
 The exergy balance is calculated in terms of exergy rate to account for the total exergy associated to the amount of mass contributing to the balance of any plant component. Therefore, for each component the balance is expressed in terms of exergy flows. Exergy balance and exergy efficiency:
 As far as the overall efficiency is concerned, the fuel and product streams are used in the literature to define the exergetic efficiency as follows: Exergy balance and exergy efficiency:
 where the symbols 𝐷 and 𝐹 stand for destruction and fuel respectively. Anyway, for sake of clarity and uniformity, the term input (or inlet) denoted by the symbol 𝐼𝑁 will be here used in lieu of fuel. Exergy balance and exergy efficiency:
 To calculate the exergy rates efficiency, exergy fuel flows considered are thermal power withdrawn from the Breeding Zone, First Wall, Divertor Cassette, Divertor PFCs, and Vacuum Vessel. The pulse-dwell sequence can be considered as a series of exergy contributions. The exergy efficiency pertaining to both modes can be calculated in terms of exergy rates. However, the expression of the overall exergy efficiency relating to the whole pulse-dwell sequence has to be obtained in terms of amount of exergy calculated along pulse and dwell time periods. The overall exergy efficiency accounts for the sum of exergy input and the sum of exergy destruction contributions during pulse and dwell modes. The expression of overall exergy efficiency characterizing ESS and auxiliary boiler configurations become the following:"
"Modelling, analysis and optimisation of energy systems on offshore platforms","https://scispace.com/paper/modelling-analysis-and-optimisation-of-energy-systems-on-n2s1prhbg9","2014","","","Tuong-Van Nguyen
Brian Elmegaard
Peter Breuhaus
Fredrik Haglind","","https://scispace.com/pdf/modelling-analysis-and-optimisation-of-energy-systems-on-n2s1prhbg9.pdf","Nowadays, the offshore production of oil and gas requires on-site processing, which includes operations such as separation, compression and purification. The offshore system undergoes variations of the petroleum production rates over the field life – it is therefore operated far from its nominal operating conditions, which results in poorer performance. The present thesis addresses the question of how offshore platforms should be modelled, analysed and optimised from an energy system perspective. The research challenges can be classified into three main areas: (i) the simulation and assessment of oil and gas facilities, (ii) the means to reduce their performance losses, and (iii) the systematic design of future plants. This work builds upon a combination of modelling tools, performance evaluation methods and multi-objective optimisation routines to reproduce the behaviour of five offshore platforms, quantify the potentials for energy savings, and design more efficient conversion units. The findings show that the differences in the field and operating conditions directly impact the energy demand and performance profiles of these facilities. Most inefficiencies are associated with the combustion, pressure-change and cooling operations, but these processes are ranked differently depending on the plant layout and on the field production stage. The most promising improvements consist of introducing a multi-level production manifold, avoiding anti-surge gas recirculation, installing a waste heat recovery cycle, and implementing a CO2-capture unit. The benefits of such measures vary widely across offshore platforms, pinpointing that no generic improvement can be proposed, and that caution should be exercised when giving recommendations to the stakeholders. Finally, the several studies stress the importance of developing site-scale solutions, which account for the synergies between the processing and utility plants, to enhance the overall platform performance and intensify the petroleum production.","environmental (global warming potential and eco-indicators) performance indicators. The use of multiobjective optimisation routines helps discarding system set-ups that are sub-optimum, and the implementation of uncertainty functions helps eliminating solutions that are not robust or flexible enough. Summary of findings:
 The thermal energy demands vary greatly over the lifetime of a platform, since they are directly affected by the oil and gas flow rates. For instance, the heating demand decreased by 75 % on the Draugen platform between the peak and end-life production stages. The power consumption is not as affected by the variations of the gas production rate, because the flow of gas through the compressors is maintained constant by gas recirculation to prevent surge. However, it is greatly impacted by modifications of the facility, such as the implementation of gas and water injection processes to ease petroleum recovery. Exergy profiles (Chapters 4-6).:
 Most exergy entering an offshore platform (≥ 97 %) is associated with the feed streams and transits through the processing plant with very little transformation, while most exergy leaving it corresponds to the oil and gas flows. Most exergy destruction (60-65 %) takes place in the utility plant because of the combustion process in the gas turbines. The remaining destruction (35-40 %) occurs in the oil and gas processing plant. Most exergy losses are related to the rejection of the exhausts from the power turbines because of their high temperature, and the remaining ones are caused by the flaring and venting operations, as well as by the discharge of produced water. Exergy profiles (Chapters 4-6).:
 The exergy destruction within the processing plant ranges between 12 and 32 MW and between 43 and 517 MJ/Sm 3 o.e.. The distribution of these irreversibilities varies widely across oil and gas facilities: it is sensitive to the boundary and operating conditions, plant layouts, and to the production stages in the field lifetime. In general, thermodynamic irreversibilities are likely significant in processes where pressure is substantially decreased (production manifolds, 10-28 %) or increased (gas recompression and treatment, 11-29 % and 8-57 %), heat is transferred (oil heating and gas cooling), and where gas is recirculated The amounts of exergy destruction in the heat exchangers are likely to decrease over time because of the smaller petroleum extraction rates. The irreversibilities caused by the anti-surge recycling are important in the early-and end-life stages. The exergy losses are dominated by the energy lost with the exhaust gases (≥ 70 %), except for shut-down situations where large quantities of produced gas are flared, and in end-life production stages where high amounts of produced water are discharged to the sea."
"Thermodynamics and sustainable development","https://scispace.com/paper/thermodynamics-and-sustainable-development-42ojcrx6jc","1997","","","Rene Cornelissen","","https://scispace.com/pdf/thermodynamics-and-sustainable-development-42ojcrx6jc.pdf","It is the objective of this thesis to demonstrate exergy analysis as a powerful instrument to obtain sustainable development. An important aspect of sustainable development is the minimisation of irreversibilities caused by the use of non-renewables. In order to limit the scope of this thesis sustainable development associated with production is considered only. The demonstration cases from practice are selected on four levels: components from process units, process units, complete production processes and, finally, products from production processes. This approach requires life cycle analysis aspects to be included in the exergy analysis.","to the maximum amount of work obtainable when the substance under consideration is brought from the environmental state, defined by the parameters T 0 and P 0 , to the reference state by processes involving heat transfer and exchange of substances only with the environment. Chemical exergy:
 For the calculation of the chemical exergy of the reference gases, which form together the reference atmosphere, the work for getting the components at the standard pressure from the partial pressure of the reference state has to be determined. This is done by the following formula: Chemical exergy:
 e ch = RT 0 ln P 0 /P 00  where P 00 is the partial pressure of the component in the reference state. Chemical exergy:
 For non-reference pure components the chemical exergy can be determined by the following formula: Chemical exergy:
 with ∆G 0 is the Gibbs function of formation. ∆G 0 can be calculated from the general relation: Chemical exergy:
 where v k , v j and ∆g k , ∆g j are the stoichiometric coefficients and the molar Gibbs functions of formation, respectively, j is the j-th co-reactant and k is the k-th product. Chemical exergy:
 The chemical exergy for mixtures can be calculated as follows: Chemical exergy:
 e ch, mix. = Σ i x i e ch,i + RT 0 Σ i x i ln γ i x i (1.9) Chemical exergy:
 where x i is the mol fraction of the i-th component, R is the molar gas constant and γ i is the activity coefficient. For ideal solutions the activity coefficient is equal to one. Chemical exergy:
 For many fuels the chemical structure is unknown. To overcome this problem the chemical exergy for this fuels can be estimated on the basis of the net combustion value (NCV). The relation between the NCV and the chemical exergy is: Chemical exergy:
 where φ can be calculated with formulas based on the atomic composition. For different fuel oils and petrol φ is between 1.04 and 1.08. Irreversibility:
 The irreversibility, also called exergy destruction or exergy loss, is calculated by setting up the exergy balance and taken the difference between all incoming and outgoing exergy flows or in formula form Irreversibility:
 Another way of calculating the irreversibility can be done by the Gouy-Stodola formula, in which the entropy increase is multiplied by the environmental temperature, in formula form Energy analysis and exergy analysis:
 In an energy analysis, based on the first law of thermodynamics, all forms of energy are considered to be equivalent. The loss of quality of energy is not taken into account. For example, the change of the quality of thermal energy as it is transferred from a higher to a lower temperature can not be demonstrated in an energy analysis. It shows the energy flow to be continuous. An exergy analysis, based on the first and second law of thermodynamics, shows the thermodynamic imperfection of a process, including all quality losses of materials and energy, including the one just described."
"Irreversibility in river flow","https://scispace.com/paper/irreversibility-in-river-flow-3kqzcs1llk","2015","Journal Article","","Umberto Lucia
Patrizia Buzzi
Giuseppe Grazzini","10.18280/IJHT.34S112","https://scispace.com/pdf/irreversibility-in-river-flow-3kqzcs1llk.pdf","In the last twenty years, the entropy generation approach has been developed in order to analyse complex systems (open and irreversible) The first applications of the entropy generation extrema theorem were developed on energy systems, but recently, it has also been extended to biological systems in order to evaluate their stationary states In this paper, the entropy generation is analyzed in relation to the hydrological and hydraulic behaviour of rivers An example is developed on the Tanaro River in Piedmont (Italy)","3 it is used to analyze the behaviour of Tanaro river. Entropy generation approach: Earth system is far from equilibrium as pointed out by Lovelock . The hydrologic cycle is caused by the vapour concentration out of equilibrium, driven by : Entropy generation approach:
 Updrafts: the vapour is brought to supersaturation Precipitation: the vapour becomes unsaturated when it descends back to the Earth surface Potential energy on the Earth surface associated with the different height Different water state of matter due to temperature gradient on the Earth surface. Entropy generation approach:
 All these disequilibria represent the source of exergy flows due to energy gradients  associated with them . Entropy generation approach:
 In order to study the dissipation of fluid systems entropy has been introduce , for any volume V considered: Entropy generation approach:
 where s is the specific entropy, V is the volume, q is the specific heat power absorbed, T is the temperature and w is the specific lost mechanical power, and such that it is always verified that: Entropy generation approach:
 with Q J heat power flux density. Gibbs introduced the available energy, named exergy, defined as the maximum useful work obtained if a system is in thermodynamic equilibrium with the environment with a process in which the system interacts only with it . The available work lost in an irreversible process, the exergy lost, called also as anergy or exergy dissipation, can be obtained as: Entropy generation approach:
 This relation is known as the Gouy-Stodola theorem . It represents a fundamental approach in engineering analysis of the irreversibility of open systems, useful to evaluate the work lost for irreversibility using the entropy generation balance . Starting from this theorem, since 1995 we are carrying on a theoretical and phenomenological approach based on entropy generation in order both to introduce a principle of analysis for irreversibility in engineering and science  phenomena. The mathematical basis of this approach is the variational calculus, too, and some phenomenological hypothesis as follows : Entropy generation approach:
 1. a real open irreversible linear or non-linear system is considered; 2. each process has a finite lifetime ; Entropy generation approach:
 3. what happens in each instant in the range [0, ] cannot be known, but what was happened after the time (the result of the process) is well known (at least it is sufficient to wait and observe is required only to define temperature and entropy; 4. the entropy balance equation is a balance of fluxes of entropy and energy. The result obtained consists in the conditions of stability of a stationary state for an open system : Entropy generation approach:
 where W 1 is the lost work required to maintain the state 1 of the open system at the temperature T 1 T 0 , with T 0 environment temperature. This relation proves that:"
"Evaluating the Gouy-Stodola Theorem in Classical Mechanic Systems: A
  Study of Entropy Generation","https://scispace.com/paper/evaluating-the-gouy-stodola-theorem-in-classical-mechanic-28tbq1r5","2022","Posted Content","","","10.48550/arxiv.2206.09715","https://scispace.com/pdf/evaluating-the-gouy-stodola-theorem-in-classical-mechanic-28tbq1r5.pdf","We propose to apply the entropy generation $(\dot S_{gen}$) concept to a mechanical system: the well-known simple pendulum. When considering the ideal case, where only conservative forces act on the system, one has $\dot S_{gen}=0$, and the entropy variation is null. However, as shall be seen, the time entropy variation is not null all the time. Considering a non-conservative force proportional to the pendulum velocity, the amplitude of oscillations decreases to zero as $t$ grows. In this case, $\dot S_{gen}>0$ indicates that it is related to energy dissipation, as stated by the Gouy-Stodola theorem. Hence, as shall be seen, the greater the strength of the non-conservative force, the greater are both the energy dissipation and the time rate of entropy variation. ","Title: Evaluating the Gouy-Stodola Theorem in Classical Mechanic Systems: A Study of Entropy Generation Authors: R H Longaresi (Corresponding Author),S D Campos Keywords: Gouy-Stodola Theorem, Entropy, Entropy Generation"
