"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Comprehensive two-dimensional gas chromatography coupled to time of flight mass spectrometry: new biomarker parameter proposition for the characterization of biodegraded oil","https://scispace.com/paper/comprehensive-two-dimensional-gas-chromatography-coupled-to-3n7az1sc77","2013","Journal Article","Journal of the Brazilian Chemical Society","Renata F. Soares
Ricardo Pereira
Raphael S. F. Silva
Leonardo Mogollon
Débora A. Azevedo","10.5935/0103-5053.20130198","https://scispace.com/pdf/comprehensive-two-dimensional-gas-chromatography-coupled-to-3n7az1sc77.pdf","Comprehensive two-dimensional gas chromatography with time of flight mass spectrometry (GC×GC-TOFMS) is an appropriate technique for the elucidation of molecular composition of petrochemical samples, such as biodegraded oils. Biomarkers were separated and identified, and conventional biomarker ratios were determined via gas chromatography-mass spectrometry (GC-MS) and GC×GC-TOFMS. In the extracted ion chromatogram m/z 123 + 177 + 191, coelutions between tricyclic terpanes, hopanes and 25-nor-hopanes with secohopanes were resolved by GC×GC-TOFMS. GC×GC-TOFMS allowed the identification of complete series of 25-nor-hopanes, nor-gammacerane, C29 28-nor-spergulanes and oleanane not identified by using GC-MS. The biomarker ratios from the studied oils indicated that they derived from marine source rock deposited under anoxic conditions. The higher chromatographic resolution and sensitivity achieved by using GC×GC-TOFMS allowed for three new parameters to characterize biodegraded oils. These results indicated the superiority of GC×GC-TOFMS for separation and identification of individual and non-target compounds in severely biodegraded oils.","biodegradation: Oil #1 > Oil #2 > Oil #3 > Oil #4. This demonstrates the same trend as the 25-NH/H30 ratio exhibited between the samples, which is the parameter usually employed for characterization of biodegraded oils. Biodegradation:
 The relation graphic between 25-NH/H30 with 25,30-BNH/H30, 25,28-BNH/H30 and SH30/H30 ratios, showed good correlation (R 2 greater than 0.9) between 25-NH/H30 with 25,30-BNH/H30, 25-NH/H30 with 25,28-BNH/H30, and 25-NH/H30 with SH30/H30 ratios, which can be observed across the correlation coefficient of 0.993, 0.9978 and 0.9201 respectively, as shown in Figure  in the SI section. According to the results obtained in this work, three new promising parameters may be proposed, but further investigation based on a larger number of severely biodegraded oils is required in order to verify and finally include them as biodegradation parameters. After the confirmation, the compounds 25,28-BNH, 25,30-BNH and SH30, and consequently the three new promising parameters on which they are based, 25,28-BNH/H30, 25,30-BNH/H30 and SH30/H30, should be routinely employed in future investigation, mainly for severely biodegraded oils. Thus, the potential of GC×GC-TOFMS to provide new biodegradation parameters is demonstrated in these results. Biodegradation:
 Origin and maturation ratios, as Hop/St, H30/C 27 ααα, Ts/Tm, Ts/(Ts + Tm), H32 S/(S + R), C 29 ααα S/(S + R) and C 29 ββ/(αα + ββ), did not vary significantly for these four samples using both GC-MS and GC×GC-TOFMS. However, for the biodegradation parameters as SH30a/H30 and 25,30-BNH/H30, this was not completely true. A significant change was observed, clearly showing the biodegradation effect, as presented in Table . Therefore, the SH30a/H30, 25,28,30-TNH and 25,30-BNH/H30 ratios may also be applied routinely, beside the commonly used 25-NH/H30, 25,28,30-BNH/H30. Conclusion:
 The oils from Colombia under investigation showed complete series of 25-nor-hopanes, some demethylated tricyclic terpanes, nor-gammacerane, C 29 28-nor-spergulanes, 25,30-BNH, 25,28-BNH, 25,28,30-TNH and 8,14-secohopanes, which resulted from the heavy biodegradation that occurred in the reservoirs."
"Petrophysical properties of bitumen from the Upper Devonian Grosmont reservoir, Alberta, Canada","https://scispace.com/paper/petrophysical-properties-of-bitumen-from-the-upper-devonian-2lmbhp1vaa","2009","","","Yi Zhao","10.7939/R3MX5N","https://scispace.com/pdf/petrophysical-properties-of-bitumen-from-the-upper-devonian-2lmbhp1vaa.pdf","","steranes are generally missing from our samples, and the distributions of hopanes are strongly affected in at least half of the samples. Even the tricyclics and diasteranes are found to be heavily biodegraded in 4 samples. Conclusions:
 Most of the biomarker distributions and biodegradation characteristics are typical for the examined compound classes. The order of susceptibility to biodegradation in the Grosmont reservoir is steranes > hopanes > diasteranes > tricyclic terpanes > gammacerane and normoretane, which is in agreement with the previous study by . The source-oriented biomarker, 28, 30-bisnorhopane, is found to be biodegraded at about the same biodegradation level of hopanes. Conclusions:
 Therefore, it is likely that the absence of 28, 30-bisnorhopane in the Grosmont reservoir is due to the extreme biodegradation. This finding is very important, as it supports the notion that the Devonian Grosmont bitumen and the overlying Cretaceous heavy oil and oil sands deposits share the same oil source, all of them contain the uncommon biomarker 28, 30-bisnorhopane. Conclusions:
 Biodegradation parameters are successfully identified (i.e. Conclusions:
 H30/H29, C23/H29, and Tm/H29; C23/Tm, H29/Tm, and H30/Tm) to differentiate the extent of biodegradation of each sample examined. A 3-level biodegradation pattern catered to the Grosmont reservoir has been derived. It shows that biodegradation is related to stratigraphy and, more specifically, appears enhanced at formation boundaries. Conclusions:
 Aging is found to have minor effect on the biomarker distributions in this study, probably due to the severe degree of biodegradation the bitumens had experienced in the subsurface. Some biodegradation parameters (i.e., H30/H29 and H30/Tm) show great potential for correlating with bitumen viscosities to predict oil quality at in-situ conditions. However, more data with accurate viscosity measurements are needed to examine this possibility. CHAPTER 6 CONCLUSIONS AND FUTURE WORK RECOMMENDATIONS:
 The main objective of this thesis is to generate useful petrophysical data of bitumen, especially bitumen viscosities, in the Grosmont reservoir to assist future exploitation in the study area. This goal is approached by investigating the bitumen properties of 49 samples from 15 wells along a NW-SE strike cross section in the study area. The main conclusions and recommended future work can be summarized as follows. CHAPTER 6 CONCLUSIONS AND FUTURE WORK RECOMMENDATIONS:
 1) Bitumen from the Grosmont reservoir is essentially a non-Newtonian fluid with a shear-thinning behavior, especially at low temperature (<40°C). This behavior is related to and/or controlled by the composition and internal structure of the bitumen. Caution should be taken when measuring bitumen viscosity under low temperature, and the shear rate applied should always be included when presenting viscosity data. A method to calculate the zero-shear viscosity of Grosmont bitumen has been developed in this study."
"The structure and function of asphaltenes : an organic geochemical and ultrasound study","https://scispace.com/paper/the-structure-and-function-of-asphaltenes-an-organic-36ja1rnvll","2016","Dissertation","","Ishicheli Reuben Agbidi","","https://scispace.com/pdf/the-structure-and-function-of-asphaltenes-an-organic-36ja1rnvll.pdf","..........................................................................................iii Acknowledgements..............................................................................v Dedication........................................................................................vii Table of contents.................................................................................viii List of tables........................................................................................xv List of figures....................................................................................xviii List of symbols..................................................................................xxvi List of appendices...............................................................................xxix Chapter","possess structural features of remnants of the kerogen from which these were derived over geological time, and have been used to correlate crude oils to their source rocks, and to evaluate their thermal and reservoir emplacement histories, especially for biodegraded oils . Asphaltene molecular weights:
 The molecular weights of asphaltenes are variable and there is debate as to whether they are monomeric or polymeric as different measurements from previous studies has revealed various values which differ by as much as a factor of 10 or more (Groenzin and A B . The determination of molecular weights of asphaltenes has been difficult because of their tendency to associate with other fractions of hydrocarbons to form well-ordered crystalline structures. However, there is no general agreement to the problem as different measurements have given different molecular weights. The result of the molecular mass measurements of asphaltenes extracted from coal and petroleum using laser desorption/ionization (LDI) mass spectrometric measurements revealed that coal asphaltenes have a relatively narrow molecular weight distributions, typically within 600 -800 amu, while petroleum asphaltenes show a broader molecular weight distributions, which falls rapidly above 1500 amu . As a result, these measurements are in good agreement with mass spectrometric and molecular diffusion studies of asphaltenes. However, time-resolved fluorescence depolarization (FD) measurements have revealed that asphaltenes are small molecules weights with mean molecular weights of roughly 750 amu with most of the population being between 500 and 1000 amu for petroleum asphaltene, and primarily monomeric and not polymeric . We must be cautious with assigning mean values size to the heterogeneous population of asphaltene aggregates due to wide range of stability among the various aggregates. This might lead which to conflicting interpretation of data from various techniques . Thus, despite research on this subject,  argued that the molecular weight is not suitable as a sole parameter to characterise asphaltene behavior in petroleum fluids. Biomarkers:
 Biomarker or biological marker molecules are certain organic compounds occurring in crude oils, bitumen, coal, and source rocks that can be traced back to their biological molecular precursors in the contemporary or extinct biota. These complex molecular fossils possess a basic carbon skeleton that can be linked to a known natural product in the biosphere such as chlorophyll, sterols, and hopanoids . Many biomarkers in crude oils are resistant to secondary processes, e.g. Biomarkers:
 biodegradation. In the past three decades, these classes of organic compounds have provided an improved understanding of sources of organic matter, environmental conditions during deposition, maturity, age and degree of biodegradation, in petroleum exploration and production . Key common examples of biomarker classes include: branched and cyclic hydrocarbons. However, a whole variety of acyclic isoprenoid hydrocarbons like phytane, to polycyclic classes, such as the hopane and steranes have been reported in crude oils, bitumen, coal, and source rock extracts ."
"Biomarker characters and biodegradation of petroleum in Gangxi oil field, China","https://scispace.com/paper/biomarker-characters-and-biodegradation-of-petroleum-in-4owl0vpe67","2014","","","Minmin Cai
Jun Yao
Ruixia Wang","","https://scispace.com/pdf/biomarker-characters-and-biodegradation-of-petroleum-in-4owl0vpe67.pdf","Biomarker characters and biodegradation of petroleum were investigated in Gangxi oil field, China, using GC-MS analysis. TIC profiles suggested that the petroleum in oil reservoir was biodegraded seriously by indigenous microbiota, due to the secondary alteration processes (water flooding since 1972). The n-alkanes were missing in most of oil samples. The iso-alkanes were present in all of the samples but in low concentration. The polycyclic aromatic hydrocarbons were degraded at different degrees. The PAHs of 2 rings were almost missing, while that of 3 or 4 rings were present at low degraded rate. These suggested that the indigenous microorganism of oil well might have ability to degrade petroleum and it could be used for remedying oil spill. Through analysis of 28 kinds of biomarker, these oils showed similar characteristics: mid content of gammacerane, abundant hopane, and low content of oleanane. These meant that the source of oil might be prokaryotic organisms and algal, and the reservoirs was a not highly reducing and anoxic environment. The maturity parameters of 20S / (20S + 20R) and ββ / (ββ + αα) showed these oil was mature oil, and the maturity degree of oil samples increased as order: 2#, 5#, 3# or 1#, 4#, 6#.","chromatograph -MS spectrometer equipped (SHIMADZU), fitted with a capillary column (RESTEK, USA) RXI-5 ms (30m × 0.25mm i.d., 0.25μm film). Chemical character of biomarkers:
 The chemical type and relative content of biomarker compounds in a specific oil was considered as its unique fingerprint . Terpane(m/z 191), Sterane(m/z 217 and 218) and Triaromatic steroid hydrocarbon (m/z 231) were identified and semi-quantitatively determined by selective ion monitoring (SIM) chromato-graphy. Degree of Crude Oil Degradation:
 Most samples of Gangxi zone were degraded, and the samples of 2#, 3#, 4#, 5# and 6# were completely depleted of n-alkanes, as shown in Fig. . Compared to 1# sample, the lowest degraded sample in all samples, the degree of degradation of others was high (considering C 10 -C 35 ). 1# samples still had n-alkanes, although it was low. The biodegradation characteristic of oil samples was showed in table 1. The iso-alkanes were present in all of the samples, but in low concentration (above 80 % of compound is degraded compared to non-degraded sample). The polycyclic aromatic hydrocarbons (PAHs) were degraded at different degrees.The PAHs of 2 rings were almost missing, while that of 3 or 4 rings were present at low degraded rate. The degradation degrees of all oil samples were similar. But that of 5# sample wasthe most in all, which might be caused by more mining time. All showed that the oil of Gangxi zone was degraded by the indigenous microorganism especially when interfered by mining.This also suggested that the indigenous microorganism of oil well might have ability to degrade petroleum and it could be used for remedying oil spill. Biomarker character of oil in Gangxi oil filed:
 Some biomarkerswere analyzed and these oil samples have some similar characteristics: mid content of gammacerane, abundant hopane, and low content of oleanane. These biomarkers were clearly dominated by source input, and hopanes, C30 diahopane, tri-cyclic terpanes and regular steranes in oil respectively meant prokaryotic organisms (e.g., bacteria and blue-green algae), bacteria, algal, and eukaryotic organisms (e.g., diatoms, flagellates, zooplanktons) or higher organisms as source . The analysis result, the content of regular steranes (m/z 217 and 218) was much lower (1 -10%) than that of tri-cyclic terpanes and hopanes (m/z 191), and it showed that the source of these oil might be prokaryotic organisms and algal; the oil reserve of Gangxi zone came from sea in accordance with the filed site. C35 was considered as an indicator for highly reducing and anoxic environments , but all samples were completely depleted of it, that meant a not highly reducing and anoxic environment of Gangxi oil reserve."
"Investigation on the biodegradation levels of super heavy oils by parameter-striping method and refined Manco scale: a case study from the Chepaizi Uplift of Junggar Basin","https://scispace.com/paper/investigation-on-the-biodegradation-levels-of-super-heavy-2g40fwp0hc","2021","Journal Article","Petroleum Science","Xiangchun Chang
Bingbing Shi
Zhongquan Liu
Yue Wang
Youde Xu","10.1007/S12182-020-00542-X","https://link.springer.com/content/pdf/10.1007/s12182-020-00542-x.pdf","","diasteranes from the PM7 to PM8 level, and sharp depletion from PM8 to PM9 + . However, the variation of diahopane concentrations (Fig. ) possibly indicated its high bioresistance or other mechanism needed to further investigate. Refined Manco scale:
 Generally, RMN 2 ranged from 546.04 to 909.63, which approximately distinguished the oils at the level of PM6 to PM9 + (Table ). Exceptionally, by contrast, the oils from well P60 exhibited higher oil density but lower biodegradation extent than that from well P685. Factually, there is not a simple relationship between the oil viscosity and the Manco Number . Processes other than biodegradation, i.e., secondary oil charge, water washing, mixing of multiple maturity oil charges, and loss of light ends from heavy oils could produce variations in oil viscosity and API gravity . The two episodes of oil charging, early biodegraded oils mixed with the later remigration of preexisting oils due to the structural adjustment, yet the same oil origin in the Chepaizi Uplift maybe responsible for this case . Refined Manco scale:
 Notably, although the RMN 2 calculated by the refined Manco scale showed roughly positive correlation with oil density, some samples, especially those three biodegraded at PM8, exhibited much the same RMN 2 but with different oil densities. This indicated that biodegradation refractory compound class added in this refined scale could not perfectly differentiate the appearances among oils biodegraded at about PM8. More assemblages of compound classes need to be established to refine the Manco scales in further trials. Geochemical implications:
 Although the Carboniferous oils in the western and eastern Chepaizi Uplift were derived from different source kitchens, oils within the individual groups had common origin and similar maturities ). The differences observed in PM and refined Manco scales were attributed to the biodegradation extent. By contrast, the refined Manco scale showed higher resolution than the PM scale, which can differentiate the biodegradation extent of super heavy oils with same PM values but different oil viscosities (Table ). Geochemical implications:
 For the eastern Chepaizi Uplift, Carboniferous oils were mostly biodegraded above PM8; however, their oil viscosity displayed orders of magnitude variations. Known to all, the physical properties, particularly the oil viscosity, were critical to the choice of exploration strategies. Subtle differences revealed by the refined Manco scale could be helpful. Besides the practical application, refined Manco scale also allow geochemists conducting more basic study to understand the relative differences in the extent of the biodegradation process among related samples."
"Degradability of n-alkanes during ex situ natural bioremediation of soil contaminated by heavy residual fuel oil (mazut)","https://scispace.com/paper/degradability-of-n-alkanes-during-ex-situ-natural-nho79do314","2013","Journal Article","Journal of The Serbian Chemical Society","Ramadan Mohamed Muftah Ali
Tatjana Šolević-Knudsen
Mališa Antić
Vladimir Beškoski
Miroslav M. Vrvić
Jan Schwarzbauer
Branimir Jovančićević","10.2298/JSC120829106A","https://scispace.com/pdf/degradability-of-n-alkanes-during-ex-situ-natural-nho79do314.pdf","It is well known that during biodegradation of oil in natural geological
 conditions, or oil pollutants in the environment, a degradation of
 hydrocarbons occurs according to the well defined sequence. For example, the
 major changes during the degradation process of n-alkanes occur in the
 second, slight and third, moderate level (on the biodegradation scale from 1
 to 10). According to previous research, in the fourth, heavy level, when
 intensive changes of phenanthrene and its methyl isomers begin, n-alkanes
 have already been completely removed. In this paper, the ex situ natural
 bioremediation (unstimulated bioremediation, without addition of biomass,
 nutrient substances and biosurfactant) of soil contaminated with heavy
 residual fuel oil (mazut) was conducted during the period of 6 months. Low
 abundance of n-alkanes in the fraction of total saturated hydrocarbons in the
 initial sample (identification was possible only after concentration by urea
 adduction technique) showed that the investigated oil pollutant was at the
 boundary between the third and the fourth biodegradation level. During the
 experiment, an intense degradation of phenanthrene and its methyl-,
 dimethyl-and trimethyl-isomers was not followed by the removal of the
 remaining n-alkanes. The abundance of n-alkanes remained at the initial low
 level, even at end of the experiment when the pollutant reached one of the
 highest biodegradation levels. These results showed that the unstimulated
 biodegradation of some hydrocarbons, despite of their high biodegradability,
 do not proceed completely to the end, even at final degradation stages. In
 the condition of the reduced availability of some hydrocarbons,
 microorganisms tend to opt for less biodegradable but more accessible
 hydrocarbons.","steranes, tricyclic terpanes, diasteranes, diahopanes and norhopanes begin. Among these compounds, only C 21 and C 22 steranes and tricyclic terpanes can be removed completely. INTRODUCTION:
 For the degradation of some compounds, microorganisms and conditions for degradation are unknown, and these compounds are considered non-biodegradable. This is especially true for compounds in the fraction of NSO-compounds.  In this study, ex situ natural microbial degradation of soil contaminated with heavy residual fuel oil (mazut) was conducted during a period of 6 months. The fate of the n-alkanes in the pollutant was monitored. Namely, the main transformations during the degradation process of n-alkanes, which are the dominant hydrocarbons in most oils and oil-type pollutants, occur during the second, slight and the third, moderate level (on the biodegradation scale from 1 to 10).  According to previous research, in the fourth, heavy level, when intensive changes of phenanthrene and its methyl isomers begin, the n-alkanes had already been completely removed. However, in the samples investigated in the present study, at the very beginning of the biodegradation experiment, n-alkanes within the fraction of saturated hydrocarbons were present in amount close to the detec-BIODEGRADATION OF n-ALKANES AND PHENANTHRENES 1037 tion limit. The question arose as to what their fate would be in case of their minimum availability to the microorganisms. EXPERIMENTAL:
 The ex situ natural biodegradation (non-stimulated bioremediation, without addition of biomass, nutrient substances and biosurfactant) of a soil contaminated with heavy residual fuel oil (mazut) was conducted. The crude oil-polluted soil was excavated contaminated soil from an energy power plant that, due to a breakdown, had been polluted for a year with heavy fuel oil and sediment from a heavy oil reservoir."
"Sequential hydrocarbon biodegradation in a soil from arid coastal Australia, treated with oil under laboratory controlled conditions","https://scispace.com/paper/sequential-hydrocarbon-biodegradation-in-a-soil-from-arid-573o4er7yq","2008","Journal Article","Organic Geochemistry","Paul F. Greenwood
Sarah Wibrow
Suman George
Mark Tibbett","10.1016/J.ORGGEOCHEM.2008.05.005","https://research-repository.uwa.edu.au/files/1451142/11699_PID11699.pdf","","Title: Sequential Hydrocarbon Biodegradation of a soil from arid coastal Australia oiltreated under laboratory controlled conditions Authors: Paul F Greenwood (Corresponding Author),Sarah Wibrow,Suman J George,Mark Tibbett Keywords: Biodegradation, Petroleum, Soil, Hydrocarbon, Methylnaphthalenes, Methylphenanthrenes"
"Gas Chromatography in Environmental Sciences and Evaluation of Bioremediation","https://scispace.com/paper/gas-chromatography-in-environmental-sciences-and-evaluation-1ae3lvkskj","2012","Book Chapter","","Vladimir Beškoski
Gordana Gojgić-Cvijović
Branimir Jovančićević
Miroslav M. Vrvić","10.5772/33955","https://scispace.com/pdf/gas-chromatography-in-environmental-sciences-and-evaluation-1ae3lvkskj.pdf","Both soil and water become contaminated by oil and oil derivatives due to accidental spills in their exploitation, transportation, processing, storing and utilization. In 2010, 3.91 billion tons of crude oil was produced (BP Statistical Review, 2011) and estimations are that annually 0.1% of produced petroleum is released into the environment (Ward et al., 2003) as a result of anthropogenic activities.","in TPH and n-alkane composition: The applied zymogenous microbial consortium biodegraded and ''consumed'' all components of the complex mass of hydrocarbons, although different rates of degradation were observed, as shown in Table . . Indicator:
 The ratios of pristane/n-C 17 and phytane/n-C 18 can be used to differentiate physical weathering and biodegradation . As the volatility of n-C 17 and pristane and n-C 18 and phytane are similar, weathering should be attributed to a reduced concentration of these substances over time, if their ratio remains constant. An increase in the pristane/n-C 17 and phytane/n-C 18 ratios over time is likely to be a consequence of bioremediation, since n-C 17 and n-C 18 degrade more rapidly than pristane and phytane, respectively. Biodegradation of pristane and phytane, as found in , shows that these compounds are not suitable as markers for following a bioremediation process. In fact, comparison of the content of other hydrocarbons in relation to pristane and phytane could underestimate the degree of their biodegradation. Transformation of isoprenoids, steranes and terpanes:
 Isoprenoid aliphatic alkanes, pristane and phytane, and polycyclic alkanes of sterane and triterpane types in saturated hydrocarbon fractions were analysed by GC-MS. Isoprenoids were identified from the m/z 183, steranes from m/z 217 and triterpanes from m/z 191 selected ion chromatograms obtained from analysis in the SIM mode. The most relevant peaks were identified based on organic geochemical literature data , or based on total mass spectra, using mass spectra databases (NIST/EPA/NIH Mass spectral library NIST2000, Wiley/NBS Registry of Mass spectral Data 7 th Ed., electronic versions). Transformation of isoprenoids, steranes and terpanes:
 In the chromatogram m/z 183 of all the samples, the pristane and phytane peaks are clearly differentiated, being the most intensive in the sample S-0 (Figure ). In this sample, individual peaks originating from the homologue chain > C 20 isoprenoids are also observed, while in sample S-150 they are biodegraded."
"Implications of microbial enhanced oil recovery and waterflooding for geochemical interpretation of recovered oils.","https://scispace.com/paper/implications-of-microbial-enhanced-oil-recovery-and-39ulady9","2022","Journal Article","Anais Da Academia Brasileira De Ciencias","Luciana G.P. Sodré
Laercio Lopes Martins
Lorraine Louise Grecco Cavalcanti De Araujo
Danielle M M Franco
Boniek G. Vaz
Wanderson Romão
Valéria M. Merzel
Georgiana Feitosa da Cruz","10.1590/0001-3765202220211433","https://scispace.com/pdf/implications-of-microbial-enhanced-oil-recovery-and-39ulady9.pdf","Biosurfactants and waterflooding have been widely reported thus far for enhancing oil production. Nevertheless, there is a lack of literature to explore enhanced oil recovered methods effects on its chemical composition. The aim of this work is to investigate the effects of a biosurfactant produced by Bacillus safensis and brine injection on the recovered petroleum composition, and their implications for geochemical interpretation. Original and oils recovered from displacement tests were analyzed by gas chromatography and ultra-high-resolution mass spectrometry, emphasizing saturated and aromatic biomarkers and basic and acidic polar compounds. Geochemical parameters based on some saturated compounds were subtly affected by the recovery methods, showing their reliable applicability in geochemical studies. Contrarily, parameters based on some aromatic compounds were more affected by biosurfactant flooding, mostly the low molecular weight compounds. Thus, these aromatic parameters should be applied with caution after such methods. The distribution of basic and acidic polar compounds can also be modified affecting the geochemical interpretation. In the case of the basic ones, the biosurfactant greatly influenced the N class species with favorable loss of lower aromaticity compounds. In addition to water solubilization, the compositional changes described in this study can be related to fractionation due to adsorption on reservoir rocks.","Title: Implications of microbial enhanced oil recovery and waterfl ooding for geochemical interpretation of recovered oils Authors: Luciana G P Sodré,Laercio L Martins,Lorraine Louise,G C De Araujo,Danielle M M Franco,Boniek G Vaz,Wanderson Romão,Valéria M Merzel,Georgiana F Da Cruz Keywords: Biomarkers, biosurfactant, MEOR, oil recovery, petroleomics"
"Geochemical Characterization of Heavy Oil Accumulations on the Northeastern Margin of the Neuquén Basin, Argentina","https://scispace.com/paper/geochemical-characterization-of-heavy-oil-accumulations-on-1jrgbctp23","2009","","","Martín F. Cevallos
Edmundo N. Marot
Hernán Paponi
Petro Andina
Héctor Villar
Florida-Buenos Aires","","https://scispace.com/pdf/geochemical-characterization-of-heavy-oil-accumulations-on-1jrgbctp23.pdf","Summary One of the key issues related to heavy oil development is understanding the variation of API gravity and viscosity. Direct measurements are usually difficult (mainly for viscosity) and provide limited information regarding genesis of the hydrocarbons. Geochemistry has been used effectively to characterize heavy oil pools, and data collection at early stages of development is the key to addressing depletion strategies. Recent heavy oil discoveries and their development by Petro Andina in the Northeastern margin of the Neuquen Basin (Mendoza and La Pampa Provinces, Central-Western Argentina) motivated an intensive rock and fluid characterization project. At early development stages, the lack of good analogies in the country forced the company to base reserves assessments and reservoir performance on inappropriate analogs, lab studies and incipient pilot projects. This is way fluid sampling for geochemical characterization began in the exploration phase and it is still ongoing. In the studied areas, hydrocarbon pools are mainly in stratigraphic traps, where truncation and pinch-out are the key elements on updip edges. The main reservoirs are unconsolidated sandstones of the Centenario Formation (Hauterivian), deposited in a marginal marine to fluvial environment. Petrophysical properties are very good, with 30% average porosity and permeability ranging from 0.5 to 3 Darcies. The arid paleoclimate of the region and the predominance of siltstones and shaly sands in the shallower formations, resulted in a thick vadose zone causing a “naturally under pressured regime”. The main pay zone is at an average depth of 600 meters (Figure 1(a)). There is an overall vertical distribution of hydrocarbon types along the preserved Cretaceous section. The deeper reservoirs, the carbonate-siliciclastic mixture of the Loma Montosa Formation, host the lighter oils, with 30 °API and 2500 GOR. The main pay zone is in the Centenario Formation and it accounts for 99% of the producing reserves and has oil gravities averaging 19° API (range 15 to 20° API), viscosities ranging from 250 - 700 cP at reservoir conditions. The shallowest hydrocarbon pools are hosted by the Neuquen Group (Upper Cretaceous), which are mainly saturated with methane (6 - 30 % molar CO2) and isolated oil lenses below a poorly defined GOC (poorly sampled, preliminary around 15 °API, but lower gravities are inferred). Formation water has being intensively sampled from the main pay zone (Centenario Formation)","sparsely for other units, showing geographic and vertical compositional variations. There is a general salinity decrease from East to West and from deeper to shallower reservoirs that could be linked to meteoric water source and or oil migration entry point. Geochemical Characterization: The oils of the study area are typically biodegraded but still bear the unaltered biomarker fingerprints of the basinal organic facies of the Vaca Muerta shales, considered the most prolific hydrocarbon source unit of the Neuquén Basin. Their geochemical signature is largely consistent with a siliciclastic marine source enriched in algal organic matter, deposited under moderately anoxic conditions. According to biomarker isomerization ratios and other maturity-dependant parameters such as the degree of thermal cracking of triaromatic steranes, the oils are thermally mature and have been generated close to the peak oil phase. This infers lateral migration in the order of 40-60 km from the hydrocarbon kitchen located to the South-Southwest of the producing area, according to the known present-day maturity trends known for the Vaca Muerta in this region of the basin. The biodegradation of the oils varies from very light to, moderate. The first level (API around 30-34°) characteristically occurs in the deepest reservoir layers (Base of Lower Centenario Member and Loma Montosa Formation) where the oils have experienced either no alteration or mild to significant alteration of light ends plus occasional mild alteration of mid-range paraffins. The second level (API in the range 15-20°) is ubiquitous in the intermediate reservoir layers (Lower and Upper Centenario), where the oils are usually depleted in n-paraffins and isoprenoids. Both saturate and aromatic biomarkers are generally not affected by the biodegradation process; in particular, 25-norhopanes, typical indicators of advanced biodegradation in some oils, have not been detected in the data. The unique groups of compounds that show significant variability to allow monitoring the level of biodegradation through the entire alteration range are two-and three-ring aromatic hydrocarbons, specifically naphthalenes, dibenzothiophenes and phenanthrenes (compare with . These compounds show a general decrease of their concentrations with increasing oil degradation, encompassing stages where paraffins and isoprenoids have been severely altered and are no longer useful for assessment of the alteration progress, and where biomarker fingerprints remain in their original form. In addition, variations in the relative distributions of methylphenanthrenes and dibenzothiophenes allow the application of specific compound ratios that parallel the overall concentration decrease. Although the work to determine the geochemical patterns in relation to oil biodegradation trends in the area is still in a preliminary phase, some examples that illustrate the core of the current results can be offered. Figure shows the decrease of naphthalenes, dibenzothiophenes and phenanthrenes in oil samples extracted from a continuous core through a sandstone reservoir interval of approximately fifteen meters, where the deepest layers are the closest to the water contact. Whereas the gas chromatography (GC) study of the extracted oil shows a monotonous Unresolved Complex Mixture (UCM) pattern deprived of n-alkanes and isoprenoids in all samples, the gas chromatography-mass spectrometry analysis (GCMS) of the aromatic fractions shows the decline in the concentration of the aromatic compounds when the evaluated samples approach the water contact, that is, when the biodegradation progress is more efficient. A second example related to the change in the relative proportions of individual compounds within each aromatic group is provided"
