"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Subsurface Petroleum Microbiology","https://scispace.com/paper/subsurface-petroleum-microbiology-det02z67t4","2014","Book Chapter","","Ajay Singh
Jonathan D. Van Hamme
Ramesh Chander Kuhad
Nagina Parmar
Owen P. Ward","10.1007/978-3-642-41837-2_9","","The importance of microbial activities in petroleum oilfields and reservoirs has been recognized for a long time, but our knowledge of the diversity of bacteria growing in these ecosystems and their metabolic activities in situ is still limited. Petroleum biotransformations in near surface or subsurface environments are achieved by either aerobic or anaerobic microorganisms, depending on oxygen input or the presence of other electron acceptors and appropriate nutrients. Biodegradation of hydrocarbons by aerobic bacteria is supported by the presence of oxygen, whereas anaerobic heterotrophic microorganisms requiring nitrate, sulfate, iron, manganese or carbon dioxide as electron acceptors are responsible for biodegradation of hydrocarbons in the absence of oxygen. In fermentative conditions, no external oxidants are used for substrate oxidation, so that no net oxidation–reduction occurs. More recent research suggests that the anaerobic degradation processes dominate subsurface sedimentary environments, despite slow reaction kinetics. An overview of our current knowledge on the near- and subsurface microbiology associated with petroleum and biogeochemical processes is provided in this chapter.","An overview of the current knowledge on the near- and subsurface microbiology associated with petroleum and biogeochemical processes is provided in this chapter."
"Thermodynamic constraints on methanogenic crude oil biodegradation","https://scispace.com/paper/thermodynamic-constraints-on-methanogenic-crude-oil-2c5k1pkorn","2008","Journal Article","The ISME Journal","Jan Dolfing
Stephen R. Larter
Ian M. Head","10.1038/ISMEJ.2007.111","https://scispace.com/pdf/thermodynamic-constraints-on-methanogenic-crude-oil-2c5k1pkorn.pdf","Methanogenic degradation of crude oil hydrocarbons is an important process in subsurface petroleum reservoirs and anoxic environments contaminated with petroleum. There are several possible routes whereby hydrocarbons may be converted to methane: (i) complete oxidation of alkanes to H2 and CO2, linked to methanogenesis from CO2 reduction; (ii) oxidation of alkanes to acetate and H2, linked to acetoclastic methanogenesis and CO2 reduction; (iii) oxidation of alkanes to acetate and H2, linked to syntrophic acetate oxidation and methanogenesis from CO2 reduction; (iv) oxidation of alkanes to acetate alone, linked to acetoclastic methanogenesis and (v) oxidation of alkanes to acetate alone, linked to syntrophic acetate oxidation and methanogenesis from CO2 reduction. We have developed the concept of a ‘window of opportunity’ to evaluate the range of conditions under which each route is thermodynamically feasible. On this basis the largest window of opportunity is presented by the oxidation of alkanes to acetate alone, linked to acetoclastic methanogenesis. This contradicts field-based evidence that indicates that in petroleum rich environments acetoclastic methanogenesis is inhibited and that methanogenic CO2 reduction is the predominant methanogenic process. Our analysis demonstrates that under those biological constraints oxidation of alkanes to acetate and H2, linked to syntrophic acetate oxidation and methanogenesis from CO2 reduction offers a greater window of opportunity than complete oxidation of alkanes to H2 and CO2 linked to methanogenic CO2 reduction, and hence is the process most likely to occur.","Oxidation of alkanes to acetate and H2, linked to syntrophic acetate oxidation and methanogenesis from CO2 reduction offers a greater window of opportunity than complete oxidation of alkane to H2 and CO2 linked to methanogenicCO2 reduction, and hence is the process most likely to occur."
"A Review of Microbial Degradation of Petroleum Hydrocarbons","https://scispace.com/paper/a-review-of-microbial-degradation-of-petroleum-hydrocarbons-18dxnev9ay","2020","Book Chapter","","Amarjit Rajbongshi
Subrata Borgohain Gogoi","10.1201/9781003049937-19","","Petroleum is a liquid mixture of complex hydrocarbons (HCs). Bioremediation is used extensively for the degradation of HCs, leading to their partial or complete mineralisation into carbon dioxide, water and inorganic compounds. This chapter covers an overview of common HC pollutants, microbes known as HC degraders, biosurfactant-producing microorganisms, which helps in enhancing HC degradation. Microbial degradation is the major and ultimate natural mechanism by which one can clean up the petroleum HC pollutants from the environment. Microbial degradation of HCs is principally based on biodegradation. It is a process of complete removal of organic toxic pollutants into harmless or naturally occurring compounds like carbon dioxide, water and inorganic compounds which are safe for humans, animals, plants and aquatic life. Biosurfactants are surface-active compounds which can reduce the interfacial tension between two liquids or that between a liquid and a solid. The activity of microbes can be affected by the following factors: temperature, oxygen, pH and nutrients.","An overview of common HC pollutants, microbes known as HC degraders, biosurfactant-producing microorganisms, which helps in enhancing HC degradation is presented in this article, which is the major and ultimate natural mechanism by which one can clean up the petroleum HC pollutants from the environment."
"Crude-oil biodegradation via methanogenesis in subsurface petroleum reservoirs","https://scispace.com/paper/crude-oil-biodegradation-via-methanogenesis-in-subsurface-32b1j487j0","2008","Journal Article","Nature","David Jones
Ian M. Head
Neil D. Gray
J. J. Adams
Arlene K. Rowan
Carolyn M. Aitken
Barry Bennett
Haiping Huang
A. Brown
Bernard F.J. Bowler
Thomas B. P. Oldenburg
Michael Erdmann
Stephen R. Larter
Stephen R. Larter","10.1038/NATURE06484","","Biodegradation of crude oil in subsurface petroleum reservoirs has adversely affected the majority of the world's oil, making recovery and refining of that oil more costly. The prevalent occurrence of biodegradation in shallow subsurface petroleum reservoirs has been attributed to aerobic bacterial hydrocarbon degradation stimulated by surface recharge of oxygen-bearing meteoric waters. This hypothesis is empirically supported by the likelihood of encountering biodegraded oils at higher levels of degradation in reservoirs near the surface. More recent findings, however, suggest that anaerobic degradation processes dominate subsurface sedimentary environments, despite slow reaction kinetics and uncertainty as to the actual degradation pathways occurring in oil reservoirs. Here we use laboratory experiments in microcosms monitoring the hydrocarbon composition of degraded oils and generated gases, together with the carbon isotopic compositions of gas and oil samples taken at wellheads and a Rayleigh isotope fractionation box model, to elucidate the probable mechanisms of hydrocarbon degradation in reservoirs. We find that crude-oil hydrocarbon degradation under methanogenic conditions in the laboratory mimics the characteristic sequential removal of compound classes seen in reservoir-degraded petroleum. The initial preferential removal of n-alkanes generates close to stoichiometric amounts of methane, principally by hydrogenotrophic methanogenesis. Our data imply a common methanogenic biodegradation mechanism in subsurface degraded oil reservoirs, resulting in consistent patterns of hydrocarbon alteration, and the common association of dry gas with severely degraded oils observed worldwide. Energy recovery from oilfields in the form of methane, based on accelerating natural methanogenic biodegradation, may offer a route to economic production of difficult-to-recover energy from oilfields.","The data imply a common methanogenic biodegradation mechanism in subsurface degraded oil reservoirs, resulting in consistent patterns of hydrocarbon alteration, and the common association of dry gas with severely degraded oils observed worldwide."
"Anaerobic Biodegradation of Petroleum Hydrocarbons and Enlightenment of the Prospects for Gasification of Residual Oil","https://scispace.com/paper/anaerobic-biodegradation-of-petroleum-hydrocarbons-and-3p1ug3vzzx","2015","","","Wang Li-Ying Mbadinga
Serge Maurice Li
Hui Liu
Jin-Feng Yang
Shi-Zhong Mu Bo-Zhong","","","The conversion of residual oil to natural gas by anaerobic microorganisms could substantially improve the exploitation and utilization of oil resources. The recovery of methane gas as an alternate form of energy from unrecoverable crude oil may offer a route to economic production of energy from petroleum reservoirs. This review summarizes recent progress about microbial communities, reactions thermodynamics and kinetics involved in the anaerobic biodegradation of petroleum hydrocarbons and the subsequent conversion to methane gas. The feasibility and potential for energy recovery via methanogenesis of residual oil is also discussed. Furthermore, we provide new insights for further studies about this forefront technology.","In this paper, a review summarizes recent progress about microbial communities, reactions thermodynamics and kinetics involved in the anaerobic biodegradation of petroleum hydrocarbons and the subsequent conversion to methane gas."
"Anaerobic Biodegradation of Petroleum Hydrocarbons and Enlightenment of the Prospects for Gasification of Residual Oil","https://scispace.com/paper/anaerobic-biodegradation-of-petroleum-hydrocarbons-and-2yqxtux9vy","2010","Journal Article","Microbiology, China","Wang Li","","","The conversion of residual oil to natural gas by anaerobic microorganisms could substantially improve the exploitation and utilization of oil resources.The recovery of methane gas as an alternate form of energy from unrecoverable crude oil may offer a route to economic production of energy from petroleum reservoirs.This review summarizes recent progress about microbial communities,reactions thermodynamics and kinetics involved in the anaerobic biodegradation of petroleum hydrocarbons and the subsequent conversion to methane gas.The feasibility and potential for energy recovery via methanogenesis of residual oil is also discussed.Furthermore,we provide new insights for further studies about this forefront technology.","In this paper, a review summarizes recent progress about microbial communities, reactions thermodynamics and kinetics involved in the anaerobic biodegradation of petroleum hydrocarbons and the subsequent conversion to methane gas."
"Microbial Hydrocarbon Degradation: Efforts to Understand Biodegradation in Petroleum Reservoirs","https://scispace.com/paper/microbial-hydrocarbon-degradation-efforts-to-understand-qjvj4taqha","2013","Book Chapter","","Isabel N. Sierra-Garcia
Valéria Maia de Oliveira","10.5772/55920","https://scispace.com/pdf/microbial-hydrocarbon-degradation-efforts-to-understand-qjvj4taqha.pdf","The understanding of the phylogenetic diversity, metabolic capabilities, ecological roles, and community dynamics taking place in oil reservoir microbial communities is far from complete. The interest in studying microbial diversity and metabolism in petroleum reservoirs lies mainly but not only on providing a better comprehension of biodegradation of crude oils, since it represents a worldwide problem for petroleum industry. Generally, biodegradation of oil affects physical and chemical properties of the petroleum, resulting in a decrease of its hydrocarbon content and an increase in oil density, sulphur content, acidity and viscosity, leading to a negative economic consequence for oil production and refining operations [1,2]. Another important point for studying biodegradation lies on its important role in the global carbon cycle and the direct impact on bioremediation of polluted ecosystems. Furthermore, many of the enzymes involved in the degradation pathways are considered key catalysts in industrial biotechnology [3].","The interest in studying microbial diversity and metabolism in petroleum reservoirs lies mainly but not only on providing a better comprehension of biodegradation of crude oils, since it represents a worldwide problem for petroleum industry."
"Methanogenic degradation of petroleum hydrocarbons in subsurface environments: remediation, heavy oil formation, and energy recovery","https://scispace.com/paper/methanogenic-degradation-of-petroleum-hydrocarbons-in-56a8yv8fxx","2010","Book Chapter","Advances in Applied Microbiology","Neil D. Gray
Angela Sherry
Casey R. J. Hubert
Jan Dolfing
Ian M. Head","10.1016/S0065-2164(10)72005-0","","Hydrocarbons are common constituents of surface, shallow, and deep-subsurface environments. Under anaerobic conditions, hydrocarbons can be degraded to methane by methanogenic microbial consortia. This degradation process is widespread in the geosphere. In comparison with other anaerobic processes, methanogenic hydrocarbon degradation is more sustainable over geological time scales because replenishment of an exogenous electron acceptor is not required. As a consequence, this process has been responsible for the formation of the world's vast deposits of heavy oil, which far exceed conventional oil assets such as those found in the Middle East. Methanogenic degradation is also a potentially important component of attenuation in hydrocarbon contamination plumes. Studies of the organisms, syntrophic partnerships, mechanisms, and geochemical signatures associated with methanogenic hydrocarbon degradation have identified common themes and diagnostic markers for this process in the subsurface. These studies have also identified the potential to engineer methanogenic processes to enhance the recovery of energy assets as biogenic methane from residual oils stranded in petroleum systems.","Studies of the organisms, syntrophic partnerships, mechanisms, and geochemical signatures associated with methanogenic hydrocarbon degradation have identified common themes and diagnostic markers for this process in the subsurface, and identified the potential to engineer methnogenic processes to enhance the recovery of energy assets as biogenic methane from residual oils stranded in petroleum systems."
"The Microorganism Degradation Mechanism of Petroleum Hydrocarbons","https://scispace.com/paper/the-microorganism-degradation-mechanism-of-petroleum-39tqkdgxie","2011","","","Cnpc Chuanqing","","","This article analyzes the conditions required for biodegradation,the environmental factors on microbial degradation of petroleum hydrocarbons,the aerobic degradation mechanism of petroleum hydrocarbons,the aerobic degradation ways,the anaerobic degradation mechanism of petroleum hydrocarbons,the delivery of hydrogen for hydrogen of some inorganic oxygen compound in anaerobic degradation and the degree of petroleum hydrocarbon degradation difficulties.Moreover it proposes that the biodegradation of crude oil should be used in the study of microbial oil recovery.","In this article, the conditions required for biodegradation, environmental factors on microbial degradation of petroleum hydrocarbons, the aerobic degradation mechanism of petroleum polycarbonates, the anaerobic degradation mechanism, the delivery of hydrogen for hydrogen of some inorganic oxygen compound, and the degree of degradation difficulties were analyzed."
"Microbial Bioremediation of Petroleum Hydrocarbons","https://scispace.com/paper/microbial-bioremediation-of-petroleum-hydrocarbons-3y0mr1xre5","2021","Book Chapter","","Sharmila Jayasena
Madushika Perera","10.1007/978-981-15-7447-4_11","","Petroleum oil, a naturally occurring limited resource, is in high demand globally and has led to the extensive drilling, storage, and international transportation The past decades have seen several spills and seepage of crude oil resulting from accidents Petroleum oil, which occurs as crude oil, is a complex and variable mixture of hydrocarbons, comprising saturates, aromatics, resins, and asphaltenes in varying proportions Due to the toxicity and recalcitrant nature of petroleum hydrocarbons, crude oil pollution is currently considered a global environmental hazard While a variety of mechanisms (physical and chemical) are used to tackle such accidental exposures, they are costly and have inherent limitations that may affect the ecological balance Thus, microbial biodegradation of petroleum hydrocarbons has been generating increasing interest as a cost-effective method that causes the least damage to the ecological balance Hydrocarbonoclastic microbes, both bacteria and fungi have been isolated from contaminated sites and are investigated for their degradation potential While bacteria have the advantage of fast turn over, they are limited in that most species are able to utilize only a limited and often narrow range of hydrocarbons Fungi, on the other hand, are intrinsically harder and appear to be more versatile in their utilization of petroleum hydrocarbons The main challenges in use of microbial biodegradation to tackle pollution are complete removal of all the hydrocarbon components and obtaining adequate efficiency in the process The need to improve the degradation potential by microbes continues to drive the exploration for new isolates, as well as the more recent interest in investigation of microbial consortia Use of microbial consortia requires an understanding of their individual requirements as well as the interactions between them","In this article, both bacteria and fungi have been isolated from contaminated sites and are investigated for their degradation potential while bacteria have the advantage of fast turn over, they are limited in that most species are able to utilize only a limited and often narrow range of hydrocarbons Fungi, on the other hand, are intrinsically harder and appear to be more versatile in their utilization of petroleum hydro-carbons."
