"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Geochemical determination of heavy oil viscosity using multivariate statistical algorithms","https://scispace.com/paper/geochemical-determination-of-heavy-oil-viscosity-using-54e8o37gh1","2010","","","J. J. Adams
B. Bennett
Lloyd R. Snowdon
Steve Larter","","https://searchanddiscovery.com/abstracts/pdf/2010/hedberg_vail/abstracts/ndx_adams.pdf","Summary Accurate prediction of fluid properties such as oil viscosity, for core, cuttings and even contaminated samples, using geochemical proxies correlated to physical measurements of viscosity is viable for heavy oil production and exploration activities. Such predictions rely not only on high precision geochemical measurement to calibrate proxy methods but crucially on accurate, representative viscosity measurements, which often reveal error introduced via sample handling and analysis. Here we present multivariate statistical partial least squares (PLS) and artificial neural network (ANN) oil geochemistry-viscosity prediction methods as well as a storage time viscosity correction (STVC) methodology able to ameliorate core storage effects in large legacy viscosity datasets enabling effective correlations of chemical properties and oil viscosity.","In this paper, multivariate statistical partial least squares (PLS) and artificial neural network (ANN) prediction methods as well as a storage time viscosity correction (STVC) methodology are presented."
"Development of compositional-based models for prediction of heavy crude oil viscosity: Application in reservoir simulations","https://scispace.com/paper/development-of-compositional-based-models-for-prediction-of-1fp506cm17","2023","Journal Article","Journal of Molecular Liquids","Zi-mei Liu
Xuliang Zhao
Yifan Tian
Jianping Tan","10.1016/j.molliq.2023.122918","","The properties of crude oil are of great importance for efficient recovery of oil from oil fields. The properties are primarily used in reservoir simulations for prediction of oil recovery in order to save time and obtain the best recovery. Among various crude oil properties, viscosity is the most important one which should be precisely simulated. In this work, a novel approach based on machine learning is developed for estimation of crude oil viscosity as function of input parameters. Multiple distinct tree-based ensemble models are applied on the available dataset in this work to predict heavy-oil viscosity. AdaBoost Decision Trees (ADA-DT), Random Forest (RF), and Extremely Randomized Trees (ERT) are selected tree-based ensembles that used in this work for the simulation of oil viscosity. An Isolation Forest is applied on the dataset to remove outliers and also the earthworm optimization algorithm (EWA) is employed to find the optimum values of models' hyper-parameters. Optimized models of ADA-DT, ERT, and RF have RMSE error rates of 35.42, 27.02, and 58.71. Thus, ERT is selected as the best model of the dataset used in this work. ","This study develops machine learning-based models to predict heavy crude oil viscosity using tree-based ensembles (AdaBoost, Random Forest, and Extremely Randomized Trees) with optimized hyperparameters, achieving RMSE error rates of 27.02-58.71."
"Machine learning estimation of crude oil viscosity as function of API, temperature, and oil composition: Model optimization and design space","https://scispace.com/paper/machine-learning-estimation-of-crude-oil-viscosity-as-118f8hf7","2023","Journal Article","PLOS ONE","Daihong Li
Xiaoyu Zhang
Qian Kang","10.1371/journal.pone.0282084","","Measurement of viscosity of crude oil is critical for reservoir simulators. Computational modeling is a useful tool for correlation of crude oil viscosity to reservoir conditions such as pressure, temperature, and fluid compositions. In this work, multiple distinct models are applied to the available dataset to predict heavy-oil viscosity as function of a variety of process parameters and oil properties. The computational techniques utilized in this work are Decision Tree (DT), MLP, and GRNN which were utilized in estimation of heavy crude oil samples collected from middle eastern oil fields. For the estimation of viscosity, the firefly algorithm (FA) was employed to optimize the hyper-parameters of the machine learning models. The RMSE error rates for the final models of DT, MLP, and GRNN are 40.52, 25.08, and 30.83, respectively. Also, the R2-scores are 0.921, 0. 978, and 0.933, respectively. Based on this and other criteria, MLP is chosen as the best model for this study in estimating the values of crude oil viscosity.","In this paper , decision tree (DT), MLP, and GRNN were used to predict heavy-oil viscosity as a function of a variety of process parameters and oil properties."
"Data-driven modeling of heavy oil viscosity in the reservoir from geophysical well logs","https://scispace.com/paper/data-driven-modeling-of-heavy-oil-viscosity-in-the-reservoir-1mbjcgd5ph","2018","Journal Article","Petroleum Science and Technology","Arash Kamari
Abdelmoneam Raef
Matthew W. Totten","10.1080/10916466.2018.1468778","","Viscosity is the most crucial fluid property on recovery and productivity of hydrocarbon reservoirs, more particularly heavy oil reservoirs. In heavy and extra heavy oil reservoirs e.g. bitumen and tar sands more energy is required to be injected into the system in order to decrease the viscosity to make the flow easier. Therefore, attempt to develop a reliable and rapid method for accurate estimation of heavy oil viscosity is inevitable. In this study, a predictive model for estimating of heavy oil viscosity is proposed, utilizing geophysical well logs data including gamma ray, neutron porosity, density porosity, resistivity logs, spontaneous potential as well as P-wave velocity and S-wave velocity and their ratio (Vp/Vs). To this end, a supervised machine learning algorithm, namely least square support vector machine (LSSVM), has been employed for modeling, and a dataset was provided from well logs data in a Canadian heavy oil reservoir, the Athabasca North area. The results indicate that the pr...","In this article, a predictive model for estimating heavy oil viscosity is proposed, utilizing geophysical well logs data including gamma ray, neutron porosity, density porosity and resistivity logs, spontaneous potential as well as P-wave velocity and S wave velocity and their ratio (Vp/Vs)."
"System and Method for Predicting Viscosity of Heavy Oil Formations","https://scispace.com/paper/system-and-method-for-predicting-viscosity-of-heavy-oil-3aamlt9jdq","2017","Patent","","Anand Vivek","","","This disclosure describes systems and methods to predict viscosity of heavy oil in a geological formation, even when the geological formation also contains water such as clay-bound water, using a downhole nuclear magnetic resonance (NMR) tool. The downhole NMR tools may obtain responses include distributions of a first relaxation time T1, a second relaxation time T2, or diffusion, or a combination of these. The responses of the NMR measurements that are due to water are separated from the responses of the NMR measurements that are due to heavy oil. The responses of the NMR measurements due to heavy oil are then related to likely values of viscosity of the heavy oil based on empirical or simulated measurements.","In this paper, the authors describe systems and methods to predict viscosity of heavy oil in a geological formation, even when the geological formation also contains water such as clay-bound water, using a downhole NMR tool."
"Prediction of Heavy Oil Viscosity in Current Reservoir Simulators","https://scispace.com/paper/prediction-of-heavy-oil-viscosity-in-current-reservoir-4h782zp1mu","2009","Proceedings Article","","J.J. de la Porte
N. Riesco
V. Vesovic","10.2118/125500-MS","","An accurate estimate of oil mobility is essential for reliable exploitation of oil and gas reservoirs, and for development of new technologies, particularly with the industry’s increasing reliance on unconventional resources such as heavy oil. The viscosity of heavy oil decreases rapidly with increasing temperature and with increasing concentrations of light components, and can vary over 2-3 orders of magnitude during typical exploration and productions operations. The accurate prediction of the viscosity is therefore difficult, and simple extrapolation of the current methods used in the petroleum industry for predicting the fluid viscosity in conventional reservoirs is fraught with difficulties. This paper presents a comprehensive analysis of the use of a simple mole-average power law that is based on the Arrhenius equation and used as the default method in some widely used thermal reservoir simulators to predict mixture viscosity. Predictions based on the equation are compared to a set of accurate benchmark data that are based on the best available experimental data for hydrocarbon mixtures. These data cover a temperature range of -175°C to 200°C, and extend to high pressures. The accuracy of the data is better than 5%, sufficient for validation purposes. We summarize the conditions under which the simple power law provides reasonable estimates of viscosity, identify the ranges of pressure and temperature and composition for which large deviations can be expected, and discuss the implications of using the equation to predict heavy-oil viscosity. We demonstrate that the current practice of fitting scarce experimental data and using the viscosity of the heavy fraction as an adjustable parameter is problematic, and that extrapolation in temperature or to similar mixtures is highly unreliable.","In this article, the authors present a comprehensive analysis of the use of a simple mole-average power law that is based on the Arrhenius equation and used as the default method in some widely used thermal reservoir simulators to predict mixture viscosity."
"An accurate model to predict viscosity of heavy oils","https://scispace.com/paper/an-accurate-model-to-predict-viscosity-of-heavy-oils-4m9h7kpbo7","2017","Journal Article","Petroleum Science and Technology","Zahra Jahani-Keleshteri
Alireza Bahadori","10.1080/10916466.2016.1259632","","The viscosity of heavy oils is a crucial factor in estimating oil recovery. Viscosity plays a vital character in reservoir simulations as well as in estimating the easiness of fluid flow, estimating oil recovery, and choosing a production model. The authors present a new intelligent model, a GA-LSSVM, used for predicting the viscosity of heavy oils. The experimental data employed in this work are the product of searching in many heavy oils data gathered from the literature. Development of robust predictive models to predict the viscosity of heavy oils is of immense help in many process engineering applications. The outcomes revealed that GA-LSSVM is able to capture the complicated and nonlinear relation between the input and output variables. GA-LSSVM model resulted in R2 and mean absolute error values of 0.9999 and 0.9924, respectively.","A new intelligent model, a GA-LSSVM, used for predicting the viscosity of heavy oils is presented, which is able to capture the complicated and nonlinear relation between the input and output variables."
"Viscosity Modeling and Prediction of Reservoir Fluids: From Natural Gas to Heavy Oils","https://scispace.com/paper/viscosity-modeling-and-prediction-of-reservoir-fluids-from-42zcjrdu50","2004","Journal Article","International Journal of Thermophysics","Sergio E. Quiñones-Cisneros
Claus K. Zéberg-Mikkelsen
A. Baylaucq
Christian Boned","10.1007/S10765-004-5743-Z","","Viscosity and density are key properties for the evaluation, simulation, and development of petroleum reservoirs. In previous work, the friction theory (f-theory) models have already been shown capable of providing simple but accurate viscosity modeling results of petroleum reservoir fluids with molar masses up to around 200 g · mol−1. As a base, the f-theory approach requires a compositional characterization procedure to be used in conjunction with a van der Waals type of equation of state (EOS). This is achieved using simple cubic EOS, which are widely used within the oil industry. In this work, the f-theory approach is further extended to the viscosity modeling of heavy reservoir fluids with viscosities up to thousands of mPa · s. Essential to the extended approach presented here is the achievement of accurate pvT results for the EOS characterized fluid. In particular, it has been found that for accurate viscosity modeling of heavy oils, a compressibility correction in the way the EOS is coupled to the viscosity model is required. With the approach presented in this work, the potential of the f-theory for viscosity modeling of reservoir fluids is extended to practically all kind of reservoir fluids, from light ones to heavy ones. Additionally, the approach has been completed with an accurate density modeling scheme.","In this paper, the authors further extended the f-theory approach to the viscosity modeling of heavy reservoir fluids with viscosities up to thousands of mPa · s."
"Predicting heavy oil viscosity from well logs","https://scispace.com/paper/predicting-heavy-oil-viscosity-from-well-logs-413h2tosil","2016","","","Eric A. Rops
Laurence R. Lines","","","Summary Viscosity is a critical parameter in selecting the best recovery method to exploit a heavy oil or oil sands reservoir. While heavy oil viscosities can be measured in the lab from well samples, it would be very useful to have a method to reliably estimate heavy oil viscosity from well logs. Donor Company has generously provided viscosity data from their Athabasca North and Athabasca South oil sands development projects, with multiple measurements per well. Multi-attribute analysis enables a target attribute (viscosity) to be predicted using other known attributes (the well logs). In the Athabasca North area, P-wave sonic and Density porosity were used to predict viscosity with an average validation error of 147,000 cP, or 19% of the total viscosity range. In the Athabasca South area, medium resistivity, gamma ray, and P-wave sonic were used to predict viscosity with an average validation error of only 70,000 cP, or 13% of the total viscosity range.","In this article, multi-attribute analysis enables a target attribute (viscosity) to be predicted using other known attributes (the well logs) to estimate heavy oil viscosity from well logs."
"Prediction of heavy oil viscosity","https://scispace.com/paper/prediction-of-heavy-oil-viscosity-dnwhhh7nuh","1998","","","Trevor Bennison","","","The impetus for this work stems from the difficulties in obtaining reliable viscosity measurements for live oils from viscous oil reservoirs. The use of correlations to estimate fluid viscosity can provide a useful method to provide the reservoir engineer with preliminary values for reservoir calculations. Many different correlations based on measured fluid properties have been presented in the literature to estimate fluid viscosity. Using measured data supplied through the offices of the DTI, these correlations have been assessed for their ability to predict measured viscosity data for several North Sea heavy oil reservoirs. Arising from this assessment, prediction of dead oil viscosity, on which most of the correlations for bubble-point and thereby undersaturated oil viscosity are based, was found to be poor. Work to identify an alternative correlation was undertaken and a new correlation developed. Particular correlations for bubble-point and undersaturated oil viscosity have been recommended as providing the best match with measured data. An engineer's flow chart has been created to summarise the findings.","In this article, the authors used measured data supplied through the offices of the DTI, and assessed the correlations for their ability to predict measured viscosity data for several North Sea heavy oil reservoirs."
